date,open,high,low,close,volume
2021-07-21,149.5,149.5,147.6,148.94,302731
2021-07-22,149.785,150.475,148.73,150.31,346285
2021-07-23,150.72,152.4,150.49,152.34,375598
2021-07-26,151.89,152.1,149.79,150.2,237503
2021-07-27,149.55,149.99,148.86,149.99,405328
2021-07-28,149.855,151.945,149.62,151.48,296275
2021-07-29,151.815,153.43,151.65,152.665,247727
2021-07-30,152.72,153.595,152.03,153.25,388689
2021-08-02,154.27,154.27,152.57,153.06,223079
2021-08-03,153.6,153.97,152.82,153.83,296753
2021-08-04,154.0,154.68,153.54,154.27,263773
2021-08-05,154.69,155.16,153.355,155.135,258331
2021-08-06,155.31,155.87,154.49,155.72,83218
2021-08-09,155.95,156.78,155.01,156.56,83067
2021-08-10,157.065,157.59,155.9,156.47,104030
2021-08-11,156.835,156.835,155.86,156.56,78702
2021-08-12,156.68,158.5,156.12,158.15,84522
2021-08-13,158.24,159.26,157.45,159.26,100997
2021-08-16,159.52,162.51,159.095,162.06,166379
2021-08-17,161.545,161.72,159.33,161.1,177077
2021-08-18,163.49,165.09,162.09,162.98,170096
2021-08-19,161.745,168.96,161.745,167.71,134648
2021-08-20,167.95,170.72,167.08,168.13,116062
2021-08-23,169.525,170.55,168.14,170.02,127719
2021-08-24,170.36,171.15,169.29,170.59,62008
2021-08-25,170.365,173.51,170.31,173.44,80407
2021-08-26,173.6,174.44,172.135,173.65,67779
2021-08-27,173.57,175.02,173.265,173.96,52936
2021-08-30,174.51,177.12,174.51,176.72,55649
2021-08-31,177.03,177.03,174.85,175.47,56072
2021-09-01,175.01,175.7,174.46,175.47,103061
2021-09-02,175.9,178.27,175.74,178.02,72725
2021-09-03,177.47,179.53,177.24,179.28,52157
2021-09-07,179.19,179.365,176.82,177.77,98821
2021-09-08,177.18,179.15,176.65,178.695,84352
2021-09-09,178.8,179.32,177.05,177.16,97865
2021-09-10,177.76,179.19,177.19,177.27,44818
2021-09-13,177.53,177.53,170.245,172.09,237642
2021-09-14,172.65,173.87,171.93,172.38,119353
2021-09-15,171.825,175.12,171.5,173.8,55732
2021-09-16,173.55,173.605,171.16,173.185,77328
2021-09-17,173.69,177.21,172.95,173.94,76529
2021-09-20,170.24,172.4,169.33,171.31,91452
2021-09-21,172.42,173.5,171.19,171.46,48545
2021-09-22,171.985,173.25,171.13,172.39,50909
2021-09-23,173.78,174.225,172.53,172.75,66724
2021-09-24,172.06,173.05,171.39,172.37,61310
2021-09-27,170.785,170.785,164.29,166.37,67326
2021-09-28,164.33,164.33,158.88,159.87,129325
2021-09-29,161.68,161.73,159.87,160.07,51219
2021-09-30,161.91,162.27,157.54,157.54,67016
2021-10-01,157.42,157.48,153.16,155.8,93467
2021-10-04,155.215,156.12,151.33,152.36,74079
2021-10-05,153.45,155.76,152.41,153.06,62455
2021-10-06,151.97,154.14,151.62,153.72,65549
2021-10-07,155.48,157.41,155.21,155.26,52841
2021-10-08,156.49,156.86,152.37,152.43,57390
2021-10-11,151.45,152.35,149.89,149.955,44677
2021-10-12,150.73,150.83,146.4,147.93,76075
2021-10-13,149.17,150.835,148.91,150.17,86795
2021-10-14,152.23,153.36,151.805,152.58,53136
2021-10-15,153.26,153.82,152.65,153.34,45869
2021-10-18,152.71,155.375,152.65,154.78,42892
2021-10-19,155.95,157.31,155.565,155.565,58957
2021-10-20,156.665,158.12,156.655,157.575,39193
2021-10-21,157.655,157.775,154.56,156.94,41699
2021-10-22,157.215,158.59,156.99,157.96,37904
2021-10-25,157.545,158.5,156.99,158.31,63654
2021-10-26,159.095,159.095,157.13,158.24,45381
2021-10-27,158.35,158.35,154.93,155.3,51062
2021-10-28,156.32,157.72,154.21,155.72,56157
2021-10-29,155.23,157.56,154.78,157.46,59904
2021-11-01,157.69,157.94,155.88,157.05,50784
2021-11-02,157.65,157.98,155.465,157.85,63611
2021-11-03,158.08,158.26,154.63,158.26,65033
2021-11-04,158.62,158.62,156.36,157.63,26109
2021-11-05,155.44,156.75,152.43,156.46,129659
2021-11-08,156.885,161.11,156.71,161.035,44164
2021-11-09,161.21,161.93,159.58,159.795,28625
2021-11-10,159.41,159.83,158.1,159.2,49522
2021-11-11,160.43,161.035,157.93,158.79,61750
2021-11-12,159.59,161.05,157.85,160.915,42855
2021-11-15,161.52,162.31,157.53,157.74,57505
2021-11-16,157.83,162.99,157.83,161.41,54629
2021-11-17,161.1,161.8,160.04,161.54,53323
2021-11-18,162.315,162.825,160.435,162.18,88147
2021-11-19,163.15,165.07,162.92,164.295,64504
2021-11-22,165.41,165.63,162.78,162.78,107113
2021-11-23,155.35,158.9,151.99,154.82,172115
2021-11-24,153.765,154.485,151.21,152.83,162236
2021-11-26,153.82,158.81,151.6,152.21,120924
2021-11-29,153.155,155.38,151.56,153.46,101189
2021-11-30,153.1,155.63,149.7,150.86,193462
2021-12-01,151.92,152.77,148.17,148.17,83011
2021-12-02,147.95,152.38,147.95,151.02,59155
2021-12-03,152.59,152.59,147.81,149.36,62982
2021-12-06,149.64,151.92,147.78,151.45,81926
2021-12-07,152.955,156.14,152.955,153.7,50966
2021-12-08,155.37,156.37,154.8,156.28,70360
2021-12-09,156.46,157.835,154.54,154.61,50659
2021-12-10,154.66,156.32,154.08,156.27,94312
2021-12-13,157.53,157.58,155.3,156.305,53447
2021-12-14,154.33,155.695,150.22,151.84,84835
2021-12-15,152.555,154.47,150.735,154.47,86052
2021-12-16,154.46,154.46,150.47,150.82,88099
2021-12-17,149.9,152.48,148.11,151.51,108817
2021-12-20,150.88,151.89,148.71,150.49,97587
2021-12-21,151.53,154.06,151.29,153.9,67225
2021-12-22,155.8,157.15,155.13,156.8,89461
2021-12-23,157.065,158.825,157.02,157.76,29121
2021-12-27,158.99,159.7,157.21,158.57,53877
2021-12-28,159.56,159.74,158.34,159.17,28533
2021-12-29,159.48,161.32,159.37,160.71,45609
2021-12-30,162.305,162.305,160.68,160.9,34651
2021-12-31,160.79,161.245,159.55,159.58,51833
2022-01-03,159.33,159.33,154.06,156.49,82059
2022-01-04,154.93,154.93,149.7,151.245,192768
2022-01-05,150.98,153.02,148.55,148.55,95241
