date,open,high,low,close,volume
2021-07-21,58.46,58.75,57.945,58.09,83545
2021-07-22,57.935,57.935,56.98,57.41,60491
2021-07-23,57.75,58.145,57.33,58.0,38180
2021-07-26,58.3,58.84,58.3,58.42,175388
2021-07-27,59.11,59.685,57.545,58.86,223722
2021-07-28,58.85,59.0,57.65,58.625,116206
2021-07-29,59.31,59.74,59.03,59.565,52798
2021-07-30,59.8,60.52,59.645,59.71,119178
2021-08-02,60.04,60.68,59.345,59.39,53932
2021-08-03,59.325,59.905,58.55,59.75,56941
2021-08-04,59.25,59.355,58.515,58.76,71279
2021-08-05,59.13,59.35,58.73,58.805,74047
2021-08-06,59.3,60.415,59.23,60.28,102039
2021-08-09,60.27,60.775,59.92,60.56,78223
2021-08-10,60.685,61.41,60.53,61.395,80751
2021-08-11,61.73,61.85,61.265,61.54,69253
2021-08-12,61.53,61.905,61.145,61.825,75368
2021-08-13,62.01,62.425,61.81,62.4,84968
2021-08-16,62.225,62.77,61.92,62.675,116145
2021-08-17,62.16,62.565,61.22,61.44,61351
2021-08-18,61.025,61.67,60.87,60.91,47317
2021-08-19,60.22,60.69,59.105,59.29,55834
2021-08-20,59.15,59.315,58.505,58.94,136331
2021-08-23,59.14,59.74,58.68,59.315,97268
2021-08-24,59.27,59.95,59.14,59.61,86952
2021-08-25,59.45,60.46,59.445,60.29,52025
2021-08-26,60.17,60.17,59.6,59.73,39868
2021-08-27,59.81,60.62,59.68,60.57,34124
2021-08-30,60.48,60.48,60.07,60.07,26868
2021-08-31,60.005,60.145,59.7,60.01,32851
2021-09-01,60.07,60.07,58.975,59.65,47930
2021-09-02,59.72,60.475,59.72,60.225,65339
2021-09-03,60.215,60.26,59.7,60.195,41197
2021-09-07,59.84,60.2,59.22,59.385,55296
2021-09-08,59.115,59.93,58.45,59.88,98941
2021-09-09,59.715,60.55,59.64,59.64,30671
2021-09-10,59.76,60.295,59.64,59.87,63859
2021-09-13,60.56,61.255,60.44,61.17,61787
2021-09-14,61.32,61.63,60.35,60.39,67746
2021-09-15,60.27,62.59,60.27,62.51,99115
2021-09-16,62.38,63.25,62.09,63.0,148089
2021-09-17,62.63,62.63,62.05,62.37,177242
2021-09-20,61.12,61.55,59.78,60.52,137307
2021-09-21,60.73,60.77,59.62,60.01,108363
2021-09-22,60.53,60.82,58.645,58.98,145421
2021-09-23,59.225,60.625,59.12,60.27,56135
2021-09-24,59.76,60.57,59.7,59.76,57281
2021-09-27,60.12,61.145,60.08,60.75,86141
2021-09-28,60.88,61.54,60.51,60.57,51568
2021-09-29,60.76,60.96,60.57,60.79,84740
2021-09-30,60.83,61.12,60.01,60.03,73797
2021-10-01,60.21,61.04,59.44,60.83,70057
2021-10-04,60.935,61.95,60.91,61.18,74525
