date,open,high,low,close,volume
2021-07-21,24.265,24.52,24.2,24.35,104316
2021-07-22,24.42,24.49,23.945,24.02,153974
2021-07-23,24.11,24.23,23.67,23.89,152750
2021-07-26,23.9,24.165,23.835,24.015,116037
2021-07-27,23.83,24.31,23.73,24.305,149015
2021-07-28,24.44,24.44,24.03,24.235,116606
2021-07-29,24.38,24.465,24.215,24.265,78203
2021-07-30,24.03,24.215,23.655,23.7,144762
2021-08-02,23.87,23.89,23.52,23.57,229873
2021-08-03,23.67,24.115,23.53,23.92,464905
2021-08-04,23.67,23.9,23.45,23.65,353657
2021-08-05,24.18,25.24,23.84,24.835,396798
2021-08-06,25.17,25.475,24.56,24.62,282490
2021-08-09,24.59,24.59,24.165,24.165,185623
2021-08-10,24.22,24.73,24.1,24.35,222221
2021-08-11,24.43,24.925,24.405,24.895,142899
2021-08-12,24.835,25.19,24.8,25.11,168541
2021-08-13,25.1,25.105,24.75,24.795,81506
2021-08-16,24.69,24.77,24.36,24.36,93453
2021-08-17,24.09,24.15,23.74,24.1,98073
2021-08-18,24.11,24.175,23.74,23.74,146859
2021-08-19,23.61,23.91,23.545,23.65,107845
2021-08-20,23.55,24.36,23.55,24.32,199286
2021-08-23,24.41,24.47,24.0,24.26,130938
2021-08-24,24.27,24.34,24.025,24.195,110022
2021-08-25,24.095,24.505,24.09,24.25,137230
2021-08-26,24.23,24.25,23.86,23.865,88278
2021-08-27,23.87,24.185,23.71,24.18,169057
2021-08-30,24.255,24.32,24.09,24.1,72226
2021-08-31,24.03,24.225,23.77,23.87,272140
2021-09-01,24.06,24.435,24.06,24.12,185169
2021-09-02,24.15,24.525,24.14,24.525,103035
2021-09-03,24.55,24.73,24.42,24.645,232759
2021-09-07,24.42,24.59,24.28,24.44,679277
2021-09-08,24.295,24.555,24.125,24.16,457693
2021-09-09,24.13,24.285,23.995,24.065,307983
2021-09-10,24.14,24.19,23.76,23.76,167890
2021-09-13,23.9,24.015,23.72,23.87,199588
2021-09-14,23.86,24.13,23.705,23.81,126028
2021-09-15,23.75,24.17,23.67,24.12,234517
2021-09-16,24.025,24.36,24.025,24.275,139167
2021-09-17,24.495,24.83,24.495,24.595,340735
2021-09-20,24.305,24.41,23.54,23.905,176632
2021-09-21,24.0,24.145,23.86,23.91,59229
2021-09-22,24.015,24.135,23.625,23.67,128308
