date,open,high,low,close,volume
2021-07-21,53.4,54.43,53.4,53.88,94743
2021-07-22,53.62,53.665,52.98,53.09,72480
2021-07-23,53.45,53.75,53.165,53.38,80435
2021-07-26,53.32,53.86,53.32,53.695,62773
2021-07-27,53.31,53.955,52.96,53.81,91079
2021-07-28,53.86,54.265,53.3,53.79,94245
2021-07-29,55.59,55.99,54.9,55.59,101322
2021-07-30,55.47,55.85,54.95,55.005,88542
2021-08-02,55.215,56.09,54.65,54.685,91974
2021-08-03,55.07,55.62,54.28,55.575,51531
2021-08-04,54.93,55.555,54.79,54.95,85537
2021-08-05,55.73,55.94,55.17,55.6,48655
2021-08-06,56.0,56.41,55.925,56.24,86721
2021-08-09,55.95,56.36,55.6,56.11,53739
2021-08-10,56.03,56.96,55.93,56.645,58006
2021-08-11,56.68,57.18,56.5,56.965,79611
2021-08-12,57.075,57.405,56.85,57.35,54672
2021-08-13,57.435,57.54,57.17,57.26,42765
2021-08-16,57.025,57.6,56.685,57.535,58625
2021-08-17,56.94,57.36,56.625,57.11,59055
2021-08-18,56.6,57.19,56.355,56.36,50402
2021-08-19,55.61,56.355,55.61,55.88,69161
2021-08-20,55.71,56.485,55.71,56.36,58847
2021-08-23,56.85,57.22,56.685,56.69,41007
2021-08-24,56.795,57.0,56.52,56.68,57285
2021-08-25,56.72,57.54,56.545,57.095,55479
2021-08-26,57.23,57.23,56.355,56.43,118025
2021-08-27,56.705,57.28,56.69,57.12,40152
2021-08-30,57.02,57.02,56.36,56.42,47688
2021-08-31,56.6,57.03,56.35,56.68,34614
2021-09-01,56.75,56.75,56.165,56.34,61302
2021-09-02,56.41,56.455,55.83,55.99,91392
2021-09-03,55.91,56.07,55.56,55.71,33729
2021-09-07,55.755,55.84,55.22,55.25,70889
2021-09-08,55.02,55.33,54.82,55.155,57819
2021-09-09,55.135,55.885,55.03,55.15,59449
2021-09-10,55.41,55.475,54.66,54.66,41128
2021-09-13,55.09,55.435,54.89,55.22,52898
2021-09-14,55.16,55.34,54.175,54.28,30462
2021-09-15,54.375,55.11,54.29,54.65,42612
2021-09-16,54.72,54.885,54.3,54.56,50335
2021-09-17,54.51,54.885,53.96,54.015,70525
2021-09-20,52.8,52.92,51.29,52.07,82299
2021-09-21,52.43,52.47,51.29,51.34,87623
2021-09-22,52.06,52.29,51.73,51.865,92557
2021-09-23,52.305,53.04,52.29,52.39,84314
2021-09-24,52.35,53.01,52.34,52.64,43117
2021-09-27,53.075,53.9,53.075,53.41,111743
2021-09-28,53.345,53.63,52.75,52.85,51714
2021-09-29,52.95,53.23,52.705,52.725,50015
2021-09-30,52.93,52.97,52.05,52.13,88397
2021-10-01,52.27,53.29,52.185,52.91,40542
2021-10-04,53.08,53.885,52.7,52.77,82192
2021-10-05,52.89,53.63,52.595,53.42,46536
2021-10-06,53.04,53.32,52.43,53.31,49493
2021-10-07,53.94,54.36,53.86,54.15,62360
2021-10-08,54.29,54.885,54.29,54.53,62003
2021-10-11,54.86,55.38,54.445,54.48,68765
2021-10-12,54.46,54.685,54.24,54.47,60098
2021-10-13,54.19,54.21,53.205,53.96,77995
2021-10-14,54.67,55.345,54.2,55.34,80435
2021-10-15,55.83,55.98,55.475,55.54,98436
2021-10-18,55.42,55.67,54.885,55.17,66801
2021-10-19,55.53,55.965,55.53,55.8,75558
2021-10-20,55.81,56.535,55.785,56.45,47092
2021-10-21,56.19,56.38,55.71,56.12,81184
2021-10-22,56.4,56.75,56.21,56.55,39434
2021-10-26,57.14,57.525,57.025,57.145,96660
2021-10-27,56.82,57.62,56.0,56.0,90888
2021-10-28,56.0,56.6,54.74,55.36,133112
2021-10-29,55.1,55.1,53.49,53.66,86151
2021-11-01,54.0,54.885,53.945,54.885,68270
2021-11-02,54.735,55.235,54.425,55.13,66978
