date,open,high,low,close,volume
2021-07-21,156.1,156.1,153.82,153.87,9893
2021-07-22,152.89,153.07,151.85,152.42,15593
2021-07-23,155.38,156.03,154.79,155.11,12595
2021-07-26,154.51,156.17,154.51,155.72,10192
2021-07-27,155.01,156.96,154.98,156.655,9575
2021-07-28,157.725,157.845,154.965,156.64,9454
2021-07-29,157.845,158.275,156.68,157.91,18514
2021-07-30,157.34,159.2,157.34,157.94,9323
2021-08-02,158.77,159.46,157.105,157.26,15670
2021-08-03,156.73,159.26,156.7,158.22,27821
2021-08-04,156.525,157.95,153.26,155.85,37458
2021-08-05,157.41,158.78,156.955,158.57,14936
2021-08-06,159.105,161.21,159.105,159.93,26103
2021-08-09,159.78,160.86,158.98,159.68,37948
2021-08-10,160.81,163.23,160.81,162.35,23326
2021-08-11,162.76,164.49,162.76,164.11,21008
2021-08-12,164.69,166.63,164.69,165.945,29856
2021-08-13,165.82,165.855,164.79,164.88,14970
2021-08-16,164.37,166.71,164.37,166.63,13464
2021-08-17,165.42,167.92,165.42,167.49,5999
2021-08-18,167.12,167.57,164.95,164.95,14470
2021-08-19,166.04,166.04,163.3,163.46,10965
2021-08-20,163.915,166.19,163.915,165.17,10357
2021-08-23,165.7,167.16,165.7,166.775,29813
2021-08-24,166.795,167.47,166.47,166.64,20408
2021-08-25,167.99,169.82,167.71,168.83,10725
2021-08-26,168.08,168.975,166.92,167.325,36044
2021-08-27,167.38,169.52,167.38,169.295,18076
2021-08-30,169.125,169.58,168.33,168.54,17584
2021-08-31,168.845,170.65,168.8,170.11,37131
2021-09-01,170.6,170.94,169.05,169.54,29348
2021-09-02,170.405,170.935,169.865,170.55,21299
2021-09-03,170.29,170.9,169.48,170.47,23558
2021-09-07,169.09,170.005,168.46,168.48,11347
2021-09-08,169.35,171.37,169.17,171.25,11449
2021-09-09,171.315,172.11,170.03,170.03,11343
2021-09-10,169.625,169.97,167.89,167.92,11433
2021-09-13,167.56,168.66,166.81,167.435,14791
2021-09-14,168.06,168.06,165.01,165.685,13243
2021-09-15,164.95,166.17,163.77,163.89,14718
2021-09-16,163.52,163.68,161.495,163.03,45003
2021-09-17,163.4,163.4,160.795,161.43,25836
2021-09-20,158.06,158.78,156.32,158.75,26346
2021-09-21,158.91,160.02,158.035,159.06,13391
2021-09-22,159.73,161.56,159.73,160.16,15166
2021-09-23,162.04,162.04,159.58,159.58,7138
2021-09-24,160.52,161.68,159.685,161.09,7310
2021-09-27,162.52,163.54,161.71,161.75,15311
2021-09-28,161.99,162.73,159.195,159.585,9314
2021-09-29,160.07,161.61,160.07,160.68,6538
2021-09-30,160.95,161.78,157.73,157.73,11170
2021-10-01,157.905,160.13,157.11,159.1,11351
2021-10-04,159.58,160.25,157.02,157.4,14413
2021-10-05,157.35,160.69,157.01,159.96,11907
2021-10-06,159.62,161.23,157.515,161.02,12578
2021-10-07,162.72,164.51,162.69,162.835,8806
2021-10-08,163.02,163.53,162.205,162.205,6748
2021-10-11,161.82,163.775,161.24,161.27,5622
2021-10-12,161.35,162.49,161.185,161.395,12598
2021-10-13,161.38,161.38,158.3,160.21,14000
2021-10-14,162.03,163.67,161.16,163.27,24119
2021-10-15,164.32,165.3,162.48,162.505,20554
2021-10-18,162.25,162.66,162.15,162.44,10074
2021-10-19,163.52,164.235,163.34,163.44,8390
2021-10-20,164.045,165.68,164.03,164.87,12726
2021-10-21,165.76,166.13,164.29,165.0,13523
2021-10-22,165.78,166.68,165.35,165.58,12635
2021-10-26,163.81,164.4,162.14,162.38,10554
2021-10-27,162.81,164.565,161.0,161.02,13623
2021-10-28,163.245,163.56,161.83,163.55,9728
2021-10-29,163.62,164.0,161.22,161.33,33366
2021-11-01,161.89,162.06,161.08,161.365,7963
2021-11-02,161.95,161.95,160.76,161.64,9267
2021-11-03,161.12,168.25,161.12,165.19,45873
2021-11-04,163.29,165.05,162.63,164.13,11302
2021-11-05,166.125,167.02,160.82,162.5,22459
2021-11-08,162.27,163.0,160.97,161.25,13166
2021-11-09,160.875,160.875,158.845,160.38,20229
2021-11-10,161.37,161.37,158.32,159.76,35680
2021-11-11,159.675,161.33,159.62,160.375,10539
2021-11-12,160.02,160.77,158.35,160.25,11222
2021-11-15,160.05,161.42,159.6,160.1,21621
2021-11-16,160.41,161.8,159.99,160.55,23553
2021-11-17,159.945,161.475,159.04,161.01,8518
2021-11-18,161.11,161.36,159.48,160.24,18788
2021-11-19,159.61,159.76,158.105,159.41,9442
2021-11-22,160.89,163.83,160.43,163.42,13349
2021-11-23,163.46,165.105,163.45,164.71,13004
