date,open,high,low,close,volume
2021-07-21,129.25,130.24,128.7,128.81,60911
2021-07-22,128.14,128.65,127.45,128.23,66347
2021-07-23,129.31,129.94,128.57,129.75,49487
2021-07-26,130.6,130.71,129.85,130.49,36888
2021-07-27,129.47,131.96,129.47,131.44,35505
2021-07-28,131.48,132.11,129.0,130.44,57542
2021-07-29,131.69,133.04,130.55,132.49,51648
2021-07-30,131.94,131.94,129.67,130.025,54489
2021-08-02,131.625,132.06,129.68,129.71,46957
2021-08-03,130.31,130.84,128.7,130.68,66889
2021-08-04,129.755,130.635,128.955,128.955,48189
2021-08-05,127.58,127.97,125.0,127.97,84529
2021-08-06,129.52,131.485,129.03,130.77,63127
2021-08-09,130.965,133.55,130.72,132.65,63664
2021-08-10,132.805,134.95,132.16,134.32,58456
2021-08-11,134.735,135.69,133.75,135.66,65180
2021-08-12,136.005,136.76,134.965,135.315,37191
2021-08-13,136.03,136.06,134.28,135.11,25911
2021-08-16,134.66,136.56,134.13,136.545,30946
2021-08-17,134.36,135.37,133.805,134.75,76628
2021-08-18,134.22,136.42,134.09,134.24,66081
2021-08-19,132.915,134.92,132.915,133.95,35063
2021-08-20,133.62,135.15,133.62,134.57,55828
2021-08-23,135.37,138.75,135.19,137.2,81071
2021-08-24,137.64,137.77,136.86,136.925,21022
2021-08-25,137.67,139.36,137.67,137.87,25245
2021-08-26,137.91,137.91,136.25,136.25,31223
2021-08-27,136.545,137.56,136.46,137.52,20657
2021-08-30,136.765,136.765,134.49,134.515,53349
2021-08-31,134.0,135.81,133.47,135.32,22531
2021-09-01,135.29,135.37,133.75,134.28,35973
2021-09-02,134.99,135.38,133.65,133.97,37578
2021-09-03,134.07,134.31,133.14,133.96,28802
2021-09-07,133.49,133.77,131.42,131.43,27241
2021-09-08,131.71,133.175,131.355,132.9,30819
2021-09-09,132.63,134.28,132.03,132.03,40556
2021-09-10,132.9,132.9,130.975,131.53,24313
2021-09-13,132.88,133.4,132.2,133.32,59390
2021-09-14,133.75,133.99,131.655,132.11,57153
2021-09-15,132.2,133.48,131.055,131.69,37756
2021-09-16,131.75,132.19,130.94,131.5,37903
2021-09-17,131.0,131.5,130.175,131.07,28729
2021-09-20,129.0,129.73,127.72,129.55,39706
2021-09-21,130.13,131.025,129.24,129.62,33588
2021-09-22,131.1,131.395,130.31,130.415,39963
2021-09-23,131.71,132.285,130.67,130.8,46330
2021-09-24,130.625,131.57,130.44,130.48,41802
2021-09-27,131.105,131.985,130.375,130.38,44660
2021-09-28,130.64,131.07,127.8,127.95,42974
2021-09-29,128.27,130.07,128.2,129.32,23608
2021-09-30,129.91,130.31,127.335,127.335,66324
2021-10-01,127.52,128.94,126.61,127.76,58621
2021-10-04,128.24,129.225,126.41,126.61,59337
2021-10-05,126.7,128.87,126.01,128.08,65164
2021-10-06,127.52,127.63,125.83,127.485,66188
2021-10-07,128.145,129.29,127.2,127.39,60131
2021-10-08,127.56,127.93,126.37,126.88,32467
2021-10-11,127.88,130.025,127.55,127.95,40061
2021-10-12,128.21,128.67,126.55,126.81,34309
2021-10-13,126.175,126.175,124.22,125.7,52374
2021-10-14,126.49,126.91,125.23,126.83,55509
2021-10-15,127.495,127.98,126.4,126.71,37743
2021-10-18,126.24,126.625,125.35,126.075,36749
2021-10-19,126.56,126.745,125.32,126.5,50452
2021-10-20,126.29,128.37,126.29,128.32,62709
2021-10-21,128.035,128.05,125.495,126.735,71124
2021-10-22,127.52,128.43,126.51,127.98,69826
2021-10-26,129.04,129.765,128.33,128.33,33574
2021-10-27,127.3,127.93,124.85,124.91,36557
2021-10-28,125.655,126.385,124.975,126.17,96875
2021-10-29,125.91,125.91,123.11,123.63,116507
2021-11-01,124.41,125.03,122.675,123.49,111103
2021-11-02,123.26,125.38,123.26,125.16,57183
2021-11-03,125.25,127.75,125.13,126.17,51705
2021-11-04,121.21,121.21,115.27,117.07,155088
2021-11-05,117.795,118.78,114.68,117.14,170376
2021-11-08,117.845,118.44,116.38,117.07,57284
2021-11-09,116.35,117.645,115.09,115.26,46246
2021-11-10,114.3,115.535,113.94,114.105,153495
2021-11-11,114.21,115.08,112.83,114.67,79237
2021-11-12,114.56,115.91,114.54,114.72,83485
2021-11-15,115.31,115.36,114.44,114.79,185061
2021-11-16,115.42,116.61,114.745,115.33,332188
2021-11-17,115.235,115.235,113.17,113.22,166258
2021-11-18,113.755,113.755,111.5,113.05,76147
2021-11-19,112.46,113.6,111.87,111.925,84906
2021-11-22,112.67,114.145,111.73,113.54,69036
2021-11-23,112.2,115.76,112.2,114.86,142521
2021-11-24,115.36,115.765,114.475,114.72,99519
2021-11-26,111.8,115.435,111.59,115.08,76483
2021-11-29,114.62,114.62,112.51,113.11,98600
2021-11-30,111.82,112.14,108.45,108.73,135864
2021-12-01,109.69,111.01,107.12,107.12,88500
2021-12-02,108.5,110.65,107.84,109.67,140605
2021-12-03,109.9,110.535,107.75,108.325,70965
2021-12-06,109.64,111.46,109.465,109.78,113822
2021-12-07,109.29,110.95,109.1,110.24,90553
2021-12-08,110.08,110.41,108.96,109.04,62811
2021-12-09,106.67,108.41,106.12,107.67,118190
2021-12-10,108.33,108.61,107.45,108.02,58783
2021-12-13,107.45,108.57,106.6,108.18,42589
2021-12-14,108.43,111.53,108.06,110.72,81098
2021-12-15,111.18,113.94,110.8,113.52,124064
2021-12-16,114.35,116.23,114.35,115.79,107066
2021-12-17,115.29,115.63,113.85,114.13,97639
2021-12-20,112.72,113.45,111.485,112.32,84683
2021-12-21,113.7,114.74,113.06,113.33,38656
2021-12-22,113.17,113.92,112.92,113.44,45820
2021-12-23,114.17,115.11,113.77,114.12,34323
2021-12-27,114.02,116.13,113.83,116.07,61312
2021-12-28,116.605,117.43,116.605,117.09,43686
2021-12-29,117.09,118.39,116.98,117.91,59004
2021-12-30,118.59,118.92,117.61,117.72,42398
2021-12-31,117.94,118.635,117.6,117.63,39859
2022-01-03,118.15,119.69,117.95,118.255,68661
2022-01-04,119.84,121.48,119.56,121.145,75133
2022-01-05,121.63,122.82,121.0,121.02,75148
2022-01-06,122.95,123.735,121.34,122.37,74616
2022-01-07,122.68,126.19,122.44,125.94,81734
2022-01-10,126.71,127.22,123.03,123.535,132192
2022-01-11,124.5,124.66,121.91,123.88,90558
2022-01-12,123.51,124.12,122.525,123.77,62362
2022-01-13,124.1,125.39,123.9,124.05,50200
2022-01-14,123.33,124.4,122.68,124.07,96619
2022-01-18,123.79,124.0,121.18,123.29,105661
2022-01-19,123.545,123.545,120.46,120.94,88199
2022-01-20,121.58,122.94,119.32,119.5,135198
2022-01-21,119.83,121.24,119.29,119.46,80367
2022-01-24,119.125,121.31,118.04,119.565,31338
2022-01-25,120.18,122.81,118.66,121.97,88265
2022-01-26,121.47,122.33,119.29,120.4,116412
2022-01-27,120.99,123.55,119.48,120.24,108629
2022-01-28,119.96,120.97,118.27,120.86,86987
2022-01-31,119.13,120.97,118.25,120.65,113151
2022-02-01,119.5,119.5,116.42,118.76,210361
2022-02-02,118.91,119.7,117.24,117.565,560693
2022-02-03,118.2,122.07,115.9,121.66,357061
2022-02-04,121.87,123.24,121.5,122.15,120408
2022-02-07,123.16,125.83,122.36,124.81,178395
2022-02-08,125.75,127.51,125.47,127.22,175136
2022-02-09,126.7,127.19,124.55,124.69,109434
2022-02-10,124.06,125.83,123.02,123.26,96797
2022-02-11,122.81,124.29,122.07,123.31,185034
2022-02-14,125.31,126.185,123.09,124.78,114362
2022-02-15,125.01,126.065,123.49,124.23,110079
2022-02-16,123.5,124.84,123.44,123.45,75580
2022-02-17,122.24,123.2,121.25,122.64,71109
2022-02-18,122.66,126.12,122.66,125.94,120748
2022-02-22,125.6,126.155,124.14,125.08,128228
2022-02-23,125.46,126.12,123.1,123.21,65057
2022-02-24,120.76,121.26,117.6,120.94,211734
2022-02-25,120.71,124.28,120.71,124.165,67002
2022-02-28,121.2,123.01,120.92,122.36,87267
2022-03-01,121.9,122.83,118.72,119.85,77052
2022-03-02,122.07,124.21,121.49,123.92,96333
2022-03-03,123.89,126.09,123.34,125.62,76099
2022-03-04,123.72,127.57,123.72,127.56,126101
2022-03-07,125.65,128.51,125.09,125.19,148509
2022-03-09,123.42,123.985,121.51,122.48,125835
2022-03-10,122.16,123.37,121.68,122.82,81745
2022-03-11,123.06,125.12,122.79,123.36,65291
2022-03-14,125.42,127.16,124.615,125.88,82789
2022-03-15,126.31,127.33,125.19,127.22,69427
2022-03-16,127.33,127.33,124.05,126.5,109251
2022-03-17,126.61,130.93,126.61,130.93,101843
2022-03-18,131.79,133.79,130.11,133.67,111850
2022-03-21,133.89,134.89,131.97,134.51,83614
2022-03-22,134.73,137.47,134.73,137.08,100827
2022-03-23,137.345,138.02,135.91,136.99,94677
2022-03-24,136.76,138.77,136.76,138.705,81762
2022-03-25,139.015,141.8,138.96,141.8,67366
2022-03-28,141.315,141.315,139.84,140.61,116923
2022-03-29,140.91,140.91,138.41,139.59,75931
2022-03-30,139.875,141.17,139.64,140.33,59210
2022-03-31,140.12,141.54,138.51,138.51,103123
2022-04-01,139.35,139.87,138.35,139.52,49045
2022-04-04,138.87,139.5,136.88,137.08,60924
2022-04-05,137.3,139.055,137.08,137.22,62634
2022-04-06,137.17,140.06,136.5,138.97,62277
2022-04-07,138.93,140.96,138.39,140.43,94240
2022-04-08,141.795,142.47,140.42,141.705,92134
2022-04-11,142.81,144.39,142.77,142.92,76441
2022-04-12,142.99,143.85,141.52,142.15,109506
2022-04-13,141.93,143.705,140.23,141.94,61927
2022-04-14,141.5,141.52,139.97,141.16,109325
2022-04-18,140.22,140.96,139.29,139.68,76093
2022-04-19,139.43,142.035,138.91,141.75,90843
2022-04-20,141.95,144.07,141.8,143.86,74456
2022-04-21,144.27,144.27,141.02,141.02,72228
2022-04-22,139.13,139.9,131.97,132.02,121559
2022-04-25,131.09,132.47,129.145,131.77,80449
2022-04-26,131.08,132.29,128.95,128.95,88973
2022-04-27,129.265,129.65,127.79,128.35,84885
2022-04-28,129.58,131.08,128.83,130.33,60316
2022-04-29,129.69,129.89,126.19,126.55,73549
2022-05-02,126.96,129.32,125.66,127.73,79938
2022-05-03,128.785,131.94,128.62,129.72,58734
2022-05-04,129.7,133.88,129.155,133.77,64608
2022-05-05,131.38,132.97,130.11,131.535,115554
2022-05-06,131.36,131.95,129.525,130.565,96119
2022-05-09,129.44,129.87,128.02,128.95,99377
2022-05-10,130.23,131.87,128.62,129.68,89504
2022-05-11,130.54,131.65,128.43,128.55,72483
2022-05-12,128.53,129.35,125.53,127.55,113722
2022-05-13,128.0,128.88,127.29,128.15,31509
2022-05-16,128.155,128.725,127.005,127.26,61655
2022-05-17,127.63,129.33,127.18,129.21,47000
2022-05-18,128.24,129.965,127.62,127.86,108507
2022-05-19,126.09,127.33,124.05,125.69,109645
2022-05-20,125.215,125.5,120.68,123.025,108182
2022-05-23,124.87,126.17,123.0,125.67,57442
2022-05-24,126.28,128.93,125.045,128.76,77967
2022-05-25,128.305,131.55,128.305,130.96,50685
2022-05-26,132.02,134.115,131.63,133.74,83922
2022-05-27,133.7,136.88,133.7,136.88,85046
2022-05-31,134.51,137.5,134.08,136.68,125632
2022-06-01,136.71,137.42,133.195,134.735,162333
2022-06-02,134.25,134.25,132.69,134.1,146240
2022-06-03,133.96,133.96,131.95,131.98,35362
2022-06-06,131.79,133.67,131.76,132.35,62488
2022-06-07,131.345,132.52,130.155,132.505,119296
2022-06-08,131.81,132.48,130.44,131.05,67311
2022-06-09,130.99,131.9,127.85,127.865,59573
2022-06-10,125.52,125.86,124.35,124.56,111860
2022-06-13,121.67,125.37,121.67,123.2,84938
2022-06-14,123.095,124.57,121.41,122.05,77528
2022-06-15,122.575,123.84,119.91,121.67,88584
2022-06-16,120.04,120.36,117.81,119.47,103237
2022-06-17,119.56,121.35,118.4,120.56,63091
2022-06-21,122.46,122.46,120.81,121.8,65965
2022-06-22,119.96,123.04,119.855,122.02,41366
2022-06-23,122.62,123.03,120.635,121.8,45376
2022-06-24,122.74,127.77,122.43,127.135,76383
2022-06-27,126.64,127.11,125.67,126.2,32701
2022-06-28,127.51,128.03,125.61,125.76,52251
2022-06-29,126.06,126.27,124.97,125.43,99729
2022-06-30,124.105,127.05,124.095,126.77,84050
2022-07-01,126.935,131.32,126.78,130.72,130142
2022-07-05,129.11,129.21,125.185,128.9,194123
2022-07-06,128.26,132.03,128.245,131.15,90921
2022-07-07,132.695,133.15,131.025,131.19,78374
2022-07-08,132.16,132.17,130.82,130.82,53835
2022-07-11,130.42,131.33,129.83,130.33,60142
2022-07-12,129.24,130.16,127.94,128.01,79231
2022-07-13,127.17,128.38,126.74,126.855,115734
2022-07-14,123.75,123.9,120.36,120.94,102933
2022-07-15,122.13,123.28,121.93,122.41,76196
2022-07-18,122.875,123.11,119.58,119.745,65019
2022-07-19,120.76,122.93,120.76,122.62,51896
2022-07-20,123.1,123.51,121.73,122.36,69366
2022-07-21,118.61,119.115,111.87,115.76,293221
2022-07-22,116.105,118.2,115.77,116.15,117559
2022-07-25,116.79,117.615,116.18,116.69,62786
2022-07-26,116.34,117.34,115.07,115.1,63680
2022-07-27,115.01,117.07,114.28,117.0,98070
2022-07-28,116.89,117.11,113.97,115.7,75644
2022-07-29,116.3,117.44,116.105,117.01,44486
2022-08-01,115.8,116.435,114.365,116.12,83107
2022-08-02,116.64,117.25,115.645,115.695,53189
2022-08-03,116.0,116.0,113.45,115.1,76586
2022-08-04,113.45,116.63,112.08,113.92,112044
2022-08-05,113.46,117.04,113.46,117.035,67549
2022-08-08,117.82,119.455,117.615,118.29,79770
2022-08-09,119.52,119.92,118.495,119.745,58676
2022-08-10,121.445,123.87,121.24,123.81,100140
2022-08-11,124.33,127.775,124.33,126.92,92096
2022-08-12,127.455,129.57,127.29,129.45,96335
2022-08-15,128.22,129.4,127.48,127.74,68785
2022-08-16,127.53,130.31,127.53,129.72,116958
2022-08-17,129.04,132.65,129.04,132.04,75709
2022-08-18,132.29,133.12,131.82,133.09,73322
2022-08-19,132.69,132.99,130.12,130.23,63781
2022-08-22,128.6,128.615,125.3,125.55,85569
2022-08-23,125.27,126.24,125.27,125.6,52276
2022-08-24,125.27,127.34,125.25,126.895,45309
2022-08-25,127.215,127.99,126.23,127.96,40362
2022-08-26,128.15,128.31,125.05,125.06,63905
2022-08-29,124.195,125.04,123.04,124.12,78279
2022-08-30,123.565,123.805,121.845,122.41,130486
2022-08-31,122.39,122.87,120.45,120.53,60365
2022-09-01,120.86,121.58,119.89,121.41,85978
2022-09-02,122.3,124.435,120.96,121.46,89080
2022-09-06,122.245,123.065,121.17,121.5,47089
2022-09-07,121.51,125.17,121.46,125.14,70094
2022-09-08,124.26,127.01,124.06,126.91,71161
2022-09-09,127.02,127.69,126.44,126.44,85435
2022-09-12,126.65,127.99,126.1,127.14,47119
2022-09-13,125.78,125.83,122.2,122.53,41598
2022-09-14,122.635,124.12,121.89,124.12,92896
2022-09-15,124.2,129.75,124.2,129.01,133906
2022-09-16,128.37,130.105,127.745,129.41,113385
2022-09-19,128.37,132.17,128.26,132.1,73802
2022-09-20,131.8,131.8,128.695,130.08,78265
2022-09-21,130.68,131.81,127.85,127.85,89410
2022-09-22,128.33,128.91,125.82,127.985,74986
2022-09-23,126.82,127.77,125.79,127.66,103859
2022-09-26,127.19,127.515,123.875,123.95,59145
2022-09-27,124.49,124.49,121.82,123.66,74754
2022-09-28,124.37,127.13,123.78,126.35,36564
2022-09-29,125.535,126.59,123.7,126.225,77447
2022-09-30,126.75,126.925,124.255,124.57,81691
2022-10-03,126.2,128.28,124.53,128.27,77219
2022-10-04,129.42,132.89,129.26,132.8,76330
2022-10-05,130.975,133.96,130.85,132.91,101274
2022-10-06,132.72,132.75,130.29,130.565,102168
2022-10-07,130.15,130.705,128.24,130.64,130947
2022-10-10,131.14,131.96,130.16,131.59,46914
2022-10-11,131.73,135.145,131.17,132.9,107099
2022-10-12,133.775,135.03,131.0,131.15,148524
2022-10-13,127.665,135.42,122.96,134.97,270755
2022-10-14,136.41,136.79,132.27,132.45,124051
2022-10-17,134.27,136.31,133.22,133.44,51095
2022-10-18,136.055,137.45,135.28,137.45,122328
2022-10-19,138.69,138.69,134.67,135.18,138919
2022-10-20,116.89,122.67,116.77,117.705,460503
2022-10-21,118.15,123.5,118.15,120.055,126315
2022-10-24,121.26,125.37,121.26,124.845,138080
2022-10-25,123.64,125.12,122.88,124.68,78445
