date,open,high,low,close,volume
2021-07-21,137.38,137.68,136.62,137.075,30765
2021-07-22,137.07,137.56,136.07,137.18,38786
2021-07-23,137.61,138.03,136.77,137.89,44095
2021-07-26,138.02,138.32,136.79,137.27,22122
2021-07-27,136.29,137.81,135.76,136.935,32079
2021-07-28,136.95,137.65,135.99,136.975,18702
2021-07-29,138.48,138.75,137.6,138.62,27591
2021-07-30,138.86,139.58,138.6,139.02,56955
2021-08-02,139.46,139.9,138.055,138.08,57889
2021-08-03,138.005,139.79,137.83,138.69,87607
2021-08-04,138.87,139.69,136.47,136.72,54569
2021-08-05,137.71,137.74,136.095,136.85,83118
2021-08-06,137.585,137.9,136.155,136.81,78675
2021-08-09,136.25,136.74,136.02,136.045,33005
2021-08-10,136.47,137.14,136.02,136.77,121000
2021-08-11,136.87,137.54,136.73,137.45,42462
2021-08-12,137.53,137.53,136.93,137.23,32509
2021-08-13,136.98,137.3,136.27,137.27,12493
2021-08-16,136.76,137.605,136.175,137.605,36863
2021-08-17,137.06,137.18,135.22,136.26,54251
2021-08-18,136.135,136.42,134.95,134.95,21068
2021-08-19,134.375,135.395,134.24,134.33,39758
2021-08-20,134.475,135.64,134.44,134.78,30157
2021-08-23,135.485,135.93,135.23,135.31,16406
2021-08-24,135.73,136.535,135.73,136.11,12866
2021-08-25,135.89,136.765,135.89,136.66,54819
2021-08-26,136.35,136.42,135.83,136.005,28007
2021-08-27,136.725,137.375,136.515,136.85,41442
2021-08-30,137.2,137.9,136.8,137.08,53466
2021-08-31,137.19,137.19,135.73,136.0,25221
2021-09-01,135.86,135.875,133.9,134.12,50627
2021-09-02,134.865,135.79,134.43,135.79,79610
2021-09-03,135.69,135.87,134.95,135.44,31983
2021-09-07,134.825,134.825,133.11,133.14,59710
2021-09-08,131.985,133.16,131.43,132.9,62466
2021-09-09,132.9,133.32,131.54,131.745,42286
2021-09-10,132.78,132.78,130.36,130.36,58209
2021-09-13,131.195,131.45,129.11,130.53,78944
2021-09-14,130.845,131.98,130.185,131.33,86614
2021-09-15,130.78,132.6,130.78,131.4,88934
2021-09-16,131.34,132.69,130.34,132.36,110749
2021-09-17,131.32,131.53,130.155,130.155,60620
2021-09-20,127.475,128.02,126.36,127.79,132045
