date,open,high,low,close,volume
2021-07-21,58.08,59.29,58.08,58.14,84441
2021-07-22,58.15,58.72,57.77,58.54,68815
2021-07-23,59.16,59.715,59.06,59.43,95934
2021-07-26,59.62,59.92,59.04,59.3,41198
2021-07-27,58.65,59.39,58.34,59.23,68719
2021-07-28,59.35,59.35,58.16,58.83,90645
2021-07-29,59.3,60.57,59.255,59.51,131081
2021-07-30,59.26,59.61,58.69,58.86,49038
2021-08-02,59.29,59.94,58.42,59.2,43700
2021-08-03,59.64,60.9,59.34,60.62,112949
2021-08-04,59.41,61.11,58.66,60.9,160132
2021-08-05,61.62,61.82,60.32,61.16,95836
2021-08-06,61.79,62.0,61.315,61.65,110281
2021-08-09,61.79,61.87,60.86,61.29,68179
2021-08-10,61.06,61.16,60.04,60.095,85608
2021-08-11,60.08,60.32,59.26,59.305,75359
2021-08-12,59.02,59.25,58.4,58.795,112072
2021-08-13,59.03,59.51,58.68,59.37,46833
2021-08-16,59.24,59.78,59.08,59.45,30861
2021-08-17,58.9,59.24,57.24,58.33,52222
2021-08-18,57.54,57.7,56.955,57.0,77364
2021-08-19,56.34,57.28,55.52,55.97,84640
2021-08-20,55.87,56.93,55.87,56.235,74497
2021-08-23,56.53,57.59,56.46,57.43,72524
2021-08-24,57.85,58.33,57.595,57.68,82251
2021-08-25,57.71,58.675,57.62,58.13,113858
2021-08-26,57.95,58.61,57.82,57.91,38863
2021-08-27,57.93,58.75,57.93,58.64,44866
2021-08-30,58.965,59.95,58.825,58.91,55502
2021-08-31,58.86,60.085,58.86,59.82,29645
2021-09-01,59.74,61.41,59.39,60.95,99612
2021-09-02,61.19,61.69,60.85,61.16,90494
2021-09-03,61.23,62.18,61.23,61.79,67675
2021-09-07,61.775,62.3,61.24,61.91,104699
2021-09-08,61.59,61.97,60.94,61.23,57288
2021-09-09,61.24,61.955,61.12,61.15,48929
2021-09-10,61.6,61.6,60.73,60.75,24813
2021-09-13,61.05,62.02,60.82,61.995,41801
2021-09-14,62.24,62.24,60.39,61.1,50313
2021-09-15,60.98,63.23,60.98,63.01,70633
2021-09-16,63.2,63.6,62.35,62.725,47638
2021-09-17,62.73,63.52,62.37,62.81,43915
2021-09-20,60.78,60.89,57.73,58.495,124724
2021-09-21,59.0,59.74,58.88,59.12,124710
2021-09-22,59.61,59.8,58.56,59.465,110004
2021-09-23,60.52,62.145,60.395,61.26,144282
2021-09-24,60.93,62.485,60.93,62.395,169164
2021-09-27,62.5,63.59,62.345,62.97,540962
2021-09-28,62.72,62.91,60.815,61.46,218521
2021-09-29,61.6,62.33,61.125,62.33,97532
2021-09-30,62.67,62.99,61.475,61.59,133264
2021-10-01,61.73,62.2,60.955,61.84,139402
2021-10-04,61.37,62.21,58.65,58.77,127980
2021-10-05,59.06,61.84,59.0,61.55,100120
2021-10-06,60.62,62.61,59.53,62.6,100777
2021-10-07,63.43,64.38,62.7,63.59,85028
2021-10-08,63.75,65.75,63.55,65.35,67894
2021-10-11,65.59,66.8,65.46,65.46,67420
2021-10-12,65.615,66.28,65.04,65.93,63448
2021-10-13,65.94,66.63,65.44,66.03,82381
2021-10-14,66.65,68.11,66.65,67.81,79793
2021-10-15,68.54,68.54,67.05,67.43,97244
2021-10-18,67.54,68.5,67.14,68.32,177329
2021-10-19,69.54,75.04,68.9,73.19,517366
2021-10-20,72.94,74.97,72.94,74.31,180464
2021-10-21,74.91,77.46,74.585,77.27,247826
2021-10-22,77.57,80.11,76.78,79.75,271978
2021-10-26,80.48,81.06,79.66,79.76,142953
2021-10-27,79.785,79.9,76.725,77.49,113094
2021-10-28,78.14,78.915,77.775,78.39,123584
2021-10-29,77.89,77.89,76.3,76.97,129095
2021-11-01,77.66,77.79,75.57,76.3,151818
2021-11-02,75.81,76.92,74.3,76.44,145574
2021-11-03,77.08,78.48,76.5,77.96,102192
2021-11-04,77.915,78.34,76.06,77.27,83638
2021-11-05,78.64,78.74,76.57,76.92,88727
2021-11-08,77.31,77.95,76.52,77.01,85527
2021-11-09,76.94,77.115,76.1,76.27,90040
2021-11-10,75.71,76.09,73.94,74.0,115968
2021-11-11,74.74,75.32,74.3,74.94,88366
2021-11-12,74.755,75.31,74.36,74.98,102190
2021-11-15,75.25,76.41,74.87,76.07,127006
2021-11-16,75.94,76.32,75.58,75.805,52807
2021-11-17,75.8,75.94,75.0,75.49,65913
2021-11-18,75.01,75.77,73.93,75.46,103911
2021-11-19,74.985,75.55,74.17,74.95,63673
2021-11-22,75.99,77.84,75.405,75.89,142231
2021-11-23,75.57,75.68,73.74,73.82,99503
2021-11-24,73.33,74.52,72.53,73.92,101938
2021-11-26,72.03,72.52,70.94,71.77,94307
2021-11-29,73.34,73.93,72.2,73.39,92506
2021-11-30,72.86,73.22,70.44,70.75,204580
2021-12-01,72.64,74.5,70.61,70.61,199159
2021-12-02,71.83,73.275,71.64,71.9,213612
2021-12-03,72.41,72.65,68.64,70.11,139645
2021-12-06,70.83,71.52,69.705,70.14,549246
2021-12-07,71.575,72.62,70.34,70.96,443229
2021-12-08,70.735,72.11,70.7,71.1,207533
2021-12-09,71.18,72.51,70.5,70.5,203798
2021-12-10,71.57,72.1,69.71,69.95,197327
2021-12-13,69.44,70.18,69.06,69.61,81083
2021-12-14,68.985,70.64,68.25,68.555,87294
2021-12-15,68.72,70.43,67.7,70.12,113005
2021-12-16,71.2,71.41,68.54,69.82,216818
2021-12-17,69.44,71.19,68.74,70.32,211378
2021-12-20,68.76,69.4,67.78,68.58,75041
2021-12-21,69.69,72.57,69.41,71.93,172545
2021-12-22,71.99,72.47,71.25,72.27,145947
2021-12-23,72.84,74.68,72.84,74.25,47719
2021-12-27,74.62,74.76,73.83,73.99,77954
2021-12-28,74.25,75.37,73.39,73.44,71424
2021-12-29,73.03,73.49,72.38,72.85,51820
2021-12-30,73.32,73.84,73.0,73.04,71332
2021-12-31,72.95,73.41,71.64,72.47,153928
2022-01-03,72.75,73.19,71.36,71.52,145013
2022-01-04,72.145,73.96,71.66,73.57,409360
2022-01-05,74.17,74.38,69.06,69.605,333673
2022-01-06,69.82,69.94,67.745,69.58,508697
2022-01-07,69.69,69.985,67.97,69.0,299487
2022-01-10,68.1,68.39,66.27,68.36,345442
2022-01-11,67.84,70.6,67.81,70.58,112274
2022-01-12,70.86,71.9,69.255,70.74,198709
