date,open,high,low,close,volume
2021-07-21,99.72,100.14,98.19,98.19,28956
2021-07-22,97.875,98.615,97.525,97.61,19867
2021-07-23,97.93,99.495,97.93,99.465,17303
2021-07-26,99.59,99.705,99.09,99.49,11601
2021-07-27,99.635,101.395,99.34,101.11,27017
2021-07-28,101.1,101.18,99.48,100.33,14683
2021-07-29,100.34,100.39,99.26,100.19,11350
2021-07-30,100.85,100.85,98.23,98.56,38536
2021-08-02,98.98,99.975,98.85,99.5,21184
2021-08-03,99.5,100.16,99.26,99.69,29971
2021-08-04,98.85,99.46,98.1,99.31,24569
2021-08-05,99.56,101.25,99.56,101.25,25060
2021-08-06,101.17,101.85,100.81,100.98,17636
2021-08-09,100.985,101.185,100.17,101.105,33319
2021-08-10,101.01,101.43,100.57,100.9,19748
2021-08-11,101.135,101.4,100.75,101.07,12121
2021-08-12,101.0,101.115,100.22,100.33,17812
2021-08-13,100.76,101.725,100.19,101.445,23378
2021-08-16,101.37,102.28,100.77,101.05,22083
2021-08-17,100.8,101.35,100.27,100.82,40236
2021-08-18,101.33,101.33,98.585,98.925,39587
2021-08-19,99.13,99.68,98.47,98.69,28113
2021-08-20,97.655,99.02,97.635,98.74,36689
2021-08-23,99.11,99.11,97.67,97.81,14052
2021-08-24,98.08,98.52,97.045,98.14,43154
2021-08-25,98.0,98.06,97.23,97.47,23943
2021-08-26,97.28,97.28,96.55,96.64,14130
2021-08-27,96.92,97.525,96.9,97.37,12203
2021-08-30,97.3,97.77,97.275,97.49,23620
2021-08-31,97.0,97.66,97.0,97.51,27712
2021-09-01,97.64,98.57,97.59,98.17,46997
2021-09-02,98.31,98.54,97.61,98.29,40686
2021-09-03,98.01,98.015,97.48,97.48,21969
2021-09-07,97.275,97.275,95.86,96.11,23466
2021-09-08,95.84,98.15,95.84,97.65,36316
2021-09-09,97.12,97.2,96.19,96.19,72761
2021-09-10,95.74,95.74,93.04,93.04,24583
2021-09-13,93.805,93.845,91.96,92.21,30551
2021-09-14,92.51,92.685,90.97,91.3,63973
2021-09-15,91.21,91.57,89.32,89.58,34322
2021-09-16,90.155,90.36,89.21,89.73,18554
2021-09-17,89.54,89.98,89.09,89.09,26656
2021-09-20,88.92,89.75,88.27,89.08,42970
2021-09-21,89.59,90.24,88.79,88.81,32424
2021-09-22,89.13,89.57,88.63,88.74,22273
2021-09-23,89.39,89.39,88.04,88.15,16855
2021-09-24,89.1,89.27,88.22,88.24,15467
2021-09-27,88.48,89.62,87.52,87.59,31404
2021-09-28,88.16,88.16,85.84,86.645,34142
2021-09-29,86.93,88.93,86.77,88.9,107759
2021-09-30,88.93,89.08,87.99,88.18,77179
2021-10-01,88.455,89.23,87.92,88.74,30845
2021-10-04,89.995,91.115,89.59,90.52,48113
2021-10-05,90.245,90.76,89.8,90.01,33053
2021-10-06,89.5,90.165,88.47,90.155,62436
2021-10-07,89.17,90.38,89.17,89.8,62369
2021-10-08,89.84,90.165,89.66,89.96,22383
2021-10-11,90.015,90.27,89.1,89.11,10365
2021-10-12,89.22,89.52,88.67,88.99,7005
2021-10-13,88.67,92.63,88.22,92.2,62563
2021-10-14,92.6,93.98,92.465,93.97,28917
2021-10-15,94.35,94.65,93.0,93.0,18753
2021-10-18,92.18,92.76,90.73,91.11,35263
2021-10-19,91.355,92.88,91.22,92.88,18651
2021-10-20,93.2,94.81,93.11,94.49,25871
2021-10-21,94.82,94.82,93.17,93.46,16588
2021-10-22,93.82,94.2,93.72,94.02,14673
2021-10-26,94.17,94.63,93.435,94.03,21568
2021-10-27,94.05,94.05,91.72,91.76,31800
2021-10-28,91.8,92.96,91.8,92.91,10723
2021-10-29,92.77,93.47,91.76,92.11,15805
2021-11-01,92.16,93.17,91.71,93.04,11512
2021-11-02,93.58,93.77,92.3,93.73,17690
2021-11-03,93.75,94.495,92.81,93.39,19644
2021-11-04,93.35,93.99,92.74,93.63,31233
2021-11-05,94.575,95.065,93.86,93.95,9676
2021-11-08,93.375,93.375,92.105,92.955,21014
2021-11-09,93.13,93.6,92.95,93.14,25204
2021-11-10,93.915,94.65,93.31,94.19,42104
2021-11-11,95.75,95.92,94.165,94.75,57280
2021-11-12,95.15,95.76,94.72,95.5,28321
2021-11-15,95.53,96.26,95.14,96.23,39445
2021-11-16,95.86,95.86,94.46,94.56,38376
2021-11-17,94.27,94.27,93.06,93.85,40374
2021-11-18,93.19,93.19,92.075,92.62,30117
2021-11-19,92.835,95.39,92.69,94.91,156799
2021-11-22,94.7,95.755,94.21,95.63,38523
2021-11-23,95.7,95.9,94.81,95.32,21933
2021-11-24,95.46,95.77,94.6,94.99,20351
2021-11-26,93.72,93.93,92.9,93.43,19460
2021-11-29,93.82,94.205,92.91,93.79,39622
2021-11-30,92.655,92.805,90.24,90.29,40036
2021-12-01,91.06,92.315,89.47,89.47,53817
2021-12-02,89.71,91.44,89.02,90.66,42340
2021-12-03,91.12,93.27,90.7,92.72,74667
2021-12-06,93.99,95.14,93.99,94.59,128594
2021-12-07,93.8,95.44,93.8,94.91,190042
2021-12-08,94.745,94.94,93.43,94.37,132356
2021-12-09,94.47,95.51,93.75,95.06,131568
2021-12-10,95.57,96.11,95.01,95.785,101897
2021-12-13,96.68,98.25,96.64,97.41,97310
2021-12-14,97.49,98.3,96.925,97.08,50446
2021-12-15,98.32,98.715,97.145,98.54,44801
2021-12-16,98.16,100.56,98.16,100.33,56750
2021-12-17,100.105,100.105,98.75,98.84,29800
2021-12-20,98.07,99.36,97.45,99.34,23862
2021-12-21,99.785,100.26,98.71,99.45,52263
2021-12-22,99.3,102.17,99.085,102.1,40259
2021-12-23,101.94,103.5,101.92,102.75,30781
2021-12-27,102.93,104.22,102.83,104.05,43341
2021-12-28,104.125,104.66,103.24,103.44,20169
2021-12-29,103.54,104.98,103.19,104.83,41905
2021-12-30,105.225,105.225,104.39,104.5,26106
2021-12-31,104.305,105.07,103.595,104.78,20694
2022-01-03,104.7,104.99,103.57,104.97,32881
2022-01-04,104.86,107.28,104.86,106.28,40667
2022-01-05,106.84,107.62,106.33,106.59,51534
2022-01-06,106.98,107.14,105.63,105.835,44122
2022-01-07,105.51,105.845,104.94,105.31,80935
2022-01-10,105.405,105.78,104.69,105.17,48155
