date,open,high,low,close,volume
2021-07-21,202.34,204.015,201.73,203.05,46306
2021-07-22,202.2,202.435,200.42,200.51,18749
2021-07-23,201.09,202.66,199.88,202.3,32309
2021-07-26,202.495,205.88,202.495,205.33,35028
2021-07-27,202.65,207.15,202.65,205.16,30942
2021-07-28,206.42,214.53,206.42,210.2,66724
2021-07-29,210.595,210.595,208.0,209.62,69554
2021-07-30,210.7,211.07,209.49,210.59,15139
2021-08-02,212.99,214.3,209.98,210.22,21943
2021-08-03,211.335,214.21,209.47,213.905,16908
2021-08-04,213.335,214.08,211.77,212.48,18281
2021-08-05,214.62,214.73,211.08,211.88,13821
2021-08-06,213.85,214.13,211.835,213.28,12275
2021-08-09,213.16,214.94,211.87,214.79,30087
2021-08-10,215.33,218.44,215.33,216.995,17569
2021-08-11,217.145,218.34,216.37,217.55,9643
2021-08-12,216.9,216.94,215.76,216.02,11049
2021-08-13,216.97,218.0,215.42,215.44,26334
2021-08-16,215.205,219.8,214.865,219.8,20160
2021-08-17,219.38,219.38,215.7,216.62,17150
2021-08-18,217.4,218.075,215.78,215.78,16434
2021-08-19,215.375,217.055,214.82,215.375,18199
2021-08-20,215.96,218.93,215.96,218.54,22332
2021-08-23,218.71,220.005,217.77,217.77,7224
2021-08-24,218.62,220.125,218.43,219.26,19087
2021-08-25,218.415,224.435,217.94,224.175,20967
2021-08-26,224.03,225.895,223.52,224.95,13440
2021-08-27,227.74,228.06,225.33,226.27,9029
2021-08-30,226.69,228.83,226.225,226.64,11190
2021-08-31,226.93,226.93,224.05,225.45,16538
2021-09-01,226.155,226.81,222.7,225.83,23999
2021-09-02,226.95,227.21,225.04,227.21,15650
2021-09-03,227.22,227.22,225.79,225.79,11660
2021-09-07,224.18,224.86,222.05,223.95,21224
2021-09-08,222.37,225.6,222.37,224.91,12272
2021-09-09,225.94,226.895,224.78,224.91,17824
2021-09-10,226.65,227.49,224.525,224.525,12877
2021-09-13,224.8,224.8,221.885,223.5,12469
2021-09-14,222.57,223.23,220.79,221.37,12666
2021-09-15,222.01,224.5,221.585,222.57,20059
2021-09-16,222.16,222.42,221.02,221.45,10112
2021-09-17,221.325,221.325,214.36,214.94,28273
2021-09-20,212.0,213.105,209.19,212.47,15387
2021-09-21,212.58,212.67,209.94,210.54,14183
2021-09-22,210.57,214.865,210.57,213.49,24309
2021-09-23,216.36,220.73,216.36,218.65,24651
2021-09-24,217.36,219.115,216.805,216.89,11192
2021-09-27,215.76,217.905,214.55,217.14,49702
2021-09-28,215.26,215.26,212.57,212.57,13313
2021-09-29,212.33,214.94,211.63,212.85,17128
2021-09-30,214.65,214.65,207.27,207.27,18856
2021-10-01,206.51,210.36,203.24,209.53,21118
2021-10-04,210.875,211.81,206.7,208.1,11645
2021-10-05,208.635,211.98,207.975,210.99,21077
2021-10-06,210.33,210.63,206.02,210.26,44648
2021-10-07,211.86,215.3,211.86,213.38,7933
2021-10-08,211.98,212.11,206.69,206.73,33412
2021-10-11,207.65,208.845,205.5,206.03,17988
2021-10-12,206.13,207.68,205.25,205.665,22420
2021-10-13,206.945,206.945,202.485,205.23,24870
2021-10-14,206.955,208.57,206.955,207.56,51047
2021-10-15,207.68,210.455,207.68,209.85,14130
2021-10-18,208.17,209.815,207.435,209.56,28388
2021-10-19,210.705,212.21,209.59,211.215,12578
2021-10-20,210.89,215.56,210.88,214.61,20877
2021-10-21,213.98,216.4,213.4,216.4,10179
2021-10-22,217.99,219.99,217.49,217.52,33689
2021-10-26,216.305,216.305,211.6,211.73,54365
2021-10-27,208.71,214.89,205.895,208.22,64447
2021-10-28,209.65,215.72,209.62,215.395,46773
2021-10-29,216.5,218.84,216.135,217.74,44534
2021-11-01,218.61,222.645,216.01,219.395,34056
2021-11-02,220.28,221.12,216.14,216.28,15906
2021-11-03,218.8,220.05,217.14,217.14,25767
2021-11-04,217.79,219.57,217.79,218.26,12133
2021-11-05,220.78,226.69,220.09,226.42,54451
2021-11-08,228.105,228.68,226.03,226.505,13280
2021-11-09,224.45,227.2,224.315,227.01,30771
2021-11-10,226.31,227.87,222.475,222.64,19295
2021-11-11,222.32,223.31,221.53,221.94,7412
2021-11-12,221.92,225.38,221.92,225.38,8162
2021-11-15,225.18,225.54,223.685,224.4,22313
2021-11-16,224.705,228.03,224.705,225.145,17782
2021-11-17,224.07,224.07,221.28,222.93,12484
2021-11-18,223.18,223.18,218.85,219.53,15467
2021-11-19,218.885,220.91,218.38,218.59,25653
2021-11-22,218.93,221.3,217.64,219.01,37567
2021-11-23,219.94,221.5,219.46,221.37,15590
2021-11-24,221.535,221.565,218.315,218.77,11973
2021-11-26,212.89,214.71,211.38,214.145,36968
2021-11-29,217.12,218.24,215.0,215.85,28214
2021-11-30,212.53,214.63,204.285,205.335,43804
2021-12-01,208.33,209.76,202.855,203.06,26025
2021-12-02,204.25,210.12,204.25,209.38,25036
2021-12-03,210.65,211.225,203.97,205.61,25108
2021-12-06,209.25,212.78,208.33,210.98,16851
2021-12-07,215.12,216.75,214.1,215.215,17565
2021-12-08,216.13,216.19,213.0,215.53,18238
2021-12-09,213.49,214.145,210.695,211.67,42928
2021-12-10,212.36,212.67,210.14,212.56,14705
2021-12-13,212.965,212.965,209.98,210.35,19381
2021-12-14,209.64,212.445,207.995,208.07,26299
2021-12-15,209.47,210.91,206.975,210.84,26044
2021-12-16,211.87,213.37,206.83,211.03,23357
2021-12-17,210.71,210.71,205.91,206.85,30526
2021-12-20,203.915,203.915,195.98,202.39,28532
2021-12-21,206.035,208.41,205.6,208.41,14555
2021-12-22,208.48,208.78,206.91,207.14,25164
2021-12-23,209.59,210.28,208.41,208.535,17119
2021-12-27,210.585,212.36,209.0,212.36,10259
2021-12-28,212.625,215.78,212.625,214.69,8096
2021-12-29,215.12,218.19,215.12,217.16,11849
2021-12-30,217.69,219.18,215.0,215.32,12895
2021-12-31,215.51,217.335,214.65,216.56,8758
2022-01-03,216.14,217.205,210.38,210.725,31283
