date,open,high,low,close,volume
2021-07-21,247.73,247.73,244.16,246.34,53978
2021-07-22,247.63,249.58,246.05,249.4,57901
2021-07-23,250.37,251.58,249.76,251.05,66750
2021-07-26,250.495,251.0,248.66,249.47,14078
2021-07-27,250.285,256.36,250.285,254.7,58780
2021-07-28,254.35,254.97,253.25,253.62,16387
2021-07-29,254.52,255.875,253.38,255.34,43507
2021-07-30,254.845,256.77,254.03,255.81,36219
2021-08-02,256.89,257.85,254.76,256.025,36522
2021-08-03,256.66,257.62,255.19,255.8,17962
2021-08-04,255.32,256.45,253.575,254.63,70156
2021-08-05,241.4,245.035,240.0,243.1,165344
2021-08-06,242.24,242.7,239.94,241.14,97988
2021-08-09,240.72,242.245,237.64,238.5,63708
2021-08-10,237.92,240.0,237.61,238.47,102568
2021-08-11,239.87,242.15,239.79,240.65,43336
2021-08-12,241.66,247.24,241.66,246.12,119052
2021-08-13,247.0,247.35,245.67,246.73,39139
2021-08-16,247.72,249.84,246.91,249.68,45283
2021-08-17,250.08,254.03,249.885,253.56,74399
2021-08-18,253.87,254.23,248.41,248.41,63848
2021-08-19,248.475,250.16,247.22,247.96,48961
2021-08-20,247.55,249.7,247.02,249.32,57250
2021-08-23,249.31,250.9,249.215,249.925,63449
2021-08-24,249.585,249.79,247.67,247.84,48326
2021-08-25,246.385,247.84,244.775,247.05,55838
2021-08-26,246.555,248.2,246.385,247.51,48506
2021-08-27,247.75,250.0,247.69,248.49,55186
2021-08-30,249.4,252.0,249.38,250.57,41478
2021-08-31,250.395,252.21,249.8,251.72,57012
2021-09-01,251.545,252.83,249.64,252.55,41748
2021-09-02,253.55,255.36,252.72,255.175,54087
2021-09-03,255.91,258.79,255.91,257.93,51255
2021-09-07,257.63,258.71,255.325,257.905,112995
2021-09-08,258.02,263.97,258.02,262.96,85197
2021-09-09,261.175,263.13,259.99,260.08,63778
2021-09-10,260.15,260.77,256.96,258.35,45621
2021-09-13,259.31,260.55,258.52,258.66,64032
2021-09-14,258.88,261.2,258.56,260.5,62635
2021-09-15,260.92,263.73,259.74,261.8,112742
2021-09-16,262.675,262.83,260.13,262.69,131171
2021-09-17,262.075,262.92,260.6,262.03,67491
2021-09-20,260.21,261.91,257.7,259.335,73146
2021-09-21,260.065,262.09,259.08,259.08,54652
2021-09-22,259.59,260.265,256.06,256.88,54382
2021-09-23,257.72,257.92,253.475,253.635,64607
2021-09-24,252.95,254.535,252.49,253.25,49296
2021-09-27,251.905,252.295,249.56,251.35,44717
2021-09-28,250.455,250.63,247.97,249.79,73300
2021-09-29,251.93,252.33,250.38,251.96,43729
2021-09-30,252.25,252.775,245.99,246.01,79443
2021-10-01,246.295,246.295,240.98,244.67,79496
2021-10-04,243.91,247.075,240.13,240.49,198124
2021-10-05,240.89,245.09,240.865,243.1,95858
2021-10-06,241.86,245.245,241.595,245.21,50633
2021-10-07,246.07,248.08,241.15,241.56,66791
2021-10-08,242.54,242.56,238.54,238.6,83359
2021-10-11,238.215,238.29,235.72,235.81,40886
2021-10-12,235.82,238.51,235.2,238.37,41012
2021-10-13,238.92,241.56,238.05,239.82,62387
2021-10-14,241.38,243.395,240.955,242.71,43180
2021-10-15,243.005,243.89,240.22,241.1,73934
2021-10-18,240.205,240.79,238.265,238.475,31700
2021-10-19,239.16,242.87,239.16,242.77,45354
2021-10-20,243.31,247.96,243.31,246.91,46991
2021-10-21,248.21,248.21,245.65,246.57,22375
2021-10-22,246.96,247.31,245.68,247.03,67368
2021-10-26,246.8,247.1,245.92,246.29,36101
2021-10-27,247.325,247.325,244.97,245.0,50201
2021-10-28,245.375,246.565,238.175,238.69,66097
2021-10-29,238.47,240.3,237.16,239.48,74184
2021-11-01,239.6,243.49,239.3,243.07,44919
2021-11-02,243.075,243.14,241.28,243.01,146796
2021-11-03,244.87,247.29,243.34,246.905,72558
2021-11-04,248.74,252.22,242.49,244.02,115995
2021-11-05,240.77,245.185,240.03,243.675,78605
2021-11-08,243.58,245.5,241.825,245.33,50230
2021-11-09,244.05,245.41,243.07,243.65,73938
2021-11-10,245.365,246.61,244.875,245.9,50398
2021-11-11,246.455,246.455,241.92,245.02,56120
2021-11-12,245.525,245.525,242.86,243.935,66757
2021-11-15,243.47,245.0,242.925,243.76,50909
2021-11-16,243.75,245.75,243.75,244.12,54206
2021-11-17,244.87,250.095,244.18,250.025,108388
2021-11-18,250.71,250.71,247.44,249.28,69956
2021-11-19,250.73,252.15,248.665,248.665,109526
2021-11-22,246.735,247.29,244.3,245.385,206372
2021-11-23,244.89,247.11,244.08,246.51,198188
2021-11-24,247.18,247.22,244.48,244.58,55776
2021-11-26,245.68,248.27,244.63,245.41,63792
2021-11-29,244.85,246.805,243.25,243.8,74113
2021-11-30,244.93,244.93,236.05,237.12,210408
2021-12-01,238.165,243.4,236.94,241.8,265685
2021-12-02,245.0,245.67,240.98,241.975,125253
2021-12-03,242.77,244.16,240.625,244.09,91973
2021-12-06,245.39,249.21,244.835,246.23,74912
2021-12-07,247.61,252.6,247.08,250.37,123393
2021-12-08,240.09,247.73,240.09,246.38,87048
2021-12-09,245.48,247.14,244.715,245.17,57904
2021-12-10,245.35,246.68,243.95,245.055,37448
2021-12-13,245.405,253.91,245.405,252.86,145463
2021-12-14,250.75,251.34,247.775,247.95,37277
2021-12-15,249.225,250.72,247.29,249.35,56031
2021-12-16,249.185,257.46,249.185,257.25,117218
2021-12-17,256.74,259.36,255.39,256.91,123078
2021-12-20,255.625,255.78,251.95,252.27,153703
2021-12-21,254.86,255.44,250.2,251.745,59631
2021-12-22,251.945,252.28,246.09,247.83,71783
2021-12-23,247.44,249.52,246.2,248.91,62662
2021-12-27,249.8,251.37,248.33,251.24,30248
2021-12-28,251.05,251.05,248.8,250.24,21265
2021-12-29,250.43,253.42,250.43,252.78,62749
2021-12-30,253.33,255.01,252.59,253.25,53296
2021-12-31,253.85,254.73,251.42,251.45,21377
2022-01-03,249.26,253.33,247.585,253.235,40610
2022-01-04,253.055,253.055,249.23,251.895,62162
2022-01-05,252.0,255.31,251.54,253.085,64557
2022-01-06,252.4,253.03,249.68,249.68,35923
2022-01-07,250.14,255.92,250.04,254.12,124427
2022-01-10,253.88,259.78,252.64,259.49,72108
2022-01-11,259.14,262.075,257.115,261.79,112674
2022-01-12,260.68,264.495,260.68,261.815,105877
2022-01-13,260.41,263.78,259.445,263.78,122888
2022-01-14,260.975,263.69,260.79,262.61,102708
2022-01-18,262.14,262.22,258.13,260.42,75262
2022-01-19,261.92,264.82,260.14,263.81,89069
2022-01-20,264.275,268.515,263.925,263.925,143026
2022-01-21,265.61,266.315,262.885,264.725,141533
2022-01-24,263.295,263.63,259.345,260.03,21792
2022-01-25,258.18,259.94,253.57,258.16,84475
2022-01-26,256.58,259.83,253.2,253.58,70002
2022-01-27,255.725,258.895,250.8,251.04,118382
2022-01-28,251.955,255.745,249.27,255.745,110518
2022-01-31,253.96,255.08,252.09,254.02,83572
2022-02-01,254.29,255.355,251.01,253.34,65040
2022-02-02,253.1,256.86,252.225,256.29,88446
2022-02-03,260.105,272.28,260.105,270.66,278864
2022-02-04,266.755,271.38,265.705,268.855,137314
2022-02-07,269.18,272.14,267.53,269.1,107139
2022-02-08,269.18,276.91,269.18,276.57,130588
2022-02-09,276.55,280.535,276.185,277.19,160909
2022-02-10,273.72,274.6,270.52,272.18,117133
2022-02-11,271.365,274.65,268.865,270.035,79461
2022-02-14,269.05,270.49,266.73,268.91,70870
2022-02-15,271.27,272.815,270.125,271.125,96388
2022-02-16,270.805,271.725,267.36,271.035,97798
2022-02-17,268.43,268.445,264.84,266.09,117873
2022-02-18,267.57,267.69,262.99,264.18,71849
2022-02-22,265.13,266.15,263.06,264.24,162911
2022-02-23,264.08,269.7,264.08,268.74,166974
2022-02-24,265.49,267.87,264.055,266.51,105683
2022-02-25,266.54,273.22,266.54,272.7,79703
2022-02-28,268.58,271.55,268.345,271.26,41274
2022-03-01,270.33,272.455,269.35,271.4,50434
2022-03-02,270.74,274.32,269.96,272.44,66589
2022-03-03,273.27,274.56,271.37,272.79,47628
2022-03-04,271.345,275.66,269.17,275.27,57152
2022-03-07,273.84,276.49,270.01,276.09,110712
2022-03-09,266.4,268.295,263.72,264.825,81065
2022-03-10,262.31,262.31,256.91,257.71,116586
2022-03-11,257.47,258.44,254.3,254.52,72928
2022-03-14,255.875,262.08,254.85,256.72,82294
2022-03-15,257.55,259.17,255.86,258.51,50299
2022-03-16,260.35,261.32,257.38,260.74,63408
2022-03-17,259.42,263.45,257.995,262.28,54076
2022-03-18,260.69,262.8,257.83,262.28,108773
2022-03-21,261.285,267.995,261.285,267.66,75758
2022-03-22,267.6,268.71,263.7,264.86,54399
2022-03-23,266.45,266.45,261.17,262.06,49917
2022-03-24,262.42,263.87,262.21,263.03,28748
2022-03-25,263.89,265.69,262.99,265.55,42587
2022-03-28,266.095,268.045,263.76,268.045,32239
2022-03-29,269.96,271.73,268.34,269.785,101595
2022-03-30,269.65,272.18,267.91,269.58,46805
2022-03-31,268.805,270.02,265.76,266.17,48061
2022-04-01,260.15,263.53,258.27,262.43,68846
2022-04-04,261.145,261.145,257.27,258.32,46106
2022-04-05,258.245,266.53,258.245,262.87,43572
2022-04-06,261.945,270.89,261.445,270.74,118713
2022-04-07,269.665,274.36,269.27,273.58,67490
2022-04-08,274.25,277.25,274.25,275.42,101441
2022-04-11,275.43,275.75,268.825,270.01,71615
2022-04-12,268.4,271.37,267.02,269.24,44569
2022-04-13,270.2,271.31,267.755,270.83,44901
2022-04-14,271.89,273.99,270.57,271.82,54448
2022-04-18,271.46,271.935,258.975,260.1,80062
2022-04-19,259.46,263.66,259.46,263.49,58070
2022-04-20,264.91,269.205,264.02,267.65,87694
2022-04-21,269.255,271.37,264.53,264.62,137848
2022-04-22,262.095,262.095,254.945,255.05,74348
2022-04-25,254.01,259.17,252.695,258.48,59532
2022-04-26,257.26,259.82,254.21,254.995,95811
2022-04-27,256.295,256.53,252.325,252.91,73690
