date,open,high,low,close,volume
2021-07-21,85.94,87.87,85.94,87.76,417450
2021-07-22,87.2,88.19,86.8,87.68,424975
2021-07-23,87.67,88.53,87.45,88.13,541675
2021-07-26,88.14,89.29,87.99,89.11,633125
2021-07-27,89.31,89.95,88.57,89.88,586750
2021-07-28,90.11,90.23,88.69,89.21,503250
2021-07-29,89.78,89.8,88.61,88.63,573275
2021-07-30,87.8,87.8,86.87,87.2,526950
2021-08-02,87.78,89.06,86.52,86.78,535225
2021-08-03,86.96,86.96,84.71,85.52,920175
2021-08-04,85.25,85.47,83.25,83.44,982300
2021-08-05,85.68,89.07,85.68,88.23,1098800
2021-08-06,88.02,88.99,86.31,87.31,1461975
2021-08-09,86.6,86.76,85.35,86.38,599125
2021-08-10,86.7,88.09,86.47,88.09,795975
2021-08-11,87.54,88.26,86.81,88.09,501175
2021-08-12,86.7,87.85,86.29,87.72,431650
2021-08-13,87.39,88.25,86.92,88.14,657125
2021-08-16,87.61,87.61,83.84,85.25,824900
2021-08-17,84.11,84.79,83.9,84.54,521525
2021-08-18,83.89,84.74,83.31,83.35,535875
2021-08-19,83.22,83.63,82.47,83.09,770850
2021-08-20,82.85,83.21,82.4,82.95,1060175
2021-08-23,83.32,85.8,83.32,85.41,1540525
2021-08-24,86.39,89.88,86.0,89.29,842300
2021-08-25,89.14,91.04,88.41,90.59,686575
2021-08-26,90.32,91.63,90.23,91.09,803900
2021-08-27,91.37,92.69,91.37,92.23,696450
2021-08-30,91.73,92.23,91.01,91.01,636600
2021-08-31,91.58,92.62,91.49,92.02,543125
2021-09-01,92.55,93.04,91.4,91.4,761000
2021-09-02,91.65,93.02,91.65,92.02,565850
2021-09-03,91.87,92.47,91.1,92.07,378200
2021-09-07,92.24,93.64,92.24,93.51,543325
2021-09-08,93.59,94.24,91.98,92.75,710700
2021-09-09,93.13,93.79,92.65,92.76,682600
2021-09-10,93.55,93.67,92.15,92.2,519575
2021-09-13,92.47,93.05,91.18,92.87,626900
2021-09-14,92.99,93.74,92.57,93.05,381450
2021-09-15,92.69,95.11,92.61,95.02,735700
2021-09-16,95.12,95.12,93.53,93.88,777300
2021-09-17,94.02,94.48,92.91,93.08,606500
2021-09-20,91.97,93.82,91.77,93.62,860600
2021-09-21,94.18,94.32,92.93,93.09,767050
2021-09-22,94.27,97.01,94.27,96.23,1046650
2021-09-23,97.03,99.48,97.03,99.06,1379800
2021-09-24,99.3,100.02,99.16,99.66,779175
2021-09-27,99.88,101.45,98.64,99.06,1026150
2021-09-28,98.84,98.84,97.09,97.48,888250
2021-09-29,96.97,97.76,95.04,95.11,752625
2021-09-30,94.88,96.18,94.29,95.01,731525
2021-10-01,97.71,99.07,96.79,98.17,627500
2021-10-04,98.44,99.44,96.87,98.45,576200
2021-10-05,98.37,99.37,97.13,97.26,465325
2021-10-06,95.99,98.09,95.44,97.95,550425
2021-10-07,99.04,99.74,98.77,98.79,373125
2021-10-08,99.12,99.48,98.83,98.96,245850
2021-10-11,99.48,100.22,98.6,98.77,427700
2021-10-12,99.48,99.54,98.34,98.63,725475
2021-10-13,98.71,99.15,97.73,98.42,522925
2021-10-14,99.52,100.63,99.37,99.77,518750
2021-10-15,100.8,101.53,100.63,101.53,484425
2021-10-18,101.1,101.42,99.85,100.0,413625
2021-10-19,100.13,100.13,98.27,98.36,812900
2021-10-20,98.14,98.16,95.18,95.4,1144650
2021-10-21,95.71,96.78,95.71,96.35,710400
2021-10-22,97.06,97.24,95.62,95.79,430675
2021-10-25,95.95,96.77,94.87,96.5,329525
2021-10-26,97.2,98.57,97.18,97.66,484025
2021-10-27,97.36,98.25,96.87,97.19,652550
2021-10-28,96.01,97.21,95.87,97.18,512850
2021-10-29,96.56,96.9,95.8,96.9,446475
2021-11-01,97.37,99.51,97.37,99.47,777200
2021-11-02,99.09,99.67,96.83,98.17,758650
2021-11-03,97.39,98.69,96.44,97.34,863550
2021-11-04,101.3,101.3,97.29,97.43,1423400
2021-11-05,101.03,105.16,100.8,104.81,1879675
2021-11-08,106.0,107.44,104.06,105.65,1078975
2021-11-09,106.98,106.98,104.96,105.96,791175
2021-11-10,106.26,106.26,102.4,102.78,948525
2021-11-11,102.86,102.86,99.05,99.09,864450
2021-11-12,99.57,99.65,97.74,97.94,692700
2021-11-15,98.23,98.23,96.08,96.2,518275
2021-11-16,96.02,96.28,94.89,95.27,531525
2021-11-17,95.05,95.98,94.44,94.64,803575
2021-11-18,95.01,95.26,93.44,95.14,901825
