date,open,high,low,close,volume
2021-07-21,20.595,20.7,19.25,20.23,623394
2021-07-22,20.2,20.31,19.6,19.865,222074
2021-07-23,19.94,20.435,19.8,20.205,382471
2021-07-26,20.21,20.995,20.21,20.885,508582
2021-07-27,20.59,20.85,20.46,20.67,346677
2021-07-28,20.82,21.205,20.44,21.015,327466
2021-07-29,21.27,21.525,21.06,21.185,208135
2021-07-30,21.15,21.73,21.025,21.245,324411
2021-08-02,21.25,21.895,20.735,20.86,236490
2021-08-03,20.825,21.315,20.41,21.3,189923
2021-08-04,20.86,21.16,20.605,20.645,283737
2021-08-05,20.84,20.99,20.415,20.865,153607
2021-08-06,21.08,21.315,20.85,21.19,195015
2021-08-09,20.75,21.24,20.42,21.115,253257
2021-08-10,21.185,21.62,21.115,21.355,225007
2021-08-11,21.31,21.635,20.975,21.505,142830
2021-08-12,21.46,21.69,21.0,21.35,180757
2021-08-13,21.37,21.9,21.225,21.665,284470
2021-08-16,21.26,21.42,20.995,21.31,153573
2021-08-17,21.44,21.83,21.085,21.4,249589
2021-08-18,21.33,21.89,21.13,21.19,124836
2021-08-19,20.76,20.76,19.845,20.2,286492
2021-08-20,19.91,20.62,19.87,20.425,384050
2021-08-23,20.96,21.635,20.95,21.53,345821
2021-08-24,21.75,22.3,21.75,22.22,170047
2021-08-25,22.12,22.525,22.01,22.365,126188
2021-08-26,22.22,22.47,22.115,22.3,241482
2021-08-27,22.7,23.255,22.565,23.06,322586
2021-08-30,23.175,23.31,22.76,22.81,146320
2021-08-31,22.72,22.985,22.665,22.77,242047
2021-09-01,22.715,22.82,22.43,22.49,199751
2021-09-02,22.78,23.435,22.725,23.36,207865
2021-09-03,23.31,23.585,23.08,23.155,145551
2021-09-07,23.01,23.385,22.795,23.035,318909
2021-09-08,23.17,23.28,22.625,22.72,194359
2021-09-09,22.83,23.8,22.68,23.51,328179
2021-09-10,23.86,24.105,23.59,23.87,250809
2021-09-13,24.29,24.605,24.19,24.4,277934
2021-09-14,24.64,24.64,24.11,24.33,333304
2021-09-15,24.61,25.47,24.54,25.125,535012
2021-09-16,25.015,25.135,24.12,24.38,490145
2021-09-17,24.31,24.33,23.805,23.93,537197
2021-09-20,23.15,23.29,22.54,22.88,383693
2021-09-21,23.1,23.405,22.75,23.24,335584
2021-09-22,23.735,24.09,23.415,23.43,261887
2021-09-23,23.6,24.35,23.39,24.04,447290
2021-09-24,23.875,24.395,23.72,24.22,304883
2021-09-27,24.78,25.17,24.745,24.91,494990
2021-09-28,25.33,25.86,24.79,24.93,461265
2021-09-29,24.965,25.345,24.7,25.05,389853
2021-09-30,24.83,25.11,24.55,24.75,520506
2021-10-01,24.79,25.295,24.625,25.19,482887
2021-10-04,25.44,25.805,25.23,25.455,628286
2021-10-05,25.76,25.92,25.04,25.34,254353
2021-10-06,24.835,25.03,24.025,24.805,408852
2021-10-07,25.06,25.215,24.56,24.8,383392
2021-10-08,24.95,25.385,24.945,25.24,476375
2021-10-11,25.5,26.03,25.285,25.45,653941
2021-10-12,25.28,25.8,25.14,25.75,625031
2021-10-13,25.41,26.37,25.41,26.245,591738
2021-10-14,26.51,26.835,26.24,26.835,505167
2021-10-15,27.13,27.65,26.75,26.88,446449
2021-10-18,26.99,27.095,26.63,26.95,713831
2021-10-19,27.06,27.17,26.57,26.84,410743
2021-10-20,26.445,26.47,24.705,25.36,1219646
2021-10-21,25.03,25.29,23.955,24.28,357115
2021-10-22,24.36,24.77,24.195,24.645,351962
2021-10-26,25.265,26.055,25.265,25.68,403269
2021-10-27,25.42,25.505,24.865,24.955,410932
2021-10-28,24.885,25.375,24.885,25.37,261700
2021-10-29,25.335,25.335,24.97,25.07,276581
2021-11-01,25.18,25.85,25.13,25.81,279059
2021-11-02,25.76,25.91,25.495,25.905,349804
2021-11-03,25.46,26.08,25.31,25.31,216825
2021-11-04,25.84,25.84,24.805,24.94,487702
2021-11-05,25.38,25.44,24.805,24.815,316706
2021-11-08,24.885,25.185,24.39,24.9,210101
2021-11-09,24.91,25.295,24.505,25.28,299047
2021-11-10,25.01,25.31,23.985,24.095,323889
2021-11-11,24.15,24.4,24.07,24.34,132231
