date,open,high,low,close,volume
2021-07-21,883.145,890.9,882.555,882.76,26964
2021-07-22,877.49,877.94,866.83,867.21,27045
2021-07-23,871.485,877.72,868.22,868.79,18870
2021-07-26,871.48,875.19,868.15,871.08,15417
2021-07-27,863.24,869.14,858.96,862.17,36877
2021-07-28,861.93,863.96,854.57,859.86,19896
2021-07-29,866.505,871.52,858.215,868.465,16389
2021-07-30,868.17,873.89,864.36,867.07,13365
2021-08-02,875.05,881.565,872.32,872.84,13288
2021-08-03,872.79,881.06,868.93,879.97,19814
2021-08-04,877.73,888.14,876.095,881.74,14803
2021-08-05,889.82,892.24,886.56,888.375,14991
2021-08-06,893.15,898.19,887.88,895.59,24016
2021-08-09,893.68,905.01,892.35,901.76,13714
2021-08-10,901.06,916.68,901.06,912.415,19309
2021-08-11,915.435,920.36,914.875,916.85,12885
2021-08-12,916.065,919.84,914.0,918.43,11702
2021-08-13,917.78,919.95,913.67,917.12,14420
2021-08-16,910.45,924.8,907.46,924.8,11789
2021-08-17,918.26,918.26,902.045,909.61,17686
2021-08-18,905.55,911.89,901.94,902.03,10376
2021-08-19,891.88,907.98,891.88,902.83,22049
2021-08-20,905.23,920.805,905.23,917.405,11837
2021-08-23,922.945,933.2,922.945,926.97,12111
2021-08-24,927.505,930.095,925.055,929.375,9280
2021-08-25,933.71,945.6,933.71,939.47,17091
2021-08-26,939.19,941.03,934.72,936.225,12364
2021-08-27,940.97,954.95,940.97,954.37,27722
2021-08-30,954.29,958.43,947.63,948.0,12693
2021-08-31,950.86,952.13,940.05,944.5,31141
2021-09-01,945.72,945.72,937.03,943.75,18208
2021-09-02,951.14,953.56,946.23,950.67,15866
2021-09-03,946.47,947.655,934.41,936.87,9152
2021-09-07,924.0,929.64,919.46,924.87,22597
2021-09-08,926.23,929.55,919.55,924.03,12970
2021-09-09,920.95,932.525,920.95,922.45,13887
2021-09-10,929.38,929.38,915.445,916.15,34978
2021-09-13,923.18,923.18,906.24,916.21,18795
2021-09-14,914.655,915.23,897.83,901.73,24876
2021-09-15,902.845,913.42,902.37,909.245,17499
2021-09-16,904.61,904.93,885.315,890.515,43681
2021-09-17,884.035,885.19,868.805,877.53,48631
2021-09-20,854.8,857.305,841.56,857.305,31567
2021-09-21,861.38,861.6,839.57,845.03,34491
2021-09-22,854.55,858.625,848.32,850.95,20118
2021-09-23,870.0,881.15,869.14,875.87,20665
2021-09-24,868.47,875.88,867.43,874.94,14200
2021-09-27,873.245,875.215,869.07,874.94,23724
2021-09-28,872.26,872.68,855.52,859.99,58352
2021-09-29,860.95,863.97,856.09,856.09,37815
2021-09-30,859.44,862.2,838.4,838.4,41680
2021-10-01,841.35,848.11,824.865,841.42,19847
2021-10-04,837.165,843.29,818.73,826.075,30536
2021-10-05,829.17,843.68,824.53,838.47,33187
2021-10-06,829.905,837.15,820.96,837.15,27384
2021-10-07,849.05,854.22,841.72,841.72,23811
2021-10-08,843.6,846.38,837.02,844.78,21596
2021-10-11,847.92,860.57,839.15,839.75,25249
2021-10-12,840.53,840.53,832.0,837.59,43087
2021-10-13,860.48,876.95,853.505,868.73,90268
2021-10-14,880.18,896.53,868.34,892.46,29795
2021-10-15,905.24,914.855,895.65,909.09,50889
2021-10-18,896.19,906.905,895.55,896.76,17976
2021-10-19,898.14,904.475,895.37,901.79,30552
2021-10-20,900.94,904.95,897.88,902.45,22492
2021-10-21,905.14,909.09,901.13,903.55,15171
2021-10-22,905.67,915.99,900.73,914.89,15040
2021-10-26,930.0,938.84,930.0,932.1,15421
2021-10-27,923.9,938.48,916.89,916.89,28043
2021-10-28,920.72,935.25,920.72,935.25,18584
2021-10-29,930.56,946.96,930.56,943.75,16880
2021-11-01,949.33,949.33,929.68,936.06,23153
