date,open,high,low,close,volume
2021-07-21,196.18,196.745,195.07,195.205,9877
2021-07-22,194.06,194.06,192.73,192.73,6300
2021-07-23,193.12,195.435,192.3,195.11,9728
2021-07-26,197.35,199.31,196.22,196.89,11893
2021-07-27,194.69,196.42,194.69,196.33,10467
2021-07-28,196.69,197.77,195.725,196.61,8565
2021-07-29,198.3,199.29,197.85,197.935,12556
2021-07-30,198.66,199.47,197.44,197.8,10319
2021-08-02,197.05,197.375,195.43,196.64,30565
2021-08-03,196.38,198.44,196.38,196.83,7429
2021-08-04,195.45,195.505,192.695,192.77,8715
2021-08-05,193.65,196.27,193.65,196.27,10985
2021-08-06,195.97,196.21,195.155,195.33,2996
2021-08-09,196.42,197.71,196.42,196.71,5845
2021-08-10,198.195,198.65,197.31,197.62,8324
2021-08-11,197.5,198.03,197.23,197.52,6027
2021-08-12,197.26,198.76,196.57,198.075,6958
2021-08-13,198.24,199.6,198.185,199.12,5152
2021-08-16,199.67,199.775,197.975,198.54,5706
2021-08-17,197.795,200.85,197.795,200.41,8194
2021-08-18,199.405,200.505,198.78,199.335,12064
2021-08-19,199.2,200.68,199.06,200.36,4342
2021-08-20,199.37,202.42,199.37,200.685,12839
2021-08-23,201.135,202.53,200.17,202.11,4584
2021-08-24,201.82,202.61,200.53,201.94,7294
2021-08-25,202.53,205.68,202.52,203.79,11882
2021-08-26,200.68,202.375,200.2,201.57,8650
2021-08-27,200.7,204.2,200.7,203.93,10088
2021-08-30,202.84,204.76,202.84,204.19,3671
2021-08-31,204.61,205.45,202.93,204.75,4864
2021-09-01,205.29,205.54,203.975,204.83,5482
2021-09-02,207.79,207.96,205.23,207.96,8138
2021-09-03,206.56,206.79,205.765,206.43,7593
2021-09-07,207.21,208.19,202.52,202.61,16005
2021-09-08,199.62,200.92,189.66,193.115,31651
2021-09-09,193.505,195.82,191.75,195.02,14848
2021-09-10,193.55,193.55,189.83,190.2,10613
2021-09-13,191.94,194.8,191.94,194.79,16417
2021-09-14,194.61,196.11,190.42,190.95,16852
2021-09-15,191.02,193.28,190.81,193.1,5777
2021-09-16,193.07,194.43,192.54,192.97,13853
2021-09-17,192.07,193.13,191.44,192.01,16069
2021-09-20,191.245,191.245,186.55,187.085,11356
2021-09-21,188.67,188.67,186.38,187.11,8411
2021-09-22,188.05,189.855,187.915,188.23,14345
2021-09-23,189.11,191.06,188.33,188.51,34655
2021-09-24,189.305,190.09,187.955,189.12,7340
2021-09-27,190.25,191.48,190.25,190.86,11391
2021-09-28,192.06,192.06,189.78,190.945,17186
2021-09-29,192.05,193.41,190.985,191.61,16089
2021-09-30,192.06,192.06,188.035,188.29,15047
2021-10-01,188.33,190.1,186.225,187.46,13708
2021-10-04,188.61,188.89,187.21,188.29,17340
2021-10-05,188.47,189.98,187.39,189.03,6077
2021-10-06,188.81,189.05,186.74,189.05,6701
2021-10-07,189.56,191.18,189.445,189.515,5201
2021-10-08,188.855,191.34,188.23,190.45,4625
2021-10-11,189.88,189.88,185.17,185.17,9299
2021-10-12,186.7,188.41,186.7,186.76,6660
2021-10-13,185.355,186.995,184.73,186.28,7177
2021-10-14,186.4,189.29,186.4,189.29,6240
2021-10-15,189.92,190.62,187.1,187.35,7927
2021-10-18,186.04,189.67,186.04,188.99,4582
2021-10-19,189.28,190.9,189.28,190.14,7538
2021-10-20,190.86,191.63,189.93,190.49,6781
2021-10-21,191.735,191.84,190.76,191.115,7125
2021-10-22,192.98,194.32,191.505,191.575,5663
2021-10-25,192.04,195.085,192.04,193.55,6268
2021-10-26,192.46,192.46,187.33,188.02,19441
2021-10-27,188.575,191.74,188.575,188.96,8458
2021-10-28,190.08,190.6,188.2,188.53,8764
2021-10-29,189.95,191.68,189.485,191.63,8494
2021-11-01,193.27,194.47,191.72,193.62,6971
2021-11-02,194.53,194.53,192.135,192.45,8315
2021-11-03,193.865,199.76,193.865,199.73,11365
2021-11-04,201.245,202.01,198.865,199.04,8843
2021-11-05,200.605,201.59,199.46,201.59,15817
2021-11-08,200.76,201.36,199.28,201.16,8013
2021-11-09,200.87,202.11,200.8,201.89,4307
2021-11-10,202.76,202.76,199.89,200.31,5248
2021-11-11,200.21,201.92,198.46,200.84,6763
2021-11-12,200.21,200.34,199.31,199.47,5778
2021-11-15,199.5,199.66,198.065,198.42,6608
2021-11-16,197.76,198.96,196.03,196.26,10661
2021-11-17,195.525,196.06,192.765,193.63,21116
2021-11-18,194.08,195.92,190.53,191.0,14077
2021-11-19,190.86,194.54,190.64,193.95,7507
2021-11-22,196.72,201.23,196.72,199.9,6106
2021-11-23,199.42,201.93,198.665,200.53,7858
2021-11-24,199.47,199.47,197.01,197.3,5583
2021-11-26,195.22,195.86,193.8,194.9,9227
2021-11-29,195.73,197.96,195.495,197.52,13782
2021-11-30,196.79,200.08,193.68,194.27,11237
2021-12-01,195.865,201.3,190.6,190.6,16848
2021-12-02,194.69,197.425,193.4,195.92,13781
2021-12-03,195.46,198.435,194.56,195.73,9202
2021-12-06,198.79,202.67,198.74,201.92,11109
2021-12-07,202.9,203.1,200.575,200.92,14639
2021-12-08,188.0,192.03,183.01,187.4,54062
2021-12-09,187.47,187.47,181.41,181.88,18639
2021-12-10,183.555,188.89,182.3,187.75,22382
2021-12-13,188.175,193.62,188.16,191.76,15965
2021-12-14,191.295,191.88,189.325,190.91,22342
2021-12-15,192.15,192.27,188.545,191.35,25950
2021-12-16,192.67,193.19,188.605,190.11,20083
2021-12-17,190.6,195.42,190.6,192.75,36110
2021-12-20,192.855,193.57,190.29,191.74,15644
2021-12-21,193.39,194.39,191.3,192.0,10846
2021-12-22,192.32,193.15,191.255,192.16,8618
2021-12-23,192.765,194.965,191.98,194.46,34594
2021-12-27,195.0,195.93,192.175,193.57,18370
2021-12-28,196.29,197.21,195.28,196.79,20158
2021-12-29,196.96,199.23,195.815,198.96,14324
2021-12-30,199.8,199.8,195.31,195.825,11188
2021-12-31,195.8,198.0,195.2,197.34,13576
2022-01-03,197.1,199.16,195.47,197.4,14294
2022-01-04,197.845,197.845,194.98,195.23,25932
2022-01-05,194.74,199.51,193.72,193.72,12770
2022-01-06,195.08,199.13,195.08,197.19,25028
2022-01-07,198.025,198.395,195.345,196.61,29870
2022-01-10,195.24,197.28,194.71,196.77,15001
2022-01-11,195.34,196.775,193.7,196.5,11292
2022-01-12,196.255,197.08,194.55,194.98,15113
2022-01-13,195.965,198.165,194.98,196.21,15066
2022-01-14,194.51,195.65,189.39,191.02,51793
2022-01-18,189.23,189.94,187.505,188.87,11403
2022-01-19,189.91,189.91,187.815,188.87,13220
2022-01-20,189.755,190.425,184.335,184.545,22408
2022-01-21,184.63,185.385,181.09,181.25,11136
2022-01-24,181.145,189.83,181.145,189.4,26588
2022-01-25,187.79,188.35,184.33,185.23,16774
2022-01-26,186.45,186.86,182.14,183.42,18487
2022-01-27,186.74,187.21,184.62,185.47,15556
2022-01-28,184.58,187.345,182.98,187.21,20744
2022-01-31,186.02,187.78,184.0,187.65,11696
2022-02-01,186.255,188.6,185.19,188.42,17169
2022-02-02,189.34,190.02,187.27,189.51,9926
2022-02-03,189.265,191.02,186.66,187.54,12649
2022-02-04,186.79,186.9,183.015,185.8,11066
2022-02-07,186.44,186.55,184.11,184.15,13044
2022-02-08,184.4,187.59,184.14,186.725,13958
2022-02-09,187.91,188.775,186.205,186.75,15303
2022-02-10,185.55,187.77,182.57,183.13,14494
2022-02-11,183.54,185.01,181.0,181.71,13806
2022-02-14,181.71,183.59,181.56,182.63,9991
2022-02-15,185.31,186.47,184.0,185.34,15965
2022-02-16,185.02,185.23,182.735,184.38,9290
2022-02-17,183.23,184.85,182.51,182.52,5199
2022-02-18,183.165,184.645,182.24,184.63,10710
2022-02-22,184.005,184.005,180.945,181.365,11898
2022-02-23,182.64,185.48,182.64,183.015,9315
2022-02-24,181.135,181.77,177.15,181.625,13453
2022-02-25,182.73,187.975,182.68,187.11,15842
2022-02-28,186.17,188.19,185.05,188.13,32947
2022-03-01,187.515,188.425,185.24,185.62,31961
2022-03-02,183.995,189.87,183.995,189.18,21829
2022-03-03,190.675,191.34,187.79,188.66,13252
2022-03-04,189.8,191.15,186.38,190.38,23013
2022-03-07,190.22,190.44,176.62,177.61,30058
2022-03-08,177.715,179.41,171.01,171.615,60743
2022-03-09,176.355,186.965,173.93,185.41,39614
2022-03-10,184.64,184.745,178.74,179.19,24934
2022-03-11,179.55,179.55,174.145,174.33,34098
2022-03-14,175.93,180.71,174.15,180.17,30587
2022-03-15,183.18,186.21,181.19,185.34,30646
2022-03-16,186.75,190.04,184.345,186.84,20483
2022-03-17,187.48,190.425,186.12,190.08,15819
2022-03-18,190.98,191.88,188.55,191.67,12673
2022-03-21,190.86,191.77,189.57,190.52,15247
2022-03-22,190.77,191.93,189.715,189.88,10256
2022-03-23,188.1,190.12,187.875,189.72,12745
2022-03-24,190.0,193.5,189.37,193.5,15764
2022-03-25,193.71,196.91,192.71,196.9,18093
2022-03-28,196.48,199.67,196.39,199.56,21200
2022-03-29,199.625,201.955,199.625,201.2,13606
2022-03-30,200.53,200.53,197.87,199.35,10203
2022-03-31,199.99,201.97,198.28,198.28,12115
2022-04-01,199.5,200.66,196.835,198.2,18382
2022-04-04,196.58,200.425,196.58,199.6,18610
2022-04-05,200.9,201.54,198.82,200.59,26061
2022-04-06,199.025,203.59,198.745,203.11,26052
2022-04-07,203.98,208.96,202.49,207.89,31728
2022-04-08,208.12,209.85,206.95,207.48,21888
2022-04-11,207.57,208.13,205.6,206.395,28473
2022-04-12,207.53,207.745,205.555,205.57,13484
2022-04-13,208.81,210.89,206.355,210.74,21039
2022-04-14,210.55,212.0,209.41,209.41,12732
2022-04-18,209.55,209.595,207.5,208.58,9446
2022-04-19,209.49,213.75,209.49,213.23,15932
2022-04-20,214.42,216.035,214.42,215.96,9554
2022-04-21,211.695,216.39,211.695,213.2,28667
2022-04-22,214.04,214.04,210.02,211.14,25628
2022-04-25,211.35,212.795,208.455,212.0,18439
2022-04-26,210.35,211.585,205.72,205.72,23179
2022-04-27,206.13,210.15,205.0,208.33,19622
2022-04-28,208.84,208.84,204.87,206.68,17696
2022-04-29,205.7,205.7,200.205,201.4,14742
2022-05-02,202.495,203.63,199.31,201.44,21733
2022-05-03,202.23,204.39,201.84,203.68,12083
2022-05-04,203.37,207.52,201.77,207.52,21156
2022-05-05,206.865,207.49,201.12,202.99,28301
2022-05-06,201.88,202.165,196.59,197.455,40603
2022-05-09,196.27,199.88,195.86,197.735,61262
2022-05-10,196.825,199.53,195.465,197.12,73418
2022-05-11,196.93,201.125,196.93,198.81,46656
2022-05-12,199.3,204.26,198.62,204.0,43570
2022-05-13,205.93,207.99,203.735,207.57,22091
2022-05-16,207.27,212.32,207.19,210.3,33801
2022-05-17,210.35,214.23,209.695,213.83,12931
2022-05-18,211.76,211.76,200.48,200.93,35615
2022-05-19,199.63,202.68,194.33,199.54,33028
2022-05-20,200.64,200.64,195.46,199.84,30388
2022-05-23,200.08,201.2,198.34,199.62,17404
2022-05-24,197.54,201.58,196.97,201.39,19135
2022-05-25,203.05,205.86,201.93,203.13,26007
2022-05-26,205.53,208.295,204.895,206.56,13925
2022-05-27,208.19,210.25,208.19,209.615,10073
2022-05-31,206.78,210.13,206.78,209.55,12052
2022-06-01,211.2,211.2,205.27,207.35,15803
2022-06-02,207.05,210.745,205.91,210.725,22284
2022-06-03,210.21,212.695,209.705,211.7,14517
2022-06-06,212.07,212.875,206.725,207.65,24485
2022-06-07,206.08,207.585,203.39,205.87,35037
2022-06-08,200.3,201.43,195.9,198.0,83376
2022-06-09,198.18,198.63,193.57,193.57,24988
2022-06-10,190.77,193.675,190.22,190.89,19844
2022-06-13,187.87,188.71,185.65,185.8,27860
2022-06-14,186.68,187.28,184.78,186.25,17141
2022-06-15,187.955,189.555,184.77,186.62,24187
2022-06-16,183.13,185.58,182.17,183.73,19673
2022-06-17,185.53,185.64,181.67,181.67,38832
2022-06-21,183.81,184.45,181.905,184.15,32204
2022-06-22,183.86,187.355,183.86,186.74,28098
2022-06-23,187.34,189.43,186.875,189.125,16570
2022-06-24,189.86,191.53,188.88,191.53,26342
2022-06-27,190.95,194.4,190.95,194.4,28584
2022-06-28,194.88,196.985,190.32,190.32,22771
2022-06-29,190.45,190.69,185.77,186.38,17103
2022-06-30,182.71,186.64,182.7,184.77,24039
2022-07-01,183.69,187.29,183.51,186.51,23338
2022-07-05,184.62,188.56,183.475,188.55,29282
2022-07-06,190.07,194.815,189.01,193.67,47119
2022-07-07,195.85,195.85,191.25,193.34,41994
2022-07-08,193.87,195.6,193.55,194.04,17737
2022-07-11,193.9,196.96,193.76,195.53,17352
2022-07-12,195.45,197.11,193.02,193.96,26257
2022-07-13,193.22,197.02,193.09,195.35,19280
2022-07-14,194.285,199.26,193.81,198.31,20160
2022-07-15,199.69,201.83,198.96,201.435,34327
2022-07-18,201.26,201.98,196.31,196.85,26252
2022-07-19,200.45,200.45,197.71,198.8,22238
2022-07-20,199.15,199.38,197.18,198.44,19051
2022-07-21,197.43,198.81,196.51,198.55,24955
2022-07-22,197.86,200.56,197.86,198.77,12764
2022-07-25,199.56,199.56,197.73,198.76,20351
2022-07-26,195.075,196.36,195.02,196.1,19773
2022-07-27,196.21,199.255,195.2,198.705,10544
2022-07-28,199.04,202.94,197.17,202.94,33686
2022-07-29,202.52,203.41,201.84,202.79,24787
2022-08-01,204.02,206.835,203.525,205.61,19102
2022-08-02,203.93,205.41,202.39,203.68,21918
2022-08-03,204.23,207.77,204.23,206.7,24159
2022-08-04,205.27,207.52,205.27,206.82,18981
2022-08-05,206.36,207.775,206.07,207.34,20843
2022-08-08,207.08,209.96,207.08,207.82,14311
2022-08-09,208.37,208.63,206.41,206.96,14821
2022-08-10,209.45,209.45,205.095,205.52,16702
2022-08-11,206.235,208.4,205.89,206.35,10128
2022-08-12,206.93,208.87,206.91,208.555,15109
2022-08-15,210.645,210.74,209.02,209.4,7051
2022-08-16,210.88,214.1,210.88,213.17,7698
2022-08-17,213.58,214.21,212.88,212.96,15855
2022-08-18,214.32,219.98,214.32,218.63,21127
2022-08-19,219.02,222.17,218.8,221.93,17130
2022-08-22,221.95,221.95,218.74,219.12,8736
2022-08-23,219.23,219.38,216.95,217.17,15871
2022-08-24,217.98,218.78,217.12,218.54,13035
2022-08-25,218.14,219.2,217.275,218.93,13594
2022-08-26,218.97,218.97,217.02,217.21,13377
2022-08-29,215.76,218.52,213.14,217.53,19722
2022-08-30,217.785,218.08,214.47,214.58,10260
2022-08-31,214.4,216.02,213.18,213.71,18875
2022-09-01,213.5,215.77,213.26,215.77,20432
2022-09-02,216.43,217.65,212.57,213.35,20735
2022-09-06,214.51,216.94,213.34,215.21,24351
2022-09-07,213.97,221.55,213.97,221.215,26227
2022-09-08,215.5,221.93,215.5,219.93,41693
2022-09-09,222.28,222.5,219.64,221.14,19347
2022-09-12,220.26,221.145,217.125,217.37,34807
2022-09-13,215.55,219.57,214.15,214.605,20937
2022-09-14,215.345,216.4,213.44,214.91,20492
2022-09-15,214.98,216.01,214.0,214.78,13239
2022-09-16,214.88,215.47,214.03,214.79,12766
2022-09-19,214.79,216.51,214.21,216.51,11781
2022-09-20,216.115,216.115,211.99,213.56,13228
2022-09-21,214.53,215.99,212.78,212.9,7420
2022-09-22,212.305,212.305,208.4,208.57,13056
2022-09-23,206.88,207.89,201.1,202.54,17253
2022-09-26,202.07,203.47,200.54,201.86,12780
2022-09-27,202.13,202.71,197.24,198.11,15203
2022-09-28,198.975,206.56,198.26,205.545,32041
2022-09-29,204.67,204.82,201.88,204.3,24944
2022-09-30,205.27,205.455,202.42,202.8,21292
2022-10-03,201.61,207.67,201.61,206.82,18859
2022-10-04,209.17,209.39,202.07,203.15,49050
2022-10-05,202.66,204.74,200.87,202.71,27015
2022-10-06,204.65,205.915,202.99,203.17,20115
2022-10-07,202.9,203.45,199.43,200.44,17420
2022-10-10,201.02,201.02,197.79,199.48,15231
2022-10-11,199.745,204.74,199.745,204.42,19750
2022-10-12,204.975,204.99,202.17,202.59,12505
2022-10-13,201.34,207.895,200.72,206.145,23613
2022-10-14,205.63,207.19,202.305,202.4,18501
2022-10-17,205.69,208.42,205.62,207.76,19582
2022-10-18,211.29,212.105,209.72,211.0,20679
2022-10-19,210.54,212.385,208.88,210.665,18522
2022-10-20,209.945,209.945,206.885,208.26,14481
2022-10-21,207.45,214.685,207.14,214.42,14541
2022-10-24,216.33,220.41,216.33,218.47,17618
2022-10-25,216.545,220.165,216.19,219.53,23197
2022-10-26,220.54,221.52,216.92,221.29,14364
2022-10-27,222.43,228.15,222.43,227.635,22640
2022-10-28,228.37,231.55,226.505,231.285,22938
2022-10-31,231.06,234.11,230.49,232.53,21691
2022-11-01,232.275,232.275,229.75,230.52,27088
2022-11-02,229.75,233.025,227.49,227.61,27466
2022-11-03,226.525,228.78,225.69,227.23,19697
2022-11-04,227.65,228.37,221.36,224.825,17359
2022-11-07,226.255,231.385,224.66,230.9,16997
2022-11-08,231.785,234.32,230.525,233.51,18068
2022-11-09,232.355,234.43,232.355,233.51,13289
2022-11-10,234.715,239.5,234.715,239.02,21281
2022-11-11,239.005,239.45,232.175,232.93,20535
2022-11-14,234.27,237.79,234.27,234.98,19119
2022-11-15,236.17,237.2,235.235,236.58,17555
2022-11-16,238.085,241.28,238.055,240.82,8944
2022-11-17,238.6,238.6,235.01,237.04,16796
2022-11-18,238.275,240.48,238.275,239.6,21382
2022-11-21,240.7,241.57,239.26,239.26,18545
2022-11-22,240.485,242.44,238.59,241.62,20885
2022-11-23,240.46,242.28,238.81,238.96,18941
2022-11-25,239.855,242.41,239.535,241.29,14226
2022-11-28,241.47,243.535,240.11,240.44,17263
2022-11-29,240.175,240.375,236.95,237.18,20063
2022-11-30,236.68,242.975,236.55,242.925,22107
2022-12-01,243.68,243.68,234.44,234.98,26062
2022-12-02,235.4,235.4,232.84,234.33,17712
2022-12-05,231.04,232.3,228.765,230.84,33055
2022-12-06,231.21,231.21,227.53,229.96,35849
2022-12-07,235.1,248.29,235.1,247.68,33153
2022-12-08,244.38,249.79,244.38,248.28,38576
2022-12-09,246.57,246.595,243.02,243.055,24174
2022-12-12,243.14,246.995,243.14,245.33,17448
2022-12-13,246.23,246.45,243.44,244.55,22085
2022-12-14,245.225,246.65,243.575,244.66,27976
2022-12-15,243.25,243.585,240.97,241.78,28110
2022-12-16,241.73,242.835,235.72,240.98,22268
2022-12-19,241.025,243.31,233.93,233.93,29395
2022-12-20,233.52,233.52,230.18,232.84,33367
2022-12-21,234.78,237.775,234.425,235.4,21739
2022-12-22,234.715,234.715,231.725,233.88,15580
2022-12-23,233.05,236.88,233.05,235.54,21587
2022-12-27,235.755,235.755,230.43,231.02,18328
2022-12-28,231.25,231.25,227.295,227.68,9975
2022-12-29,228.1,228.1,225.82,226.71,11623
2022-12-30,224.53,224.99,222.72,224.37,10601
2023-01-03,223.9,224.82,220.985,221.09,18636
2023-01-04,221.555,222.18,218.375,219.645,22800
2023-01-05,218.77,220.23,217.805,217.81,17472
2023-01-06,218.39,222.93,218.39,222.71,18083
