date,open,high,low,close,volume
2021-07-21,115.73,118.46,115.73,117.94,30636
2021-07-22,117.965,117.965,116.12,116.91,21009
2021-07-23,118.28,120.435,118.13,119.97,36622
2021-07-26,120.51,121.0,117.975,118.015,22926
2021-07-27,118.13,118.13,115.67,115.67,27421
2021-07-28,116.605,117.185,115.145,116.67,27433
2021-07-29,117.09,117.34,115.65,116.25,29449
2021-07-30,116.17,119.99,115.96,118.6,93915
2021-08-02,118.67,121.04,118.53,120.57,25621
2021-08-03,120.0,122.88,119.79,122.26,45816
2021-08-04,122.7,124.81,122.4,123.49,44404
2021-08-05,124.0,124.03,119.855,120.975,26286
2021-08-06,121.58,123.39,120.94,122.595,37965
2021-08-09,121.91,123.94,121.14,121.21,11053
2021-08-10,121.32,122.23,119.61,122.23,40694
2021-08-11,122.93,124.85,122.24,124.85,23326
2021-08-12,124.51,128.29,123.505,126.56,51494
2021-08-13,127.25,127.49,125.34,126.81,18444
2021-08-16,126.59,126.675,125.275,125.84,21571
2021-08-17,125.55,127.11,122.71,124.21,18861
2021-08-18,123.01,138.55,122.11,122.78,304814
2021-08-19,121.86,128.73,121.86,127.8,99218
2021-08-20,127.24,130.0,127.11,130.0,44355
2021-08-23,130.325,130.325,126.19,126.265,42498
2021-08-24,126.64,126.64,124.5,125.63,16023
2021-08-25,125.905,126.01,124.62,125.73,11084
2021-08-26,125.15,125.85,124.64,125.09,12178
2021-08-27,125.44,125.98,124.78,125.42,16004
2021-08-30,124.43,125.48,123.6,124.02,11353
2021-08-31,124.065,126.355,122.35,126.14,36707
2021-09-01,125.86,127.63,125.45,127.63,22503
2021-09-02,127.555,127.75,124.81,127.75,14970
2021-09-03,127.265,128.24,125.975,126.49,26603
2021-09-07,126.88,126.88,123.61,123.61,13900
2021-09-08,123.28,125.89,122.61,125.04,18291
2021-09-09,125.285,125.515,124.29,124.42,17916
2021-09-10,125.44,127.18,125.31,126.43,25467
2021-09-13,125.9,125.9,123.2,124.59,21552
