date,open,high,low,close,volume
2021-07-21,47.8,47.93,47.185,47.91,76396
2021-07-22,47.435,47.58,46.56,47.21,39829
2021-07-23,47.38,47.77,46.69,47.35,83092
2021-07-26,47.385,47.815,46.67,47.66,98219
2021-07-27,47.0,47.855,46.11,47.37,53021
2021-07-28,47.67,48.17,47.03,47.77,62934
2021-07-29,48.36,48.37,47.45,47.655,60266
2021-07-30,47.63,49.07,47.215,47.26,119732
2021-08-02,47.09,47.69,45.92,45.96,91268
2021-08-03,46.39,46.53,45.0,46.43,55094
2021-08-04,46.23,46.575,44.92,45.045,68797
2021-08-05,45.25,45.8,45.14,45.18,35033
2021-08-06,45.69,46.27,45.52,46.18,108050
2021-08-09,46.2,47.235,45.84,47.19,146459
2021-08-10,46.56,48.72,46.48,47.79,202769
2021-08-11,48.235,49.07,47.69,48.285,101313
2021-08-12,48.02,49.43,47.14,49.015,148854
2021-08-13,48.6,49.6,48.15,48.35,92450
2021-08-16,47.29,47.66,46.165,46.39,67307
2021-08-17,46.44,46.63,44.67,45.575,46005
2021-08-18,45.79,46.92,45.65,45.725,62271
2021-08-19,44.67,45.05,43.185,43.31,95599
2021-08-20,43.63,44.93,43.55,44.46,73696
2021-08-23,45.28,45.29,44.735,44.815,56310
2021-08-24,45.54,45.99,45.02,45.105,56859
2021-08-25,44.62,45.855,44.62,45.63,54547
2021-08-26,45.63,45.7,44.35,44.54,41987
2021-08-27,44.715,45.58,44.715,45.24,50991
2021-08-30,45.29,45.29,44.58,44.81,31463
2021-08-31,44.76,45.78,44.76,45.42,63180
2021-09-01,45.445,45.445,44.34,44.94,82894
2021-09-02,45.14,46.075,45.14,45.99,69587
2021-09-03,46.1,46.26,45.3,45.44,59168
2021-09-07,45.17,46.285,45.17,46.18,79149
2021-09-08,46.35,46.43,44.535,44.59,99144
2021-09-09,44.07,45.75,44.07,45.41,124625
2021-09-10,45.99,46.16,44.86,45.64,74865
2021-09-13,46.41,46.52,45.53,46.41,100251
2021-09-14,46.92,47.58,45.8,46.115,102010
2021-09-15,46.52,48.65,46.31,48.41,141709
2021-09-16,48.175,50.01,48.175,48.985,218294
2021-09-17,49.23,49.76,48.56,49.12,156752
2021-09-20,47.155,48.285,46.96,48.03,95834
2021-09-21,48.745,49.41,47.88,48.99,66600
2021-09-22,50.05,50.785,49.735,50.43,71632
2021-09-23,51.52,53.535,51.52,53.51,210832
2021-09-24,53.02,55.34,53.02,54.84,293968
2021-09-27,55.8,57.1,55.41,56.05,261019
2021-09-28,56.115,56.995,55.75,56.635,223863
2021-09-29,56.58,56.68,55.95,56.53,92851
2021-09-30,56.66,56.81,55.71,55.83,212544
2021-10-01,56.75,61.25,56.75,61.15,413053
2021-10-04,61.58,62.02,59.82,60.75,184291
2021-10-05,60.74,61.61,59.91,60.43,244331
2021-10-06,59.17,59.975,58.13,59.855,234639
2021-10-07,60.03,61.65,59.98,60.66,266616
2021-10-08,60.76,61.3,60.2,61.07,156860
2021-10-11,62.35,63.34,61.83,62.14,131839
2021-10-12,62.55,62.88,60.65,60.94,140690
2021-10-13,60.83,61.11,59.97,60.35,116351
2021-10-14,60.955,61.08,59.72,60.54,106584
2021-10-15,60.55,60.61,58.985,58.99,169113
2021-10-18,58.7,61.2,58.58,61.01,105053
