date,open,high,low,close,volume
2021-07-21,93.43,93.96,92.795,93.14,30850
2021-07-22,92.87,93.0,91.69,91.735,81926
2021-07-23,92.005,92.92,91.31,92.92,32402
2021-07-26,93.14,93.76,92.375,92.445,42667
2021-07-27,92.29,92.29,91.14,91.4,79008
2021-07-28,86.57,90.0,85.24,88.48,257218
2021-07-29,89.2,89.81,88.97,89.19,58886
2021-07-30,88.45,89.635,88.45,89.18,42070
2021-08-02,89.12,90.275,89.045,89.63,87938
2021-08-03,89.94,91.9,89.49,91.43,92475
2021-08-04,90.61,91.29,90.09,90.39,34268
2021-08-05,90.86,90.995,89.17,89.735,31533
2021-08-06,90.42,91.335,90.29,90.965,77115
2021-08-09,90.52,90.65,89.53,89.59,19991
2021-08-10,89.895,90.075,89.355,89.38,22005
2021-08-11,89.87,91.235,89.61,90.81,30236
2021-08-12,91.06,91.67,90.48,91.22,24525
2021-08-13,91.42,92.405,91.215,91.83,20607
2021-08-16,91.72,92.965,91.64,92.32,53728
2021-08-17,91.625,91.67,90.505,91.42,30672
2021-08-18,91.025,91.585,88.74,88.77,64480
2021-08-19,88.22,88.72,87.14,87.73,37086
2021-08-20,87.465,88.865,87.465,88.7,12777
2021-08-23,89.28,90.19,89.045,89.535,24151
2021-08-24,90.08,90.08,89.24,89.53,17827
2021-08-25,89.51,90.77,89.49,90.31,19684
2021-08-26,89.91,90.14,89.68,89.98,12324
2021-08-27,90.19,91.07,89.89,90.71,30089
2021-08-30,90.78,91.535,90.48,90.79,32121
2021-08-31,90.705,90.705,89.64,90.08,41002
2021-09-01,89.89,90.05,87.57,89.15,60842
2021-09-02,89.035,90.8,89.0,90.77,49144
2021-09-03,90.73,91.09,90.0,90.1,14979
2021-09-07,89.57,89.93,88.42,88.49,45428
2021-09-08,88.49,89.36,88.01,89.09,40504
2021-09-09,88.81,89.2,86.82,87.28,50388
2021-09-10,88.38,89.105,87.92,88.42,74454
2021-09-13,89.885,90.615,88.97,89.09,87977
2021-09-14,89.68,90.37,89.135,90.1,49467
2021-09-15,90.17,91.295,89.9,90.64,33983
2021-09-16,90.71,91.565,90.28,90.3,44400
2021-09-17,89.61,89.61,87.06,87.43,68483
2021-09-20,86.62,87.49,86.095,86.815,61641
2021-09-21,87.16,87.7,86.41,87.42,37974
2021-09-22,87.5,88.08,87.26,87.49,70626
2021-09-23,87.81,88.67,87.81,88.48,43911
2021-09-24,88.25,89.2,87.94,88.49,48557
2021-09-27,88.84,90.18,88.14,89.69,62132
2021-09-28,89.33,89.86,88.535,88.73,41529
2021-09-29,88.73,88.76,87.69,88.45,56881
2021-09-30,88.72,88.85,86.94,87.0,48291
2021-10-01,87.91,87.91,85.87,86.3,41641
2021-10-04,86.72,87.11,86.13,86.48,68684
2021-10-05,86.52,87.84,86.1,87.34,27903
2021-10-06,87.245,88.83,86.95,88.75,40690
2021-10-07,89.45,90.07,89.38,89.66,41065
2021-10-08,89.47,90.81,89.47,90.67,28287
2021-10-11,92.45,92.45,91.04,91.26,18833
2021-10-12,91.05,91.9,90.5,90.89,36666
2021-10-13,90.23,92.11,89.83,91.52,55616
2021-10-14,92.13,93.97,92.13,93.97,28339
2021-10-15,94.91,96.38,94.575,94.64,53898
2021-10-18,95.48,100.63,95.46,97.015,145232
2021-10-19,96.83,97.675,96.56,97.53,35809
2021-10-20,97.54,98.38,97.54,98.38,32342
2021-10-21,98.64,99.16,98.07,98.79,28636
2021-10-22,99.12,99.91,99.02,99.68,21737
2021-10-25,98.89,99.575,97.86,98.17,33716
2021-10-26,98.76,99.53,97.235,98.52,92732
2021-10-27,98.02,98.06,94.175,97.65,181348
2021-10-28,97.91,99.24,97.54,98.19,62997
2021-10-29,97.865,98.42,96.41,96.98,21712
2021-11-01,97.06,97.9,95.81,95.995,35191
2021-11-02,95.68,95.68,94.09,94.57,129916
2021-11-03,94.36,94.84,91.4,94.5,107216
2021-11-04,94.97,96.815,94.86,96.04,26050
2021-11-05,96.69,96.69,93.55,93.78,30503
2021-11-08,94.17,95.04,94.09,94.36,47136
2021-11-09,94.61,95.04,94.005,94.08,23847
2021-11-10,93.94,93.94,92.325,92.87,51627
2021-11-11,93.31,93.485,92.45,92.86,40796
2021-11-12,92.92,94.76,92.92,94.49,24378
2021-11-15,94.82,95.69,94.13,95.63,35219
2021-11-16,95.645,97.745,95.645,96.55,74470
2021-11-17,96.135,96.135,94.4,94.4,31408
2021-11-18,94.33,94.33,92.47,93.95,27743
2021-11-19,93.57,96.435,93.57,96.27,49602
2021-11-22,96.615,98.2,96.24,96.78,48063
2021-11-23,96.72,97.8,95.86,97.77,54732
2021-11-24,97.465,98.405,97.465,98.26,35513
2021-11-26,96.84,98.07,95.71,96.33,23964
2021-11-29,96.57,96.57,95.48,95.6,21503
2021-11-30,94.76,95.72,94.29,95.13,56679
2021-12-01,96.53,96.55,93.84,93.84,49017
2021-12-02,93.99,95.04,93.15,94.21,97979
2021-12-03,95.16,97.045,95.0,97.0,94296
2021-12-06,97.94,98.52,97.5,97.92,60488
2021-12-07,98.76,100.48,98.08,98.31,66193
2021-12-08,98.88,99.9,98.63,99.61,36037
2021-12-09,99.64,101.23,99.08,100.66,45876
2021-12-10,101.855,104.81,101.855,104.71,86897
2021-12-13,104.81,106.24,102.62,105.04,48608
2021-12-14,104.125,105.62,103.34,103.61,39962
2021-12-15,105.18,105.48,103.56,104.035,42042
2021-12-16,104.47,105.67,104.16,104.43,43156
2021-12-17,103.985,104.44,101.12,101.32,80661
2021-12-20,100.94,101.635,99.87,100.78,55229
2021-12-21,101.23,102.24,100.49,101.72,78766
2021-12-22,102.51,102.51,100.95,101.26,31200
2021-12-23,101.57,103.12,101.57,102.51,41884
2021-12-27,102.74,104.58,102.58,104.52,34297
2021-12-28,105.22,106.235,104.81,106.08,30205
2021-12-29,106.07,108.06,106.07,107.4,35821
2021-12-30,107.74,107.74,106.62,107.08,26195
2021-12-31,107.46,107.87,106.96,107.66,16117
2022-01-03,109.0,110.29,107.325,107.86,56705
2022-01-04,107.67,110.89,107.59,110.41,42756
2022-01-05,110.43,111.99,109.525,109.7,85012
2022-01-06,111.89,111.935,108.89,110.86,64649
2022-01-07,110.67,110.67,108.0,108.43,91984
2022-01-10,108.31,108.6,106.36,107.84,70244
2022-01-11,108.545,108.545,106.53,107.99,41021
2022-01-12,108.53,108.66,106.6,107.35,44931
2022-01-13,107.685,108.87,107.55,108.49,99229
2022-01-14,107.53,108.43,106.37,108.32,39605
2022-01-18,107.38,109.26,106.685,109.12,36017
2022-01-19,109.34,109.88,107.47,107.5,45865
2022-01-20,109.575,109.6,104.91,104.99,78586
2022-01-21,105.18,107.32,104.725,105.0,39253
2022-01-24,104.51,107.79,104.26,107.59,78980
2022-01-25,107.17,107.17,104.64,105.14,63629
2022-01-26,103.81,104.8,101.84,102.61,91212
2022-01-27,103.23,105.29,102.67,102.79,74122
2022-01-28,102.98,104.13,101.99,104.09,32825
2022-01-31,103.52,104.77,102.75,104.62,75180
2022-02-01,105.08,106.79,103.51,104.56,88326
2022-02-02,93.79,96.9,92.335,92.5,237295
2022-02-03,92.52,93.185,89.405,89.52,112579
2022-02-04,89.4,89.87,86.585,88.74,79307
2022-02-07,88.18,90.01,87.44,89.33,104233
2022-02-08,89.53,90.01,87.97,88.24,66496
2022-02-09,88.59,89.61,87.6,89.35,71152
2022-02-10,88.33,91.745,88.33,90.33,69106
2022-02-11,90.17,90.91,89.29,89.46,74468
2022-02-14,89.55,89.55,88.31,89.26,68549
2022-02-15,89.45,90.4,89.175,89.84,69551
2022-02-16,89.77,90.8,88.905,90.42,46020
2022-02-17,89.84,91.075,89.2,90.84,60334
2022-02-18,91.545,92.71,90.965,92.03,66835
2022-02-22,92.34,93.19,91.82,92.43,94384
2022-02-23,92.67,93.36,91.81,92.44,87450
2022-02-24,91.36,96.56,91.1,96.24,118666
2022-02-25,96.28,97.26,95.155,96.8,73819
2022-02-28,96.03,96.745,94.905,96.69,101555
2022-03-01,99.485,105.67,99.41,104.86,250731
2022-03-02,103.835,103.935,101.58,103.0,133988
2022-03-03,103.23,104.87,102.15,102.62,172780
2022-03-04,103.27,107.53,102.74,106.48,117767
2022-03-07,106.17,107.44,104.71,105.14,107548
2022-03-08,104.84,105.61,101.48,101.5,94769
2022-03-09,102.3,102.64,99.58,101.58,97720
2022-03-10,101.24,103.18,100.65,102.31,49577
2022-03-11,102.21,102.99,101.4,102.24,84993
2022-03-14,102.16,102.26,97.44,98.85,118654
2022-03-15,99.55,99.665,97.36,98.55,62215
2022-03-16,98.76,102.03,98.76,102.03,86495
2022-03-17,100.57,104.22,100.57,103.95,69336
2022-03-18,103.68,105.0,102.45,104.9,61543
2022-03-21,106.6,107.15,104.99,105.31,62132
2022-03-22,105.85,106.14,103.8,106.07,46102
2022-03-23,106.07,106.82,104.555,104.69,55671
2022-03-24,105.365,106.65,104.85,106.38,57690
2022-03-25,106.46,109.56,106.315,109.5,87503
2022-03-28,109.05,110.5,108.43,110.12,59934
2022-03-29,110.71,111.09,109.46,110.65,88813
2022-03-30,111.15,111.28,108.295,109.78,86487
2022-03-31,109.3,110.41,107.48,107.77,63302
2022-04-01,107.27,107.27,100.91,103.21,145763
2022-04-04,101.66,103.27,100.885,102.74,117372
2022-04-05,102.99,103.24,100.69,101.54,149919
2022-04-06,101.345,101.93,99.595,99.69,123187
2022-04-07,100.18,101.08,98.57,100.88,91946
2022-04-08,104.38,104.38,100.85,102.03,98926
2022-04-11,102.31,103.665,102.11,102.67,100869
2022-04-12,103.0,103.97,101.24,101.41,48794
2022-04-13,101.45,101.65,99.82,101.65,79116
2022-04-14,101.86,103.635,101.57,103.255,58436
2022-04-18,103.45,103.77,102.04,102.75,71533
2022-04-19,102.68,104.0,102.435,103.43,110197
2022-04-20,104.15,104.73,103.09,103.19,131025
2022-04-21,104.23,104.52,102.82,103.24,103360
2022-04-22,102.99,103.8,101.98,102.23,98256
2022-04-25,101.57,103.22,100.78,103.2,106696
2022-04-26,103.59,104.17,101.26,101.3,91243
2022-04-27,101.645,103.34,101.645,102.945,101826
2022-04-28,107.75,110.43,106.61,110.34,172157
2022-04-29,111.38,111.99,105.96,106.15,54028
2022-05-02,105.38,109.8,105.38,108.3,63194
2022-05-03,108.99,110.315,108.24,108.595,82202
2022-05-04,109.475,110.875,108.82,110.59,83572
2022-05-05,111.0,111.0,105.43,106.37,100336
2022-05-06,107.155,109.59,105.74,106.94,59886
2022-05-09,106.385,108.73,106.005,107.97,73754
2022-05-10,108.865,110.565,107.49,110.27,84860
2022-05-11,110.26,110.64,107.3,108.28,76784
2022-05-12,108.315,108.315,105.3,107.73,136405
2022-05-13,108.09,108.775,105.44,105.79,78259
2022-05-16,106.16,108.16,105.7,106.88,88368
2022-05-17,106.96,110.05,106.96,109.71,49954
2022-05-18,109.445,109.445,102.94,103.16,177036
2022-05-19,102.15,102.59,99.58,101.18,90217
2022-05-20,103.135,104.78,100.89,101.74,137571
2022-05-23,102.66,104.78,102.52,104.43,75007
2022-05-24,103.96,105.29,102.94,104.85,100056
2022-05-25,104.365,106.77,104.365,106.08,69430
2022-05-26,106.96,107.88,106.6,107.61,36973
2022-05-27,108.77,108.79,106.535,107.48,61075
2022-05-31,106.92,108.905,105.49,108.38,55185
2022-06-01,108.605,109.94,108.555,108.96,77871
2022-06-02,109.36,109.485,106.7,107.54,95090
2022-06-03,107.13,109.0,107.13,107.97,42422
2022-06-06,107.58,110.14,107.51,109.3,39634
2022-06-07,108.41,108.48,106.935,107.06,31943
2022-06-08,106.13,106.46,103.25,103.66,45723
2022-06-09,103.03,104.75,102.09,102.1,92043
2022-06-10,101.195,102.64,100.69,101.73,80099
2022-06-13,100.44,101.79,99.215,100.335,109763
2022-06-14,104.54,115.76,104.54,106.41,345492
2022-06-15,106.58,107.1,102.105,103.19,160592
2022-06-16,102.43,102.93,100.54,101.13,70162
2022-06-17,101.05,101.05,98.43,98.98,82124
