date,open,high,low,close,volume
2021-07-21,56.86,58.105,56.8,57.79,353649
2021-07-22,57.85,57.97,56.89,57.78,407149
2021-07-23,57.87,58.585,57.805,58.38,252900
2021-07-26,58.17,58.76,58.045,58.7,444236
2021-07-27,58.59,59.065,58.285,58.56,238783
2021-07-28,58.29,58.52,57.38,58.025,493140
2021-07-29,59.11,59.69,58.07,58.09,732421
2021-07-30,58.1,59.225,57.91,58.84,920536
2021-08-02,58.93,59.245,58.035,58.46,380220
2021-08-03,58.655,58.655,57.25,58.22,321510
2021-08-04,57.89,58.06,57.51,58.01,187568
2021-08-05,58.145,58.565,58.1,58.32,213234
2021-08-06,58.29,58.96,58.155,58.7,443011
2021-08-09,58.645,58.67,58.045,58.27,327392
2021-08-10,58.11,58.46,58.05,58.44,208547
2021-08-11,58.675,59.145,58.485,59.095,293879
2021-08-12,59.05,59.14,58.6,59.02,322265
2021-08-13,59.335,59.42,59.01,59.315,578428
2021-08-16,59.135,59.58,58.86,59.27,266817
2021-08-17,59.02,59.49,58.83,59.48,424846
2021-08-18,59.43,59.68,58.99,59.06,325443
2021-08-19,58.985,59.205,58.52,58.93,222626
2021-08-20,58.95,59.655,58.73,59.38,272097
2021-08-23,59.16,60.12,59.02,59.8,264442
2021-08-24,59.83,60.035,59.41,59.53,241653
2021-08-25,59.495,59.81,59.24,59.48,135066
2021-08-26,59.38,59.47,58.975,59.0,182211
2021-08-27,59.15,59.51,58.96,59.39,462235
2021-08-30,59.29,59.745,59.1,59.73,208588
2021-08-31,59.615,60.75,59.41,60.725,584775
2021-09-01,60.94,61.49,60.58,61.165,598754
2021-09-02,61.46,61.795,61.33,61.74,288017
2021-09-03,61.45,61.795,61.345,61.74,188787
2021-09-07,61.46,61.47,60.2,60.3,607614
2021-09-08,60.13,60.51,60.045,60.13,635828
2021-09-09,60.15,60.205,59.43,59.55,228148
2021-09-10,59.495,59.82,59.07,59.295,231778
2021-09-13,59.98,60.57,59.525,59.995,336837
2021-09-14,60.34,60.795,55.4,55.59,3403292
2021-09-15,55.58,57.68,55.55,57.0,1365340
2021-09-16,57.225,57.72,56.41,57.3,531149
2021-09-17,56.93,57.59,56.815,57.11,332538
2021-09-20,56.73,56.99,55.87,56.51,403882
2021-09-21,56.99,57.275,55.75,56.06,333774
2021-09-22,56.92,57.055,55.91,55.99,463719
2021-09-23,56.12,56.88,55.9,56.16,490534
2021-09-24,55.895,56.475,55.79,56.23,332940
2021-09-27,55.86,56.32,55.78,56.31,334089
2021-09-28,55.56,55.815,54.62,54.73,509288
2021-09-29,55.0,56.18,54.74,55.95,511118
2021-09-30,55.98,56.915,55.95,55.95,729299
2021-10-01,56.39,57.465,56.09,57.19,390889
2021-10-04,57.06,57.17,56.525,56.79,702429
2021-10-05,56.27,57.28,56.27,56.78,554312
2021-10-06,56.21,56.97,55.92,56.9,434246
2021-10-07,57.43,57.95,57.3,57.41,444419
2021-10-08,56.95,56.95,54.585,54.71,1082232
2021-10-11,53.96,54.09,52.18,52.18,2030680
2021-10-12,52.255,52.615,51.52,52.33,1302752
2021-10-13,53.0,53.21,52.105,52.7,1219073
2021-10-14,53.03,54.305,52.9,53.98,881559
2021-10-15,54.06,54.53,53.69,54.01,537312
2021-10-18,53.61,53.71,52.9,53.23,566649
2021-10-19,53.54,54.25,53.515,54.25,477754
2021-10-20,54.465,54.88,53.93,54.69,840513
2021-10-21,54.62,54.71,53.78,54.06,548882
2021-10-22,54.11,54.35,53.51,54.22,483700
2021-10-25,54.13,54.28,53.65,54.12,451670
2021-10-26,54.07,54.34,53.54,53.74,712037
2021-10-27,53.815,53.825,52.145,52.465,1001351
2021-10-28,50.085,52.72,49.88,51.9,763329
2021-10-29,51.705,52.56,51.115,51.435,1624287
2021-11-01,51.525,52.69,51.49,52.255,998001
2021-11-02,52.37,52.945,51.89,52.645,865631
2021-11-03,52.51,53.085,52.265,52.945,1087984
2021-11-04,52.8,53.24,52.14,52.73,806365
2021-11-05,53.35,54.315,53.35,53.91,707803
2021-11-08,53.84,54.03,53.23,53.505,457963
2021-11-09,53.49,53.97,53.325,53.79,739589
2021-11-10,53.975,54.53,53.79,54.19,592170
2021-11-11,54.05,54.19,53.51,53.65,412579
2021-11-12,53.96,53.96,53.155,53.5,438210
2021-11-15,53.46,53.73,53.25,53.425,370034
2021-11-16,53.44,53.725,53.065,53.13,402424
2021-11-17,53.1,53.785,52.95,53.75,519571
2021-11-18,53.34,53.61,52.68,52.78,784035
2021-11-19,52.69,52.785,51.62,51.93,639442
2021-11-22,51.695,52.525,51.155,51.52,762345
2021-11-23,51.75,52.515,51.54,52.045,379563
2021-11-24,51.97,52.13,51.495,51.88,244119
2021-11-26,51.37,51.37,50.73,51.12,384114
2021-11-29,51.51,51.76,50.82,51.51,707872
2021-11-30,51.295,51.295,49.81,49.98,540621
2021-12-01,51.19,51.38,49.065,49.075,818967
2021-12-02,49.745,51.945,49.695,51.51,760909
2021-12-03,51.45,52.245,51.41,51.82,691457
2021-12-06,52.19,53.315,52.06,52.35,638032
2021-12-07,52.28,53.14,48.715,49.54,2162295
2021-12-08,49.3,49.825,48.595,48.89,2154848
2021-12-09,48.73,48.73,47.6,47.805,2076806
2021-12-10,48.22,48.505,47.785,48.44,2110774
2021-12-13,48.18,48.36,47.455,47.7,1654786
2021-12-14,46.445,48.995,46.425,48.78,1553903
2021-12-15,48.15,48.67,47.79,48.185,942898
2021-12-16,48.56,49.515,48.425,48.82,1065704
2021-12-17,48.275,49.245,48.05,48.65,773745
2021-12-20,48.32,48.675,47.985,48.42,580927
2021-12-21,48.415,49.31,48.415,48.85,656999
2021-12-22,48.91,49.16,48.43,49.03,621199
2021-12-23,49.365,50.205,49.365,50.05,416714
2021-12-27,49.93,50.59,49.72,50.495,462509
2021-12-28,50.47,51.015,50.31,50.505,276158
2021-12-29,50.62,50.755,50.32,50.595,214470
2021-12-30,50.73,51.2,50.53,50.61,300390
2021-12-31,50.79,51.28,50.3,50.34,323243
2022-01-03,50.01,50.92,49.73,50.74,334714
2022-01-04,50.72,50.92,49.935,50.2,587798
2022-01-05,50.42,51.2,50.15,50.23,502868
2022-01-06,50.44,50.975,50.22,50.51,616736
2022-01-07,50.36,50.56,49.985,50.05,442298
2022-01-10,50.33,50.91,49.865,50.51,1065298
2022-01-11,50.58,51.175,50.37,51.13,408842
2022-01-12,51.4,51.67,50.825,50.95,439911
2022-01-13,50.8,51.68,50.12,51.35,473776
2022-01-14,51.3,52.095,51.15,51.68,771710
2022-01-18,51.025,51.35,50.07,50.19,670659
2022-01-19,50.29,50.765,49.52,50.34,496180
2022-01-20,50.53,51.61,50.16,50.22,656888
2022-01-21,50.4,50.94,49.65,49.74,759846
2022-01-24,50.49,51.19,48.785,50.04,1150035
2022-01-25,49.32,50.035,48.82,49.68,652684
2022-01-26,49.64,50.335,47.89,48.36,982152
2022-01-27,45.52,50.07,45.5,47.99,1677724
2022-01-28,47.8,49.865,47.78,49.69,961941
2022-01-31,49.23,50.1,49.04,49.955,673107
2022-02-01,49.1,50.0,48.91,49.9,576199
2022-02-02,49.915,50.225,49.4,49.98,458682
2022-02-03,50.39,50.86,49.61,49.64,1124308
2022-02-04,49.175,49.67,48.73,49.33,600104
2022-02-07,49.47,49.51,48.73,48.86,677842
2022-02-08,49.115,49.535,48.86,49.2,447861
2022-02-09,49.49,49.785,49.255,49.75,676957
2022-02-10,49.03,49.58,48.76,48.91,657944
2022-02-11,48.76,49.275,47.52,47.535,669914
2022-02-14,47.79,47.945,47.09,47.355,1173256
2022-02-15,47.76,48.315,47.76,48.04,438293
