date,open,high,low,close,volume
2021-07-21,209.06,213.325,209.06,212.02,91738
2021-07-22,211.99,212.36,208.59,209.37,62340
2021-07-23,210.79,212.7,210.63,211.91,35081
2021-07-26,211.575,211.815,209.71,210.37,34407
2021-07-27,209.59,214.54,209.36,211.99,53970
2021-07-28,209.59,215.62,209.59,213.44,85930
2021-07-29,214.81,215.89,211.955,214.68,28963
2021-07-30,213.43,215.1,211.75,212.12,64395
2021-08-02,212.6,213.77,211.15,211.24,28352
2021-08-03,210.25,210.25,206.745,208.71,57855
2021-08-04,207.62,209.53,207.62,208.46,160890
2021-08-05,209.33,210.03,207.11,208.29,96806
2021-08-06,209.6,210.535,208.86,209.87,123200
2021-08-09,209.88,209.98,208.51,209.11,44175
2021-08-10,208.935,209.605,207.69,208.945,46111
2021-08-11,209.695,210.61,208.83,209.03,32318
2021-08-12,208.65,208.65,205.815,208.43,60818
2021-08-13,207.99,208.06,206.55,207.18,18229
2021-08-16,206.295,207.255,204.3,207.23,29360
2021-08-17,207.15,207.34,204.225,205.32,52302
2021-08-18,204.49,204.55,196.21,197.55,410020
2021-08-19,196.33,198.965,196.04,198.12,102788
2021-08-20,198.25,200.835,197.805,198.35,72528
2021-08-23,199.34,202.08,199.28,201.82,39333
2021-08-24,201.895,202.4,199.77,200.56,27789
2021-08-25,200.17,201.44,199.575,200.29,30435
2021-08-26,199.74,200.955,199.3,199.34,24480
2021-08-27,199.25,200.3,198.43,199.91,56322
2021-08-30,199.96,201.42,198.81,199.2,38149
2021-08-31,199.7,201.805,199.42,201.73,64850
2021-09-01,200.88,201.085,198.96,199.035,137082
2021-09-02,199.6,199.6,195.93,197.59,92093
2021-09-03,197.375,197.375,195.23,195.33,33026
2021-09-07,194.34,195.15,192.675,193.78,65117
2021-09-08,193.585,194.36,192.29,193.75,52707
2021-09-09,192.58,193.28,191.72,192.47,26680
2021-09-10,192.855,192.855,189.13,189.17,63281
2021-09-13,191.17,191.51,187.99,189.3,55209
2021-09-14,189.935,191.57,187.93,188.77,33308
2021-09-15,187.25,188.99,187.25,188.865,77746
2021-09-16,189.455,191.225,188.67,188.81,51697
2021-09-17,188.925,189.59,187.86,188.71,31406
2021-09-20,187.495,189.06,185.99,188.05,41525
2021-09-21,188.33,189.26,185.82,185.82,53999
2021-09-22,186.86,189.94,186.19,189.33,96008
2021-09-23,190.67,194.11,190.54,193.48,57238
2021-09-24,192.83,198.53,192.83,198.02,75918
2021-09-27,198.41,201.675,198.07,198.445,64530
2021-09-28,200.6,200.6,195.71,197.74,91579
2021-09-29,197.575,197.7,195.98,196.2,38457
2021-09-30,197.26,197.26,193.28,193.28,51825
2021-10-01,193.825,197.15,191.98,196.47,60140
2021-10-04,196.585,197.73,192.39,194.68,112871
2021-10-05,194.955,199.42,194.955,198.28,51501
2021-10-06,197.705,198.8,196.585,198.68,59245
2021-10-07,200.33,202.24,199.79,202.09,61783
2021-10-08,200.97,202.27,200.235,201.5,60082
2021-10-11,202.67,204.3,201.34,201.34,34139
2021-10-12,201.6,203.7,201.16,202.77,23988
2021-10-13,201.15,204.54,199.54,204.33,96336
2021-10-14,204.29,207.17,204.22,207.12,42421
2021-10-15,208.225,212.51,207.91,212.02,107790
2021-10-18,211.18,214.35,210.955,213.95,87721
2021-10-19,214.32,217.59,213.97,217.59,115500
2021-10-20,217.6,217.6,213.06,214.23,44588
2021-10-21,214.63,215.99,213.81,214.56,44881
2021-10-22,214.88,218.63,214.44,218.0,47574
2021-10-25,217.64,218.53,216.83,217.74,61775
