date,open,high,low,close,volume
2021-07-21,62.01,62.18,61.03,61.045,70487
2021-07-22,60.97,61.49,60.88,61.23,103411
2021-07-23,61.295,62.1,61.295,62.1,70918
2021-07-26,62.0,62.13,61.395,61.98,103865
2021-07-27,61.85,63.395,61.67,63.235,106677
2021-07-28,62.97,63.2,61.73,62.29,48200
2021-07-29,62.17,62.72,61.94,62.34,49247
2021-07-30,62.43,62.855,61.705,61.78,86807
2021-08-02,62.05,62.8,61.82,62.65,99140
2021-08-03,62.82,63.66,62.42,63.23,86258
2021-08-04,62.985,63.28,62.42,63.27,61125
2021-08-05,62.71,63.24,62.56,63.215,60967
2021-08-06,63.1,63.715,62.83,63.31,67369
2021-08-09,63.42,63.42,62.92,63.245,43495
2021-08-10,62.94,63.225,62.77,62.94,47675
2021-08-11,63.175,63.47,62.97,63.2,44666
2021-08-12,63.18,63.45,62.93,62.99,28483
2021-08-13,62.97,63.62,62.97,63.46,21155
2021-08-16,63.56,64.31,63.525,63.88,25676
2021-08-17,63.73,64.255,63.625,64.245,61431
2021-08-18,64.4,64.4,63.465,63.82,74906
2021-08-19,63.745,64.45,63.73,64.01,73963
2021-08-20,63.655,64.82,63.63,64.81,69648
2021-08-23,64.52,64.62,63.99,64.08,86323
2021-08-24,64.03,64.1,63.31,63.56,65279
2021-08-25,63.43,63.8,63.18,63.66,68747
2021-08-26,63.56,63.94,63.27,63.84,35538
2021-08-27,64.035,64.63,63.91,64.14,85402
2021-08-30,64.22,64.63,64.16,64.51,82162
2021-08-31,64.23,64.72,63.77,64.1,112747
2021-09-01,64.305,65.085,64.25,65.05,57643
2021-09-02,65.15,65.61,65.15,65.61,93051
2021-09-03,65.38,65.49,64.95,64.98,60020
2021-09-07,64.765,64.78,63.435,63.53,69501
2021-09-08,63.5,64.99,63.39,64.72,54633
2021-09-09,64.58,64.76,64.33,64.45,44996
2021-09-10,64.18,64.21,63.6,63.61,51848
2021-09-13,63.98,64.08,62.87,62.97,49704
2021-09-14,63.12,63.48,63.0,63.17,125936
2021-09-15,62.985,63.48,62.52,62.8,215567
2021-09-16,62.79,63.17,62.395,62.46,65398
2021-09-17,62.49,62.57,61.525,61.64,93241
2021-09-20,61.8,62.205,61.2,61.82,44972
2021-09-21,62.01,62.27,61.52,61.69,70053
2021-09-22,61.4,61.86,61.21,61.51,36063
2021-09-23,61.8,61.8,60.595,60.66,92587
2021-09-24,60.785,61.21,60.67,60.745,31112
2021-09-27,60.9,61.315,59.37,59.46,64879
2021-09-28,59.345,59.6,58.52,58.87,68184
2021-09-29,58.86,60.26,58.86,59.84,54510
2021-09-30,59.95,60.21,59.51,59.74,90602
2021-10-01,60.16,60.35,59.7,59.715,44910
2021-10-04,59.68,61.165,59.68,60.89,95980
2021-10-05,60.955,61.02,60.18,60.35,109521
2021-10-06,60.12,61.27,60.0,61.24,22569
2021-10-07,61.41,61.68,60.41,60.55,30986
2021-10-08,60.38,60.505,60.05,60.215,25378
2021-10-11,59.97,60.22,59.255,59.36,41692
2021-10-12,59.26,59.87,59.26,59.76,39510
2021-10-13,59.58,60.72,59.53,60.65,55190
2021-10-14,60.63,61.43,60.63,60.94,35397
2021-10-15,61.09,61.185,60.1,60.285,118679
2021-10-18,59.61,59.65,59.175,59.53,89288
2021-10-19,59.94,60.265,59.62,60.22,34441
2021-10-20,60.49,61.1,60.4,60.79,24892
2021-10-21,60.95,60.95,60.625,60.805,22677
2021-10-22,61.09,61.22,60.91,61.06,17556
2021-10-26,60.22,60.82,60.13,60.6,26834
2021-10-27,60.735,60.77,59.68,60.325,62132
2021-10-28,60.4,60.94,59.94,60.73,64791
2021-10-29,60.67,61.02,60.16,60.35,30913
2021-11-01,60.19,60.65,59.98,60.295,37003
2021-11-02,60.31,60.58,59.9,60.45,43187
2021-11-03,60.4,60.8,59.69,60.17,56185
2021-11-04,59.615,60.13,59.215,60.01,73061
2021-11-05,60.32,60.985,60.295,60.52,31240
2021-11-08,60.23,60.41,59.44,59.59,60520
2021-11-09,59.72,60.26,59.665,60.07,40354
2021-11-10,60.54,60.935,60.21,60.91,59006
2021-11-11,60.83,60.85,60.0,60.11,66402
2021-11-12,60.31,60.35,59.965,60.01,27758
2021-11-15,60.395,61.15,60.085,61.15,61212
2021-11-16,61.15,61.27,60.515,60.53,62001
