date,open,high,low,close,volume
2021-07-21,25.32,25.56,25.11,25.175,121950
2021-07-22,25.18,25.275,24.97,25.03,111517
2021-07-23,25.1,25.195,24.95,25.18,75001
2021-07-26,25.25,25.415,25.21,25.36,114531
2021-07-27,25.25,25.7,25.2,25.7,102103
2021-07-28,25.67,25.79,25.47,25.665,173171
2021-07-29,25.64,25.83,25.54,25.83,147546
2021-07-30,25.83,26.04,25.355,25.46,273144
2021-08-02,25.5,25.765,25.495,25.56,145478
2021-08-03,25.46,25.875,25.39,25.865,167117
2021-08-04,25.73,25.825,25.285,25.695,88404
2021-08-05,25.82,26.255,25.69,26.24,271672
2021-08-06,26.26,26.92,26.225,26.49,338770
2021-08-09,26.44,26.55,26.27,26.535,178316
2021-08-10,26.46,26.705,26.365,26.62,271923
2021-08-11,26.69,26.84,26.46,26.825,126082
2021-08-12,26.77,26.815,26.535,26.75,75836
2021-08-13,26.815,26.915,26.655,26.9,120123
2021-08-16,26.845,27.195,26.775,26.805,241573
2021-08-17,26.6,26.855,26.295,26.85,135935
2021-08-18,26.62,26.68,26.31,26.41,113957
2021-08-19,26.24,26.645,25.875,25.915,267605
2021-08-20,25.8,26.37,25.7,26.355,118632
2021-08-23,26.37,26.46,26.095,26.19,79097
2021-08-24,26.27,26.27,25.835,25.845,74906
2021-08-25,25.82,25.89,25.71,25.71,205061
2021-08-26,25.64,25.645,25.305,25.37,126027
2021-08-27,25.37,25.7,25.37,25.63,87387
2021-08-30,25.62,25.62,25.325,25.39,143126
2021-08-31,25.255,25.41,24.835,25.09,391616
2021-09-01,25.17,25.69,25.17,25.51,256624
2021-09-02,25.53,25.785,25.5,25.765,183592
2021-09-03,25.76,26.01,25.625,25.95,174232
2021-09-07,25.955,26.115,25.71,25.81,241314
2021-09-08,25.75,26.66,25.725,26.47,271268
2021-09-09,26.475,26.7,26.325,26.57,472486
2021-09-10,26.66,26.66,26.17,26.22,154586
2021-09-13,26.42,26.42,26.015,26.16,179007
2021-09-14,26.26,26.32,25.65,25.65,118704
2021-09-15,25.66,25.66,25.045,25.1,165565
2021-09-16,25.05,25.105,24.63,24.63,269210
2021-09-17,24.53,24.77,24.39,24.41,300772
2021-09-20,24.35,24.87,24.35,24.71,269905
2021-09-21,24.83,25.2,24.805,24.93,261296
2021-09-22,24.995,25.025,24.515,24.56,181788
2021-09-23,24.56,25.29,24.52,24.79,288528
2021-09-24,25.05,25.51,25.05,25.41,552294
2021-09-27,25.51,25.825,25.35,25.415,279191
2021-09-28,25.28,25.43,24.765,24.95,390900
2021-09-29,25.06,25.425,24.925,25.115,134888
