date,open,high,low,close,volume
2021-07-21,70.205,72.94,70.205,72.44,64128
2021-07-22,72.26,73.38,70.9,71.09,25448
2021-07-23,71.12,71.47,70.08,71.38,33694
2021-07-26,70.85,71.04,67.23,67.46,103517
2021-07-27,67.4,67.4,64.27,66.11,67132
2021-07-28,66.11,68.81,66.11,68.32,48114
2021-07-29,68.825,69.68,67.85,69.51,79828
2021-07-30,69.31,69.975,69.095,69.79,46579
2021-08-02,70.62,70.99,69.155,69.53,41367
2021-08-03,68.85,69.11,65.665,66.99,93467
2021-08-04,66.73,70.165,66.73,69.38,101076
2021-08-05,69.5,70.7,68.73,69.2,40571
2021-08-06,68.31,69.48,67.92,68.34,83982
2021-08-09,68.41,68.875,67.115,67.89,144707
2021-08-10,68.77,70.86,64.105,64.99,168485
2021-08-11,64.62,64.62,62.66,64.37,100216
2021-08-12,63.885,64.4,63.4,63.85,44372
2021-08-13,63.74,64.07,63.17,63.295,43279
2021-08-16,62.805,63.5,62.23,62.29,67341
2021-08-17,61.49,62.04,60.8,61.39,98397
2021-08-18,61.39,62.01,60.53,60.9,70554
2021-08-19,60.26,61.32,59.79,59.95,69310
2021-08-20,59.39,60.455,59.125,60.43,59999
2021-08-23,61.06,62.01,60.15,61.54,84926
2021-08-24,62.0,62.63,61.47,62.45,45072
2021-08-25,62.62,63.215,62.46,62.63,50793
2021-08-26,62.08,62.66,60.905,61.03,30288
2021-08-27,61.34,63.87,61.34,63.61,30705
2021-08-30,64.18,64.19,62.39,63.05,43083
2021-08-31,63.005,63.33,62.15,62.965,28057
2021-09-01,62.93,63.72,62.385,62.65,22802
2021-09-02,62.78,63.1,61.715,61.83,53641
2021-09-03,61.825,62.58,61.19,61.48,17764
2021-09-07,61.9,61.99,61.28,61.89,33107
2021-09-08,61.49,61.52,60.41,60.72,53629
2021-09-09,60.64,62.61,60.51,62.34,208977
2021-09-10,62.98,63.175,61.405,61.44,33661
2021-09-13,61.84,62.83,60.77,61.93,29449
2021-09-14,62.21,62.21,60.69,60.93,16429
2021-09-15,60.61,61.7,60.12,61.51,19284
2021-09-16,60.76,62.2,60.615,61.84,37188
2021-09-17,62.07,62.09,60.25,60.52,38344
2021-09-20,59.17,59.4,57.82,59.35,71443
2021-09-21,59.66,60.02,58.84,59.41,17353
2021-09-22,59.8,61.27,59.3,61.02,40243
2021-09-23,61.48,62.295,61.24,61.405,32758
2021-09-24,61.025,61.63,60.63,61.48,23749
2021-09-27,61.215,62.1,60.75,60.755,34539
2021-09-28,60.06,60.69,59.29,60.37,33116
2021-09-29,60.47,60.78,59.48,59.57,20272
2021-09-30,60.0,60.82,59.34,59.34,39091
2021-10-01,60.22,60.88,59.02,60.54,28341
2021-10-04,58.075,58.075,55.435,55.53,177127
2021-10-05,56.14,56.84,55.56,55.615,63437
2021-10-06,54.78,55.82,54.44,54.61,77645
2021-10-07,55.635,58.55,55.635,57.53,114683
2021-10-08,57.37,57.83,57.04,57.16,28343
2021-10-11,56.75,56.88,55.325,55.325,49332
2021-10-12,55.2,55.355,54.4,55.1,122260
2021-10-13,55.43,56.25,55.02,55.81,25820
2021-10-14,56.62,58.045,56.44,57.8,18082
2021-10-15,58.27,58.57,57.345,57.59,21226
2021-10-18,57.1,58.14,57.1,57.785,17658
2021-10-19,58.0,59.02,57.96,58.96,25971
2021-10-20,58.71,59.025,58.53,58.68,37390
2021-10-21,58.66,59.48,58.33,59.13,18128
2021-10-22,59.05,59.63,58.3,58.63,125167
2021-10-25,58.91,59.65,58.85,58.995,36543
2021-10-26,59.33,59.88,58.395,58.44,28780
2021-10-27,58.45,58.78,57.58,57.9,43526
2021-10-28,58.455,61.84,57.9,61.18,89001
2021-10-29,60.76,61.89,60.365,60.52,21520
2021-11-01,60.39,63.57,60.335,63.21,72920
2021-11-02,63.4,63.9,63.0,63.85,32952
2021-11-03,63.935,65.37,63.74,64.07,36501
2021-11-04,64.51,64.72,63.11,63.97,31657
2021-11-05,64.37,65.58,64.13,64.24,57906
2021-11-08,64.88,65.37,63.335,63.57,98894
2021-11-09,63.26,66.44,63.26,64.22,280306
2021-11-10,63.18,65.01,62.84,64.09,99611
2021-11-11,64.33,66.32,64.275,65.35,57543
2021-11-12,65.21,65.785,64.61,65.19,38147
2021-11-15,65.465,66.02,65.0,65.37,21696
2021-11-16,64.94,65.63,64.79,65.25,21036
2021-11-17,64.62,65.51,64.52,65.27,35323
2021-11-18,65.2,65.3,63.52,65.01,33484
2021-11-19,64.82,65.27,63.74,64.09,38144
2021-11-22,64.335,65.36,63.8,64.46,34451
2021-11-23,65.4,65.59,63.11,64.18,58574
2021-11-24,63.8,64.895,63.32,64.42,33676
2021-11-26,61.92,63.2,61.85,62.685,64741
2021-11-29,63.23,63.36,61.5,62.19,48109
2021-11-30,62.17,63.25,61.6,62.5,44012
2021-12-01,63.28,64.355,60.605,60.62,45271
2021-12-02,59.55,61.78,59.55,61.475,38492
2021-12-03,62.1,62.1,60.555,60.98,39829
2021-12-06,60.18,63.415,59.59,62.7,70631
2021-12-07,64.32,67.36,64.19,66.24,63001
2021-12-08,66.42,67.82,66.25,67.02,46495
2021-12-09,66.83,67.65,66.67,66.81,45986
2021-12-10,67.33,68.13,66.55,66.75,43969
2021-12-13,66.855,67.54,65.925,66.57,49616
2021-12-14,65.88,66.08,63.71,64.805,45667
2021-12-15,66.63,70.53,66.035,70.47,141195
2021-12-16,71.26,71.26,67.7,68.0,77584
2021-12-17,67.43,69.58,67.43,68.09,54861
2021-12-20,67.335,67.42,66.15,66.98,51415
2021-12-21,68.01,68.665,67.66,68.58,61055
2021-12-22,68.48,68.53,67.415,67.795,39829
2021-12-23,67.65,68.47,67.06,68.0,28180
2021-12-27,68.67,69.79,68.67,69.52,33252
2021-12-28,69.405,69.405,68.05,68.19,21415
2021-12-29,68.585,69.43,68.23,69.22,47124
2021-12-30,69.42,69.42,68.16,68.16,20515
2021-12-31,67.82,68.64,67.82,68.37,15633
2022-01-03,69.85,72.4,69.84,71.49,55698
2022-01-04,71.06,74.6,70.495,74.56,89136
2022-01-05,73.995,74.78,72.37,72.37,60400
2022-01-06,72.55,73.085,71.37,71.68,78072
2022-01-07,72.05,72.14,69.96,71.77,71221
2022-01-10,71.24,71.43,68.85,71.41,82957
2022-01-11,71.53,72.72,71.29,72.7,74864
2022-01-12,73.31,73.87,71.34,71.565,33236
2022-01-13,71.795,72.42,69.98,70.16,47739
2022-01-14,69.28,71.175,69.12,71.13,49185
2022-01-18,69.78,70.255,68.32,68.37,45829
