date,open,high,low,close,volume
2021-07-21,62.68,63.7,62.45,63.34,301996
2021-07-22,63.97,66.25,63.82,65.76,533088
2021-07-23,65.56,68.15,65.3,67.2,614576
2021-07-26,66.89,66.89,65.36,66.17,220144
2021-07-27,66.62,66.62,63.53,64.4,421212
2021-07-28,65.05,66.2,64.51,65.85,400344
2021-07-29,65.49,66.6,64.9,65.01,568484
2021-07-30,64.18,64.88,63.19,63.4,616192
2021-08-02,63.51,64.28,61.6,63.49,984968
2021-08-03,63.9,65.6,62.67,63.55,542052
2021-08-04,64.12,66.25,63.55,66.05,385424
2021-08-05,66.19,67.03,65.36,66.44,248480
2021-08-06,66.19,66.87,64.06,65.16,386532
2021-08-09,65.24,66.36,64.63,65.85,421276
2021-08-10,66.52,66.59,63.05,63.09,541584
2021-08-11,63.57,63.75,58.49,59.96,1241204
2021-08-12,60.18,61.81,60.08,61.4,379344
2021-08-13,61.58,62.21,60.6,60.94,322504
2021-08-16,60.8,60.85,57.32,58.64,630248
2021-08-17,58.28,58.29,56.82,58.15,474012
2021-08-18,58.42,59.33,57.61,58.42,414432
2021-08-19,58.36,59.27,57.86,58.68,325652
2021-08-20,59.21,59.61,58.39,59.47,190080
2021-08-23,60.65,61.7,59.84,61.44,738396
2021-08-24,65.25,67.41,64.65,66.4,1839512
2021-08-25,66.83,68.89,66.3,67.47,1742596
2021-08-26,67.26,70.44,67.19,69.68,891396
2021-08-27,69.69,71.43,69.44,70.58,728260
2021-08-30,71.32,72.29,70.16,71.59,794512
2021-08-31,70.38,71.58,69.62,70.2,1222000
2021-09-01,68.34,71.31,67.33,67.49,1768648
2021-09-02,68.06,68.76,67.38,68.13,673592
2021-09-03,68.4,69.69,67.89,69.53,534788
2021-09-07,69.82,69.9,67.13,67.42,829048
2021-09-08,67.65,67.65,65.96,66.25,730948
2021-09-09,66.18,67.42,66.18,66.27,846796
2021-09-10,67.04,67.42,65.15,65.49,621308
2021-09-13,64.56,64.83,62.16,63.49,830436
2021-09-14,63.97,64.74,63.46,64.36,313872
2021-09-15,64.52,64.95,63.63,64.86,319028
2021-09-16,64.97,66.26,64.3,66.17,327160
2021-09-17,66.59,66.59,64.89,65.8,438640
2021-09-20,63.53,65.32,63.32,64.41,756696
2021-09-21,63.6,64.83,63.13,63.5,1199232
2021-09-22,63.08,65.25,62.73,64.93,412676
2021-09-23,65.4,66.01,65.01,65.56,255860
2021-09-24,65.45,65.5,63.59,65.46,246248
2021-09-27,64.99,65.09,62.59,63.34,547828
2021-09-28,62.04,62.38,60.08,60.42,666364
2021-09-29,60.99,62.0,59.64,59.9,627592
2021-09-30,60.13,61.92,60.07,61.42,502640
2021-10-01,61.64,63.06,60.85,62.32,259600
2021-10-04,61.48,61.48,58.91,59.71,786032
2021-10-05,60.5,61.51,60.01,61.27,352140
2021-10-06,60.89,62.9,60.89,62.11,371404
2021-10-07,62.88,63.41,62.42,62.43,253556
2021-10-08,62.65,62.7,60.92,61.28,351568
2021-10-11,60.76,62.07,60.5,61.08,147304
2021-10-12,61.67,63.56,60.92,63.18,423288
2021-10-13,63.53,67.94,63.53,67.62,967028
2021-10-14,67.55,69.1,67.1,69.0,661284
2021-10-15,68.88,69.0,67.63,68.28,319224
2021-10-18,68.25,71.42,67.53,71.39,502840
2021-10-19,70.82,71.3,69.78,70.58,293872
2021-10-20,70.86,72.0,69.91,70.76,209768
2021-10-21,70.6,71.8,70.6,71.02,308960
2021-10-22,71.14,72.59,70.09,70.83,361964
2021-10-25,71.08,71.28,69.53,69.99,466328
2021-10-26,71.11,74.33,70.76,71.74,907132
2021-10-27,71.91,72.83,69.61,69.81,318784
2021-10-28,69.56,70.93,68.26,70.31,209980
2021-10-29,70.1,71.02,69.91,70.47,212612
2021-11-01,68.82,68.82,65.84,67.26,738444
2021-11-02,66.6,67.68,66.09,67.01,476340
2021-11-03,67.74,67.84,66.56,67.66,276160
