date,open,high,low,close,volume
2021-07-21,53.8,53.9,53.425,53.85,591063
2021-07-22,53.91,54.55,53.79,54.55,604152
2021-07-23,54.825,55.335,54.53,55.2,477850
2021-07-26,55.17,55.645,55.14,55.47,376623
2021-07-27,55.37,55.37,54.795,55.28,433635
2021-07-28,55.4,55.47,54.41,54.76,648531
2021-07-29,55.16,55.345,54.9,55.065,499689
2021-07-30,55.09,55.485,55.02,55.37,475177
2021-08-02,55.57,55.93,55.26,55.44,346221
2021-08-03,55.5,56.41,55.29,56.26,411933
2021-08-04,56.37,56.37,55.49,55.72,435714
2021-08-05,55.55,55.98,55.55,55.74,434658
2021-08-06,55.51,55.945,55.16,55.605,511349
2021-08-09,55.86,56.055,55.4,55.485,228143
2021-08-10,55.55,55.67,55.25,55.615,220943
2021-08-11,55.94,56.005,55.605,55.845,433452
2021-08-12,55.86,56.42,55.675,56.41,256850
2021-08-13,56.38,56.61,56.265,56.475,454099
2021-08-16,56.32,56.43,55.935,56.305,608881
2021-08-17,55.85,56.0,55.63,55.995,378179
2021-08-18,55.69,56.13,55.03,55.06,605677
2021-08-19,54.79,57.49,54.68,57.31,1260684
2021-08-20,57.225,58.33,56.87,58.24,599391
2021-08-23,57.94,58.69,57.93,58.515,457078
2021-08-24,58.49,59.43,58.435,59.33,732924
2021-08-25,59.56,60.265,59.195,59.355,508933
2021-08-26,59.405,59.62,58.985,59.245,590894
2021-08-27,59.32,59.345,58.89,59.0,689358
2021-08-30,59.075,59.22,58.805,59.145,421869
2021-08-31,59.04,59.12,58.585,59.02,474536
2021-09-01,59.02,59.135,58.675,59.025,420467
2021-09-02,59.44,59.72,59.06,59.55,412317
2021-09-03,59.31,59.64,59.28,59.42,297273
2021-09-07,59.23,59.345,58.755,58.875,341298
2021-09-08,58.71,58.905,58.49,58.66,607644
2021-09-09,58.45,58.94,58.25,58.59,490740
2021-09-10,58.71,58.94,57.83,57.91,471302
2021-09-13,58.07,58.52,57.73,58.12,341471
2021-09-14,58.23,58.45,57.66,57.88,429115
2021-09-15,57.78,59.57,57.065,57.565,1148930
2021-09-16,58.34,58.82,57.13,57.34,1473141
2021-09-17,57.38,57.38,56.47,56.83,818764
2021-09-20,56.23,56.4,55.29,55.89,683296
2021-09-21,56.12,56.36,55.24,55.24,404160
2021-09-22,55.79,56.11,55.39,55.49,669399
2021-09-23,55.69,56.89,55.61,56.69,612170
2021-09-24,56.28,56.81,56.22,56.71,333795
2021-09-27,56.48,56.66,56.05,56.23,379691
2021-09-28,55.78,55.985,55.42,55.54,514722
2021-09-29,55.64,55.97,55.34,55.49,399383
2021-09-30,55.785,55.89,54.41,54.41,901395
2021-10-01,54.58,55.41,54.04,55.09,550113
2021-10-04,54.535,54.665,53.96,54.23,587653
2021-10-05,54.2,55.025,54.2,54.7,401092
2021-10-06,54.32,54.345,53.0,53.965,795022
2021-10-07,54.47,55.405,54.39,55.03,468782
2021-10-08,55.225,55.3,54.755,55.065,350505
2021-10-11,55.13,55.36,54.91,54.91,211527
2021-10-12,54.97,54.97,54.085,54.285,376436
2021-10-13,54.37,54.73,54.095,54.63,384636
2021-10-14,55.1,55.845,54.985,55.64,553030
2021-10-15,55.835,55.855,54.965,55.24,474803
2021-10-18,55.02,55.49,54.58,55.225,262867
2021-10-19,55.275,55.775,55.075,55.74,317098
2021-10-20,55.9,56.22,55.9,56.2,644303
2021-10-21,56.04,56.09,55.525,55.7,374063
2021-10-22,55.6,55.86,54.95,55.095,469626
2021-10-25,55.13,55.41,54.81,55.16,258921
2021-10-26,55.52,56.34,55.41,55.795,509387
2021-10-27,56.0,56.72,55.935,56.18,474511
2021-10-28,56.23,56.675,55.895,56.27,374545
2021-10-29,56.26,56.57,55.86,55.945,420490
2021-11-01,55.84,56.24,55.51,56.08,440029
2021-11-02,56.38,57.865,56.29,57.62,1034098
2021-11-03,57.5,57.91,57.12,57.65,412825
2021-11-04,57.51,57.67,56.555,57.115,842386
2021-11-05,57.365,57.79,56.93,57.095,391617
2021-11-08,57.14,57.49,56.6,56.98,347826
2021-11-09,57.07,57.62,56.9,57.41,462155
2021-11-10,57.9,58.61,57.685,57.765,652878
2021-11-11,57.64,57.765,56.695,56.75,552149
2021-11-12,57.01,57.07,56.315,56.83,461662
2021-11-15,56.97,57.65,56.85,57.28,599202
2021-11-16,57.175,58.07,56.94,57.0,482063
2021-11-17,56.64,57.125,56.29,56.77,775991
2021-11-18,52.73,53.93,51.085,53.59,2639213
2021-11-19,53.54,53.67,52.785,53.24,807432
2021-11-22,53.44,55.53,53.34,54.62,1182031
2021-11-23,54.61,55.575,54.48,55.335,814517
2021-11-24,55.15,55.74,55.15,55.55,612726
2021-11-26,54.46,55.185,54.46,54.68,539571
2021-11-29,55.15,56.185,54.84,55.72,650229
2021-11-30,55.51,55.585,54.16,54.93,832407
2021-12-01,55.42,56.38,54.94,55.0,787192
2021-12-02,55.12,56.6,55.11,56.19,501205
2021-12-03,56.36,56.81,55.67,56.27,721018
2021-12-06,56.64,57.155,56.47,56.97,538720
2021-12-07,57.065,58.2,57.03,58.12,719874
2021-12-08,58.075,58.095,56.63,56.98,800747
2021-12-09,57.195,57.81,56.95,57.56,591484
2021-12-10,57.92,59.33,57.92,59.25,474286
2021-12-13,59.185,59.48,58.555,58.57,863217
2021-12-14,58.375,58.52,57.37,57.79,600375
2021-12-15,57.94,60.03,57.94,59.94,772837
2021-12-16,60.02,60.76,59.89,60.32,871039
2021-12-17,60.27,60.79,59.79,60.51,940684
2021-12-20,59.695,60.41,59.32,60.39,645583
2021-12-21,60.465,61.235,60.0,61.02,683066
2021-12-22,60.945,61.59,60.62,61.56,476264
2021-12-23,61.86,62.88,61.855,62.25,438784
2021-12-27,62.4,63.465,62.38,63.42,333681
2021-12-28,63.43,63.84,63.24,63.56,456077
2021-12-29,63.69,64.25,63.56,63.98,358833
2021-12-30,64.08,64.08,63.475,63.65,248960
2021-12-31,63.64,63.785,63.34,63.37,217826
2022-01-03,63.01,63.33,62.58,63.12,487362
2022-01-04,62.48,62.79,61.115,61.23,893846
2022-01-05,61.02,61.635,60.26,60.26,721803
2022-01-06,59.97,61.13,59.92,60.955,608080
2022-01-07,60.84,61.5,60.685,61.15,491929
2022-01-10,60.94,61.895,60.53,61.82,561301
2022-01-11,61.595,62.42,61.44,62.37,614026
2022-01-12,62.44,62.8,61.935,62.12,319329
2022-01-13,62.07,62.11,61.225,61.53,412531
2022-01-14,61.45,61.495,60.99,61.35,571660
2022-01-18,59.945,60.215,59.5,59.77,647857
2022-01-19,57.995,59.45,57.8,58.9,675886
2022-01-20,58.94,59.34,58.02,58.06,427170
2022-01-21,58.06,58.32,56.615,56.64,675402
2022-01-24,56.11,57.0,54.88,56.9,685244
2022-01-25,56.17,56.67,55.08,56.055,505393
2022-01-26,56.05,56.43,54.86,55.36,735120
2022-01-27,55.5,56.525,54.4,54.59,809480
2022-01-28,54.4,55.655,53.48,55.59,1224780
2022-01-31,55.4,55.815,54.9,55.61,1049288
2022-02-01,55.47,55.49,54.74,55.32,839393
2022-02-02,55.29,56.315,55.18,56.13,660259
2022-02-03,55.9,56.12,55.08,55.2,449124
2022-02-04,54.935,55.62,54.4,55.13,521391
2022-02-07,55.26,55.51,54.715,55.17,283745
2022-02-08,55.09,55.48,54.725,55.34,360467
2022-02-09,55.82,56.38,55.52,56.29,456011
2022-02-10,55.24,56.025,54.765,54.87,588008
2022-02-11,54.86,55.06,53.77,53.86,425935
2022-02-14,53.42,53.65,52.72,53.15,632924
2022-02-15,53.715,54.3,53.64,54.27,552146
2022-02-16,54.08,54.435,53.41,54.315,531043
2022-02-17,55.51,57.02,55.465,55.76,1033963
2022-02-18,55.46,57.69,55.395,57.22,953095
2022-02-22,56.94,57.12,55.745,56.3,637022
2022-02-23,56.51,56.96,54.385,54.45,620428
2022-02-24,54.015,54.82,53.21,54.72,779208
2022-02-25,54.81,56.215,54.5,56.06,982162
2022-02-28,55.505,55.99,54.75,55.8,543132
2022-03-01,55.54,55.83,54.29,54.62,509792
2022-03-02,54.76,56.36,54.73,56.14,652348
2022-03-03,56.71,56.995,55.85,56.09,439150
2022-03-04,55.63,56.885,55.28,56.49,598033
2022-03-07,56.29,56.43,55.525,55.59,1024197
2022-03-08,55.7,55.835,54.08,54.365,602289
2022-03-09,55.63,56.245,55.26,55.91,608524
2022-03-10,54.43,55.145,53.99,54.69,486280
2022-03-11,55.235,56.205,54.61,54.68,614800
2022-03-14,54.98,55.38,53.995,54.29,658340
2022-03-15,54.74,55.725,54.49,55.59,650703
2022-03-16,55.92,56.0,54.61,55.83,795354
2022-03-17,55.49,56.3,55.36,56.19,908092
2022-03-18,56.02,56.415,55.58,55.97,979137
2022-03-21,55.97,56.535,55.525,56.04,768345
2022-03-22,56.33,56.71,56.1,56.17,796420
2022-03-23,55.98,56.06,54.45,54.46,835734
2022-03-24,54.61,54.68,53.7,54.505,878643
2022-03-25,54.57,55.17,54.41,54.97,485936
2022-03-28,54.76,55.16,54.42,55.13,530836
2022-03-29,55.67,56.29,55.045,55.67,886995
2022-03-30,55.75,56.935,55.605,56.04,476266
2022-03-31,56.04,56.875,55.74,55.76,751826
2022-04-01,56.095,56.16,54.89,55.65,526773
2022-04-04,55.45,55.975,55.05,55.87,594775
2022-04-05,55.195,55.59,54.665,54.94,464352
2022-04-06,54.665,54.74,53.85,54.36,427338
2022-04-07,54.3,54.85,53.735,54.59,556320
2022-04-08,54.82,54.905,54.02,54.3,459119
2022-04-11,53.84,53.95,52.79,52.9,780128
2022-04-12,51.7,52.95,51.5,51.82,803691
2022-04-13,51.85,52.295,51.405,52.16,502046
2022-04-14,52.08,52.37,51.125,51.17,583230
2022-04-18,50.87,51.555,50.82,51.12,432269
2022-04-19,51.05,51.93,50.94,51.8,515155
2022-04-20,52.205,53.65,52.2,53.04,729317
2022-04-21,53.38,53.825,52.735,52.79,464938
2022-04-22,52.645,52.68,51.29,51.35,488934
2022-04-25,51.585,51.98,50.55,51.94,480400
2022-04-26,51.87,51.94,50.87,50.88,508540
2022-04-27,50.935,51.07,49.25,49.31,1291690
2022-04-28,49.57,50.775,49.21,50.66,634385
2022-04-29,50.53,50.625,48.875,49.02,569934
2022-05-02,49.33,49.91,48.96,49.83,686996
2022-05-03,49.79,50.36,49.56,49.93,369357
2022-05-04,49.955,51.655,49.68,51.57,499799
2022-05-05,51.175,51.2,49.16,49.71,748124
2022-05-06,49.2,49.835,48.86,49.35,517128
2022-05-09,49.03,49.4,48.72,48.99,502282
2022-05-10,49.705,50.22,49.16,49.54,606836
2022-05-11,49.07,49.635,48.58,48.67,577146
2022-05-12,48.59,48.75,47.47,48.32,935343
2022-05-13,48.72,49.62,48.55,49.57,661897
2022-05-16,49.66,49.66,48.88,49.0,947707
2022-05-17,49.66,50.72,49.53,50.63,491082
2022-05-18,50.35,50.395,48.27,48.425,1569890
2022-05-19,43.0,43.915,41.03,41.69,3442188
2022-05-20,41.84,42.99,41.525,42.94,1585866
2022-05-23,43.39,43.82,42.94,43.36,735308
2022-05-24,43.42,44.055,42.5,43.78,1303670
2022-05-25,43.72,44.42,43.19,44.01,671461
2022-05-26,44.105,45.525,44.07,44.99,1103721
2022-05-27,45.33,45.63,44.96,45.63,538943
2022-05-31,45.34,45.605,44.735,45.02,1027025
2022-06-01,45.53,45.79,44.77,45.21,746180
2022-06-02,45.185,45.8,44.91,45.77,747760
2022-06-03,45.55,45.72,45.125,45.25,422666
2022-06-06,45.62,46.075,45.135,45.32,484298
2022-06-07,44.845,45.64,44.72,45.56,421572
2022-06-08,45.36,45.62,44.88,44.92,364778
2022-06-09,44.83,45.26,44.25,44.25,604434
2022-06-10,43.83,43.975,43.295,43.465,907409
2022-06-13,42.98,43.83,42.89,43.25,1289167
2022-06-14,43.59,43.68,42.58,42.915,945862
2022-06-15,43.385,44.42,43.1,43.8,902157
2022-06-16,42.875,43.405,42.815,43.33,1223847
2022-06-17,43.42,44.0,43.245,43.38,1108533
2022-06-21,43.805,44.28,43.7,44.13,740803
2022-06-22,43.49,44.115,43.18,43.56,612176
2022-06-23,43.37,43.43,42.72,42.92,1258722
2022-06-24,43.44,44.21,43.24,44.11,932701
2022-06-27,44.26,44.28,43.63,43.8,550320
2022-06-28,43.98,44.47,43.0,43.06,466347
2022-06-29,43.18,43.2,42.7,42.875,486445
2022-06-30,42.37,43.135,42.195,42.64,987050
2022-07-01,42.48,42.69,41.575,42.63,1226680
2022-07-05,41.51,41.97,40.84,41.97,756127
2022-07-06,42.12,42.93,42.06,42.69,627476
2022-07-07,42.88,43.355,42.79,43.22,729905
2022-07-08,43.03,43.6,42.96,43.36,296940
2022-07-11,43.26,43.67,43.07,43.26,352918
2022-07-12,43.56,43.83,42.67,42.87,398052
2022-07-13,41.85,43.04,41.85,42.68,410691
2022-07-14,41.84,42.465,41.35,42.33,616708
2022-07-15,42.6,43.12,42.54,43.07,566498
2022-07-18,43.32,43.32,42.435,42.63,448722
