date,open,high,low,close,volume
2021-07-21,97.2,98.06,97.14,98.06,148920
2021-07-22,97.45,97.99,97.32,97.73,108756
2021-07-23,98.01,98.94,97.88,98.82,72660
2021-07-26,98.37,98.39,96.83,97.22,92968
2021-07-27,95.81,98.0,95.81,97.23,89196
2021-07-28,97.55,98.33,97.29,97.67,44420
2021-07-29,98.45,98.94,98.09,98.3,82884
2021-07-30,97.89,98.69,97.89,98.47,91804
2021-08-02,98.84,98.99,97.18,97.38,85080
2021-08-03,97.47,97.75,96.58,97.59,265220
2021-08-04,97.54,97.74,96.72,96.97,73892
2021-08-05,97.03,98.04,96.54,98.04,118920
2021-08-06,98.07,98.31,97.66,97.9,99540
2021-08-09,97.65,98.23,97.47,98.22,119644
2021-08-10,97.91,98.43,97.54,97.69,64152
2021-08-11,97.53,97.76,96.55,97.54,67968
2021-08-12,96.82,97.24,96.17,97.24,62320
2021-08-13,97.06,97.32,96.72,97.31,48136
2021-08-16,97.11,98.62,97.11,98.34,60336
2021-08-17,97.65,98.62,97.38,98.59,64960
2021-08-18,98.37,98.52,97.07,97.07,63192
2021-08-19,96.78,98.31,96.5,97.9,182868
2021-08-20,98.27,98.63,97.88,97.95,82904
2021-08-23,97.81,98.71,97.66,98.0,34320
2021-08-24,97.97,98.31,97.55,97.71,64308
2021-08-25,97.48,98.15,97.37,98.01,59616
2021-08-26,97.49,97.97,97.31,97.67,35592
2021-08-27,98.66,98.72,97.88,97.88,33856
2021-08-30,97.81,98.71,97.81,98.52,33108
2021-08-31,98.53,99.05,98.35,98.94,41444
2021-09-01,99.03,99.67,98.61,99.03,51336
2021-09-02,99.13,99.17,98.4,99.07,48064
2021-09-03,98.92,99.48,98.88,99.04,60156
2021-09-07,98.43,98.59,97.76,97.89,39764
2021-09-08,97.84,99.58,97.84,99.58,40636
2021-09-09,99.84,100.28,99.45,100.08,59712
2021-09-10,100.66,102.31,100.22,100.92,148780
2021-09-13,101.81,102.41,101.05,101.65,222772
2021-09-14,101.98,101.98,98.89,99.1,123428
2021-09-15,98.79,99.99,98.79,99.64,67448
2021-09-16,99.78,100.09,98.91,99.89,59796
2021-09-17,99.24,99.34,98.0,98.15,105444
2021-09-20,96.94,98.48,96.94,98.39,105912
2021-09-21,98.54,98.94,97.93,98.34,69752
2021-09-22,98.65,99.54,97.96,99.01,80132
2021-09-23,99.76,100.59,99.76,100.36,67136
2021-09-24,99.75,100.59,99.46,100.37,66384
2021-09-27,100.15,100.87,98.64,98.92,133684
2021-09-28,98.46,98.46,96.31,96.41,134668
2021-09-29,98.53,99.51,96.24,97.29,108900
2021-09-30,97.58,97.64,95.11,95.12,107276
2021-10-01,95.34,97.19,94.33,96.79,82040
2021-10-04,96.57,96.72,95.71,96.52,143832
2021-10-05,97.27,98.71,97.05,98.0,64312
2021-10-06,97.09,99.05,96.96,99.05,102948
2021-10-07,99.56,100.86,99.56,100.2,156748
2021-10-08,99.99,101.06,99.89,100.8,131544
2021-10-11,101.21,102.0,100.59,100.63,101608
2021-10-12,100.54,101.39,100.51,101.05,88544
2021-10-13,101.43,101.81,100.68,101.31,84484
