date,open,high,low,close,volume
2021-07-21,67.48,68.0,67.265,67.75,136318
2021-07-22,68.195,68.195,67.45,68.095,155078
2021-07-23,68.535,69.52,68.535,69.305,73229
2021-07-26,69.335,69.76,68.98,69.45,162545
2021-07-27,69.27,70.01,68.55,69.14,205062
2021-07-28,69.24,70.13,68.97,69.815,197495
2021-07-29,74.975,75.93,73.79,73.89,280861
2021-07-30,73.4,74.46,73.4,73.55,132425
2021-08-02,73.45,74.31,73.44,73.68,127349
2021-08-03,73.265,74.98,73.26,74.87,114683
2021-08-04,74.77,75.02,73.58,73.59,83383
2021-08-05,73.72,73.88,73.28,73.41,56575
2021-08-06,73.49,73.78,72.88,72.99,52573
2021-08-09,72.9,73.02,72.33,72.55,72144
2021-08-10,72.51,73.26,72.36,73.08,97308
2021-08-11,73.42,75.13,73.2,75.05,149742
2021-08-12,75.0,76.76,74.95,76.53,311204
2021-08-13,76.51,77.83,76.51,77.62,188921
2021-08-16,77.62,77.81,76.8,77.135,191714
2021-08-17,77.38,77.38,76.255,77.02,176921
2021-08-18,76.415,77.61,76.415,76.63,137472
2021-08-19,75.82,76.41,75.405,75.83,99806
2021-08-20,75.56,76.78,75.47,76.71,103898
2021-08-23,77.06,77.855,76.94,77.34,97177
2021-08-24,77.45,78.1,77.09,78.005,188530
2021-08-25,78.03,78.285,77.16,77.47,116625
2021-08-26,77.32,77.44,76.54,77.055,114137
2021-08-27,77.06,77.84,77.06,77.24,72227
2021-08-30,77.57,77.635,76.825,76.85,55584
2021-08-31,76.54,76.81,76.16,76.32,129480
2021-09-01,76.46,76.95,76.145,76.84,177779
2021-09-02,76.88,77.34,76.71,77.31,78639
2021-09-03,76.96,77.06,76.43,76.55,49322
2021-09-07,76.78,76.83,76.06,76.245,64222
2021-09-08,76.14,76.755,75.94,76.68,141200
2021-09-09,76.57,77.045,76.455,76.48,73291
2021-09-10,76.62,77.14,76.2,76.23,67074
2021-09-13,76.54,76.56,75.66,76.4,82009
2021-09-14,76.88,76.88,75.585,75.67,53430
2021-09-15,75.7,76.71,75.33,76.465,134289
2021-09-16,76.64,76.86,76.0,76.77,69724
2021-09-17,76.63,76.63,75.205,75.49,63586
2021-09-20,74.72,75.12,74.045,75.09,61526
2021-09-21,75.12,75.45,74.525,74.53,78857
2021-09-22,74.88,75.74,74.86,75.39,45946
2021-09-23,75.59,77.275,75.41,77.13,116233
2021-09-24,77.14,78.045,76.86,77.62,105038
2021-09-27,77.265,78.28,76.865,78.05,123857
2021-09-28,77.545,77.8,76.18,76.36,230864
2021-09-29,76.265,76.44,75.485,75.58,95188
2021-09-30,75.89,76.12,74.21,74.24,128716
2021-10-01,74.69,75.68,73.8,75.26,119868
2021-10-04,74.84,75.38,73.92,74.36,62477
