date,open,high,low,close,volume
2021-07-21,82.46,83.21,82.175,83.06,205253
2021-07-22,82.68,82.8,81.95,82.62,129113
2021-07-23,82.96,83.615,82.85,83.26,102247
2021-07-26,83.46,84.185,82.725,82.86,125859
2021-07-27,82.45,83.68,82.4,83.64,174186
2021-07-28,83.45,83.635,82.53,83.315,82904
2021-07-29,83.85,84.12,82.8,83.075,196880
2021-07-30,82.96,83.44,82.14,82.37,226890
2021-08-02,82.45,82.87,82.045,82.405,121176
2021-08-03,82.63,84.16,81.68,84.0,379754
2021-08-04,80.29,83.19,80.04,81.53,544681
2021-08-05,81.61,81.63,79.34,80.06,341815
2021-08-06,80.72,81.72,80.53,81.245,252980
2021-08-09,81.16,81.89,80.84,81.67,134785
2021-08-10,81.655,83.3,81.26,83.22,196523
2021-08-11,83.67,85.145,83.64,85.01,298539
2021-08-12,85.035,85.485,84.21,85.15,219943
2021-08-13,85.08,85.43,84.23,84.35,148702
2021-08-16,84.41,85.49,83.91,85.38,91531
2021-08-17,85.25,86.73,85.19,86.46,200539
2021-08-18,86.28,86.46,84.55,84.585,110097
2021-08-19,84.02,84.91,83.53,84.23,143027
2021-08-20,84.15,84.96,83.76,84.86,89267
2021-08-23,85.32,85.81,84.515,84.59,68803
2021-08-24,84.51,84.51,83.79,83.79,72145
2021-08-25,83.58,84.16,82.97,83.58,67251
2021-08-26,83.48,83.55,82.5,83.025,76444
2021-08-27,83.12,83.75,83.12,83.735,78221
2021-08-30,83.81,84.675,83.44,84.635,122650
2021-08-31,84.74,86.87,84.725,86.4,312285
2021-09-01,86.205,86.205,83.89,85.69,159950
2021-09-02,86.02,87.5,86.02,86.96,220815
2021-09-03,87.1,87.785,86.665,87.46,198861
2021-09-07,87.06,87.33,85.9,86.59,115576
2021-09-08,86.44,86.605,85.31,86.205,72719
2021-09-09,85.82,86.035,85.235,85.44,85146
2021-09-10,85.57,85.59,83.4,83.79,200556
2021-09-13,84.2,85.165,84.035,84.535,111001
2021-09-14,84.76,85.035,83.675,83.88,100440
2021-09-15,83.69,85.965,83.69,85.53,124088
2021-09-16,85.97,86.18,84.58,85.36,146300
2021-09-17,84.91,85.82,84.91,85.49,173042
2021-09-20,84.61,85.39,83.58,84.625,144777
2021-09-21,84.73,85.61,83.885,83.93,194628
2021-09-22,84.49,84.88,83.825,83.84,207030
2021-09-23,84.07,85.61,83.89,84.87,208394
2021-09-24,84.935,85.33,84.5,84.74,140170
2021-09-27,84.67,86.425,84.56,85.7,118327
2021-09-28,85.65,86.22,85.32,85.65,171654
2021-09-29,85.65,87.23,85.48,86.8,117171
2021-09-30,87.12,87.41,84.81,84.81,130314
2021-10-01,84.82,84.86,82.37,84.08,222185
2021-10-04,83.93,85.45,83.12,83.805,187860
2021-10-05,83.85,84.88,83.565,83.64,136440
2021-10-06,82.64,83.405,81.82,83.15,100241
2021-10-07,83.47,84.66,83.47,84.2,121943
2021-10-08,84.46,84.7,83.94,84.365,86957
