date,open,high,low,close,volume
2021-07-21,41.12,42.17,41.08,41.6,455958
2021-07-22,41.34,41.545,40.46,41.06,205012
2021-07-23,41.33,41.615,40.33,40.41,248434
2021-07-26,40.32,41.69,40.32,41.66,175722
2021-07-27,41.15,41.45,40.52,40.96,186480
2021-07-28,41.42,41.645,40.65,41.315,142627
2021-07-29,41.5,41.54,40.98,41.23,182971
2021-07-30,40.625,41.06,39.76,39.905,263970
2021-08-02,40.02,40.965,39.4,39.43,175640
2021-08-03,39.51,39.835,38.545,39.75,286838
2021-08-04,39.18,39.44,37.91,38.36,449599
2021-08-05,38.58,40.14,38.52,39.99,297649
2021-08-06,40.59,40.67,39.5,40.31,213382
2021-08-09,39.82,39.82,38.77,39.295,190655
2021-08-10,39.26,41.025,39.21,40.46,261733
2021-08-11,39.99,41.3,39.685,41.3,213249
2021-08-12,41.06,41.06,40.045,40.515,212647
2021-08-13,40.33,40.545,39.79,39.91,140125
2021-08-16,39.42,40.015,38.885,39.93,202776
2021-08-17,39.22,39.45,38.28,38.785,160364
2021-08-18,38.7,39.465,38.4,38.66,228348
2021-08-19,38.43,38.46,37.32,37.94,265074
2021-08-20,37.955,38.245,37.77,38.115,147394
2021-08-23,38.805,39.315,38.65,39.22,245116
2021-08-24,39.86,40.86,39.86,40.52,227857
2021-08-25,40.69,41.43,40.23,41.325,208948
2021-08-26,41.04,41.45,40.285,40.785,163879
2021-08-27,40.915,41.75,40.825,41.54,149118
2021-08-30,41.57,41.57,39.88,39.9,240110
2021-08-31,39.685,40.585,39.685,40.43,178495
2021-09-01,40.58,40.58,39.885,40.415,134786
2021-09-02,40.45,41.045,39.865,40.81,260301
2021-09-03,40.77,41.155,40.15,40.255,124653
2021-09-07,40.065,40.52,39.845,40.345,126899
2021-09-08,40.4,40.92,39.6,39.65,135432
2021-09-09,39.62,41.765,39.46,41.075,255633
2021-09-10,40.95,41.105,39.355,39.36,348192
2021-09-13,39.77,40.18,38.805,40.175,315039
2021-09-14,39.84,40.18,39.225,39.45,141527
2021-09-15,39.2,39.69,38.835,39.65,163319
2021-09-16,39.85,40.675,39.71,40.23,141907
2021-09-17,40.58,40.985,39.79,40.1,162420
2021-09-20,40.55,40.83,39.43,40.82,263361
2021-09-21,41.05,41.72,40.15,40.36,227262
2021-09-22,40.72,41.94,40.72,41.59,322353
2021-09-23,41.91,42.76,41.75,42.58,306650
2021-09-24,42.75,43.74,42.69,43.53,243387
2021-09-27,43.9,45.06,43.775,43.775,377737
2021-09-28,43.715,44.2,43.33,43.46,177619
2021-09-29,43.73,43.98,42.79,43.375,202118
2021-09-30,42.93,43.04,42.385,42.62,195645
2021-10-01,43.95,45.645,43.91,45.39,374495
2021-10-04,45.81,45.985,44.835,44.96,349857
2021-10-05,45.0,45.56,44.465,44.74,176957
2021-10-06,43.7,44.13,43.23,44.025,239485
2021-10-07,44.57,44.57,43.525,43.69,157854
2021-10-08,43.73,43.78,43.105,43.385,126401
2021-10-11,42.99,43.925,42.74,43.2,176395
2021-10-12,42.98,43.8,42.88,43.505,289787
2021-10-13,42.715,42.715,40.89,41.04,695846
2021-10-14,41.27,41.47,40.885,41.2,310407
2021-10-15,41.9,42.245,40.955,40.99,231153
2021-10-18,40.67,41.405,40.53,41.01,182206
2021-10-19,41.02,41.02,40.34,40.44,289256
2021-10-20,40.25,41.065,39.935,40.3,238476
2021-10-21,40.43,40.69,40.02,40.39,150511
2021-10-22,40.1,40.385,39.65,39.75,189088
2021-10-26,39.91,40.285,39.47,39.69,94642
2021-10-27,39.89,39.93,39.02,39.06,114686
2021-10-28,39.17,39.37,38.845,39.155,133607
2021-10-29,39.05,39.45,38.81,39.125,115557
2021-11-01,39.205,40.435,38.91,40.43,271761
2021-11-02,40.25,40.49,39.84,40.38,140695
2021-11-03,40.28,41.345,40.085,41.24,146857
2021-11-04,41.365,41.48,40.6,41.0,193981
2021-11-05,43.595,44.39,43.295,44.28,459401
2021-11-08,44.91,45.51,44.52,44.65,219404
2021-11-09,44.47,44.545,43.74,44.525,176484
2021-11-10,43.82,44.45,43.55,43.71,160873
2021-11-11,43.78,44.205,43.45,43.45,146061
2021-11-12,43.42,43.42,41.885,42.205,177877
2021-11-15,42.61,42.94,42.16,42.39,168009
2021-11-16,42.09,42.09,40.905,41.04,240264
2021-11-17,40.98,41.22,40.31,40.72,151564
2021-11-18,40.725,40.73,39.46,40.115,199406
2021-11-19,39.76,39.905,38.905,39.67,330973
2021-11-22,39.88,40.19,39.22,39.76,214964
2021-11-23,40.23,40.53,39.25,39.53,281692
2021-11-24,39.16,40.06,38.935,39.69,174986
2021-11-26,36.8,36.92,34.6,36.395,586351
2021-11-29,37.04,37.31,35.975,36.23,451853
2021-11-30,35.67,36.29,35.235,36.195,292628
2021-12-01,36.95,37.31,33.4,33.54,520536
2021-12-02,34.29,36.67,33.78,36.66,511831
2021-12-03,36.19,37.66,35.37,35.98,368229
2021-12-06,37.34,39.315,37.03,38.15,464212
2021-12-07,38.62,39.12,37.79,38.04,250618
2021-12-08,38.45,39.88,38.08,38.88,364917
2021-12-09,38.22,38.805,38.0,38.49,264092
2021-12-10,38.18,38.45,37.6,38.175,272305
2021-12-13,37.36,37.59,36.43,36.87,207804
2021-12-14,36.58,37.52,36.42,36.54,264757
2021-12-15,36.62,36.795,35.55,36.605,243656
2021-12-16,37.51,37.67,35.66,35.8,338440
2021-12-17,35.92,37.235,35.6,36.54,744608
2021-12-20,35.59,37.25,35.4,36.365,326511
2021-12-21,36.81,38.82,36.78,38.52,751381
2021-12-22,38.52,39.465,38.18,39.13,649341
2021-12-23,39.72,39.89,38.995,39.3,126640
2021-12-27,38.35,39.18,37.89,39.01,187182
2021-12-28,38.69,39.83,38.56,39.65,134602
2021-12-29,39.325,39.46,39.0,39.17,145556
2021-12-30,39.05,39.725,39.02,39.055,123255
2021-12-31,38.98,39.42,38.925,39.11,167486
2022-01-03,39.79,41.02,39.75,40.28,217670
2022-01-04,41.03,41.24,40.33,40.59,206301
2022-01-05,40.95,41.27,40.17,40.28,206192
2022-01-06,40.72,41.03,39.81,40.11,211381
2022-01-07,40.64,41.95,40.49,41.49,260105
2022-01-10,41.69,41.74,40.2,40.64,252065
2022-01-11,40.6,41.5,40.49,41.23,178157
2022-01-12,41.265,41.565,40.56,40.57,246414
2022-01-13,41.08,42.53,40.46,41.46,531328
2022-01-14,40.75,40.83,39.56,40.3,297322
2022-01-18,39.87,40.39,39.45,39.54,226830
2022-01-19,39.46,39.79,38.735,38.815,320122
2022-01-20,39.05,40.16,38.78,38.84,256145
2022-01-21,38.8,38.8,37.36,37.85,326592
2022-01-24,36.9,37.53,36.33,37.12,96525
2022-01-25,37.58,38.86,37.305,38.73,276937
2022-01-26,39.42,39.94,38.34,38.75,207631
2022-01-27,39.21,40.025,38.045,38.34,286098
2022-01-28,38.145,38.385,36.79,38.27,227185
2022-01-31,37.86,39.72,37.73,39.69,180257
2022-02-01,39.78,40.57,39.57,40.48,164123
2022-02-02,40.15,40.955,39.75,40.5,167853
2022-02-03,40.04,40.595,39.695,39.725,242295
2022-02-04,39.595,40.085,39.11,39.85,293875
2022-02-07,40.43,41.29,40.43,40.95,217890
2022-02-08,41.37,42.715,41.05,42.61,443223
2022-02-09,42.93,44.5,42.87,43.89,399531
2022-02-10,43.48,44.72,43.36,43.9,242921
2022-02-11,43.86,44.795,41.93,42.33,372994
2022-02-14,42.5,43.24,41.73,41.995,200344
2022-02-15,43.46,44.73,43.355,44.5,324267
2022-02-16,44.12,45.14,44.0,44.41,229397
2022-02-17,43.73,44.1,42.95,43.31,230455
2022-02-18,43.21,43.65,42.7,42.83,273365
2022-02-22,41.78,42.835,41.44,41.895,379942
2022-02-23,42.29,42.335,40.11,40.2,271309
2022-02-24,37.52,40.485,37.47,40.32,472175
2022-02-25,41.055,41.965,40.66,41.54,386346
2022-02-28,40.34,40.345,39.03,39.905,614470
2022-03-01,39.415,39.54,37.38,37.63,557359
2022-03-02,38.48,38.77,37.85,38.01,419590
2022-03-03,38.47,38.73,36.39,36.55,389113
2022-03-04,35.53,35.85,34.175,34.49,589921
2022-03-07,34.02,34.17,29.99,30.1,788324
2022-03-09,32.95,33.77,32.57,32.76,665351
2022-03-10,32.12,33.4,31.56,32.56,300745
2022-03-11,33.29,33.32,32.02,32.07,369959
2022-03-14,32.03,33.18,31.675,32.06,327365
2022-03-15,34.63,35.47,33.995,34.86,567520
2022-03-16,35.5,36.945,35.5,36.93,708052
2022-03-17,35.5,37.15,35.37,37.15,340903
2022-03-18,36.66,37.92,36.41,37.67,316036
2022-03-21,37.17,37.23,35.885,36.07,451103
2022-03-22,36.4,37.235,36.36,36.98,324163
2022-03-23,36.665,36.79,36.07,36.22,212028
2022-03-24,36.37,37.26,35.995,37.26,224348
2022-03-25,37.29,38.24,37.24,37.9,244575
2022-03-28,38.5,38.56,37.44,38.34,191814
2022-03-29,39.66,40.26,39.155,39.5,394509
2022-03-30,39.02,39.52,38.91,39.32,149304
2022-03-31,39.405,40.085,39.3,39.575,233807
2022-04-01,39.71,39.865,39.03,39.31,192002
2022-04-04,39.22,39.615,38.73,39.4,244601
2022-04-05,39.49,39.87,38.585,39.04,342690
2022-04-06,37.96,38.05,36.72,37.58,445656
2022-04-07,37.32,37.48,36.19,37.14,259836
2022-04-08,36.94,37.33,36.52,36.77,272086
2022-04-11,36.61,38.545,36.61,38.235,402311
2022-04-12,38.33,38.93,37.88,38.62,439764
2022-04-13,40.21,41.1,39.85,41.03,881271
2022-04-14,41.98,42.855,41.74,42.36,826216
2022-04-18,42.08,43.06,41.88,42.15,610229
2022-04-19,42.815,43.76,42.755,43.05,345542
2022-04-20,43.26,44.23,43.215,43.54,540366
2022-04-21,44.79,46.24,44.55,44.73,1075334
2022-04-22,45.02,45.315,43.565,43.69,362353
2022-04-25,43.31,43.54,42.23,43.28,441708
2022-04-26,42.88,43.025,41.55,41.89,329363
2022-04-27,42.13,43.43,41.77,43.11,309932
2022-04-28,43.89,44.4,42.9,44.35,457554
2022-04-29,44.05,44.75,42.83,43.03,331012
2022-05-02,42.85,43.39,41.58,42.68,448446
2022-05-03,42.96,43.68,42.22,43.35,209177
2022-05-04,42.8,43.95,42.36,43.86,341459
2022-05-05,43.12,43.68,41.795,42.17,368336
2022-05-06,41.86,41.92,40.415,41.01,404231
2022-05-09,40.28,40.45,38.03,38.24,354252
2022-05-10,38.88,39.33,37.87,38.675,401252
2022-05-11,38.82,39.895,37.72,37.88,376508
2022-05-12,37.29,37.745,35.7,36.71,651316
2022-05-13,37.5,38.45,37.5,38.32,327603
2022-05-16,38.26,38.99,38.11,38.21,355678
2022-05-17,39.77,40.775,39.21,40.725,483004
2022-05-18,40.15,40.82,39.01,39.29,382474
2022-05-19,38.73,39.9,38.66,39.23,361172
2022-05-20,39.89,40.04,37.65,38.64,280297
2022-05-23,39.345,39.985,38.72,39.52,203412
2022-05-24,38.8,38.89,36.79,37.25,295055
2022-05-25,37.08,38.69,37.04,38.6,322407
2022-05-26,39.27,41.235,39.12,40.83,660190
2022-05-27,41.08,42.23,41.08,42.23,293369
2022-05-31,40.74,42.44,40.62,41.695,377166
2022-06-01,42.15,42.29,39.235,39.53,422148
2022-06-02,39.38,40.29,39.255,39.99,355184
2022-06-03,39.04,39.4,38.055,38.54,406691
2022-06-06,38.96,39.285,38.325,38.99,194344
2022-06-07,38.41,39.78,38.32,39.74,233754
2022-06-08,38.88,39.51,38.18,38.22,231132
2022-06-09,38.05,38.2,36.71,36.73,397878
2022-06-10,36.13,37.1,35.05,35.105,501472
2022-06-13,33.98,34.06,32.015,32.22,548418
2022-06-14,32.66,32.73,30.86,31.38,550877
2022-06-15,32.02,32.74,31.35,31.96,669326
2022-06-16,30.63,30.88,29.21,29.6,754731
2022-06-17,29.76,30.48,28.78,30.25,871116
2022-06-21,30.95,30.96,29.8,30.065,309679
2022-06-22,29.845,30.47,29.62,30.0,833564
2022-06-23,29.91,30.08,28.8,29.56,422430
2022-06-24,29.54,31.285,29.53,31.195,471317
2022-06-27,31.38,31.38,30.34,30.45,487208
2022-06-28,31.02,32.235,30.29,30.33,451081
2022-06-29,29.97,29.97,29.21,29.63,429886
2022-06-30,28.87,29.19,28.1,28.99,450833
2022-07-01,29.22,29.73,28.67,29.54,400142
2022-07-05,28.55,29.83,28.175,29.81,383365
2022-07-06,29.61,30.18,29.175,29.51,386821
2022-07-07,29.89,30.19,29.44,29.9,247350
2022-07-08,29.94,30.42,29.49,29.73,262046
2022-07-11,29.58,29.97,29.175,29.29,430999
2022-07-12,29.4,31.54,29.4,31.12,812514
2022-07-13,28.96,29.745,28.35,29.71,1251399
2022-07-14,29.315,30.39,29.11,29.77,464595
2022-07-15,30.21,30.41,29.57,30.09,327730
2022-07-18,31.23,31.98,31.065,31.13,488631
2022-07-19,31.88,32.72,31.88,32.59,357610
2022-07-20,32.6,33.075,32.15,32.85,330776
2022-07-21,31.85,32.14,31.295,31.97,517005
2022-07-22,32.27,32.46,31.295,31.35,485073
2022-07-25,31.3,31.51,30.725,31.4,445394
2022-07-26,30.88,31.2,30.58,30.64,204970
2022-07-27,31.33,31.645,30.74,31.49,313776
2022-07-28,31.3,31.715,30.59,31.7,295404
2022-07-29,31.545,32.03,31.515,31.8,375985
2022-08-01,31.72,32.3,31.25,32.23,295110
2022-08-02,31.63,32.425,31.3,31.84,395060
2022-08-03,32.18,33.31,32.14,33.24,298467
2022-08-04,33.27,33.57,32.93,33.34,138181
2022-08-05,32.91,33.4,32.78,32.93,113579
2022-08-08,33.41,34.105,33.335,33.75,225790
2022-08-09,33.445,33.55,32.73,33.195,136528
2022-08-10,34.27,34.51,33.89,33.92,206514
2022-08-11,34.54,34.77,33.85,33.97,149416
2022-08-12,34.34,34.6,34.085,34.495,132932
2022-08-15,34.5,35.455,34.5,35.0,401404
2022-08-16,35.04,35.79,34.705,35.34,255249
2022-08-17,34.77,34.915,34.06,34.54,169402
2022-08-18,34.445,34.6,34.08,34.51,109175
2022-08-19,33.91,34.0,33.075,33.24,246026
2022-08-22,32.46,32.46,31.86,32.39,323616
2022-08-23,32.39,33.015,32.39,32.865,283595
2022-08-24,32.89,33.405,32.68,33.33,126807
2022-08-25,33.63,34.155,33.535,34.01,124719
2022-08-26,33.985,34.21,32.655,32.675,184460
2022-08-29,32.18,32.33,31.86,32.035,265376
2022-08-30,32.31,32.415,31.465,31.72,179642
2022-08-31,32.01,32.02,31.06,31.06,271866
2022-09-01,30.64,31.14,29.94,31.135,262140
2022-09-02,31.5,31.825,30.7,30.95,283217
2022-09-06,31.29,31.63,30.68,31.19,265891
2022-09-07,31.28,32.335,31.28,32.24,239027
2022-09-08,31.72,32.48,31.56,32.11,251179
2022-09-09,32.5,32.745,32.26,32.66,249891
2022-09-12,32.99,33.41,32.73,33.15,184955
2022-09-13,32.0,32.34,31.59,31.735,240406
2022-09-14,31.62,32.685,30.835,32.66,269205
2022-09-15,32.47,33.735,32.47,33.28,502757
2022-09-16,32.62,32.805,31.795,32.11,341471
2022-09-19,31.95,33.105,31.9,32.93,341352
2022-09-20,32.83,33.255,32.265,32.76,199315
2022-09-21,32.36,32.46,31.085,31.175,391704
2022-09-22,31.165,31.165,29.74,29.955,367349
2022-09-23,29.41,29.57,28.48,29.05,313334
2022-09-26,28.85,29.12,28.015,28.03,229368
2022-09-27,28.57,28.9,27.8,28.52,258903
2022-09-28,28.435,29.635,28.27,29.48,219670
2022-09-29,28.89,28.91,28.085,28.45,288504
2022-09-30,28.145,28.57,27.885,28.07,317125
2022-10-03,28.045,28.5,27.225,28.26,259337
2022-10-04,29.32,30.815,29.295,30.74,394584
2022-10-05,29.98,30.745,29.83,30.505,182270
2022-10-06,30.38,30.91,30.15,30.615,433045
2022-10-07,30.185,30.185,29.065,29.39,326041
2022-10-10,29.56,29.575,28.98,29.41,273567
2022-10-11,30.625,30.74,28.38,28.84,529156
2022-10-12,28.535,29.435,28.22,29.21,312100
2022-10-13,29.22,31.02,28.53,30.38,779135
2022-10-14,31.61,31.92,30.88,31.115,668163
2022-10-17,31.94,32.05,30.72,31.13,450770
2022-10-18,31.96,32.19,31.35,32.18,371035
2022-10-19,32.6,32.89,32.095,32.55,366718
2022-10-20,32.42,33.095,32.115,32.15,393016
2022-10-21,32.01,32.81,31.79,32.59,238374
2022-10-24,32.67,33.415,32.67,33.27,353571
2022-10-25,33.08,33.985,32.93,33.91,223174
2022-10-26,33.84,34.595,33.74,33.905,197040
2022-10-27,34.4,35.05,34.05,34.105,178293
2022-10-28,34.04,34.73,33.71,34.68,140807
2022-10-31,34.79,34.91,33.9,33.92,386974
