date,open,high,low,close,volume
2021-07-21,223.14,227.24,222.99,224.57,51362
2021-07-22,224.43,224.67,220.74,223.2,24031
2021-07-23,224.64,224.73,221.22,222.71,25207
2021-07-26,223.07,224.43,221.99,224.04,24530
2021-07-27,221.36,223.83,218.73,222.0,30658
2021-07-28,221.9,224.36,219.42,222.8,70116
2021-07-29,224.37,226.83,223.14,225.23,60713
2021-07-30,224.0,226.65,223.02,225.03,44568
2021-08-02,225.69,228.09,223.2,223.86,56573
2021-08-03,225.03,225.63,217.67,223.38,60998
2021-08-04,221.73,225.74,221.7,222.84,66357
2021-08-05,225.89,227.75,222.36,222.54,42401
2021-08-06,224.37,229.11,224.37,228.21,37724
2021-08-09,228.96,229.65,226.55,226.59,31664
2021-08-10,226.77,232.29,226.77,231.78,35042
2021-08-11,232.26,235.17,230.31,234.95,48951
2021-08-12,234.58,234.87,231.27,233.96,16579
2021-08-13,234.02,234.21,230.37,231.15,15301
2021-08-16,229.17,230.48,226.89,230.25,21929
2021-08-17,227.81,227.81,222.33,225.87,25744
2021-08-18,224.79,226.2,221.48,221.57,21254
2021-08-19,219.36,221.0,217.73,218.76,35440
2021-08-20,218.43,220.16,217.74,218.58,37178
2021-08-23,219.89,222.15,219.66,221.19,19246
2021-08-24,222.33,224.88,222.12,224.25,24172
2021-08-25,224.04,226.23,223.71,225.09,19812
2021-08-26,224.58,224.58,222.18,222.99,18903
2021-08-27,224.34,226.53,224.06,225.45,20530
2021-08-30,225.99,226.35,221.58,221.79,21489
2021-08-31,221.46,222.51,220.05,222.09,16234
2021-09-01,222.15,222.15,219.45,220.29,19447
2021-09-02,220.5,223.71,220.5,221.63,14710
2021-09-03,221.76,221.76,215.43,216.35,23508
2021-09-07,214.53,215.48,213.09,214.26,26451
2021-09-08,213.45,213.51,210.51,211.89,27424
2021-09-09,211.2,213.0,210.78,210.93,26094
2021-09-10,213.3,214.04,211.35,211.4,35327
2021-09-13,213.72,213.96,210.18,212.01,36122
2021-09-14,212.61,212.61,204.77,205.38,35541
2021-09-15,206.79,210.5,206.46,210.06,21221
2021-09-16,210.15,213.99,209.58,211.95,38409
2021-09-17,212.49,213.36,205.32,206.76,23653
2021-09-20,201.32,204.12,199.14,203.79,47395
2021-09-21,204.87,204.87,201.06,202.11,28372
2021-09-22,204.75,206.88,204.69,204.81,31619
2021-09-23,206.49,209.34,206.49,206.76,55732
2021-09-24,205.38,206.28,204.33,204.72,19297
2021-09-27,206.72,211.33,206.72,210.29,22327
2021-09-28,211.32,213.26,206.7,207.06,43333
2021-09-29,206.93,209.13,206.67,207.42,42418
2021-09-30,208.35,208.83,204.0,204.0,19552
2021-10-01,205.1,208.46,203.31,207.21,21823
2021-10-04,214.44,214.65,209.1,210.42,37263
2021-10-05,211.1,214.26,209.73,212.91,46626
2021-10-06,210.93,212.1,206.55,209.46,38589
2021-10-07,211.61,214.17,210.81,211.59,25624
2021-10-08,211.32,212.79,210.54,211.41,22409
2021-10-11,212.82,214.56,209.25,209.31,40969
2021-10-12,209.34,210.54,206.1,207.78,24755
2021-10-13,208.77,211.02,205.77,208.89,23057
2021-10-14,211.77,215.94,210.39,215.12,38948
2021-10-15,216.18,217.83,216.15,216.18,16196
2021-10-18,214.98,217.52,213.06,215.58,49779
2021-10-19,216.81,217.23,214.8,216.78,12183
2021-10-20,216.71,219.81,216.3,219.72,30843
2021-10-21,219.18,219.18,215.19,216.75,18299
2021-10-22,217.23,218.37,216.18,216.36,29954
2021-10-26,215.93,217.86,215.46,215.79,7765
2021-10-27,215.46,215.64,207.42,207.45,28529
2021-10-28,208.56,210.3,207.62,209.22,24245
2021-10-29,208.62,209.66,206.83,208.68,29714
2021-11-01,209.31,215.48,209.31,213.71,48879
2021-11-02,218.4,234.36,218.08,232.52,203740
2021-11-03,237.96,244.56,236.57,240.36,192138
2021-11-04,240.15,240.36,236.13,238.65,49928
2021-11-05,238.98,242.75,238.31,241.2,46637
2021-11-08,242.6,244.37,237.15,238.59,63689
2021-11-09,237.44,243.77,237.41,243.15,51245
2021-11-10,243.09,244.32,239.72,240.0,37951
2021-11-11,240.12,243.12,239.6,242.91,53790
2021-11-12,242.79,243.63,240.95,242.16,32654
2021-11-15,241.47,241.5,235.35,236.37,54450
2021-11-16,236.3,237.93,231.81,232.74,106202
2021-11-17,232.74,239.03,232.17,237.87,38639
2021-11-18,238.89,239.88,236.31,238.62,25788
2021-11-19,238.8,243.18,237.33,240.12,52472
2021-11-22,239.61,242.43,237.5,237.66,22814
2021-11-23,237.96,239.4,237.41,238.71,32777
2021-11-24,237.0,238.26,236.04,236.04,29001
2021-11-26,229.92,232.13,227.49,231.0,30262
2021-11-29,232.35,233.34,228.03,231.12,39281
2021-11-30,227.28,228.54,219.12,221.79,95372
2021-12-01,226.31,231.12,221.37,221.43,39198
2021-12-02,222.18,228.57,222.18,225.84,34748
2021-12-03,228.42,229.77,224.55,226.44,36483
2021-12-06,228.99,231.57,225.24,229.26,35650
2021-12-07,230.25,234.6,230.25,232.62,56498
2021-12-08,233.28,236.33,231.14,234.75,115846
2021-12-09,232.29,238.64,232.11,235.71,121429
2021-12-10,237.69,240.78,237.15,240.03,88150
2021-12-13,239.19,239.49,232.89,233.0,117264
2021-12-14,231.12,236.37,231.12,232.95,44893
2021-12-15,233.64,235.52,230.79,235.2,36024
2021-12-16,236.55,240.54,235.56,236.12,50442
2021-12-17,234.87,234.87,229.05,229.53,67510
2021-12-20,226.83,227.01,222.03,225.57,52358
2021-12-21,228.15,231.03,228.15,229.56,21718
2021-12-22,229.8,231.15,228.03,230.94,23906
2021-12-23,231.93,237.0,231.93,235.71,51242
2021-12-27,235.77,239.58,235.31,239.4,46500
2021-12-28,239.04,242.55,238.83,241.41,52118
2021-12-29,240.99,243.45,240.99,241.74,19201
2021-12-30,242.19,243.69,240.24,240.48,18285
2021-12-31,239.61,243.21,239.61,242.43,19598
2022-01-03,242.97,246.75,241.68,241.95,32580
2022-01-04,243.24,248.66,243.24,247.53,43297
2022-01-05,248.34,250.77,245.19,245.28,32706
2022-01-06,248.43,248.43,243.74,245.94,35185
2022-01-07,247.31,250.86,246.06,249.63,64563
2022-01-10,248.79,250.23,243.39,245.93,32162
2022-01-11,247.05,249.27,244.5,249.0,32798
2022-01-12,249.83,251.6,248.01,251.1,42664
2022-01-13,252.0,254.85,251.13,251.9,27571
2022-01-14,248.55,255.42,246.99,254.97,39077
2022-01-18,252.6,252.6,249.87,251.4,46827
2022-01-19,249.93,251.22,244.44,244.71,58400
2022-01-20,245.21,245.21,237.09,237.56,81017
