date,open,high,low,close,volume
2021-07-21,226.17,226.175,224.06,224.18,44720
2021-07-22,224.415,226.38,223.26,225.62,37134
2021-07-23,225.24,229.035,225.24,228.92,29405
2021-07-26,228.94,230.38,227.2,229.96,50041
2021-07-27,230.33,231.135,229.2,230.19,26705
2021-07-28,229.07,231.26,228.42,230.25,45750
2021-07-29,230.88,233.11,230.64,232.96,34167
2021-07-30,232.685,234.24,232.58,232.65,68313
2021-08-02,233.11,233.11,228.99,232.58,133012
2021-08-03,232.78,236.26,232.78,235.05,65134
2021-08-04,235.355,236.045,233.61,234.84,32461
2021-08-05,235.88,236.67,234.105,235.83,28782
2021-08-06,235.93,236.555,234.91,236.18,24405
2021-08-09,236.31,236.855,235.385,236.56,30471
2021-08-10,235.91,239.02,235.91,238.23,73439
2021-08-11,238.47,239.35,237.72,238.09,63711
2021-08-12,238.1,238.18,234.87,236.33,99560
2021-08-13,236.91,237.58,235.53,236.685,57978
2021-08-16,235.32,237.915,234.42,237.86,48310
2021-08-17,235.6,235.6,230.79,231.58,73282
2021-08-18,231.44,234.775,230.795,231.56,75527
2021-08-19,229.93,233.85,228.76,232.57,42389
2021-08-20,232.2,235.77,232.12,234.79,61900
2021-08-23,235.475,236.735,234.47,234.59,97876
2021-08-24,234.91,235.05,232.63,232.775,42315
2021-08-25,232.81,235.33,232.81,234.88,62784
2021-08-26,220.55,227.52,215.215,225.9,344829
2021-08-27,225.27,226.26,223.0,225.25,167921
2021-08-30,225.87,228.175,224.685,225.48,61897
2021-08-31,225.75,225.87,221.805,222.91,97064
2021-09-01,222.73,223.58,220.725,222.66,64610
2021-09-02,222.965,224.99,222.2,224.985,109544
2021-09-03,224.2,224.2,221.7,222.515,52179
2021-09-07,222.78,222.84,220.36,221.53,46955
2021-09-08,221.28,224.07,220.81,224.04,66310
2021-09-09,224.06,224.06,220.12,220.12,91825
2021-09-10,220.4,221.0,217.76,218.16,173981
2021-09-13,218.24,220.66,217.115,217.57,48479
2021-09-14,217.7,218.12,215.25,216.32,45712
2021-09-15,216.33,217.95,215.22,217.03,96743
2021-09-16,217.12,221.89,217.12,221.58,95349
2021-09-17,222.51,223.99,221.535,222.285,114658
