date,open,high,low,close,volume
2021-07-21,136.99,136.99,135.21,135.77,82336
2021-07-22,135.34,138.07,132.28,138.03,110886
2021-07-23,138.17,139.97,137.65,139.46,58363
2021-07-26,139.29,140.26,137.81,138.35,45417
2021-07-27,138.215,140.11,138.215,140.0,65383
2021-07-28,140.06,140.565,139.45,139.99,39521
2021-07-29,141.37,141.575,140.045,141.22,23909
2021-07-30,141.82,142.41,141.4,141.83,24093
2021-08-02,141.44,143.63,141.21,143.05,43731
2021-08-03,143.515,145.37,143.515,145.365,49449
2021-08-04,145.08,148.54,145.08,146.63,47146
2021-08-05,146.98,148.35,144.925,147.265,82692
2021-08-06,147.165,148.21,146.01,146.57,117212
2021-08-09,147.03,148.29,146.85,147.84,66334
2021-08-10,147.14,150.22,147.14,148.52,36424
2021-08-11,148.93,149.925,148.19,148.57,41085
2021-08-12,148.85,148.85,146.76,148.12,249303
2021-08-13,148.89,149.69,148.19,148.21,67348
2021-08-16,148.68,151.38,148.675,151.37,79778
2021-08-17,151.81,153.32,150.77,152.225,73453
2021-08-18,151.75,151.84,148.925,149.135,74677
2021-08-19,149.3,152.41,149.3,151.59,29391
2021-08-20,151.65,152.84,151.65,152.07,22794
2021-08-23,152.44,152.59,150.26,150.44,42773
2021-08-24,150.585,150.585,148.57,149.48,22851
2021-08-25,149.26,149.75,148.68,149.75,19612
2021-08-26,149.71,150.2,148.92,149.58,37916
2021-08-27,149.3,149.815,148.495,149.14,29921
2021-08-30,149.405,151.895,148.885,150.79,68011
2021-08-31,150.7,152.86,150.67,152.8,206058
2021-09-01,153.19,153.79,151.91,153.48,36015
2021-09-02,153.8,155.04,153.8,155.0,56095
2021-09-03,154.77,155.955,154.075,155.87,58967
2021-09-07,155.51,155.89,153.89,155.57,42609
2021-09-08,155.805,158.06,155.17,158.06,45918
2021-09-09,157.77,160.505,156.91,157.37,75653
2021-09-10,159.65,160.1,154.8,154.92,132506
2021-09-13,155.025,155.025,152.41,153.96,61945
2021-09-14,155.005,155.86,154.15,154.82,72712
2021-09-15,154.56,156.67,154.14,155.77,75046
2021-09-16,156.91,156.93,154.3,155.01,37735
2021-09-17,155.42,156.78,154.66,154.81,60720
2021-09-20,154.13,155.73,153.48,154.17,82803
2021-09-21,155.43,155.52,154.23,154.28,43159
2021-09-22,154.735,154.735,152.26,152.73,56514
2021-09-23,153.67,154.57,153.2,153.505,44514
2021-09-24,153.87,154.28,152.43,153.1,31108
2021-09-27,152.4,152.8,149.67,149.865,42279
2021-09-28,148.86,148.86,144.99,146.0,63748
2021-09-29,146.915,148.48,146.16,147.68,33649
2021-09-30,148.415,148.55,145.34,145.34,34127
2021-10-01,145.53,145.56,142.01,143.26,53222
2021-10-04,142.575,143.76,140.24,141.28,75854
2021-10-05,141.59,142.78,141.16,141.16,37965
2021-10-06,140.465,142.435,139.72,142.38,60360
2021-10-07,143.87,145.13,143.43,143.5,32859
2021-10-08,144.0,144.26,141.69,141.885,30691
2021-10-11,141.96,142.22,139.74,140.44,49641
2021-10-12,140.79,142.0,140.07,140.48,46723
2021-10-13,141.14,141.36,139.62,140.96,37158
2021-10-14,142.36,142.83,140.865,142.4,88093
2021-10-15,142.285,143.63,142.1,142.5,110157
2021-10-18,142.33,143.84,141.68,143.75,39917
2021-10-19,145.01,146.24,144.91,145.66,58595
2021-10-20,147.2,147.76,146.73,146.86,94143
2021-10-21,147.63,148.93,140.55,145.265,141004
2021-10-22,144.59,146.57,143.99,146.55,71013
2021-10-26,144.765,146.085,144.31,145.505,58908
2021-10-27,145.71,145.735,143.96,143.96,34637
2021-10-28,144.39,146.825,144.39,145.87,28584
2021-10-29,145.44,147.05,145.44,146.77,21473
2021-11-01,146.88,148.37,145.625,147.31,73280
2021-11-02,148.05,148.125,144.07,144.25,84089
2021-11-03,143.34,145.17,142.6,145.04,50258
2021-11-04,145.07,145.16,143.015,143.795,47952
2021-11-05,142.72,142.86,139.01,140.535,97992
2021-11-08,140.59,142.395,139.4,141.99,41726
2021-11-09,142.095,142.1,140.47,142.07,71138
2021-11-10,142.475,144.83,142.44,144.83,60187
2021-11-11,143.83,148.315,143.83,148.17,55706
2021-11-12,149.07,150.59,148.6,150.02,52125
2021-11-15,150.26,150.41,146.4,146.61,49293
2021-11-16,146.93,149.12,146.93,148.01,59231
2021-11-17,147.8,149.81,147.56,147.83,44499
2021-11-18,148.14,148.31,146.26,147.845,49978
2021-11-19,149.09,150.085,148.02,148.42,45575
2021-11-22,148.07,151.8,147.44,150.75,42474
2021-11-23,150.74,151.21,148.66,151.08,50657
2021-11-24,150.97,151.95,149.5,149.5,26592
2021-11-26,152.18,156.515,152.17,154.94,74819
2021-11-29,154.61,158.305,154.08,156.69,51892
2021-11-30,154.135,154.38,148.39,148.75,162410
2021-12-01,150.07,154.66,148.75,151.2,54983
2021-12-02,152.88,155.81,152.88,154.29,58364
2021-12-03,155.63,158.285,155.15,157.03,103297
2021-12-06,157.52,158.52,157.06,157.67,82313
2021-12-07,158.78,160.46,158.145,160.1,41384
2021-12-08,160.7,160.7,156.58,160.32,51421
2021-12-09,159.975,160.65,157.79,157.84,82274
2021-12-10,157.595,161.02,157.4,160.05,128198
2021-12-13,160.25,164.37,160.15,163.24,90084
2021-12-14,164.49,165.29,163.36,164.26,50963
2021-12-15,165.31,168.85,164.91,168.41,110219
2021-12-16,169.195,173.115,169.195,171.97,94383
2021-12-17,172.38,173.78,170.77,171.31,45193
2021-12-20,171.145,172.09,168.525,171.62,54586
2021-12-21,171.75,171.75,166.47,167.15,53870
2021-12-22,168.11,168.575,166.89,167.75,58798
2021-12-23,167.93,167.93,166.235,167.03,25249
2021-12-27,168.87,169.51,167.955,169.49,17254
2021-12-28,169.81,169.91,168.86,169.295,17517
2021-12-29,168.93,170.175,168.85,170.15,26088
2021-12-30,170.865,172.44,170.22,171.36,35106
2021-12-31,171.41,174.115,171.41,173.02,33231
2022-01-03,171.02,171.02,163.03,164.34,52855
2022-01-04,163.88,163.88,156.37,158.25,105617
2022-01-05,158.31,159.69,157.215,157.32,43716
2022-01-06,157.095,159.82,156.46,158.44,53407
2022-01-07,158.08,158.67,155.68,155.82,34138
2022-01-10,156.03,159.79,156.03,159.64,44681
2022-01-11,159.46,159.99,155.48,157.68,29057
2022-01-12,151.18,151.735,146.52,147.09,117394
2022-01-13,146.9,146.9,143.6,145.0,52362
2022-01-14,146.03,146.03,140.96,142.415,71856
2022-01-18,140.01,140.1,137.66,138.8,58261
2022-01-19,139.44,140.445,137.95,139.04,84918
2022-01-20,140.52,142.53,136.84,137.31,63458
2022-01-21,138.34,139.14,136.94,137.72,81304
2022-01-24,136.74,136.74,133.9,134.18,13756
2022-01-25,137.665,138.42,134.165,137.25,78107
2022-01-26,136.36,138.335,134.77,135.435,71096
2022-01-27,135.47,136.295,133.5,135.12,61403
2022-01-28,133.91,134.84,131.54,134.82,132965
2022-01-31,134.89,135.61,132.88,134.97,62665
2022-02-01,135.385,135.67,132.71,135.34,86884
2022-02-02,133.46,136.44,132.67,135.83,170277
2022-02-03,138.76,141.52,135.685,136.31,132343
2022-02-04,136.17,137.93,133.68,134.02,62613
2022-02-07,133.59,133.59,130.24,132.1,51266
2022-02-08,132.355,134.71,131.9,134.5,62770
2022-02-09,135.68,137.53,135.68,136.82,54203
2022-02-10,135.75,136.94,133.305,133.78,104408
2022-02-11,133.095,134.86,132.0,132.33,55887
2022-02-14,131.66,131.68,129.78,130.21,48253
2022-02-15,131.79,132.32,129.725,131.14,71098
2022-02-16,130.28,132.39,129.72,131.78,69227
2022-02-17,130.49,130.49,129.05,129.13,170030
2022-02-18,129.195,131.72,128.525,131.39,87202
2022-02-22,131.93,132.28,129.345,130.56,52134
2022-02-23,127.8,132.025,127.8,129.07,60792
2022-02-24,126.98,129.62,125.82,129.55,66845
2022-02-25,130.41,132.67,130.19,132.19,43944
2022-02-28,130.18,131.7,129.98,131.19,67711
2022-03-01,130.97,131.98,129.61,131.9,70911
2022-03-02,132.43,136.57,132.42,134.69,96871
2022-03-03,135.235,136.14,133.625,135.74,66648
2022-03-04,135.015,138.145,135.0,137.69,64373
2022-03-07,137.23,137.23,134.48,136.11,73457
2022-03-09,135.79,137.33,134.4,135.535,77950
2022-03-10,134.59,136.42,133.49,135.9,32477
2022-03-11,136.54,138.98,136.25,136.315,54268
2022-03-14,137.48,138.69,136.935,138.28,83748
2022-03-15,138.915,141.74,138.915,141.68,53646
2022-03-16,141.97,143.5,140.97,143.22,40186
2022-03-17,143.32,145.085,142.79,145.085,99163
2022-03-18,145.89,145.99,142.66,145.04,58694
2022-03-21,144.82,145.06,143.38,143.915,47073
2022-03-22,144.09,146.205,143.09,143.8,250420
2022-03-23,143.23,143.23,141.135,142.22,157618
2022-03-24,142.525,144.07,141.63,141.875,58642
2022-03-25,142.25,144.05,142.115,144.05,23362
2022-03-28,144.14,144.93,143.24,144.91,24201
2022-03-29,145.61,146.25,140.87,141.29,51206
2022-03-30,141.21,141.51,138.27,138.945,37673
2022-03-31,138.75,139.27,137.02,137.02,75958
2022-04-01,136.35,136.505,133.745,136.4,77870
2022-04-04,135.3,135.785,133.43,134.62,104260
2022-04-05,133.705,135.28,133.265,133.67,62065
2022-04-06,133.47,134.71,132.39,134.45,47216
2022-04-07,133.725,138.11,133.725,137.89,51213
2022-04-08,138.83,140.65,138.28,139.76,36955
2022-04-11,140.32,140.32,137.17,137.4,37190
2022-04-12,136.95,139.14,136.95,137.25,57373
2022-04-13,137.55,137.55,135.635,137.07,46961
2022-04-14,137.82,137.82,135.34,135.92,34580
2022-04-18,136.01,136.42,132.86,133.205,59202
2022-04-19,134.56,136.63,134.55,135.91,46856
2022-04-20,137.02,139.41,136.335,138.61,73156
2022-04-21,142.15,143.9,136.49,141.77,301574
2022-04-22,139.695,140.665,137.09,137.1,70704
2022-04-25,137.1,137.1,133.38,136.555,50533
2022-04-26,135.68,136.69,134.64,134.85,62875
2022-04-27,135.28,139.67,134.995,137.46,105930
2022-04-28,137.44,137.46,134.1,135.82,76759
2022-04-29,135.97,138.21,133.66,133.78,57930
2022-05-02,134.05,134.78,131.25,132.43,42618
2022-05-03,132.74,136.29,132.74,133.78,59037
2022-05-04,133.86,139.49,133.0,139.04,44766
2022-05-05,137.85,138.62,135.11,136.03,37688
2022-05-06,135.56,136.7,134.45,136.25,35819
2022-05-09,135.62,136.5,134.0,136.16,70816
2022-05-10,136.93,137.5,132.73,134.09,47989
2022-05-11,134.01,135.74,132.64,132.78,28336
2022-05-12,132.635,136.04,132.32,136.01,53188
2022-05-13,136.72,138.235,135.835,136.36,68729
2022-05-16,136.07,136.21,134.24,135.34,31981
2022-05-17,136.62,140.8,136.62,140.54,64512
2022-05-18,139.49,140.19,138.3,139.16,55200
2022-05-19,138.63,141.78,137.01,140.16,182618
2022-05-20,140.75,142.66,139.03,140.99,105948
2022-05-23,142.57,142.58,138.62,139.43,43066
2022-05-24,140.14,140.805,138.84,140.0,109830
2022-05-25,141.15,142.26,139.82,140.97,49793
2022-05-26,141.03,141.96,139.195,141.575,58065
2022-05-27,141.87,145.39,141.79,145.39,58214
2022-05-31,143.28,143.28,139.34,140.96,60917
2022-06-01,140.98,140.98,137.49,138.64,44349
2022-06-02,138.54,138.7,135.91,138.675,69441
2022-06-03,138.325,138.325,136.055,136.165,38334
2022-06-06,136.29,137.65,135.33,135.83,35423
2022-06-07,135.42,137.905,135.42,137.71,17674
2022-06-08,137.17,137.64,135.47,135.52,33411
2022-06-09,135.6,138.35,134.745,134.93,27713
2022-06-10,133.17,133.33,130.43,131.18,60529
2022-06-13,128.835,129.8,127.22,127.82,43900
2022-06-14,128.04,128.78,125.92,127.09,32461
2022-06-15,128.07,129.98,127.52,128.77,44869
2022-06-16,126.58,128.34,125.49,127.94,44985
2022-06-17,128.28,131.66,128.28,130.69,50852
2022-06-21,131.305,132.12,130.37,131.93,64025
2022-06-22,132.35,135.21,132.155,134.33,45396
2022-06-23,135.095,138.22,135.095,137.44,53339
2022-06-24,138.28,140.415,137.655,140.31,30594
2022-06-27,139.085,139.085,137.11,138.6,45776
2022-06-28,138.99,139.765,136.37,136.46,38654
2022-06-29,136.35,138.4,136.3,137.62,34990
2022-06-30,136.48,136.48,132.27,132.91,76331
2022-07-01,133.17,136.91,132.57,136.65,43128
2022-07-05,134.72,134.72,131.42,133.57,37289
2022-07-06,133.74,136.83,133.43,135.92,69833
2022-07-07,136.39,137.21,134.77,135.7,26672
2022-07-08,135.685,137.505,135.58,135.72,50057
2022-07-11,135.355,136.5,134.83,135.825,42165
2022-07-12,136.31,137.19,133.32,134.14,69836
2022-07-13,133.295,134.285,132.35,133.09,61294
2022-07-14,131.255,133.66,130.7,133.16,42428
2022-07-15,135.505,135.955,133.57,135.84,25650
2022-07-18,135.66,135.73,133.29,133.65,48758
2022-07-19,134.98,137.37,134.85,136.6,35522
2022-07-20,136.605,136.67,134.505,134.86,104292
2022-07-21,133.505,135.11,130.11,134.51,107457
2022-07-22,135.85,135.855,130.47,130.95,81400
2022-07-25,131.0,131.91,130.32,130.925,43941
2022-07-26,130.87,133.34,129.29,133.16,44892
2022-07-27,131.76,135.295,131.76,134.31,29416
2022-07-28,134.67,136.27,132.65,135.21,39738
2022-07-29,135.36,137.19,134.88,136.53,54454
2022-08-01,136.2,136.93,135.44,136.67,33737
2022-08-02,137.61,138.36,136.47,136.73,36579
2022-08-03,138.26,138.44,137.21,137.93,21732
2022-08-04,138.38,140.325,137.91,138.02,31329
2022-08-05,137.24,139.42,137.22,139.41,31780
2022-08-08,140.62,140.82,139.59,140.015,28278
2022-08-09,140.37,141.35,139.03,139.16,22344
2022-08-10,140.23,141.375,139.39,140.87,56897
2022-08-11,142.045,142.835,140.08,140.54,48106
2022-08-12,141.1,141.3,139.47,140.57,59264
2022-08-15,140.36,142.4,139.765,141.045,47954
2022-08-16,140.11,141.79,140.11,140.54,42862
2022-08-17,140.18,140.295,137.525,137.835,57436
2022-08-18,137.72,137.815,134.425,135.97,86737
2022-08-19,136.25,137.005,134.705,135.465,59544
2022-08-22,135.29,135.29,131.9,132.02,43215
2022-08-23,130.96,131.15,129.73,130.12,56418
2022-08-24,128.93,129.13,127.54,128.72,39961
2022-08-25,127.57,130.58,127.2,130.58,30145
2022-08-26,130.88,130.88,127.045,127.09,44085
2022-08-29,126.6,127.56,126.07,126.65,29263
2022-08-30,126.6,127.41,125.9,126.32,25708
2022-08-31,126.64,126.995,124.935,125.31,37642
2022-09-01,124.44,126.48,124.41,126.105,36027
2022-09-02,126.75,127.065,124.66,125.13,27894
2022-09-06,125.225,126.89,125.075,125.41,33138
2022-09-07,125.795,128.09,125.72,127.375,61017
2022-09-08,127.185,130.44,127.185,130.2,53668
2022-09-09,130.13,131.0,129.52,129.99,36786
2022-09-12,130.23,131.765,130.185,131.64,26405
2022-09-13,129.7,129.925,125.63,125.9,31799
2022-09-14,125.85,125.95,123.44,124.01,87712
2022-09-15,124.46,125.62,124.095,124.3,48530
2022-09-16,124.1,125.51,123.93,124.8,39162
2022-09-19,124.39,125.705,124.08,125.64,42724
2022-09-20,124.06,124.37,122.75,124.34,73721
2022-09-21,125.16,126.06,121.73,121.82,69062
2022-09-22,121.03,123.72,120.62,122.855,55508
2022-09-23,122.425,122.85,121.01,122.27,51118
2022-09-26,122.05,123.75,121.87,123.13,50504
2022-09-27,123.93,124.9,122.0,122.24,65021
2022-09-28,122.96,125.78,122.96,125.13,42760
2022-09-29,124.395,125.13,123.72,124.58,69379
2022-09-30,125.275,126.205,122.53,122.72,26368
2022-10-03,123.165,125.96,123.105,125.405,39909
2022-10-04,126.165,128.52,126.165,128.12,55508
2022-10-05,127.43,128.325,126.345,127.59,28897
2022-10-06,126.37,126.775,125.11,126.035,44402
2022-10-07,124.82,124.9,122.625,123.37,25375
2022-10-10,123.655,124.48,122.645,124.13,35068
2022-10-11,123.86,126.03,122.84,124.295,53516
2022-10-12,124.125,125.95,124.005,124.385,49338
2022-10-13,122.62,126.88,122.62,125.715,50094
2022-10-14,126.54,127.99,125.02,126.04,79327
2022-10-17,127.81,128.3,127.005,127.96,51271
2022-10-18,130.1,130.79,128.46,129.55,85128
2022-10-19,129.01,129.01,125.23,126.66,101990
2022-10-20,129.655,134.93,128.895,134.65,156815
2022-10-21,134.81,139.17,132.755,136.73,150716
2022-10-24,138.21,140.34,138.03,138.99,81721
2022-10-25,140.09,144.545,139.81,144.08,143230
2022-10-26,144.75,146.09,142.725,143.55,137115
2022-10-27,142.23,144.615,141.175,142.675,92971
2022-10-28,142.73,145.775,142.5,144.6,93263
2022-10-31,143.85,146.845,143.63,143.67,85349
2022-11-01,144.03,144.63,141.395,142.72,83556
2022-11-02,142.215,144.24,140.35,140.42,116514
2022-11-03,138.975,143.85,138.52,143.04,85148
2022-11-04,143.56,144.92,141.78,143.65,99894
2022-11-07,144.22,146.41,143.135,146.04,86437
2022-11-08,146.27,147.91,145.565,145.91,50698
2022-11-09,145.61,146.39,145.17,145.45,86004
2022-11-10,147.96,152.54,147.96,152.43,76595
2022-11-11,151.805,151.805,148.62,151.04,132401
2022-11-14,151.9,153.06,150.47,150.54,56706
2022-11-15,150.4,151.0,147.53,148.01,64827
2022-11-16,149.825,150.55,149.13,149.14,92864
2022-11-17,144.1,146.87,141.9,146.03,120232
2022-11-18,148.015,148.085,144.315,146.41,46850
2022-11-21,146.095,148.7,145.845,146.63,74869
2022-11-22,147.28,147.8,145.65,146.69,40291
2022-11-23,147.8,149.1,147.775,148.515,56171
2022-11-25,149.21,149.575,147.62,149.02,21532
