date,open,high,low,close,volume
2021-07-21,283.155,283.155,273.23,279.73,153271
2021-07-22,284.0,290.21,282.13,289.13,200907
2021-07-23,290.87,292.33,288.34,291.46,120373
2021-07-26,290.92,292.76,287.34,290.17,96106
2021-07-27,291.78,292.195,289.14,290.68,76912
2021-07-28,289.94,293.93,289.56,292.89,109007
2021-07-29,293.15,298.69,293.01,297.64,91657
2021-07-30,297.295,299.62,296.16,297.41,109278
2021-08-02,298.76,299.99,295.08,297.01,102398
2021-08-03,297.21,302.67,297.21,302.41,109718
2021-08-04,303.875,307.01,303.1,305.77,77911
2021-08-05,306.29,308.37,304.725,307.16,198951
2021-08-06,307.255,307.91,304.61,307.28,136707
2021-08-09,308.01,309.05,305.81,308.01,62326
2021-08-10,308.0,312.57,307.92,308.86,85763
2021-08-11,309.23,312.57,307.83,310.58,121521
2021-08-12,309.41,314.59,309.41,313.895,131325
2021-08-13,314.66,315.36,312.84,315.17,87703
2021-08-16,315.14,319.06,314.19,318.89,68555
2021-08-17,319.325,321.29,318.07,321.02,81283
2021-08-18,322.29,323.31,314.96,315.01,139744
2021-08-19,313.42,320.69,313.145,319.95,116885
2021-08-20,319.82,322.935,319.82,321.53,120706
2021-08-23,321.55,322.1,318.51,318.66,106481
2021-08-24,319.385,322.25,318.175,320.64,59384
2021-08-25,319.765,321.08,318.87,319.56,39368
2021-08-26,320.19,320.61,316.75,318.33,86608
2021-08-27,318.68,321.62,318.01,319.12,55734
2021-08-30,321.18,327.41,321.01,327.045,80560
2021-08-31,328.35,328.35,322.26,324.18,109376
2021-09-01,322.945,328.11,321.245,327.59,112315
2021-09-02,328.82,332.93,328.36,331.51,155188
2021-09-03,329.91,333.29,328.68,332.55,59700
2021-09-07,331.06,331.74,327.21,329.96,121618
2021-09-08,329.745,331.895,328.11,330.23,99942
2021-09-09,330.485,332.19,327.87,328.35,62365
2021-09-10,330.32,333.91,329.9,329.94,112709
2021-09-13,330.24,330.46,316.565,321.69,91516
2021-09-14,324.155,326.83,322.3,324.015,114370
2021-09-15,322.21,328.17,321.03,325.28,102611
2021-09-16,324.46,326.41,321.85,324.01,106138
2021-09-17,324.94,328.97,321.91,324.46,111569
2021-09-20,320.66,325.59,320.66,323.96,143594
2021-09-21,324.63,327.335,324.07,324.86,86438
2021-09-22,325.3,326.15,323.21,324.14,70844
2021-09-23,325.475,327.03,323.51,324.99,126260
2021-09-24,325.22,326.06,322.59,324.575,59675
2021-09-27,322.535,322.535,313.655,315.95,100685
