date,open,high,low,close,volume
2021-07-21,36.085,36.36,36.02,36.15,74993
2021-07-22,36.0,36.11,35.715,36.04,69852
2021-07-23,36.265,36.375,36.04,36.26,84869
2021-07-26,36.25,36.425,35.945,36.375,166090
2021-07-27,36.35,37.12,36.135,36.975,111349
2021-07-28,37.015,37.07,36.7,36.87,64081
2021-07-29,36.91,37.205,36.9,37.13,66987
2021-07-30,37.17,37.635,36.865,36.975,122825
2021-08-02,37.075,37.32,36.63,36.66,50605
2021-08-03,36.57,36.81,36.36,36.735,59911
2021-08-04,36.45,37.43,36.45,36.98,244565
2021-08-05,37.13,37.36,36.86,37.36,106699
2021-08-06,37.2,37.25,36.26,36.34,100148
2021-08-09,36.28,36.375,36.03,36.16,76979
2021-08-10,36.135,36.135,35.36,35.365,81746
2021-08-11,35.59,35.615,35.19,35.23,110977
2021-08-12,35.28,35.28,34.99,35.19,56966
2021-08-13,35.41,35.87,35.3,35.84,133929
2021-08-16,35.75,36.055,35.58,35.62,70576
2021-08-17,35.46,35.68,35.16,35.68,36801
2021-08-18,35.53,35.635,35.23,35.275,29250
2021-08-19,34.85,35.595,34.85,35.16,103917
2021-08-20,34.92,35.36,34.59,35.15,42807
2021-08-23,35.3,35.32,34.775,34.94,40627
2021-08-24,34.87,35.275,34.73,35.17,114472
2021-08-25,34.94,35.61,34.9,35.23,87488
2021-08-26,35.19,35.405,35.1,35.16,51172
2021-08-27,35.28,35.79,35.23,35.49,65894
2021-08-30,35.465,35.885,35.325,35.79,120123
2021-08-31,35.735,36.07,35.57,36.0,95545
2021-09-01,36.12,36.69,36.12,36.53,73360
2021-09-02,36.67,36.67,36.3,36.62,78578
2021-09-03,36.34,36.47,35.995,36.34,68075
2021-09-07,36.175,36.175,35.495,35.78,74946
2021-09-08,35.77,36.445,35.575,36.32,64352
2021-09-09,36.23,36.255,35.6,35.61,89509
2021-09-10,35.61,35.67,35.205,35.35,51142
2021-09-13,35.66,35.77,35.45,35.47,45980
