date,open,high,low,close,volume
2021-07-21,163.85,165.64,163.34,164.02,93078
2021-07-22,164.89,164.97,163.18,164.76,57922
2021-07-23,165.68,166.075,163.49,164.26,63058
2021-07-26,163.67,164.525,161.88,162.845,65410
2021-07-27,161.935,164.6,161.51,163.79,61208
2021-07-28,163.395,163.98,162.29,162.985,62795
2021-07-29,163.76,165.145,163.485,165.12,30354
2021-07-30,165.28,167.29,164.855,167.18,61047
2021-08-02,167.57,168.755,166.89,166.98,41181
2021-08-03,167.33,169.945,167.29,169.73,71164
2021-08-04,168.75,169.53,167.15,168.08,79601
2021-08-05,169.485,169.77,168.485,169.135,59637
2021-08-06,170.28,170.58,168.95,169.57,47562
2021-08-09,168.425,169.35,168.235,169.04,66249
2021-08-10,169.6,171.895,169.6,171.765,30428
2021-08-11,172.055,173.14,171.71,172.54,35285
2021-08-12,172.785,172.785,171.26,172.03,105173
2021-08-13,172.12,172.5,171.16,171.62,51768
2021-08-16,170.955,173.965,170.955,173.87,32461
2021-08-17,173.05,173.13,171.45,173.09,25249
2021-08-18,173.38,174.09,171.49,171.49,23276
2021-08-19,170.28,173.66,170.28,172.405,115420
2021-08-20,172.73,173.16,171.62,172.76,43503
2021-08-23,173.6,174.28,172.97,173.12,33850
2021-08-24,173.17,174.435,173.17,174.23,29975
2021-08-25,174.025,175.25,173.99,174.45,12077
2021-08-26,174.065,174.375,173.635,173.98,43687
2021-08-27,174.61,175.18,174.4,174.63,13892
2021-08-30,174.94,176.385,174.38,175.77,24601
2021-08-31,175.26,175.32,174.02,174.42,15435
2021-09-01,174.65,174.65,172.51,173.84,24936
2021-09-02,174.69,176.03,174.36,176.03,22182
2021-09-03,175.5,176.14,174.62,174.89,11339
2021-09-07,174.385,174.385,172.6,172.82,19324
2021-09-08,172.16,175.42,172.16,174.87,47033
2021-09-09,175.54,176.4,174.69,174.8,42623
2021-09-10,175.75,175.75,173.505,173.505,27922
2021-09-13,174.0,174.0,169.45,170.65,82747
2021-09-14,171.485,171.78,166.35,167.0,82921
2021-09-15,166.825,168.47,166.32,167.7,126922
2021-09-16,167.615,167.615,163.38,164.22,132177
2021-09-17,163.495,163.88,161.59,162.6,42061
2021-09-20,159.16,162.74,159.16,162.53,47341
2021-09-21,162.44,162.88,161.11,161.26,21931
2021-09-22,162.885,163.57,162.03,162.17,24331
2021-09-23,163.7,164.58,163.46,163.55,12847
2021-09-24,163.08,163.345,161.78,161.92,21012
2021-09-27,162.49,162.84,161.63,161.72,27747
2021-09-28,160.51,160.935,157.61,158.87,66317
2021-09-29,159.18,159.92,159.07,159.275,37058
2021-09-30,159.23,160.13,155.505,155.53,36713
2021-10-01,156.32,157.88,154.275,156.66,15036
2021-10-04,156.4,158.17,154.955,155.96,25706
2021-10-05,156.73,159.07,155.545,158.035,30085
2021-10-06,157.195,159.205,154.78,159.085,30319
2021-10-07,160.28,161.01,159.73,159.73,33427
2021-10-08,158.93,158.93,156.71,157.755,23260
2021-10-11,158.2,158.75,156.69,156.71,23794
2021-10-12,157.64,159.045,156.87,157.1,27142
2021-10-13,157.12,158.15,156.375,157.43,24228
2021-10-14,158.58,162.78,158.58,162.49,22021
2021-10-15,163.84,166.53,163.84,165.14,35455
2021-10-18,164.21,167.42,163.935,166.76,47214
2021-10-19,172.73,172.73,166.19,167.96,167172
2021-10-20,168.69,171.22,167.795,168.85,92248
2021-10-21,168.05,169.73,166.52,169.73,38676
2021-10-22,170.47,171.04,169.1,169.265,21679
2021-10-26,168.96,169.01,167.36,167.385,12650
2021-10-27,166.645,168.67,165.52,165.61,20932
2021-10-28,166.06,169.04,166.06,169.03,15982
2021-10-29,168.63,170.17,168.09,168.95,18321
2021-11-01,169.96,170.075,168.0,169.76,19109
2021-11-02,170.27,171.845,170.27,171.44,26045
2021-11-03,171.03,171.03,168.98,170.0,7664
2021-11-04,171.19,173.03,171.09,172.16,19314
2021-11-05,173.92,174.1,171.03,171.25,28152
2021-11-08,172.78,173.83,171.82,173.71,6133
2021-11-09,173.42,175.45,173.42,175.38,12634
2021-11-10,175.49,176.59,174.355,174.81,28126
2021-11-11,174.01,174.445,170.88,171.13,29434
2021-11-12,171.06,172.85,170.16,172.825,23538
2021-11-15,172.4,174.825,172.4,173.43,40658
2021-11-16,174.29,177.94,174.29,176.63,46555
2021-11-17,176.94,176.94,174.495,175.45,15027
2021-11-18,175.94,176.935,175.06,176.47,35481
2021-11-19,176.765,178.16,175.97,176.04,29309
2021-11-22,176.37,178.18,175.85,175.85,18626
2021-11-23,175.91,176.4,174.98,176.03,14306
2021-11-24,175.405,176.45,174.34,176.27,21685
2021-11-26,170.97,173.22,170.89,171.26,20736
2021-11-29,172.36,173.795,170.99,171.785,34812
2021-11-30,170.32,170.475,163.49,163.74,56671
2021-12-01,166.07,168.985,163.05,163.09,38274
2021-12-02,163.18,167.615,163.18,166.42,40472
2021-12-03,166.735,167.395,164.25,167.07,46212
2021-12-06,168.94,170.72,168.565,170.03,25560
2021-12-07,172.87,174.83,171.65,172.25,24507
2021-12-08,172.05,172.29,170.345,171.8,21206
2021-12-09,171.19,173.44,171.19,171.68,16006
2021-12-10,171.775,172.515,170.35,171.375,29621
2021-12-13,172.47,172.625,170.54,171.79,24010
2021-12-14,170.985,171.87,166.325,167.995,51101
2021-12-15,169.07,171.85,167.97,171.72,86669
2021-12-16,172.56,175.43,172.31,172.31,65584
2021-12-17,172.8,176.11,170.27,170.27,90977
2021-12-20,169.76,170.49,166.155,168.51,42208
2021-12-21,169.87,171.84,168.47,171.415,23105
2021-12-22,171.97,172.46,170.99,172.41,14083
2021-12-23,172.79,174.33,172.79,173.71,15031
2021-12-27,173.77,178.885,173.77,178.68,43769
2021-12-28,179.25,179.845,179.1,179.735,25372
2021-12-29,179.135,181.69,179.135,181.45,16008
2021-12-30,182.2,182.5,180.63,180.71,16137
2021-12-31,180.84,182.75,180.785,181.74,11548
2022-01-03,181.74,183.515,177.47,178.34,73004
2022-01-04,179.775,182.93,179.765,181.45,64258
2022-01-05,181.96,182.74,179.1,179.43,41013
2022-01-06,180.48,182.84,180.0,181.52,42358
2022-01-07,182.56,184.045,181.22,183.035,104813
2022-01-10,180.43,180.56,177.435,179.39,59965
2022-01-11,179.895,180.99,176.795,180.75,39847
2022-01-12,182.39,183.03,180.51,181.185,20816
