date,open,high,low,close,volume
2021-07-21,475.86,476.19,466.37,470.25,33766
2021-07-22,485.625,548.505,485.625,538.7,179897
2021-07-23,540.4,540.4,519.51,525.1,81854
2021-07-26,524.13,538.43,523.385,534.01,40077
2021-07-27,536.95,543.09,534.52,536.97,19239
2021-07-28,535.24,535.24,523.45,524.56,22788
2021-07-29,527.41,530.77,525.82,526.31,20913
2021-07-30,526.81,531.355,524.11,524.68,31111
2021-08-02,527.355,533.175,522.92,530.57,17697
2021-08-03,530.91,543.54,530.91,540.7,41706
2021-08-04,542.04,542.61,536.3,536.445,30136
2021-08-05,534.58,536.68,530.465,535.195,15058
2021-08-06,536.895,537.77,532.11,533.43,18872
2021-08-09,532.11,532.42,525.69,529.47,13793
2021-08-10,529.85,529.85,517.89,518.83,15376
2021-08-11,518.02,523.185,514.605,514.89,12064
2021-08-12,517.84,518.735,514.105,516.28,26181
2021-08-13,513.93,518.46,513.89,517.05,30360
2021-08-16,516.73,517.875,512.62,513.1,18110
2021-08-17,514.165,530.71,514.165,527.76,26549
2021-08-18,526.895,533.59,524.31,526.11,16909
2021-08-19,524.0,524.91,515.88,517.5,18556
2021-08-20,515.91,516.73,507.25,509.83,29905
2021-08-23,507.12,515.31,506.31,509.44,14695
2021-08-24,509.805,509.805,500.63,501.24,21101
2021-08-25,503.26,512.415,501.82,511.69,33301
2021-08-26,513.38,513.82,508.68,510.655,16160
2021-08-27,509.42,512.88,509.215,511.75,18760
2021-08-30,513.685,519.99,513.13,517.23,29971
2021-08-31,515.945,520.32,515.945,516.55,16110
2021-09-01,510.98,517.2,509.13,515.475,44128
2021-09-02,518.96,518.96,512.56,517.15,21337
2021-09-03,513.96,520.94,512.45,514.74,23067
2021-09-07,514.12,515.83,509.565,514.06,19294
2021-09-08,515.67,522.045,515.06,521.4,23226
2021-09-09,523.215,525.03,515.4,515.45,11816
2021-09-10,514.99,515.41,510.48,510.65,21517
2021-09-13,507.66,512.74,505.65,511.195,41195
2021-09-14,511.51,511.51,505.94,506.69,16316
2021-09-15,503.25,509.43,501.39,505.6,22120
2021-09-16,506.28,512.57,502.55,511.655,26864
2021-09-17,512.15,512.15,501.57,503.63,19139
2021-09-20,501.65,504.3,493.84,497.04,25873
2021-09-21,496.455,503.1,495.31,498.81,15455
2021-09-22,498.45,499.07,493.4,495.22,14728
2021-09-23,498.345,498.345,492.88,492.92,12096
2021-09-24,495.0,495.0,486.225,489.875,17977
2021-09-27,487.37,493.0,485.09,487.3,25943
2021-09-28,485.025,488.02,483.14,484.47,22385
2021-09-29,485.25,488.205,483.03,483.21,11274
2021-09-30,485.08,486.85,476.44,476.77,44478
2021-10-01,477.29,478.155,470.69,475.02,29024
2021-10-04,472.16,474.975,469.3,470.92,24759
2021-10-05,470.49,477.46,470.47,474.27,17576
2021-10-06,474.625,483.65,471.42,482.67,30504
2021-10-07,483.73,491.18,481.87,482.49,29807
2021-10-08,485.11,488.39,479.9,480.33,21124
2021-10-11,478.43,484.41,472.755,480.12,31338
2021-10-12,480.575,482.79,476.96,479.8,26749
2021-10-13,478.755,479.92,474.305,476.63,50334
2021-10-14,461.165,489.89,456.0,477.64,100331
2021-10-15,474.29,474.29,453.375,455.18,175758
2021-10-18,458.255,466.95,456.9,459.055,43262
2021-10-19,462.95,467.4,457.17,465.39,32774
2021-10-20,468.185,468.73,455.62,458.53,25200
2021-10-21,459.43,468.31,457.44,467.71,45091
2021-10-22,467.58,472.29,463.61,464.42,23820
2021-10-26,469.12,469.125,462.74,465.98,22172
2021-10-27,469.225,482.09,469.225,480.1,44163
2021-10-28,478.745,481.75,473.98,479.4,28772
2021-10-29,477.81,490.115,477.81,488.97,18742
2021-11-01,488.9,489.21,479.605,487.39,20439
2021-11-02,488.28,489.05,478.82,486.83,22392
2021-11-03,489.18,489.18,481.295,485.21,16095
2021-11-04,488.68,509.86,488.68,509.49,18962
2021-11-05,506.01,506.7,492.585,495.74,25830
2021-11-08,493.98,497.02,488.85,496.42,9234
2021-11-09,504.06,507.625,496.785,498.375,27004
2021-11-10,493.71,498.54,493.71,494.96,8692
2021-11-11,496.45,507.17,496.43,506.97,19583
2021-11-12,511.63,522.0,509.66,513.11,24173
2021-11-15,517.1,522.715,507.88,516.96,37088
2021-11-16,515.985,527.25,515.985,525.27,25302
