date,open,high,low,close,volume
2021-07-21,144.645,146.07,144.26,144.96,62540
2021-07-22,143.73,144.56,142.29,144.27,92646
2021-07-23,145.97,146.5,143.735,144.42,134546
2021-07-26,145.325,147.35,143.51,147.35,105454
2021-07-27,146.79,149.52,146.085,149.5,151276
2021-07-28,149.28,149.85,147.19,148.16,172400
2021-07-29,148.955,150.66,148.76,150.25,164833
2021-07-30,148.645,150.22,145.21,145.84,127055
2021-08-02,146.895,149.67,146.53,147.8,148136
2021-08-03,148.085,148.085,143.755,146.79,113143
2021-08-04,145.9,148.265,145.65,146.46,55014
2021-08-05,147.62,148.44,144.32,144.48,75124
2021-08-06,145.13,146.57,143.46,144.675,66703
2021-08-09,141.205,141.5,137.09,138.22,108566
2021-08-10,138.52,140.67,137.73,140.22,112881
2021-08-11,139.58,141.34,139.15,141.13,50194
2021-08-12,141.1,142.03,139.83,142.03,56407
2021-08-13,141.8,143.35,141.68,141.88,57305
2021-08-16,140.295,140.44,138.635,140.19,38710
2021-08-17,139.145,139.19,135.46,137.165,95787
2021-08-18,136.34,138.66,134.61,136.96,73193
2021-08-19,136.7,137.22,133.22,136.76,79233
2021-08-20,136.56,139.625,136.3,139.46,70755
2021-08-23,140.75,142.62,139.96,142.13,82219
2021-08-24,142.96,146.58,142.96,145.89,69568
2021-08-25,146.26,150.75,145.75,150.14,94751
2021-08-26,149.16,150.6,147.765,148.48,99800
2021-08-27,148.93,153.82,148.9,153.06,81056
2021-08-30,152.88,152.88,148.88,149.965,47127
2021-08-31,149.85,151.34,147.98,150.65,57296
2021-09-01,149.76,151.26,148.93,151.2,39696
2021-09-02,151.83,152.555,149.98,150.48,61511
2021-09-03,149.775,150.62,147.65,148.025,44312
2021-09-07,148.05,148.38,146.73,147.47,66565
2021-09-08,147.32,148.45,146.095,147.26,72510
2021-09-09,146.66,149.825,146.66,148.25,32686
2021-09-10,149.15,150.18,147.92,148.69,40433
2021-09-13,149.13,149.94,147.905,149.63,31694
2021-09-14,149.9,150.33,147.84,148.57,54382
2021-09-15,147.48,149.06,146.15,149.05,53167
2021-09-16,148.58,151.04,148.58,150.27,52481
2021-09-17,148.7,150.2,147.87,149.41,198214
2021-09-20,146.79,148.86,145.69,148.66,150121
2021-09-21,148.87,149.98,145.92,146.56,82261
2021-09-22,147.75,151.44,147.735,150.33,93672
2021-09-23,159.24,164.11,157.095,159.38,256817
2021-09-24,159.46,160.73,157.275,158.75,68992
2021-09-27,159.35,160.53,157.555,159.86,104698
2021-09-28,159.54,160.32,155.38,155.86,76362
2021-09-29,156.79,157.185,153.475,153.665,46837
2021-09-30,154.33,154.33,151.56,151.56,51403
2021-10-01,153.72,157.35,152.96,155.93,53653
2021-10-04,155.23,158.005,154.39,155.5,68743
2021-10-05,154.9,158.35,154.45,156.77,36740
2021-10-06,155.375,157.42,154.435,157.3,80640
2021-10-07,156.995,157.81,155.55,155.76,54978
2021-10-08,155.69,156.69,154.43,154.59,33110
2021-10-11,155.375,156.06,152.95,152.98,18500
2021-10-12,154.5,154.5,151.78,152.12,29433
2021-10-13,151.53,151.63,148.715,149.485,86084
2021-10-14,150.78,151.42,149.98,150.54,110019
2021-10-15,152.11,153.21,149.1,149.11,53960
2021-10-18,148.43,148.96,147.46,148.8,54931
2021-10-19,148.86,148.86,145.42,146.54,73864
2021-10-20,143.35,146.0,142.545,143.22,155199
2021-10-21,143.455,145.84,143.455,145.7,91997
2021-10-22,145.56,146.01,143.48,145.4,34893
2021-10-26,145.1,146.08,144.21,145.745,39959
2021-10-27,145.51,145.6,143.575,143.655,90595
2021-10-28,143.565,144.97,142.83,144.97,46908
2021-10-29,144.81,146.49,143.5,144.15,33104
2021-11-01,145.03,148.36,144.87,148.03,44312
2021-11-02,147.99,147.99,142.85,143.76,79858
2021-11-03,143.1,146.9,142.24,145.18,48426
2021-11-04,144.57,148.385,144.57,146.02,64174
2021-11-05,151.87,155.31,151.065,154.54,97882
2021-11-08,154.255,154.41,152.39,153.42,46176
2021-11-09,153.71,155.53,153.71,155.53,41397
2021-11-10,154.48,155.12,150.95,151.675,62499
2021-11-11,151.015,152.3,150.2,151.17,35044
2021-11-12,150.66,151.085,149.33,150.25,60523
2021-11-15,151.17,151.29,146.93,147.66,45657
2021-11-16,147.24,148.01,146.535,146.6,48197
2021-11-17,146.02,147.865,145.74,146.97,60368
2021-11-18,147.57,147.57,144.655,145.91,68291
2021-11-19,144.69,144.69,141.26,143.15,65791
2021-11-22,143.66,147.52,143.61,146.915,67487
2021-11-23,147.74,150.24,146.93,148.39,55553
2021-11-24,147.28,149.05,146.77,148.39,17781
2021-11-26,140.47,141.11,137.15,140.62,84744
2021-11-29,143.18,143.87,140.455,141.75,102796
2021-11-30,139.525,140.88,136.585,137.95,92097
2021-12-01,141.49,145.895,136.7,136.72,94475
2021-12-02,137.03,144.3,137.03,143.09,51441
2021-12-03,143.615,144.06,141.26,142.31,71987
2021-12-06,143.66,148.645,142.63,146.57,53921
2021-12-07,149.17,151.54,147.69,148.16,34074
2021-12-08,148.89,151.505,148.89,150.64,37032
2021-12-09,150.78,151.84,149.47,149.47,51398
2021-12-10,150.72,152.44,149.195,151.855,45023
2021-12-13,151.25,151.25,146.59,147.86,56916
2021-12-14,147.54,149.46,147.19,149.16,45851
2021-12-15,149.63,149.65,145.28,149.05,44613
2021-12-16,150.77,151.08,145.62,147.07,82927
2021-12-17,139.52,142.84,135.36,139.85,167442
2021-12-20,135.75,138.64,134.43,138.03,80322
2021-12-21,139.99,144.645,139.965,142.89,95563
2021-12-22,145.83,146.21,143.41,145.14,54249
2021-12-23,146.77,149.005,145.815,148.86,62765
2021-12-27,148.01,150.25,146.92,150.25,31141
2021-12-28,150.83,151.73,149.17,149.41,28384
2021-12-29,150.0,151.48,148.945,149.0,25271
2021-12-30,150.245,150.48,149.235,149.36,30894
2021-12-31,150.385,151.31,149.86,150.66,25358
2022-01-03,150.54,151.34,146.2,148.81,65860
2022-01-04,150.405,151.87,149.83,151.63,68262
