date,open,high,low,close,volume
2021-07-21,25.935,26.7,25.74,26.335,241666
2021-07-22,26.3,26.54,25.89,25.98,235883
2021-07-23,26.06,26.06,25.185,25.62,247037
2021-07-26,25.76,26.76,25.76,26.64,222899
2021-07-27,26.26,26.51,25.725,25.96,286805
2021-07-28,26.26,26.78,25.81,26.45,166700
2021-07-29,27.0,27.015,26.42,26.635,354492
2021-07-30,26.46,26.465,25.55,25.84,328126
2021-08-02,25.82,26.76,25.285,25.495,277513
2021-08-03,25.25,26.255,24.87,26.225,291480
2021-08-04,25.62,26.0,24.83,25.285,360347
2021-08-05,25.79,27.04,25.74,26.62,431769
2021-08-06,27.08,27.46,26.7,27.02,280085
2021-08-09,26.25,26.78,25.97,26.63,239996
2021-08-10,26.9,27.72,26.83,27.64,296088
2021-08-11,27.35,28.09,27.095,28.0,155869
2021-08-12,27.95,28.53,27.66,28.475,221478
2021-08-13,28.41,28.7,27.95,28.0,134309
2021-08-16,27.52,27.52,26.87,27.18,194235
2021-08-17,26.87,27.56,26.72,26.91,263948
2021-08-18,26.93,27.41,26.1,26.14,221099
2021-08-19,25.45,25.82,24.46,25.345,405160
2021-08-20,24.97,25.755,24.815,25.685,285357
2021-08-23,26.93,27.37,26.64,27.26,323627
2021-08-24,27.75,28.61,27.58,28.525,221184
2021-08-25,28.62,29.5,28.21,29.23,247239
2021-08-26,28.85,29.56,28.69,29.085,255123
2021-08-27,29.8,30.39,29.6,30.36,397919
2021-08-30,30.42,30.53,29.585,29.82,165111
2021-08-31,29.69,30.295,29.42,29.54,217287
2021-09-01,29.3,29.57,27.67,28.24,443397
2021-09-02,28.625,29.97,28.625,29.32,274164
2021-09-03,29.28,29.79,29.02,29.19,222298
2021-09-07,28.88,29.3,28.74,29.06,117588
2021-09-08,29.3,29.6,28.03,28.235,227973
2021-09-09,28.01,29.06,27.77,28.435,248299
2021-09-10,28.73,29.015,28.025,28.07,141728
2021-09-13,28.87,29.45,28.59,28.92,257650
2021-09-14,29.19,29.22,27.88,28.28,219947
2021-09-15,28.96,30.425,28.9,30.34,444180
2021-09-16,30.18,30.57,29.72,30.3,247332
2021-09-17,30.24,30.69,29.72,29.78,317011
2021-09-20,28.43,28.82,27.41,28.175,339644
2021-09-21,28.9,28.9,27.82,28.5,423560
2021-09-22,29.3,30.84,29.23,30.43,367973
2021-09-23,30.5,32.915,30.5,32.795,463708
2021-09-24,32.47,33.34,32.28,33.08,443744
2021-09-27,34.25,35.085,33.94,35.005,488737
2021-09-28,35.64,35.96,34.89,35.14,392688
2021-09-29,34.92,36.03,34.6,35.75,271896
2021-09-30,35.465,35.91,34.94,35.49,392161
2021-10-01,35.97,37.15,35.86,36.8,320965
2021-10-04,37.5,39.39,37.44,38.745,647638
2021-10-05,39.32,40.235,38.83,40.07,472443
2021-10-06,39.02,39.76,38.05,38.68,729574
2021-10-07,38.85,38.95,37.515,38.41,638222
2021-10-08,39.06,39.96,38.82,39.87,528868
2021-10-11,40.68,40.86,39.25,39.45,422687
2021-10-12,39.42,40.225,38.765,39.24,339299
2021-10-13,38.48,39.36,38.06,38.99,181072
2021-10-14,39.79,39.88,39.05,39.77,241031
2021-10-15,40.26,40.97,40.035,40.11,181043
2021-10-18,40.77,41.97,39.905,40.525,385070
2021-10-19,40.775,41.795,40.11,40.3,808697
2021-10-20,39.92,41.015,39.555,40.91,430435
2021-10-21,40.535,40.75,39.155,39.71,300478
2021-10-22,39.95,40.455,39.365,40.43,326483
2021-10-26,40.91,41.74,40.77,41.5,109324
2021-10-27,40.69,41.055,39.42,39.635,281500
2021-10-28,39.53,40.525,39.52,40.51,218096
2021-10-29,40.21,40.37,39.38,40.07,168378
2021-11-01,41.07,42.28,40.88,41.985,329100
2021-11-02,41.89,42.53,41.73,41.94,338924
2021-11-03,42.5,44.03,41.51,41.97,602945
2021-11-04,42.92,43.745,41.88,42.37,545421
2021-11-05,43.05,43.67,42.38,43.57,233891
2021-11-08,44.2,44.77,43.86,44.09,135897
2021-11-09,44.11,44.37,42.625,44.01,177497
2021-11-10,43.39,43.85,41.605,42.34,245043
2021-11-11,42.68,43.31,42.63,42.73,152003
2021-11-12,42.32,42.86,42.045,42.595,323620
2021-11-15,42.56,43.75,41.685,43.17,341062
2021-11-16,43.22,43.86,42.78,43.42,125887
2021-11-17,42.95,43.99,42.06,42.29,141804
2021-11-18,42.435,43.92,41.89,43.33,153037
2021-11-19,41.74,42.15,40.415,40.59,282978
2021-11-22,40.66,42.045,40.64,41.18,232750
2021-11-23,42.225,43.65,42.225,43.445,254389
2021-11-24,43.2,45.53,43.185,45.09,220043
2021-11-26,42.0,42.855,39.92,42.775,394796
2021-11-29,44.46,45.0,43.155,43.925,296173
