date,open,high,low,close,volume
2021-07-21,69.455,70.05,69.255,69.83,142628
2021-07-22,69.86,72.095,69.66,72.07,175896
2021-07-23,72.12,73.755,71.68,73.565,308841
2021-07-26,73.2,73.96,72.99,73.275,222282
2021-07-27,73.1,73.23,71.075,72.29,175694
2021-07-28,72.29,73.56,72.29,72.895,159780
2021-07-29,73.1,74.11,73.1,73.51,126893
2021-07-30,71.695,72.025,68.08,68.22,511893
2021-08-02,68.76,69.35,67.605,68.625,220334
2021-08-03,68.63,68.78,67.64,68.0,253803
2021-08-04,67.92,68.68,67.75,68.005,176750
2021-08-05,67.76,67.805,65.58,67.3,456284
2021-08-06,67.27,67.275,65.29,65.46,336237
2021-08-09,65.73,66.32,65.075,65.32,334320
2021-08-10,65.54,67.56,65.36,67.31,245707
2021-08-11,67.305,68.22,67.025,67.98,350169
2021-08-12,67.19,69.03,66.38,68.88,378110
2021-08-13,68.645,74.14,68.62,74.05,545244
2021-08-16,73.635,76.52,73.635,75.27,576004
2021-08-17,73.95,74.68,72.665,72.88,421744
2021-08-18,72.93,74.13,72.36,72.75,329129
2021-08-19,72.405,73.55,72.08,72.82,208710
2021-08-20,72.9,73.83,72.81,73.38,190734
2021-08-23,73.415,73.43,71.9,73.205,136560
2021-08-24,73.53,73.965,72.62,72.84,370822
2021-08-25,73.03,74.46,72.92,74.19,181248
2021-08-26,74.34,75.96,73.795,75.67,167500
2021-08-27,75.375,76.57,75.235,76.41,179030
2021-08-30,76.505,77.83,76.04,77.55,149800
2021-08-31,77.52,77.52,76.59,76.73,200492
2021-09-01,76.81,77.025,75.93,76.16,161123
2021-09-02,76.4,77.215,76.17,76.5,178514
2021-09-03,76.435,76.94,76.01,76.5,196331
2021-09-07,76.44,76.44,74.65,74.72,193123
2021-09-08,74.81,74.865,73.715,73.91,122182
2021-09-09,73.75,74.05,72.96,72.98,158152
2021-09-10,73.47,74.245,72.485,72.525,270557
2021-09-13,73.06,73.07,71.9,72.695,169385
2021-09-14,72.85,72.98,71.03,71.33,342365
2021-09-15,71.96,74.975,71.91,74.0,655665
2021-09-16,73.58,75.09,73.31,74.71,167197
2021-09-17,74.845,75.02,73.76,74.11,89862
2021-09-20,72.46,72.99,70.78,72.9,395862
2021-09-21,73.33,73.99,72.1,72.1,151252
2021-09-22,72.55,73.73,72.435,73.2,96963
2021-09-23,73.4,74.37,73.2,73.5,114609
2021-09-24,73.12,73.32,72.74,72.98,107853
2021-09-27,72.73,73.785,72.45,73.69,104141
2021-09-28,73.03,73.53,70.78,71.34,195070
2021-09-29,71.56,71.78,69.73,69.97,214394
2021-09-30,70.1,70.65,69.66,69.66,141606
2021-10-01,69.67,70.34,69.03,69.87,110228
2021-10-04,69.46,69.46,68.3,68.5,136597
2021-10-05,69.06,70.605,68.75,69.93,132449
2021-10-06,69.22,71.6,69.22,71.54,283462
2021-10-07,73.02,75.17,73.02,74.16,227639
2021-10-08,74.58,75.95,74.34,75.07,121891
2021-10-11,74.625,74.81,74.24,74.47,96225
2021-10-12,75.23,75.64,74.53,74.66,132602
2021-10-13,74.98,75.31,74.26,74.89,102678
2021-10-14,75.45,75.61,74.25,74.64,154781
2021-10-15,75.15,75.28,74.65,74.93,146001
2021-10-18,74.91,75.035,73.91,74.26,183595
2021-10-19,74.41,75.36,74.41,74.76,87225
2021-10-20,74.83,76.845,74.62,75.96,127168
2021-10-21,75.675,76.26,75.1,76.21,113077
2021-10-22,76.375,81.18,76.375,80.6,538239
2021-10-25,80.525,81.06,79.9,80.57,331703
2021-10-26,80.9,80.9,78.47,78.49,230200
2021-10-27,78.295,78.49,77.31,77.68,471397
2021-10-28,74.03,74.45,70.58,72.44,1370901
2021-10-29,72.12,76.97,72.12,76.72,764348
2021-11-01,76.595,77.53,75.56,76.29,357464
2021-11-02,76.0,76.35,74.47,74.9,385369
2021-11-03,74.65,76.115,74.65,75.44,214772
2021-11-04,75.38,76.66,74.95,76.28,339380
2021-11-05,76.58,76.935,75.535,75.545,145353
2021-11-08,75.66,76.47,73.54,73.76,211015
2021-11-09,74.08,75.43,73.78,73.89,285566
2021-11-10,73.68,74.72,72.98,73.24,364621
2021-11-11,73.57,74.9,73.305,73.31,132116
2021-11-12,73.36,74.13,72.55,73.9,134766
2021-11-15,74.43,76.23,74.005,74.2,204552
2021-11-16,74.3,76.57,74.19,75.88,519284
2021-11-17,75.65,75.7,73.01,73.37,134688
2021-11-18,73.51,75.05,73.47,74.7,196710
2021-11-19,74.75,76.4,74.5,74.625,178462
2021-11-22,74.475,75.13,73.55,73.59,231725
2021-11-23,73.07,73.36,71.05,71.64,389278
2021-11-24,71.38,72.865,70.94,72.7,222156
2021-11-26,72.925,73.57,72.13,72.5,134664
2021-11-29,72.615,72.615,69.54,70.55,260846
2021-11-30,70.37,70.37,66.9,67.53,442853
2021-12-01,68.61,68.61,66.75,66.8,285970
2021-12-02,67.01,67.91,66.3,67.54,363849
2021-12-03,67.66,68.485,66.4,67.06,262861
2021-12-06,67.11,67.11,65.57,66.03,298630
2021-12-07,66.75,67.645,66.525,67.195,169396
2021-12-08,67.33,67.675,66.28,67.14,224247
2021-12-09,66.99,67.68,66.555,66.59,145474
2021-12-10,66.8,67.09,65.94,66.9,155681
2021-12-13,66.69,67.435,66.22,66.68,220224
2021-12-14,66.12,66.4,65.28,65.855,291780
2021-12-15,65.51,65.695,64.28,65.58,319355
2021-12-16,65.75,66.07,63.95,64.13,434960
2021-12-17,63.65,65.125,62.975,63.99,452321
2021-12-20,63.065,65.14,62.88,63.76,723992
2021-12-21,64.3,64.54,63.31,63.705,309063
2021-12-22,63.44,64.61,63.44,63.92,265601
2021-12-23,64.09,65.43,63.69,64.86,162267
2021-12-27,65.25,65.83,65.01,65.67,181691
2021-12-28,65.81,66.705,65.47,66.04,168382
2021-12-29,65.94,66.75,65.615,66.51,132119
2021-12-30,66.66,67.64,66.66,66.8,97461
2021-12-31,66.705,66.87,65.75,66.52,185160
2022-01-03,66.555,67.11,65.7,66.76,178907
2022-01-04,66.89,67.41,64.47,65.12,330240
2022-01-05,64.78,66.26,64.49,64.52,231948
2022-01-06,64.27,67.455,64.27,66.81,256302
2022-01-07,66.905,67.32,66.3,66.3,126442
2022-01-10,65.9,66.25,63.73,64.57,249086
2022-01-11,64.54,66.515,64.13,66.43,112269
2022-01-12,66.905,66.91,63.85,64.28,165976
2022-01-13,64.71,65.2,63.17,63.28,193297
2022-01-14,62.85,63.83,62.67,63.45,255628
2022-01-18,62.77,62.79,61.53,61.61,359042
2022-01-19,61.99,62.82,61.93,62.29,200785
2022-01-20,62.99,63.675,60.665,60.7,259228
2022-01-21,61.07,61.31,59.39,59.54,347003
2022-01-24,58.88,59.71,56.9,59.67,308768
2022-01-25,58.47,58.47,56.96,58.19,242502
2022-01-26,58.58,59.38,57.24,57.71,194732
2022-01-27,57.98,58.665,56.41,56.7,191396
2022-01-28,56.73,57.56,55.92,57.54,239021
2022-01-31,57.76,60.29,57.71,60.08,531209
2022-02-01,59.845,60.58,59.595,60.49,123663
2022-02-02,60.38,60.48,57.44,58.53,241990
2022-02-03,58.045,58.055,56.93,57.165,307773
2022-02-04,57.39,60.27,57.32,59.31,465617
2022-02-07,59.19,59.67,58.545,58.71,235811
2022-02-08,58.58,59.89,58.58,59.735,146276
2022-02-09,60.35,60.65,59.72,60.62,112913
2022-02-10,59.25,60.01,58.48,58.8,151775
2022-02-11,59.2,59.9,58.11,58.385,212968
2022-02-14,58.02,58.63,57.7,58.16,161192
2022-02-15,58.76,59.99,58.76,59.94,167109
2022-02-16,59.58,59.58,57.26,57.65,198944
2022-02-17,57.38,57.685,55.55,55.76,182209
2022-02-18,55.36,55.86,54.28,55.45,377131
2022-02-22,55.195,56.71,54.9,55.15,556736
2022-02-23,55.68,55.89,54.495,54.6,351598
2022-02-24,50.055,55.64,49.6,55.45,1451712
2022-02-25,55.44,55.54,53.42,54.6,409791
2022-02-28,54.27,54.97,53.43,54.61,273351
2022-03-01,54.74,55.03,53.96,54.36,486770
2022-03-02,54.39,55.45,53.73,55.11,351796
2022-03-03,55.5,55.52,53.475,54.41,255682
2022-03-04,54.095,56.42,54.095,55.67,279770
2022-03-07,55.445,56.44,54.74,54.85,474833
2022-03-08,54.94,55.91,53.25,53.295,514103
2022-03-09,53.66,53.66,52.6,53.04,748489
2022-03-10,53.01,55.435,51.3,52.36,782560
2022-03-11,52.675,52.675,50.04,50.06,333905
2022-03-14,50.15,53.19,50.06,52.06,347163
2022-03-15,52.425,54.56,52.37,53.94,485790
2022-03-16,53.89,54.885,53.08,54.76,344711
2022-03-17,54.26,55.86,54.09,55.66,302214
2022-03-18,55.29,56.66,55.29,55.99,309922
2022-03-21,55.655,56.24,54.88,55.31,390096
2022-03-22,54.98,56.22,54.97,55.75,349076
2022-03-23,55.23,56.06,54.675,55.61,221338
2022-03-24,55.68,57.385,55.57,57.21,337012
2022-03-25,57.24,58.03,57.01,57.41,237064
2022-03-28,57.4,58.825,56.93,58.785,322057
2022-03-29,59.57,60.375,59.55,60.22,245897
2022-03-30,59.63,60.34,59.13,59.35,297414
2022-03-31,59.14,59.15,57.24,57.26,608583
2022-04-01,57.715,58.315,57.32,57.7,233124
2022-04-04,58.0,58.35,56.5,56.74,369929
2022-04-05,56.97,57.73,55.99,56.42,198718
2022-04-06,55.89,56.08,53.48,54.12,264216
2022-04-07,53.92,54.84,53.51,54.38,304397
2022-04-08,54.42,55.38,54.12,55.03,147335
2022-04-11,54.48,56.21,54.4,54.92,190245
2022-04-12,55.59,55.73,54.12,54.24,161789
2022-04-13,54.05,55.46,53.99,55.12,213973
2022-04-14,55.015,55.44,53.99,54.14,220201
2022-04-18,54.02,54.73,53.67,54.55,186619
2022-04-19,54.28,55.21,54.28,55.19,181312
2022-04-20,55.24,55.33,54.79,54.82,156346
2022-04-21,55.24,55.86,54.56,54.8,174138
2022-04-22,54.45,54.81,53.085,53.17,153540
2022-04-25,52.89,53.85,52.77,53.65,172899
2022-04-26,53.52,53.95,52.535,53.09,161492
2022-04-27,52.98,53.89,52.0,52.07,164414
2022-04-28,52.525,54.045,52.17,53.74,263593
2022-04-29,51.55,53.965,51.55,51.92,422008
2022-05-02,51.855,53.2,51.49,53.15,280453
2022-05-03,53.23,54.23,53.06,53.45,440651
2022-05-04,53.3,54.47,52.33,54.415,579609
2022-05-05,51.21,51.73,47.3,48.1,1089904
2022-05-06,47.75,49.62,47.055,48.815,538703
2022-05-09,48.06,50.91,48.06,49.25,453180
2022-05-10,50.0,50.79,48.44,48.59,295636
2022-05-11,48.26,48.92,46.52,46.59,319501
2022-05-12,45.98,47.805,45.185,46.17,638419
2022-05-13,46.48,46.76,45.735,46.66,324120
2022-05-16,46.37,46.43,44.91,45.1,288263
2022-05-17,45.69,47.115,45.44,46.93,280912
2022-05-18,46.105,46.77,44.66,44.95,245273
2022-05-19,44.595,45.32,44.03,44.62,395712
2022-05-20,44.96,45.31,43.3,44.3,523412
2022-05-23,44.6,45.34,44.01,45.18,233867
2022-05-24,44.455,45.61,43.63,44.19,362560
2022-05-25,43.99,45.125,43.99,44.82,353829
2022-05-26,45.65,46.795,45.52,46.46,349922
2022-05-27,47.22,48.82,47.1,48.82,314464
2022-05-31,48.46,49.28,47.34,48.67,354914
2022-06-01,49.04,49.04,46.82,46.98,265137
2022-06-02,46.865,47.78,46.45,47.77,360230
2022-06-03,47.315,47.545,46.81,47.09,359433
2022-06-06,47.82,48.76,47.47,47.67,281133
2022-06-07,46.9,47.665,46.725,47.51,245968
2022-06-08,47.71,48.14,47.31,47.68,169382
2022-06-09,47.235,47.435,46.43,46.69,247403
2022-06-10,44.315,45.56,44.29,44.29,329432
2022-06-13,43.02,43.91,42.7,42.92,387288
2022-06-14,43.23,43.59,42.21,42.58,261568
2022-06-15,42.895,44.04,42.58,43.51,447874
2022-06-16,42.135,42.5,40.53,41.1,440022
2022-06-17,41.505,42.565,41.505,42.2,426129
2022-06-21,42.76,43.465,42.21,42.3,270419
2022-06-22,41.88,43.65,41.88,43.13,358749
2022-06-23,42.17,43.1,42.075,42.97,367851
2022-06-24,43.47,45.73,43.27,45.73,331506
