date,open,high,low,close,volume
2021-07-21,256.74,257.87,253.755,254.95,47382
2021-07-22,253.625,254.22,246.055,249.71,81993
2021-07-23,252.16,253.76,250.49,252.985,33388
2021-07-26,252.89,254.87,251.89,254.74,31099
2021-07-27,255.11,258.34,255.11,258.33,47148
2021-07-28,258.82,259.015,255.055,258.91,38236
2021-07-29,259.01,261.23,258.91,260.66,21494
2021-07-30,260.73,261.495,259.02,260.61,31063
2021-08-02,262.83,264.03,258.14,258.43,40049
2021-08-03,258.14,259.95,256.49,259.95,11466
2021-08-04,259.58,260.54,255.775,256.18,28182
2021-08-05,257.09,257.09,253.5,255.71,55974
2021-08-06,255.73,255.73,252.24,253.79,39462
2021-08-09,253.33,254.32,252.59,253.13,14524
2021-08-10,256.115,261.4,256.115,259.195,56817
2021-08-11,260.11,263.32,260.11,261.47,37772
2021-08-12,261.03,261.03,258.19,259.46,27010
2021-08-13,259.31,260.795,259.31,260.15,24988
2021-08-16,258.28,260.9,258.06,260.68,19336
2021-08-17,259.645,262.065,259.51,261.815,29149
2021-08-18,260.67,261.57,254.49,254.49,21655
2021-08-19,252.565,259.36,252.565,258.86,54185
2021-08-20,258.81,258.88,255.745,258.64,28166
2021-08-23,257.88,260.66,257.51,259.85,15275
2021-08-24,260.105,260.455,258.275,259.33,23584
2021-08-25,258.925,265.765,258.8,264.955,64940
2021-08-26,263.56,263.73,261.94,263.03,94416
2021-08-27,263.68,269.215,263.44,266.995,36144
2021-08-30,266.33,268.04,266.22,267.08,20278
2021-08-31,267.9,272.98,267.9,272.3,28762
2021-09-01,273.14,273.87,269.74,273.565,30779
2021-09-02,274.545,278.03,274.545,277.895,28747
2021-09-03,275.645,279.48,275.49,278.3,19677
2021-09-07,276.45,276.45,274.27,274.27,32678
2021-09-08,274.655,278.54,274.655,275.62,68831
2021-09-09,275.245,276.825,273.84,275.92,110803
2021-09-10,277.315,277.96,272.6,272.89,46171
2021-09-13,275.77,276.61,271.84,273.78,74818
2021-09-14,274.275,278.28,272.58,273.77,36601
2021-09-15,274.345,274.345,269.97,273.07,88502
2021-09-16,272.75,275.8,270.745,274.66,78739
2021-09-17,272.485,273.295,267.84,268.38,46486
2021-09-20,265.4,266.77,261.2,263.28,46891
2021-09-21,264.13,264.13,258.99,259.4,56410
2021-09-22,261.76,266.095,261.3,262.76,65807
2021-09-23,263.15,266.47,263.0,265.575,38066
2021-09-24,263.77,266.2,263.77,265.55,19948
2021-09-27,264.305,264.305,260.4,262.46,31849
2021-09-28,260.38,260.38,254.4,256.52,32793
2021-09-29,256.71,259.6,256.0,256.1,17235
2021-09-30,258.12,258.12,253.37,253.37,44455
2021-10-01,253.49,257.21,252.47,256.27,37827
2021-10-04,256.86,257.0,249.07,253.17,29775
2021-10-05,254.24,259.015,254.24,258.5,27212
2021-10-06,256.15,257.12,252.6,257.12,19443
2021-10-07,261.47,261.7,258.81,258.96,8412
2021-10-08,258.45,260.385,257.915,258.84,14572
2021-10-11,258.21,261.445,257.74,257.74,16414
2021-10-12,256.29,257.835,254.88,255.43,30400
2021-10-13,255.26,255.79,251.915,254.81,16739
2021-10-14,259.44,261.435,258.33,261.09,32725
2021-10-15,263.15,264.055,262.63,263.96,13303
2021-10-18,262.46,269.14,262.46,268.87,27400
2021-10-19,268.95,273.81,267.92,273.25,52082
2021-10-20,274.92,275.75,268.07,269.23,35030
2021-10-21,243.26,262.605,243.155,255.56,169590
2021-10-22,257.195,270.52,257.14,268.14,72839
2021-10-25,267.55,276.4,267.55,274.695,68253
2021-10-26,276.72,277.91,268.0,270.93,57690
2021-10-27,268.36,269.49,266.13,267.19,35561
2021-10-28,267.695,275.41,267.695,275.41,50726
2021-10-29,277.89,279.11,275.71,277.46,15156
2021-11-01,278.605,278.7,275.34,277.56,24491
2021-11-02,278.495,278.495,274.37,274.55,141274
2021-11-03,275.63,277.76,270.88,277.715,41621
2021-11-04,280.395,284.64,278.48,284.64,22157
2021-11-05,285.96,285.995,280.98,284.51,45818
2021-11-08,286.325,287.1,284.11,287.1,19734
2021-11-09,286.86,291.63,286.08,288.385,34742
2021-11-10,287.145,287.145,275.18,277.29,74427
2021-11-11,277.62,279.47,274.3,275.6,59045
2021-11-12,276.84,280.55,276.84,280.09,26728
2021-11-15,279.085,282.63,278.47,282.51,37362
2021-11-16,284.92,291.81,284.53,291.25,17452
2021-11-17,287.885,290.655,286.215,290.65,34727
2021-11-18,290.71,291.985,288.74,289.14,33368
2021-11-19,288.99,289.77,285.97,288.85,51198
2021-11-22,285.96,286.445,280.99,281.36,74797
2021-11-23,279.78,283.57,278.61,283.03,28609
2021-11-24,283.065,283.67,282.27,283.45,11074
2021-11-26,279.215,281.41,277.48,278.31,35881
2021-11-29,281.255,286.07,278.31,284.0,44340
2021-11-30,281.86,284.44,278.39,278.76,94016
2021-12-01,280.84,287.66,277.56,277.56,55596
2021-12-02,278.81,291.45,278.81,291.0,92193
2021-12-03,292.135,292.135,279.335,282.44,99077
2021-12-06,281.6,283.95,280.65,282.07,34686
2021-12-07,286.98,292.18,284.935,291.85,38779
2021-12-08,291.94,295.04,291.385,295.0,40927
2021-12-09,293.25,295.04,291.34,291.91,27113
2021-12-10,294.58,296.52,292.575,295.3,37786
2021-12-13,295.39,299.955,295.39,297.15,45963
2021-12-14,295.11,295.11,283.47,288.27,40423
2021-12-15,289.66,291.58,286.69,291.58,77931
2021-12-16,294.275,295.71,288.45,290.22,48030
2021-12-17,286.09,286.39,275.91,276.58,89193
2021-12-20,272.26,277.455,270.44,276.01,62089
2021-12-21,277.745,280.12,274.14,280.06,35731
2021-12-22,280.16,283.74,279.335,283.485,30570
2021-12-23,287.17,288.75,285.92,287.11,26907
2021-12-27,289.55,291.17,288.57,291.11,17170
2021-12-28,291.67,293.98,291.67,293.98,16451
2021-12-29,294.69,295.67,293.58,294.425,13198
2021-12-30,294.7,294.7,291.34,291.56,27666
2021-12-31,290.805,294.32,289.64,292.75,18701
2022-01-03,294.25,294.25,282.96,284.03,39546
2022-01-04,285.355,288.01,283.23,285.555,41143
2022-01-05,288.44,288.52,278.41,279.18,47535
2022-01-06,279.105,281.055,276.65,279.52,76466
2022-01-07,279.41,280.95,266.66,267.27,94807
2022-01-10,259.88,262.595,257.91,260.8,58857
2022-01-11,257.365,263.56,255.745,263.24,77497
2022-01-12,265.26,265.26,260.87,261.79,83341
2022-01-13,262.38,262.88,254.53,255.08,139582
2022-01-14,251.54,252.3,247.325,249.48,67608
2022-01-18,246.535,247.32,238.07,240.57,188903
2022-01-19,240.71,240.8,233.65,234.0,204224
2022-01-20,236.05,236.84,228.68,229.15,169969
2022-01-21,229.495,232.285,225.73,226.14,176108
2022-01-24,225.65,234.69,217.27,234.21,140400
2022-01-25,229.44,229.755,224.17,225.89,45711
2022-01-26,230.74,233.45,225.27,226.78,54772
2022-01-27,231.25,231.32,222.99,225.05,47779
2022-01-28,224.385,234.095,224.19,233.93,68855
2022-01-31,237.62,240.62,236.19,239.68,65312
2022-02-01,241.29,242.97,235.85,242.18,42805
2022-02-02,243.865,245.21,243.25,245.19,41981
2022-02-03,241.92,241.92,232.6,233.38,77104
2022-02-04,232.68,236.31,232.42,234.1,112077
2022-02-07,237.37,237.41,233.77,234.42,63368
2022-02-08,234.37,238.11,230.63,235.965,68292
2022-02-09,238.885,241.67,238.79,240.325,69482
2022-02-10,230.68,239.78,229.59,231.46,92091
2022-02-11,232.485,232.615,223.015,224.92,134884
2022-02-14,226.2,227.24,219.25,221.03,145928
2022-02-15,224.85,225.44,220.69,221.62,63890
2022-02-16,221.84,222.41,217.23,221.71,147628
2022-02-17,219.93,219.93,211.885,212.12,67644
2022-02-18,213.215,215.165,210.8,213.01,44643
2022-02-22,210.85,213.785,208.765,212.48,91017
2022-02-23,213.045,214.48,208.05,208.115,180355
