date,open,high,low,close,volume
2021-07-21,57.08,57.54,56.17,56.17,41484
2021-07-22,56.2,56.25,55.68,55.905,49850
2021-07-23,55.83,56.35,55.59,56.23,69261
2021-07-26,56.13,56.52,54.855,55.48,176099
2021-07-27,55.29,57.2,55.005,57.11,96358
2021-07-28,57.21,57.52,56.35,56.87,88824
2021-07-29,57.14,57.54,56.67,57.2,77751
2021-07-30,56.91,57.22,54.14,54.505,158851
2021-08-02,54.76,55.93,54.71,55.095,68680
2021-08-03,55.175,55.48,54.725,55.41,46103
2021-08-04,54.81,54.925,54.305,54.88,44973
2021-08-05,54.88,55.52,54.69,55.23,45970
2021-08-06,55.27,55.43,55.0,55.07,45835
2021-08-09,55.32,55.58,55.1,55.44,145516
2021-08-10,55.35,56.26,55.22,55.89,46937
2021-08-11,55.88,57.2,55.88,57.12,92640
2021-08-12,56.9,57.325,56.75,57.11,39729
2021-08-13,57.22,57.22,56.85,57.01,100705
2021-08-16,57.1,57.94,56.85,57.3,29131
2021-08-17,56.93,57.59,56.895,57.59,91255
2021-08-18,57.62,58.65,57.46,58.65,72344
2021-08-19,58.6,59.305,57.97,58.17,71167
2021-08-20,57.88,59.63,57.88,59.58,67474
2021-08-23,59.745,59.745,58.95,59.17,49918
2021-08-24,59.1,59.15,58.63,58.92,32112
2021-08-25,58.76,58.78,58.26,58.35,64801
2021-08-26,58.22,58.22,57.44,57.67,95014
2021-08-27,57.64,57.935,57.29,57.53,32484
2021-08-30,57.27,57.7,57.24,57.54,44863
2021-08-31,57.48,57.95,57.315,57.84,37493
2021-09-01,58.26,58.61,57.745,58.22,62256
2021-09-02,58.49,59.14,58.445,59.14,32505
2021-09-03,58.94,59.08,58.515,58.67,25523
2021-09-07,58.51,58.945,57.98,58.64,58340
2021-09-08,58.73,59.69,58.73,59.1,63651
2021-09-09,58.65,58.82,58.505,58.73,62724
2021-09-10,58.56,58.72,58.045,58.165,77119
2021-09-13,58.685,59.575,58.685,59.07,55389
2021-09-14,59.17,59.17,58.29,58.52,39570
2021-09-15,58.31,59.3,58.24,59.03,42447
2021-09-16,58.95,58.96,57.5,57.5,34700
2021-09-17,57.61,58.495,57.58,57.76,50027
2021-09-20,57.14,58.185,57.04,57.59,101838
2021-09-21,57.89,58.225,57.68,57.75,36625
2021-09-22,57.94,58.805,57.91,58.38,53001
2021-09-23,58.87,58.87,57.6,57.6,49648
2021-09-24,57.76,57.82,57.43,57.58,43774
2021-09-27,57.78,58.655,57.62,57.63,68983
2021-09-28,57.75,58.01,56.865,57.12,60655
2021-09-29,56.53,57.0,56.25,56.41,48971
2021-09-30,56.35,56.43,55.45,55.45,44933
2021-10-01,55.72,55.755,55.0,55.005,37409
2021-10-04,55.4,56.365,55.3,56.27,63435
2021-10-05,56.11,56.565,55.58,55.675,39487
2021-10-06,55.27,56.64,55.115,56.6,49983
2021-10-07,56.62,57.98,56.49,57.12,96962
2021-10-08,57.28,57.47,56.97,57.14,43035
2021-10-11,57.12,57.12,55.955,56.1,61758
2021-10-12,55.81,56.01,55.36,55.52,66221
2021-10-13,55.6,56.55,55.44,56.42,58643
2021-10-14,56.475,56.71,56.375,56.64,64016
2021-10-15,56.865,57.57,56.77,57.36,151828
2021-10-18,56.82,57.54,56.6,57.19,110234
2021-10-19,57.58,57.89,57.17,57.54,49581
2021-10-20,58.04,58.97,58.04,58.95,42733
2021-10-21,58.85,59.325,58.76,59.32,37953
2021-10-22,59.36,60.485,59.34,60.465,41321
2021-10-25,60.415,61.36,60.27,61.1,71443
2021-10-26,61.14,61.875,61.015,61.49,65458
2021-10-27,61.68,62.265,61.625,62.21,127863
2021-10-28,62.42,62.79,62.13,62.79,326799
2021-10-29,62.54,63.015,62.54,62.93,672716
2021-11-01,62.77,63.37,62.74,63.29,203837
2021-11-02,63.22,63.64,62.635,63.51,719607
2021-11-03,61.9,62.8,61.385,62.78,576083
2021-11-04,62.41,63.12,62.04,63.03,497707
2021-11-05,63.46,64.2,63.2,64.05,765283
2021-11-08,63.9,64.14,63.16,64.06,733981
2021-11-09,64.1,65.0,63.84,64.63,749375
2021-11-10,64.69,65.6,64.44,65.49,576230
2021-11-11,65.19,65.525,64.67,65.21,417270
2021-11-12,65.12,65.31,64.15,64.25,40314
2021-11-15,64.635,65.26,64.45,64.59,69097
2021-11-16,64.52,64.53,63.725,63.8,67094
2021-11-17,63.58,64.56,63.465,64.46,103523
2021-11-18,64.49,64.7,63.88,64.6,58997
2021-11-19,64.21,65.385,64.18,64.89,58654
2021-11-22,64.59,65.52,64.59,64.85,98831
2021-11-23,65.0,65.69,64.95,65.52,158405
2021-11-24,65.65,66.2,65.31,66.17,81642
2021-11-26,65.04,65.63,64.62,64.98,53916
2021-11-29,65.11,66.225,64.95,66.03,168838
2021-11-30,65.71,65.77,64.98,65.27,315199
2021-12-01,65.715,66.4,65.28,65.63,183081
2021-12-02,65.655,66.4,65.365,65.47,157220
2021-12-03,65.84,66.64,65.49,66.58,126402
2021-12-06,67.44,68.35,67.44,68.18,125266
2021-12-07,67.89,68.335,67.18,67.265,128930
2021-12-08,67.47,67.505,66.835,66.84,136857
2021-12-09,66.41,67.185,66.14,66.54,91780
2021-12-10,66.84,67.54,66.84,67.09,73546
2021-12-13,66.89,67.22,66.42,66.88,66789
2021-12-14,66.93,67.255,66.22,66.36,88410
2021-12-15,66.65,67.34,66.555,67.3,64720
