date,open,high,low,close,volume
2021-07-21,19.8,20.625,19.675,20.505,166713
2021-07-22,20.48,20.545,20.01,20.425,90150
2021-07-23,20.17,20.23,19.55,20.21,94088
2021-07-26,20.66,21.2,20.64,20.88,114525
2021-07-27,20.24,20.54,19.86,20.33,119454
2021-07-28,20.53,21.045,20.24,20.775,89771
2021-07-29,18.76,19.705,18.195,18.695,782788
2021-07-30,18.38,18.47,17.775,18.385,333186
2021-08-02,18.27,18.33,17.5,17.535,253952
2021-08-03,17.59,18.2,17.34,17.885,114708
2021-08-04,17.66,18.32,17.62,18.195,220926
2021-08-05,18.23,18.61,18.015,18.11,188039
2021-08-06,18.12,18.58,17.93,18.55,222245
2021-08-09,18.15,19.155,18.15,19.155,264479
2021-08-10,19.24,19.465,19.04,19.375,154544
2021-08-11,19.1,19.25,18.72,19.195,98916
2021-08-12,19.06,19.17,18.38,18.75,134377
2021-08-13,18.74,18.84,17.9,17.94,252574
2021-08-16,17.58,17.825,17.265,17.36,92099
2021-08-17,17.15,17.535,16.745,17.02,287283
2021-08-18,17.03,17.125,16.39,16.41,292204
2021-08-19,16.18,16.3,15.725,16.265,318890
2021-08-20,16.15,16.6,16.115,16.17,110115
2021-08-23,16.68,16.875,16.29,16.56,163673
2021-08-24,16.65,16.865,16.415,16.585,148618
2021-08-25,16.52,17.49,16.355,17.455,147254
2021-08-26,17.415,18.06,17.295,17.365,180648
2021-08-27,17.83,18.93,17.765,18.62,270651
2021-08-30,18.6,18.6,18.02,18.11,105395
2021-08-31,17.985,18.71,17.875,18.35,211883
2021-09-01,18.37,18.94,18.24,18.75,92250
2021-09-02,18.91,19.94,18.895,19.83,212266
2021-09-03,19.78,20.75,19.78,20.52,243561
2021-09-07,20.57,20.86,19.97,20.3,394659
2021-09-08,20.67,21.295,20.195,20.46,233846
2021-09-09,19.95,20.335,19.59,19.86,290694
2021-09-10,20.2,20.45,19.34,19.4,262627
2021-09-13,19.845,20.525,19.845,19.97,365826
2021-09-14,20.18,20.18,19.37,19.53,226042
2021-09-15,19.84,20.84,19.77,20.6,168009
2021-09-16,20.27,20.27,19.365,19.365,200627
2021-09-17,19.3,19.38,18.77,18.81,247420
2021-09-20,18.45,19.1,18.425,18.78,267672
2021-09-21,18.92,18.92,18.045,18.41,214089
2021-09-22,18.8,19.22,18.74,18.9,209631
2021-09-23,18.985,19.62,18.885,19.475,141685
2021-09-24,19.64,20.425,19.64,19.99,168165
2021-09-27,20.775,22.39,20.775,22.35,470263
2021-09-28,22.87,22.87,21.895,22.09,138196
2021-09-29,20.78,21.24,20.435,20.73,1074787
2021-09-30,20.8,21.0,20.21,20.46,746156
2021-10-01,20.47,21.135,20.27,20.6,394355
2021-10-04,20.9,21.6,20.87,21.46,385867
2021-10-05,21.975,22.425,21.33,21.62,568383
2021-10-06,21.0,21.36,20.4,21.0,418161
2021-10-07,21.05,21.62,20.93,21.29,324648
2021-10-08,21.59,21.755,20.82,20.87,258572
2021-10-11,21.14,21.24,19.885,19.89,339850
2021-10-12,19.83,20.02,19.37,19.84,227464
2021-10-13,19.75,20.225,19.55,19.86,179016
2021-10-14,20.37,20.87,20.155,20.45,150127
2021-10-15,20.55,20.71,19.805,19.81,240294
2021-10-18,20.05,20.87,19.835,20.04,472928
2021-10-19,19.8,20.38,19.59,20.245,249187
2021-10-20,20.045,21.455,19.925,21.36,303416
2021-10-21,21.09,21.375,20.37,20.72,232335
2021-10-22,21.11,21.445,20.92,21.4,140233
2021-10-26,22.29,22.805,22.29,22.545,186232
2021-10-27,22.32,22.71,21.885,22.055,196227
2021-10-28,21.56,22.17,20.525,20.645,536609
2021-10-29,20.76,20.81,19.84,19.91,393292
2021-11-01,20.07,20.855,20.03,20.615,202051
2021-11-02,20.75,20.97,20.36,20.38,234326
2021-11-03,20.07,21.085,19.92,20.425,156367
2021-11-04,21.05,21.13,20.24,20.37,71578
2021-11-05,20.58,20.755,20.255,20.565,149096
2021-11-08,20.96,21.045,20.465,20.705,106341
2021-11-09,20.48,20.48,19.7,20.315,198919
2021-11-10,20.08,20.14,19.19,19.655,211213
2021-11-11,19.8,21.24,19.79,21.195,125601
2021-11-12,20.99,21.68,20.935,21.37,137136
2021-11-15,21.47,22.075,20.975,21.86,278813
2021-11-16,22.1,22.3,21.47,21.985,132756
2021-11-17,21.56,22.085,21.26,21.4,102509
2021-11-18,21.45,21.7,20.805,21.105,110521
2021-11-19,20.54,21.035,20.395,20.86,435365
2021-11-22,20.73,21.495,20.71,20.89,248380
2021-11-23,21.4,21.67,20.95,21.13,150274
2021-11-24,21.085,21.47,20.995,21.31,119817
2021-11-26,20.12,21.09,20.12,21.0,168034
2021-11-29,20.95,21.21,20.435,20.71,88715
2021-11-30,20.395,20.49,19.26,19.41,201382
2021-12-01,19.665,19.685,18.32,18.32,778013
2021-12-02,18.2,18.8,17.99,18.55,272479
2021-12-03,18.91,19.7,18.605,19.59,1098127
2021-12-06,19.295,19.92,18.615,19.735,723037
