date,open,high,low,close,volume
2021-07-21,85.61,85.66,83.38,83.76,107376
2021-07-22,84.35,85.03,83.755,84.82,49529
2021-07-23,84.85,86.23,84.835,86.23,22972
2021-07-26,85.84,86.39,85.075,85.83,51383
2021-07-27,85.72,87.75,85.39,87.56,90322
2021-07-28,87.495,87.64,85.77,86.42,72828
2021-07-29,86.44,86.54,85.62,86.41,79564
2021-07-30,87.04,88.07,85.99,86.25,91536
2021-08-02,86.325,87.3,85.97,87.29,71506
2021-08-03,87.29,88.94,86.99,87.86,88228
2021-08-04,87.31,88.22,86.805,88.14,66476
2021-08-05,88.27,89.13,87.91,89.04,29103
2021-08-06,89.19,89.83,88.53,89.0,54697
2021-08-09,89.215,89.305,88.35,88.91,37394
2021-08-10,88.49,89.22,88.49,88.97,40521
2021-08-11,89.3,89.96,89.11,89.94,64472
2021-08-12,89.73,90.365,89.56,89.62,67235
2021-08-13,89.82,90.43,89.63,90.43,75928
2021-08-16,90.56,91.49,90.5,90.83,43342
2021-08-17,90.75,90.86,89.785,90.86,46228
2021-08-18,90.6,90.88,89.785,90.27,46148
2021-08-19,90.59,91.79,90.35,91.23,50431
2021-08-20,90.555,92.55,90.555,92.18,130202
2021-08-23,91.9,92.02,90.8,91.15,68509
2021-08-24,90.67,91.245,89.75,90.9,52000
2021-08-25,90.19,90.73,90.14,90.3,74342
2021-08-26,90.3,90.615,89.99,90.29,57872
2021-08-27,90.34,90.46,89.94,90.19,37599
2021-08-30,90.26,91.14,90.26,91.07,35611
2021-08-31,91.01,91.3,90.37,90.71,36571
2021-09-01,90.945,92.06,90.87,91.64,62616
2021-09-02,91.8,92.65,91.75,92.65,34400
2021-09-03,92.4,92.58,91.74,92.0,30401
2021-09-07,91.395,91.61,89.745,89.76,60444
2021-09-08,89.61,92.61,89.52,91.92,96430
2021-09-09,90.08,90.63,88.92,89.79,117853
2021-09-10,89.79,89.79,88.24,88.35,82307
2021-09-13,89.21,89.41,87.92,88.33,36789
2021-09-14,88.39,88.84,86.485,86.98,95557
2021-09-15,86.195,86.245,85.175,85.3,94650
2021-09-16,85.06,85.47,84.16,84.87,30604
2021-09-17,84.33,84.97,83.14,83.3,51770
2021-09-20,83.425,84.29,82.47,83.4,33112
2021-09-21,83.71,84.44,83.385,83.52,43185
2021-09-22,83.04,83.6,82.56,82.94,48733
2021-09-23,82.97,83.375,82.38,82.5,45125
2021-09-24,82.54,83.0,82.26,82.69,81020
2021-09-27,82.87,83.58,81.39,81.455,60554
2021-09-28,81.07,81.43,80.37,81.06,92069
2021-09-29,81.47,82.47,81.05,82.16,84459
2021-09-30,82.345,82.6,81.58,81.78,94411
2021-10-01,82.09,82.68,81.69,81.81,59835
2021-10-04,82.15,85.34,82.15,84.96,132298
2021-10-05,84.84,85.355,84.45,84.68,64443
2021-10-06,84.38,86.32,84.19,86.3,60920
2021-10-07,86.255,87.02,85.64,86.08,63415
2021-10-08,86.085,86.09,85.32,85.4,51301
2021-10-11,85.14,85.375,84.17,84.35,38537
2021-10-12,84.475,85.62,84.345,85.56,99712
2021-10-13,85.57,86.5,84.81,86.25,93153
2021-10-14,86.71,87.81,86.42,87.72,85642
2021-10-15,87.775,87.775,86.165,86.455,76344
2021-10-18,85.62,85.88,85.04,85.42,134465
2021-10-19,86.54,86.63,85.62,86.16,46097
2021-10-20,86.63,87.07,85.83,86.3,42836
2021-10-21,86.265,86.31,85.855,86.1,43892
2021-10-22,86.39,86.84,86.24,86.485,50678
2021-10-26,85.955,86.53,85.62,86.03,38288
2021-10-27,86.325,86.56,85.155,85.57,43586
2021-10-28,86.29,86.32,85.26,85.65,49163
2021-10-29,85.49,86.06,84.59,84.93,46908
2021-11-01,84.71,84.96,84.395,84.74,71870
2021-11-02,85.365,85.49,83.845,84.645,75818
2021-11-03,85.51,85.685,83.54,84.53,61208
2021-11-04,84.52,84.7,82.76,83.81,42929
2021-11-05,84.21,85.06,84.06,84.42,50122
2021-11-08,83.29,83.48,82.265,82.6,35661
2021-11-09,82.85,83.61,82.72,83.315,55506
2021-11-10,84.15,84.31,83.285,83.75,41594
2021-11-11,83.15,83.15,82.16,82.6,55478
2021-11-12,82.43,82.46,81.94,81.96,45334
2021-11-15,82.66,83.56,82.13,83.49,37119
2021-11-16,83.66,83.98,83.225,83.35,33038
2021-11-17,82.705,84.01,82.5,83.77,25370
2021-11-18,83.68,83.74,82.93,83.25,65736
2021-11-19,83.52,84.21,83.52,83.85,67729
2021-11-22,83.77,85.71,83.77,84.715,39223
2021-11-23,84.77,85.49,84.24,85.22,47661
2021-11-24,85.12,85.22,84.78,84.9,31054
2021-11-26,84.57,85.18,84.43,84.78,54303
2021-11-29,84.06,85.53,84.0,85.28,59814
2021-11-30,84.75,84.94,82.25,82.25,86201
2021-12-01,82.58,84.42,82.15,82.36,55879
2021-12-02,82.725,83.76,82.44,83.045,41337
2021-12-03,83.2,85.34,82.95,85.24,53458
2021-12-06,85.65,87.19,85.51,86.12,70424
2021-12-07,86.02,87.47,85.7,87.3,60305
2021-12-08,87.165,87.74,86.65,87.35,61102
2021-12-09,86.52,88.17,86.37,87.55,55530
2021-12-10,87.31,88.14,87.31,87.84,28940
2021-12-13,87.6,89.77,87.6,89.27,53513
2021-12-14,89.245,89.81,88.7,89.24,55276
2021-12-15,90.03,90.96,89.565,90.91,33658
2021-12-16,90.115,91.15,89.995,90.94,58590
2021-12-17,90.49,91.08,89.09,89.43,72725
2021-12-20,88.75,89.75,88.07,89.67,41675
2021-12-21,90.34,90.565,88.59,88.98,35645
2021-12-22,88.85,89.585,88.67,89.36,30780
2021-12-23,89.63,90.09,89.4,89.42,31007
2021-12-27,89.28,89.59,88.85,89.21,37116
2021-12-28,89.61,90.07,89.55,90.07,18086
2021-12-29,90.19,90.63,89.77,90.58,21509
2021-12-30,90.745,91.21,90.08,91.17,52495
2021-12-31,90.995,91.455,90.25,90.97,30663
2022-01-03,90.8,90.8,88.405,89.14,55361
2022-01-04,89.105,90.31,88.38,88.39,80126
2022-01-05,88.575,90.33,88.575,89.26,39788
2022-01-06,89.34,89.825,88.61,88.93,48945
2022-01-07,88.55,90.205,88.4,89.64,40574
2022-01-10,88.765,89.57,88.25,88.995,80988
2022-01-11,89.41,89.41,85.855,86.63,96441
2022-01-12,86.16,87.715,85.78,87.45,89484
2022-01-13,87.33,88.17,86.82,88.03,53439
2022-01-14,88.18,88.18,86.64,87.375,47009
2022-01-18,86.945,86.99,84.95,86.84,71756
2022-01-19,86.61,87.835,86.46,86.76,34022
2022-01-20,87.31,87.72,86.57,86.78,35008
2022-01-21,87.65,88.42,86.78,87.12,76977
2022-01-24,87.38,88.06,84.11,86.17,137198
2022-01-25,85.54,86.09,84.62,85.57,69653
2022-01-26,85.68,86.325,84.28,84.7,93620
2022-01-27,85.45,86.78,85.05,85.77,71221
2022-01-28,85.24,87.365,84.77,87.17,54994
2022-01-31,86.79,89.73,86.73,89.52,94178
2022-02-01,89.135,89.81,87.1,88.0,93878
2022-02-02,87.69,89.05,87.56,88.73,90783
2022-02-03,88.7,89.21,87.8,87.96,119503
2022-02-04,87.18,88.67,86.58,87.71,89714
2022-02-07,87.8,88.695,86.86,88.49,78583
2022-02-08,88.66,88.78,87.675,87.74,61404
2022-02-09,88.365,88.47,87.045,87.35,107811
2022-02-10,86.37,86.37,84.46,84.65,85526
2022-02-11,84.91,85.26,83.83,84.04,85529
2022-02-14,84.11,84.27,81.705,82.22,223839
2022-02-15,82.455,82.78,81.72,82.175,127400
