date,open,high,low,close,volume
2021-07-21,331.75,333.7,330.6,330.81,16656
2021-07-22,329.0,329.97,326.69,327.49,23382
2021-07-23,329.02,332.11,327.87,331.61,11840
2021-07-26,331.0,331.895,328.29,331.45,11870
2021-07-27,330.72,335.32,330.72,331.69,12871
2021-07-28,329.995,332.495,329.995,331.03,15339
2021-07-29,331.63,332.69,329.05,330.52,20691
2021-07-30,330.71,335.98,327.67,328.01,28866
2021-08-02,332.65,333.21,326.625,327.94,16932
2021-08-03,328.0,328.94,322.92,327.33,27541
2021-08-04,327.59,327.59,322.43,323.95,18364
2021-08-05,325.55,326.06,321.32,325.53,18795
2021-08-06,326.72,328.79,326.545,326.9,9242
2021-08-09,323.98,325.27,320.89,321.4,9674
2021-08-10,319.31,320.54,317.91,318.66,13453
2021-08-11,318.235,319.83,314.485,315.18,12811
2021-08-12,315.38,316.26,313.65,314.66,5152
2021-08-13,316.8,317.0,314.23,316.255,8528
2021-08-16,315.66,319.24,314.97,316.49,10742
2021-08-17,314.74,319.34,314.23,319.06,23137
2021-08-18,317.37,318.285,315.26,316.31,8235
2021-08-19,314.515,318.64,314.21,318.62,10675
2021-08-20,315.16,321.54,315.14,319.84,10505
2021-08-23,320.655,320.655,315.42,317.34,14441
2021-08-24,315.74,316.83,314.455,314.99,15453
2021-08-25,315.12,321.22,315.08,318.35,18126
2021-08-26,318.84,320.67,317.19,318.33,7490
2021-08-27,320.3,321.99,319.79,320.47,8305
2021-08-30,321.99,327.25,321.83,326.95,27349
2021-08-31,326.95,331.25,326.63,330.47,25226
2021-09-01,330.93,336.2,330.855,336.11,21868
2021-09-02,334.78,337.2,331.575,336.99,16503
2021-09-03,334.51,335.69,331.27,335.43,16772
2021-09-07,329.035,329.825,324.6,327.61,19708
2021-09-08,325.2,332.685,325.2,331.38,10302
2021-09-09,329.36,331.69,328.21,328.285,29462
2021-09-10,326.16,327.26,321.63,321.655,16405
2021-09-13,325.93,329.14,324.33,324.905,8218
2021-09-14,324.4,325.2,322.41,324.13,15245
2021-09-15,324.135,329.09,324.0,327.31,23537
2021-09-16,328.84,329.315,324.91,328.09,9974
2021-09-17,326.94,327.06,321.95,322.62,19261
2021-09-20,321.22,321.8,318.1,321.31,17158
2021-09-21,324.35,329.94,323.85,323.85,23943
2021-09-22,327.625,331.13,326.5,330.105,24568
2021-09-23,330.74,333.49,330.67,330.67,13557
2021-09-24,331.54,333.03,327.42,327.53,14907
2021-09-27,328.92,330.99,320.36,320.36,14453
2021-09-28,318.71,321.43,317.875,319.245,19594
2021-09-29,323.37,325.75,322.86,323.945,16201
2021-09-30,325.52,326.56,319.7,319.7,30675
2021-10-01,321.65,326.73,318.69,325.95,12510
2021-10-04,326.52,328.83,324.1,327.71,14148
2021-10-05,326.41,328.11,325.13,325.49,12146
2021-10-06,321.48,329.2,318.6,328.67,11319
2021-10-07,331.11,334.31,327.91,329.26,13827
2021-10-08,329.81,329.81,326.565,326.8,4952
2021-10-11,329.53,329.53,325.5,326.63,3725
2021-10-12,327.59,332.6,327.41,330.52,15017
2021-10-13,330.03,333.13,327.91,333.1,15402
2021-10-14,336.35,336.99,333.66,334.9,23365
2021-10-15,336.37,336.425,330.27,332.7,26467
2021-10-18,331.29,334.52,330.35,332.79,11802
2021-10-19,332.935,333.26,329.815,330.05,21475
2021-10-20,331.18,333.13,330.5,333.11,29888
2021-10-21,333.19,333.19,330.92,333.06,16976
2021-10-22,336.34,336.34,334.41,335.76,7731
2021-10-26,335.245,339.46,334.84,338.35,23896
2021-10-27,337.145,344.78,336.45,342.29,34085
2021-10-28,343.67,346.51,340.615,345.73,29701
2021-10-29,344.995,345.07,337.55,339.89,24362
2021-11-01,334.21,337.3,330.745,336.305,19378
2021-11-02,336.6,337.7,334.075,336.19,16637
2021-11-03,335.55,336.485,334.22,335.555,23937
2021-11-04,336.86,337.29,329.24,331.61,16964
2021-11-05,338.005,338.01,335.31,336.75,6993
2021-11-08,332.92,338.66,332.86,338.55,8903
2021-11-09,338.83,340.83,337.48,340.58,8863
2021-11-10,341.69,344.13,341.15,342.75,6593
2021-11-11,342.81,343.89,341.16,343.62,5126
2021-11-12,344.16,347.0,343.845,346.52,13445
2021-11-15,345.83,351.43,345.08,351.43,7358
2021-11-16,350.85,352.885,345.595,345.81,14151
2021-11-17,340.925,347.765,338.49,347.765,4698
2021-11-18,348.035,351.41,348.035,350.97,10125
2021-11-19,350.89,351.06,346.41,347.39,11042
2021-11-22,345.77,349.28,344.96,345.54,9723
2021-11-23,346.46,352.385,346.46,351.47,8480
2021-11-24,353.41,357.795,353.24,357.25,14997
2021-11-26,350.97,353.37,341.23,341.23,10802
2021-11-29,343.0,350.285,342.82,346.4,18518
2021-11-30,343.03,346.215,339.27,339.27,30084
2021-12-01,341.81,344.64,328.13,328.13,16884
2021-12-02,332.67,342.08,332.67,340.705,12473
2021-12-03,340.71,340.71,333.19,336.58,56452
2021-12-06,338.49,346.36,337.9,343.02,13343
2021-12-07,346.34,347.44,343.11,345.15,17164
2021-12-08,343.71,350.2,343.47,348.96,21591
2021-12-09,346.44,347.405,343.73,344.45,12156
2021-12-10,344.33,346.63,342.965,345.7,21420
2021-12-13,344.825,355.0,344.825,352.535,17721
2021-12-14,352.19,352.985,343.86,345.68,25598
2021-12-15,349.44,353.21,348.32,352.25,8888
2021-12-16,349.71,350.37,339.585,342.16,44954
2021-12-17,342.67,346.8,340.88,341.82,17255
2021-12-20,337.95,338.36,333.99,337.57,17409
2021-12-21,338.035,343.3,337.755,340.7,20685
2021-12-22,342.94,345.29,342.305,343.63,19503
2021-12-23,344.285,344.32,340.53,343.1,11160
2021-12-27,344.05,346.34,342.345,346.34,17317
2021-12-28,347.47,349.74,346.89,349.72,18772
2021-12-29,348.64,353.2,346.89,352.57,10429
2021-12-30,353.04,353.77,351.14,352.71,9774
2021-12-31,353.035,354.61,352.19,352.27,8098
2022-01-03,353.0,354.12,345.36,353.85,20576
2022-01-04,353.87,358.73,353.87,356.84,16915
2022-01-05,355.095,356.13,349.22,349.22,18148
2022-01-06,350.74,352.58,348.34,348.51,6950
2022-01-07,346.57,348.65,344.3,344.77,13357
2022-01-10,343.17,347.14,341.755,345.03,19308
2022-01-11,343.34,346.655,340.64,345.95,19271
2022-01-12,346.565,350.3,346.22,349.03,11166
2022-01-13,351.69,352.29,347.42,347.77,9661
2022-01-14,345.07,347.05,340.17,343.97,11700
2022-01-18,340.31,343.31,337.925,342.84,15879
2022-01-19,348.06,348.42,340.425,340.425,11028
2022-01-20,338.18,343.28,335.9,335.9,10268
2022-01-21,338.62,339.23,331.56,332.31,14449
2022-01-24,330.405,333.93,322.055,333.57,16524
2022-01-25,325.695,333.5,323.305,330.5,21197
2022-01-26,334.89,336.79,326.94,327.73,9089
2022-01-27,331.88,333.43,319.55,320.79,21888
2022-01-28,319.18,330.955,318.16,330.69,17495
2022-01-31,329.75,332.645,327.99,332.55,13435
2022-02-01,332.035,332.31,329.125,331.49,13901
2022-02-02,332.31,339.3,332.31,338.36,33078
2022-02-03,328.15,334.8,325.665,329.67,47828
2022-02-04,327.48,329.755,322.32,327.23,13372
2022-02-07,328.78,328.78,321.88,323.36,21056
2022-02-08,322.86,323.1,315.035,316.13,19037
2022-02-09,321.16,329.25,320.48,328.58,24872
2022-02-10,324.1,328.515,318.0,319.55,17265
2022-02-11,322.3,323.93,316.41,318.71,23368
