date,open,high,low,close,volume
2021-07-21,154.745,156.46,154.745,155.58,53437
2021-07-22,156.21,156.21,154.93,156.03,79953
2021-07-23,157.0,157.29,155.91,156.75,54148
2021-07-26,156.43,157.56,155.36,156.03,88458
2021-07-27,155.27,157.21,154.44,156.05,56337
2021-07-28,156.3,156.3,154.76,155.49,70322
2021-07-29,156.67,158.08,155.96,157.7,61393
2021-07-30,157.61,158.62,157.045,158.03,152203
2021-08-02,158.72,159.885,156.76,156.76,55238
2021-08-03,159.295,163.28,159.02,162.73,123066
2021-08-04,162.87,164.215,161.685,161.86,150368
2021-08-05,163.1,163.62,161.09,161.95,76188
2021-08-06,162.77,163.72,162.13,162.84,31270
2021-08-09,162.37,163.76,161.97,163.26,22661
2021-08-10,164.205,167.515,164.16,167.32,171284
2021-08-11,168.415,168.64,166.45,166.905,96235
2021-08-12,165.6,167.32,165.09,167.14,96402
2021-08-13,166.8,167.865,166.27,167.68,76243
2021-08-16,166.81,168.84,166.4,168.54,54941
2021-08-17,167.27,167.835,164.99,166.94,67060
2021-08-18,166.79,168.26,166.335,166.335,60690
2021-08-19,164.58,168.13,164.58,166.9,52633
2021-08-20,167.92,167.92,166.23,167.44,39775
2021-08-23,168.44,169.61,167.895,168.86,54551
2021-08-24,168.84,170.09,168.58,169.41,81891
2021-08-25,169.93,171.32,169.83,170.22,42829
2021-08-26,170.15,170.5,169.21,169.41,39966
2021-08-27,170.0,170.62,169.29,170.11,34006
2021-08-30,170.67,171.23,169.895,170.2,34160
2021-08-31,169.975,169.975,168.03,168.38,73547
2021-09-01,167.54,167.85,165.76,166.77,58828
2021-09-02,167.24,168.12,166.68,168.08,48833
2021-09-03,167.97,167.97,166.33,166.43,49151
2021-09-07,165.67,165.67,163.575,163.62,73480
2021-09-08,162.775,164.2,161.4,163.37,110820
2021-09-09,163.3,164.26,161.25,161.53,55148
2021-09-10,162.945,162.945,160.32,160.4,88720
2021-09-13,161.52,161.52,156.24,158.32,115211
2021-09-14,156.53,158.45,156.01,156.32,160421
2021-09-15,155.95,161.1,155.9,160.51,141184
2021-09-16,160.41,160.41,158.35,159.29,72544
2021-09-17,157.5,158.11,156.23,157.56,97161
2021-09-20,154.305,156.64,153.89,156.38,69374
2021-09-21,157.24,157.24,153.99,154.6,64525
2021-09-22,155.96,157.55,155.96,156.39,76473
2021-09-23,157.58,158.42,157.39,158.005,190787
2021-09-24,158.02,158.02,155.91,155.96,33327
2021-09-27,156.16,157.29,155.1,155.13,72865
2021-09-28,155.1,155.32,152.58,153.97,119887
2021-09-29,154.345,154.52,153.17,153.67,92436
2021-09-30,154.07,154.07,149.3,149.33,91990
2021-10-01,149.42,151.56,148.325,150.58,53348
2021-10-04,150.25,151.21,147.42,148.315,45888
2021-10-05,149.02,152.07,148.365,151.21,56175
2021-10-06,149.715,151.79,148.2,151.66,57998
2021-10-07,153.54,154.61,153.305,153.84,66419
2021-10-08,153.75,154.165,152.92,153.685,59461
2021-10-11,153.27,154.64,152.54,152.565,45218
2021-10-12,153.27,154.28,151.43,151.61,65078
2021-10-13,152.335,154.26,151.58,153.405,69738
2021-10-14,155.12,159.94,154.62,159.565,155627
2021-10-15,160.225,162.43,159.53,161.49,78403
2021-10-18,160.3,161.79,159.9,161.24,42261
2021-10-19,162.065,162.55,161.135,161.38,38057
2021-10-20,161.8,163.31,160.84,163.12,40428
2021-10-21,161.14,162.23,160.665,162.16,101206
2021-10-22,162.745,164.015,162.34,162.35,38669
2021-10-26,162.845,163.0,161.295,161.35,97317
2021-10-27,161.56,162.97,160.06,160.06,37604
2021-10-28,160.23,165.065,160.23,165.03,102966
2021-10-29,164.265,165.91,163.88,164.8,46470
2021-11-01,165.53,165.79,163.35,164.48,84966
2021-11-02,166.08,172.215,165.23,171.64,161688
2021-11-03,168.55,170.295,167.37,169.53,128503
2021-11-04,171.12,173.03,170.825,171.99,93923
2021-11-05,173.16,173.45,170.305,171.36,94266
2021-11-08,174.32,174.61,172.325,173.73,53244
2021-11-09,174.835,175.07,173.56,174.61,24365
2021-11-10,173.58,173.58,171.38,171.9,90789
2021-11-11,170.925,171.97,169.52,169.94,89554
2021-11-12,170.095,172.3,168.84,171.84,44889
2021-11-15,172.05,173.11,171.57,172.72,42336
2021-11-16,172.42,175.705,172.42,173.78,81458
2021-11-17,174.06,174.07,171.62,173.1,70180
2021-11-18,173.2,173.55,171.82,173.32,49665
2021-11-19,173.26,173.71,172.09,172.33,58083
2021-11-22,172.83,174.885,172.26,172.32,63830
2021-11-23,171.54,172.89,171.32,172.65,54832
2021-11-24,171.41,172.085,170.17,171.0,62519
2021-11-26,165.815,168.14,165.08,167.52,59561
2021-11-29,168.9,169.58,165.6,167.585,79696
2021-11-30,165.355,166.85,161.41,162.16,191119
2021-12-01,165.095,167.17,161.48,161.48,104195
2021-12-02,162.34,167.5,162.215,166.69,84585
2021-12-03,167.715,168.03,164.52,166.46,56889
2021-12-06,167.92,170.57,166.6,169.83,95075
2021-12-07,171.95,174.45,170.285,170.52,111515
2021-12-08,171.035,171.45,168.08,169.92,169351
2021-12-09,169.95,169.95,167.505,168.6,73892
2021-12-10,169.68,170.87,169.25,170.52,86684
2021-12-13,170.84,171.32,168.8,169.695,102145
2021-12-14,169.065,169.32,162.595,164.81,137002
2021-12-15,166.455,169.49,165.42,169.265,163441
2021-12-16,170.445,171.18,168.105,168.9,89746
2021-12-17,168.75,169.25,164.73,165.12,92989
2021-12-20,163.16,164.54,161.195,164.11,100781
2021-12-21,166.12,167.345,164.455,167.205,132615
2021-12-22,167.115,167.68,166.365,166.77,148244
2021-12-23,167.62,169.14,167.62,168.05,46291
2021-12-27,168.79,170.675,168.465,170.66,22294
2021-12-28,170.85,171.76,170.81,171.18,22729
2021-12-29,171.29,172.095,171.02,171.67,50861
2021-12-30,172.09,172.315,171.29,171.5,31962
2021-12-31,171.205,173.64,171.205,172.86,31019
2022-01-03,172.675,172.93,167.95,168.54,66454
2022-01-04,169.46,172.26,169.33,171.54,144685
2022-01-05,171.585,172.74,168.85,169.03,94278
