date,open,high,low,close,volume
2021-07-21,129.24,129.56,128.25,128.91,17238
2021-07-22,129.21,129.21,128.05,128.43,28085
2021-07-23,128.77,130.49,128.7,130.41,30446
2021-07-26,130.325,130.635,128.915,129.585,30182
2021-07-27,127.46,127.92,125.69,126.38,109295
2021-07-28,125.82,126.23,123.65,125.17,56268
2021-07-29,125.97,127.2,125.37,126.97,41050
2021-07-30,126.745,128.97,126.47,128.25,107768
2021-08-02,127.93,128.48,126.345,126.56,52468
2021-08-03,123.4,127.32,122.31,126.63,75975
2021-08-04,126.29,126.97,125.515,125.58,103841
2021-08-05,125.46,126.49,123.43,124.09,42159
2021-08-06,124.32,125.23,123.77,124.24,29726
2021-08-09,123.645,124.09,122.765,122.77,59586
2021-08-10,122.92,123.415,122.08,122.18,46114
2021-08-11,122.505,124.625,122.505,123.33,43840
2021-08-12,123.74,123.88,122.11,122.24,37156
2021-08-13,122.265,124.545,122.265,123.92,59958
2021-08-16,123.48,125.58,123.29,125.55,59876
2021-08-17,124.93,124.93,122.785,124.17,57836
2021-08-18,123.29,123.88,121.45,121.45,53268
2021-08-19,120.55,122.94,120.55,122.17,31021
2021-08-20,122.23,123.18,121.92,122.97,49175
2021-08-23,123.65,124.67,123.33,123.59,21137
2021-08-24,123.53,123.67,122.73,122.745,18598
2021-08-25,122.725,124.475,122.725,124.1,25770
2021-08-26,123.915,123.915,122.6,122.885,32437
2021-08-27,123.125,124.75,123.125,124.57,22267
2021-08-30,125.3,126.075,124.9,125.58,36474
2021-08-31,125.66,125.74,123.82,124.67,40700
2021-09-01,124.02,124.325,121.35,122.95,61762
2021-09-02,123.59,124.04,123.06,124.04,46257
2021-09-03,123.655,124.15,122.86,123.57,24177
2021-09-07,123.41,123.81,122.49,122.87,33791
2021-09-08,122.855,123.82,122.745,123.72,27550
2021-09-09,123.76,125.875,122.97,123.41,54989
2021-09-10,124.74,126.29,123.96,125.77,40663
2021-09-13,126.78,128.455,125.685,127.37,179077
2021-09-14,127.87,129.96,127.75,128.29,109793
2021-09-15,128.24,129.81,128.14,128.33,37734
2021-09-16,128.67,128.85,126.56,126.73,18105
2021-09-17,125.8,125.8,123.32,123.69,36693
2021-09-20,121.51,122.265,120.425,121.195,24354
2021-09-21,122.11,123.2,120.87,121.28,31469
2021-09-22,122.3,124.31,122.02,123.04,37447
2021-09-23,124.0,125.27,123.735,124.98,36070
2021-09-24,123.98,125.19,123.98,124.72,29857
2021-09-27,124.25,125.01,123.62,123.78,27012
2021-09-28,123.01,123.01,120.61,120.9,42104
2021-09-29,121.63,121.81,120.375,121.08,22287
2021-09-30,121.595,122.575,119.1,119.1,46600
2021-10-01,119.51,119.52,115.58,116.06,61669
2021-10-04,115.94,116.66,114.0,114.3,40439
2021-10-05,114.67,116.71,114.34,115.13,43839
2021-10-06,114.14,115.94,113.47,115.655,31243
2021-10-07,117.17,117.28,115.035,115.46,48138
2021-10-08,115.5,115.73,113.29,114.25,50165
2021-10-11,114.78,116.34,114.78,115.38,24987
2021-10-12,115.855,117.61,115.6,116.0,33741
2021-10-13,115.815,116.51,113.9,116.18,37033
2021-10-14,116.51,118.31,116.07,118.19,34181
2021-10-15,118.41,118.45,115.695,116.06,47672
