date,open,high,low,close,volume
2021-07-21,144.45,145.94,144.14,145.43,60166
2021-07-22,145.55,146.13,144.27,146.12,271013
2021-07-23,147.625,149.41,147.53,148.755,166521
2021-07-26,148.98,148.98,147.315,148.43,46270
2021-07-27,148.01,151.315,148.01,150.85,193918
2021-07-28,151.0,152.2,148.01,148.73,165441
2021-07-29,149.51,151.33,149.51,149.65,127260
2021-07-30,148.72,150.0,148.72,149.01,79814
2021-08-02,149.73,150.72,137.59,139.065,736246
2021-08-03,133.0,133.61,126.715,130.405,1666848
2021-08-04,129.67,130.95,127.87,128.79,449931
2021-08-05,128.8,130.69,127.955,129.54,524765
2021-08-06,129.62,135.19,128.5,133.805,441295
2021-08-09,133.65,135.1,133.225,134.08,264569
2021-08-10,134.11,134.44,131.48,132.49,517587
2021-08-11,132.86,134.43,132.78,133.815,271265
2021-08-12,134.24,135.52,133.7,133.89,203819
2021-08-13,133.665,134.78,133.665,134.03,240518
2021-08-16,133.37,133.605,131.875,133.01,258180
2021-08-17,132.395,135.45,131.9,134.2,379329
2021-08-18,134.055,135.6,133.5,134.46,272880
2021-08-19,133.35,133.8,128.47,128.85,343385
2021-08-20,128.62,130.115,128.49,129.955,222311
2021-08-23,130.31,130.5,129.42,129.66,417647
2021-08-24,129.88,130.26,128.855,130.02,309113
2021-08-25,129.85,130.405,128.74,129.97,287166
2021-08-26,129.27,130.2,127.81,128.38,504529
2021-08-27,128.665,128.77,127.63,128.58,174588
2021-08-30,127.63,129.12,126.705,127.24,277538
2021-08-31,127.74,129.08,127.04,127.77,343910
2021-09-01,127.62,130.13,127.4,129.29,230368
2021-09-02,129.77,129.78,126.275,126.87,183699
2021-09-03,126.9,127.26,124.865,125.4,574365
2021-09-07,125.565,126.34,125.25,125.69,224473
2021-09-08,126.0,130.52,125.99,129.99,421077
2021-09-09,129.47,130.14,126.97,127.08,169508
2021-09-10,127.68,127.98,123.61,123.79,274317
2021-09-13,124.38,125.14,123.57,124.62,138875
2021-09-14,125.16,125.42,122.58,123.41,190953
2021-09-15,123.32,125.645,122.955,125.11,307500
2021-09-16,124.845,126.18,124.77,125.4,173643
2021-09-17,125.13,125.13,123.08,123.73,121783
2021-09-20,122.32,123.4,121.76,123.09,130485
2021-09-21,123.39,123.39,121.24,121.4,126819
2021-09-22,122.03,122.55,120.97,122.09,114574
2021-09-23,122.67,123.54,122.04,122.305,224708
2021-09-24,122.365,123.155,121.58,122.02,135882
2021-09-27,122.27,124.66,121.89,124.31,135366
2021-09-28,123.58,123.88,121.82,122.24,118326
2021-09-29,122.47,124.17,121.62,123.32,135732
2021-09-30,124.07,124.26,121.06,121.67,176751
2021-10-01,122.2,123.87,121.14,123.22,103418
2021-10-04,123.06,123.84,120.28,121.05,124748
2021-10-05,120.57,122.69,120.265,120.38,149577
2021-10-06,119.26,121.18,118.34,121.15,112903
2021-10-07,121.81,122.94,121.12,121.31,136999
2021-10-08,121.705,122.27,119.95,120.0,62854
2021-10-11,119.695,119.71,115.78,115.88,186204
2021-10-12,116.13,117.94,114.83,116.06,191385
2021-10-13,116.32,116.81,114.335,116.75,113474
2021-10-14,117.71,122.29,117.65,121.69,269997
2021-10-15,122.35,125.095,122.35,124.84,295324
2021-10-18,124.245,124.68,122.455,123.02,137412
2021-10-19,123.17,124.54,122.62,124.04,117136
2021-10-20,124.59,126.17,123.89,124.57,306556
2021-10-21,124.33,124.52,122.94,124.435,114372
2021-10-22,123.97,126.01,123.85,125.07,71180
2021-10-26,123.28,124.11,121.73,122.405,150686
2021-10-27,121.72,121.72,113.36,114.23,711229
2021-10-28,114.845,114.845,111.44,111.99,771192
2021-10-29,111.83,113.05,110.33,110.71,343458
2021-11-01,110.75,114.55,110.75,114.025,306705
2021-11-02,112.71,112.71,104.3,109.19,659431
2021-11-03,109.275,111.18,107.965,110.89,472792
2021-11-04,108.015,119.235,108.015,111.74,917064
2021-11-05,113.98,116.08,112.32,113.67,367031
2021-11-08,114.56,115.865,113.99,114.84,312592
2021-11-09,114.98,117.14,114.16,115.5,232745
2021-11-10,116.59,119.26,116.01,118.39,371532
2021-11-11,118.45,119.58,116.6,119.555,379902
2021-11-12,120.215,120.88,116.875,116.88,311479
2021-11-15,117.16,117.56,115.455,115.62,208810
2021-11-16,116.245,116.9,114.8,115.13,147802
2021-11-17,114.45,114.45,108.325,110.49,350779
2021-11-18,111.22,111.57,108.405,108.96,419033
2021-11-19,109.13,111.03,108.66,109.95,263158
2021-11-22,110.38,111.665,107.36,107.9,417453
2021-11-23,108.09,109.04,106.64,108.7,166866
2021-11-24,107.825,110.93,107.825,109.9,242979
2021-11-26,106.48,108.935,105.62,108.13,196490
2021-11-29,109.87,109.87,105.37,105.37,220988
2021-11-30,104.98,106.55,102.825,104.53,230711
2021-12-01,105.81,106.8,102.31,102.375,357573
2021-12-02,103.6,106.31,102.83,105.77,159209
2021-12-03,105.665,105.95,101.95,103.21,299842
2021-12-06,103.995,107.845,103.45,106.98,1010107
2021-12-07,107.61,108.86,106.39,106.9,471421
2021-12-08,106.61,108.615,106.26,108.34,272251
2021-12-09,108.3,108.49,104.5,104.96,186142
2021-12-10,103.285,105.45,102.82,104.47,266872
2021-12-13,104.44,105.575,103.92,104.79,271192
2021-12-14,104.025,107.14,103.81,106.82,301923
2021-12-15,106.975,107.37,104.79,106.83,209450
2021-12-16,107.555,109.14,105.55,108.45,181551
2021-12-17,108.215,109.61,106.42,108.02,227859
2021-12-20,105.495,105.84,104.06,104.64,182537
2021-12-21,105.57,110.875,105.57,109.87,188874
2021-12-22,109.47,110.9,108.82,109.99,113540
2021-12-23,109.67,110.065,109.02,109.07,169422
2021-12-27,108.59,108.89,106.575,108.45,111883
2021-12-28,108.32,110.5,107.84,109.31,102589
2021-12-29,108.74,110.06,108.73,109.28,65122
2021-12-30,109.35,110.77,109.35,110.02,83950
2021-12-31,109.86,110.44,109.05,109.14,86974
2022-01-03,109.5,114.38,109.115,113.88,271824
2022-01-04,114.985,115.635,113.385,114.53,248108
2022-01-05,114.45,118.69,114.44,116.55,330462
2022-01-06,116.65,118.735,116.03,116.66,204063
2022-01-07,116.19,118.205,115.985,117.69,133360
2022-01-10,118.37,118.52,112.64,116.34,309629
2022-01-11,116.48,118.11,115.285,117.56,93923
2022-01-12,116.2,117.85,115.49,117.5,110932
2022-01-13,117.51,119.9,117.25,117.275,114986
2022-01-14,116.44,118.905,116.44,118.11,157057
2022-01-18,117.52,118.075,114.02,114.5,393918
2022-01-19,114.54,115.85,113.24,113.32,110128
2022-01-20,113.64,116.17,112.98,113.24,135430
2022-01-21,113.41,114.72,111.57,111.8,149838
2022-01-24,110.44,111.87,107.575,111.795,176225
2022-01-25,110.42,111.62,106.87,110.23,181560
2022-01-26,111.97,112.405,107.96,109.11,241468
2022-01-27,110.31,111.29,108.39,109.25,204678
2022-01-28,109.86,117.51,109.86,117.35,406075
2022-01-31,116.63,120.225,115.665,120.0,455036
2022-02-01,119.89,122.01,119.04,121.77,360974
2022-02-02,121.61,121.61,119.02,120.03,276949
2022-02-03,118.845,119.0,114.87,115.405,392937
2022-02-04,114.59,114.8,111.58,113.81,371091
2022-02-07,113.895,115.675,112.65,114.06,168774
2022-02-08,113.29,113.29,110.03,111.455,340423
2022-02-09,113.145,115.14,112.34,114.99,195754
2022-02-10,113.99,116.24,112.94,113.62,160512
2022-02-11,113.96,115.21,111.21,111.9,168764
2022-02-14,112.29,112.665,110.7,111.44,178093
2022-02-15,103.23,107.88,100.965,102.68,718778
2022-02-16,102.8,104.4,99.02,100.43,627116
2022-02-17,99.98,101.17,97.39,97.52,227614
2022-02-18,97.25,97.71,94.94,95.58,338839
2022-02-22,94.92,96.24,94.46,95.38,220510
2022-02-23,95.55,95.8,92.1,92.21,451008
2022-02-24,90.73,95.89,90.69,95.76,508467
2022-02-25,95.79,97.625,94.61,96.91,170568
2022-02-28,95.33,96.47,94.03,95.19,232049
2022-03-01,95.38,96.06,93.31,93.67,289869
2022-03-02,93.67,96.16,92.93,95.29,230489
2022-03-03,95.78,95.99,92.37,92.67,138131
2022-03-04,92.08,92.58,89.31,90.51,183605
2022-03-07,90.23,90.61,87.05,87.12,121365
2022-03-09,88.375,92.195,88.335,92.0,317603
2022-03-10,89.65,91.52,88.76,90.43,291384
2022-03-11,91.63,91.67,89.28,89.35,149035
2022-03-14,90.11,91.555,88.92,89.11,159047
2022-03-15,90.35,92.66,90.35,92.58,189118
2022-03-16,94.55,95.45,93.0,95.38,215730
2022-03-17,94.66,95.24,93.88,95.22,161825
2022-03-18,95.12,96.17,94.47,95.77,260482
2022-03-21,94.73,96.03,93.81,94.98,263343
2022-03-22,96.19,98.395,96.06,96.92,152624
2022-03-23,95.88,96.64,95.03,95.43,147689
2022-03-24,95.72,96.82,95.38,96.395,158114
2022-03-25,96.305,97.74,95.93,97.46,213527
2022-03-28,97.3,97.72,96.655,97.66,211752
2022-03-29,99.26,102.955,98.95,101.96,378521
2022-03-30,101.27,102.2,100.25,100.98,189513
2022-03-31,100.73,101.95,100.37,100.47,215075
2022-04-01,101.03,103.6,100.48,103.39,200414
2022-04-04,103.585,104.21,102.92,103.28,105960
2022-04-05,103.515,104.89,102.92,103.55,193051
2022-04-06,102.66,102.93,101.35,101.52,176772
2022-04-07,101.2,102.68,99.62,101.49,138290
2022-04-08,101.11,103.22,100.63,101.935,192947
2022-04-11,101.77,102.88,101.37,101.87,115463
2022-04-12,102.25,102.83,101.23,101.94,219348
2022-04-13,101.87,102.52,101.0,101.49,165464
2022-04-14,101.85,103.54,101.705,102.4,197000
2022-04-18,102.7,103.91,101.505,102.41,134447
2022-04-19,102.97,105.22,102.97,104.99,131184
2022-04-20,104.685,105.26,102.69,102.98,121471
2022-04-21,105.045,105.045,102.66,102.94,129423
2022-04-22,102.46,102.93,99.79,99.98,286918
2022-04-25,100.005,100.155,97.015,99.26,437755
2022-04-26,98.08,98.14,95.24,95.24,250531
2022-04-27,96.56,99.67,95.755,98.82,316376
2022-04-28,100.73,104.59,100.73,103.79,306213
2022-04-29,103.05,103.09,98.765,99.17,165932
2022-05-02,99.26,99.26,95.2,97.59,348299
2022-05-03,101.79,102.59,97.0,99.63,348133
2022-05-04,99.7,104.69,99.24,104.36,294481
2022-05-05,102.39,103.01,98.98,100.75,245679
2022-05-06,99.855,99.855,97.37,98.3,291676
2022-05-09,96.61,97.23,93.93,94.57,621660
2022-05-10,95.9,96.63,93.18,94.73,237595
2022-05-11,93.99,96.91,93.12,93.4,245880
2022-05-12,92.69,94.335,91.71,94.07,335193
2022-05-13,95.12,97.28,95.005,96.56,128569
2022-05-16,96.0,96.79,95.23,96.37,108260
2022-05-17,98.405,98.675,96.26,98.32,137864
2022-05-18,97.17,98.74,96.485,96.79,171012
2022-05-19,95.55,98.915,95.55,97.17,138197
2022-05-20,98.38,99.82,96.97,99.71,156664
2022-05-23,100.86,102.345,99.63,101.75,133496
2022-05-24,100.5,101.085,98.15,100.48,231566
2022-05-25,99.77,101.695,99.77,101.39,371248
2022-05-26,102.37,105.48,102.14,104.22,148903
2022-05-27,104.68,105.515,104.0,105.16,247177
2022-05-31,104.445,104.985,103.63,104.475,221396
2022-06-01,105.535,105.74,103.01,103.16,135032
2022-06-02,103.575,106.19,101.72,106.17,220099
2022-06-03,104.66,105.05,103.48,103.78,184112
2022-06-06,104.98,106.595,104.76,105.33,185331
2022-06-07,104.44,105.71,103.325,104.55,176545
2022-06-08,104.99,105.18,103.23,103.78,146142
2022-06-09,102.0,102.45,99.74,99.76,105079
2022-06-10,97.84,98.96,96.3,97.78,128915
2022-06-13,96.45,96.88,94.38,95.0,225035
2022-06-14,95.655,97.26,95.0,95.27,304306
2022-06-15,96.48,96.58,93.86,95.41,334599
2022-06-16,93.23,93.41,90.25,90.69,308936
2022-06-17,90.65,92.68,90.48,91.78,381177
2022-06-21,93.335,94.09,91.81,92.94,172464
2022-06-22,91.705,93.22,90.61,92.09,144580
2022-06-23,93.05,93.56,91.42,92.96,155963
2022-06-24,94.53,98.905,94.12,98.645,211319
2022-06-27,98.46,98.46,96.04,96.75,160793
2022-06-28,97.92,99.135,94.04,94.25,191828
2022-06-29,94.29,94.765,93.17,94.58,156135
2022-06-30,92.59,93.025,90.0,91.69,280471
2022-07-01,91.65,93.62,91.14,93.62,190698
2022-07-05,91.985,95.03,91.42,95.02,247818
