date,open,high,low,close,volume
2021-07-21,35.14,36.365,35.14,36.185,74959
2021-07-22,35.81,35.995,35.45,35.995,46827
2021-07-23,36.11,36.24,35.73,36.195,43474
2021-07-26,36.17,36.83,36.155,36.54,44494
2021-07-27,36.04,36.52,36.04,36.205,50331
2021-07-28,36.21,36.625,35.58,36.325,42558
2021-07-29,36.21,36.905,36.21,36.31,122149
2021-07-30,36.07,36.2,35.56,35.635,49479
2021-08-02,35.73,35.94,35.51,35.645,86034
2021-08-03,35.48,35.48,34.18,35.02,83351
2021-08-04,34.875,35.22,34.58,34.905,152772
2021-08-05,35.675,37.39,35.63,37.21,169638
2021-08-06,37.48,37.49,36.37,36.475,93028
2021-08-09,36.29,36.58,36.04,36.52,81725
2021-08-10,36.53,37.015,36.15,36.975,49714
2021-08-11,37.145,37.505,36.77,37.485,61757
2021-08-12,37.36,37.505,36.715,37.03,36115
2021-08-13,37.27,37.345,36.97,36.99,77590
2021-08-16,36.85,37.29,36.59,37.17,36301
2021-08-17,36.81,37.18,36.545,36.99,51220
2021-08-18,36.89,37.635,36.54,36.54,38407
2021-08-19,36.48,36.6,35.97,36.165,51721
2021-08-20,35.98,36.9,35.94,36.755,27775
2021-08-23,36.82,37.18,36.765,37.14,67192
2021-08-24,37.42,37.445,36.93,37.08,40876
2021-08-25,37.18,37.465,36.69,37.045,136280
2021-08-26,36.94,37.12,36.61,36.68,191305
2021-08-27,36.72,37.365,36.72,37.2,89175
2021-08-30,37.1,37.24,36.8,37.075,37858
2021-08-31,36.73,37.59,36.73,37.44,82212
2021-09-01,37.51,37.54,36.915,36.99,58674
2021-09-02,37.25,37.41,36.94,37.165,98278
2021-09-03,36.98,37.04,36.555,36.89,46834
2021-09-07,36.67,37.15,36.66,36.76,52436
2021-09-08,36.76,37.06,35.92,35.935,59737
2021-09-09,36.325,36.435,35.72,36.35,87498
2021-09-10,36.36,36.46,35.785,35.975,78759
2021-09-13,36.095,36.515,35.935,36.35,83007
2021-09-14,36.28,36.42,35.185,35.3,61421
2021-09-15,35.32,36.74,35.24,36.575,84693
2021-09-16,36.5,37.485,36.5,37.325,88195
2021-09-17,37.36,38.08,37.345,37.73,115216
2021-09-20,37.28,37.37,36.61,37.15,56006
2021-09-21,37.47,37.78,36.975,37.12,43669
2021-09-22,37.41,38.625,37.41,38.205,107554
2021-09-23,38.13,38.92,38.13,38.425,65397
2021-09-24,38.5,39.495,38.305,39.27,135961
2021-09-27,39.08,40.365,39.08,40.105,129079
2021-09-28,39.815,40.4,39.705,39.85,110374
2021-09-29,39.78,40.315,39.65,40.25,62454
2021-09-30,40.79,41.11,40.12,40.12,187130
2021-10-01,40.52,41.075,40.11,40.78,98322
2021-10-04,40.715,41.675,40.715,41.49,126381
2021-10-05,41.69,42.21,41.48,41.89,127779
2021-10-06,41.605,41.76,41.05,41.54,189347
2021-10-07,41.85,42.51,41.85,42.16,68976
2021-10-08,42.44,43.31,42.195,42.25,124073
2021-10-11,42.31,42.61,42.085,42.09,58720
2021-10-12,41.95,42.39,41.735,41.99,65454
2021-10-13,42.18,42.595,42.045,42.36,101735
2021-10-14,42.74,42.76,42.255,42.44,78929
2021-10-15,42.63,42.63,41.54,41.61,171923
2021-10-18,41.51,42.06,41.48,41.93,56904
2021-10-19,42.09,43.03,41.985,43.03,108410
2021-10-20,42.87,43.58,42.87,43.21,78230
2021-10-21,43.06,43.38,42.445,42.62,73319
2021-10-22,42.59,42.68,42.19,42.52,53189
2021-10-25,42.59,42.67,41.72,41.84,86071
2021-10-26,41.83,42.02,41.45,41.59,63455
2021-10-27,41.635,41.635,40.185,40.2,133973
2021-10-28,40.29,40.79,40.29,40.76,91406
2021-10-29,40.75,40.75,39.41,39.73,87389
2021-11-01,40.07,41.18,39.97,41.085,91786
2021-11-02,41.22,41.81,40.845,41.63,134370
2021-11-03,41.22,42.06,40.74,41.56,168999
2021-11-04,41.66,41.66,39.41,41.36,264590
2021-11-05,41.545,42.545,41.21,41.47,119461
2021-11-08,41.455,41.58,40.38,40.535,55133
2021-11-09,40.65,41.045,40.39,40.545,63755
2021-11-10,40.77,41.42,40.51,40.68,83801
2021-11-11,40.2,41.39,40.17,41.15,164545
2021-11-12,41.0,41.48,40.86,41.11,93408
2021-11-15,41.11,41.835,41.11,41.26,85899
2021-11-16,41.12,41.13,40.37,40.42,123152
2021-11-17,40.14,40.53,39.98,40.3,58064
2021-11-18,40.48,40.56,39.54,39.57,75796
2021-11-19,39.28,39.64,38.73,38.99,160340
2021-11-22,39.0,39.175,38.635,38.76,232197
2021-11-23,39.23,39.39,38.74,39.15,177030
2021-11-24,38.91,38.93,38.37,38.47,154876
2021-11-26,37.66,37.77,37.065,37.67,89901
2021-11-29,37.745,37.78,36.81,36.92,142146
2021-11-30,36.55,36.84,35.64,35.725,107319
2021-12-01,36.19,36.6,34.4,34.43,79244
2021-12-02,34.5,35.6,34.41,35.36,90121
2021-12-03,35.485,36.15,35.48,36.06,112261
2021-12-06,36.52,36.93,36.3,36.53,59985
