date,open,high,low,close,volume
2021-07-21,25.8,25.8,25.4,25.605,95873
2021-07-22,25.71,25.915,25.45,25.72,114855
2021-07-23,25.9,25.9,25.5,25.775,83940
2021-07-26,25.8,25.925,25.63,25.675,57781
2021-07-27,25.68,25.68,25.27,25.48,87862
2021-07-28,25.05,25.68,24.9,25.27,186560
2021-07-29,25.04,25.325,24.6,24.615,155190
2021-07-30,24.655,24.9,24.545,24.825,121307
2021-08-02,24.85,24.85,24.595,24.6,58367
2021-08-03,24.77,24.945,24.4,24.48,97253
2021-08-04,24.445,24.51,24.01,24.22,110817
2021-08-05,24.26,24.4,23.675,23.985,373201
2021-08-06,23.905,24.23,23.865,23.985,146055
2021-08-09,24.01,24.26,23.8,23.9,55252
2021-08-10,23.93,24.33,23.82,24.145,101832
2021-08-11,25.76,26.58,25.76,26.25,505326
2021-08-12,25.96,26.71,25.955,26.09,354885
2021-08-13,26.09,26.42,25.95,26.29,175682
2021-08-16,26.24,26.24,25.82,25.89,114405
2021-08-17,25.71,26.035,25.7,25.97,157581
2021-08-18,25.76,25.87,25.66,25.715,109304
2021-08-19,25.67,26.025,25.53,25.81,188266
2021-08-20,25.67,25.835,25.54,25.76,261340
2021-08-23,25.67,26.15,25.67,25.985,147224
2021-08-24,26.0,26.49,25.885,26.46,69345
2021-08-25,26.77,26.845,26.345,26.69,76145
2021-08-26,26.575,26.995,26.56,26.715,77530
2021-08-27,26.73,26.84,26.435,26.765,34842
2021-08-30,26.85,26.89,26.625,26.79,37407
2021-08-31,26.71,26.915,26.48,26.57,88881
2021-09-01,26.75,26.81,26.31,26.74,70253
2021-09-02,26.69,27.16,26.62,27.15,103082
2021-09-03,27.06,27.455,27.01,27.29,104338
2021-09-07,27.155,27.17,26.895,27.145,113516
2021-09-08,27.04,27.515,26.94,27.415,240260
2021-09-09,27.515,28.25,27.265,27.395,264085
2021-09-10,27.31,27.47,27.1,27.28,129710
2021-09-13,27.41,27.43,26.525,26.61,98179
2021-09-14,26.675,26.675,26.1,26.2,87145
2021-09-15,26.21,26.325,26.04,26.26,87017
2021-09-16,26.275,26.275,25.88,25.925,74374
2021-09-17,25.905,25.94,25.645,25.695,80952
2021-09-20,25.34,25.83,25.03,25.235,370044
2021-09-21,25.46,25.46,24.96,24.97,95411
2021-09-22,24.77,25.235,24.77,24.925,68407
2021-09-23,24.92,25.805,24.92,25.75,174667
2021-09-24,25.52,25.895,25.41,25.83,113075
2021-09-27,25.6,25.925,25.485,25.805,56478
2021-09-28,25.69,25.85,25.6,25.64,117993
2021-09-29,25.71,25.89,25.435,25.53,75591
2021-09-30,25.665,25.67,25.245,25.3,119167
2021-10-01,25.57,25.74,25.22,25.53,58045
2021-10-04,25.38,25.44,24.8,25.055,156087
2021-10-05,25.03,25.42,24.98,25.25,69188
2021-10-06,25.19,25.31,24.91,25.255,83499
2021-10-07,25.47,25.75,25.45,25.725,114632
2021-10-08,25.76,25.945,25.605,25.675,163547
2021-10-11,25.74,26.035,25.58,25.59,33173
2021-10-12,25.65,25.675,25.245,25.375,60164
2021-10-13,25.29,25.59,25.06,25.06,100560
2021-10-14,25.35,25.425,25.09,25.29,61918
2021-10-15,25.46,25.53,25.2,25.305,68051
2021-10-18,25.24,25.78,25.185,25.72,122419
2021-10-19,25.79,25.88,25.62,25.82,68556
2021-10-20,25.97,26.16,25.695,26.135,73579
2021-10-21,26.165,26.3,26.01,26.3,76502
