date,open,high,low,close,volume
2021-07-21,40.43,40.89,40.25,40.865,180709
2021-07-22,40.81,40.82,40.35,40.43,98727
2021-07-23,40.82,41.31,40.65,41.22,183063
2021-07-26,41.125,41.525,41.03,41.065,138371
2021-07-27,40.04,40.845,39.25,40.53,309736
2021-07-28,40.625,41.095,40.53,40.855,150376
2021-07-29,41.175,42.035,41.16,41.825,96341
2021-07-30,41.57,42.07,41.57,41.83,120882
2021-08-02,42.21,42.53,41.075,41.105,212348
2021-08-03,41.1,41.88,40.82,41.71,121285
2021-08-04,41.59,41.77,41.34,41.59,82019
2021-08-05,41.53,41.54,40.82,40.88,262732
2021-08-06,41.02,41.19,40.745,40.89,121871
2021-08-09,40.79,40.81,40.52,40.77,44040
2021-08-10,40.85,40.945,40.57,40.925,97846
2021-08-11,41.01,41.01,40.62,40.94,66474
2021-08-12,40.9,40.95,40.165,40.365,86620
2021-08-13,40.325,40.42,40.12,40.295,39085
2021-08-16,40.16,40.405,40.0,40.4,39605
2021-08-17,39.99,40.51,39.885,40.355,121440
2021-08-18,40.27,41.06,40.175,40.595,174636
2021-08-19,40.14,40.985,40.11,40.88,144701
2021-08-20,40.6,41.135,40.115,40.17,221781
2021-08-23,40.35,40.62,39.85,40.41,121801
2021-08-24,40.66,40.745,40.36,40.475,102681
2021-08-25,40.51,40.9,40.39,40.83,55578
2021-08-26,40.92,41.14,40.17,40.18,67991
2021-08-27,40.31,40.905,40.31,40.74,58442
2021-08-30,40.605,40.62,40.04,40.06,65902
2021-08-31,40.09,40.37,39.845,40.035,148261
2021-09-01,39.92,39.92,39.06,39.16,153604
2021-09-02,39.35,39.635,39.005,39.59,201427
2021-09-03,39.65,39.82,39.49,39.5,75160
2021-09-07,39.24,39.645,39.055,39.56,190684
2021-09-08,39.38,39.495,38.755,38.985,233585
2021-09-09,38.935,39.2,38.545,38.61,143271
2021-09-10,38.7,39.0,38.485,38.84,128068
2021-09-13,39.215,39.46,38.68,38.93,111578
2021-09-14,39.11,39.11,38.115,38.26,131636
2021-09-15,38.23,38.82,37.98,38.65,159783
2021-09-16,38.6,38.995,38.54,38.84,122549
2021-09-17,38.64,38.695,38.245,38.41,137314
2021-09-20,37.74,38.03,37.42,37.98,149516
2021-09-21,38.0,38.08,37.285,37.325,133929
2021-09-22,37.63,37.67,37.145,37.32,217249
2021-09-23,37.57,37.91,37.55,37.805,181946
2021-09-24,37.68,38.62,37.58,38.39,229076
2021-09-27,38.38,38.8,38.28,38.47,125450
2021-09-28,38.41,38.545,37.535,37.62,183917
2021-09-29,37.77,37.87,36.98,37.14,141303
2021-09-30,37.4,37.43,36.48,36.48,199013
2021-10-01,36.8,37.2,36.23,36.99,94909
2021-10-04,36.82,37.23,36.335,36.54,72981
2021-10-05,36.54,37.205,36.39,36.89,97389
2021-10-06,36.64,36.83,35.975,36.38,90286
2021-10-07,36.97,37.27,36.835,36.935,68470
2021-10-08,37.23,37.68,37.05,37.16,120991
2021-10-11,37.2,37.57,36.89,36.92,69015
2021-10-12,36.88,37.02,36.355,36.46,51049
2021-10-13,36.53,36.9,36.255,36.86,69997
2021-10-14,37.24,37.885,37.13,37.68,105937
2021-10-15,37.94,38.255,37.78,37.95,77069
2021-10-18,37.64,38.0,37.45,37.83,76377
2021-10-19,38.16,38.16,37.725,37.905,101003
2021-10-20,38.0,38.505,37.9,38.32,78638
2021-10-21,38.11,38.48,38.0,38.47,117412
2021-10-22,38.38,38.63,37.94,38.255,120129
2021-10-26,36.65,36.835,36.06,36.575,548013
2021-10-27,36.48,36.68,35.245,35.38,135851
2021-10-28,35.6,35.94,35.39,35.64,148266
2021-10-29,35.58,36.005,35.42,35.575,106084
2021-11-01,35.71,36.585,35.63,36.44,160675
2021-11-02,36.5,37.02,36.37,36.95,95854
2021-11-03,36.87,37.23,36.75,37.055,189164
2021-11-04,37.1,37.11,36.435,36.675,181193
2021-11-05,36.97,38.53,36.97,38.345,329259
2021-11-08,38.55,38.82,38.155,38.46,167686
2021-11-09,38.37,38.87,38.195,38.23,103748
