date,open,high,low,close,volume
2021-07-21,129.185,129.94,128.525,129.11,70376
2021-07-22,128.5,129.89,126.08,126.34,52229
2021-07-23,127.11,129.45,126.83,129.13,37646
2021-07-26,128.98,129.57,127.98,128.65,31045
2021-07-27,127.45,129.08,127.45,128.93,25396
2021-07-28,128.91,129.25,126.02,126.02,37997
2021-07-29,126.91,128.29,126.6,127.92,18769
2021-07-30,127.98,128.39,126.39,126.93,48692
2021-08-02,128.195,128.85,126.105,126.49,16596
2021-08-03,127.13,128.49,126.11,128.11,29014
2021-08-04,127.63,127.63,124.895,124.895,13853
2021-08-05,125.58,126.095,123.305,124.1,33631
2021-08-06,125.18,125.18,123.75,124.29,25371
2021-08-09,123.985,124.37,123.44,123.95,38346
2021-08-10,124.045,125.25,123.67,124.85,15572
2021-08-11,124.6,125.83,124.135,125.825,13530
2021-08-12,125.59,125.73,124.74,125.205,11973
2021-08-13,125.085,125.13,124.32,124.625,16093
2021-08-16,123.37,126.01,123.24,125.89,16538
2021-08-17,124.74,124.74,122.3,123.66,14749
2021-08-18,123.93,125.21,123.405,123.41,21823
2021-08-19,122.565,123.6,122.035,122.45,18563
2021-08-20,123.1,124.23,123.1,123.85,16860
2021-08-23,124.3,124.3,122.55,122.55,8981
2021-08-24,122.465,123.88,122.39,123.23,17917
2021-08-25,123.15,125.49,123.12,124.755,22078
2021-08-26,124.235,124.32,122.69,122.71,11262
2021-08-27,122.67,123.945,122.64,123.74,10760
2021-08-30,124.02,124.45,123.6,123.66,8863
2021-08-31,123.98,123.98,121.8,122.13,29100
2021-09-01,122.52,123.19,121.22,123.01,52978
2021-09-02,122.53,122.82,121.515,122.49,20962
2021-09-03,121.84,122.92,121.75,122.16,33417
2021-09-07,121.72,121.72,120.07,120.07,17677
2021-09-08,120.12,120.705,119.28,119.8,41493
2021-09-09,119.63,120.845,119.025,119.145,87731
2021-09-10,120.09,120.09,118.25,118.36,85448
2021-09-13,119.45,120.085,118.63,119.36,47413
2021-09-14,118.76,120.065,117.86,120.03,29926
2021-09-15,120.13,124.58,119.37,124.215,67210
2021-09-16,124.64,125.09,123.68,124.19,27097
2021-09-17,124.04,124.29,121.97,122.0,16411
2021-09-20,120.38,120.775,119.085,120.49,23202
2021-09-21,121.365,122.15,120.425,121.08,19417
2021-09-22,121.54,123.375,121.54,122.315,33084
2021-09-23,123.07,124.345,123.07,123.43,54042
2021-09-24,123.29,123.735,122.605,123.04,13023
2021-09-27,124.26,124.645,123.77,124.61,15254
2021-09-28,124.55,124.55,123.035,123.14,20113
2021-09-29,123.78,124.725,123.715,124.19,14156
2021-09-30,123.94,123.94,121.26,121.26,52310
2021-10-01,121.36,122.76,118.89,121.82,15142
2021-10-04,122.85,123.505,121.61,122.36,45635
2021-10-05,121.89,124.51,121.89,123.67,18569
2021-10-06,123.05,123.33,121.075,123.25,15075
2021-10-07,124.36,125.93,124.36,125.375,17747
2021-10-08,125.55,126.52,125.55,126.095,13234
2021-10-11,125.85,127.36,125.85,126.19,8725
2021-10-12,126.03,126.82,124.85,125.115,10554
2021-10-13,125.02,125.06,123.5,124.23,20929
2021-10-14,125.025,127.48,125.025,127.32,20503
2021-10-15,128.02,128.75,127.18,127.21,12133
2021-10-18,126.675,127.78,126.675,126.82,15379
2021-10-19,127.43,128.41,127.43,127.72,13817
2021-10-20,128.62,129.9,128.61,129.69,33697
2021-10-21,129.325,135.52,129.325,134.49,62061
2021-10-22,134.905,136.89,132.56,133.21,38459
2021-10-26,133.78,135.31,133.12,134.49,38844
2021-10-27,134.01,134.32,132.385,132.555,35644
2021-10-28,132.9,133.12,130.61,131.64,18488
2021-10-29,131.25,132.085,130.17,131.1,46361
2021-11-01,131.61,131.87,130.57,131.73,14695
2021-11-02,132.03,134.455,131.76,133.88,12568
2021-11-03,134.24,134.98,133.625,134.21,10251
2021-11-04,134.79,135.71,133.055,133.69,24969
2021-11-05,135.53,136.69,135.37,136.34,22822
2021-11-08,136.77,136.88,134.83,135.09,12942
2021-11-09,134.775,135.64,134.25,134.64,16646
2021-11-10,135.255,135.59,133.975,134.21,12732
2021-11-11,134.23,135.41,134.21,135.195,9472
2021-11-12,135.37,136.11,135.27,135.92,12230
2021-11-15,135.95,137.09,135.95,136.99,20623
2021-11-16,136.55,138.14,136.55,136.88,17883
2021-11-17,137.1,137.1,135.69,136.69,15569
2021-11-18,137.18,137.18,135.59,136.04,21491
2021-11-19,135.33,135.665,134.51,135.19,53669
2021-11-22,136.52,139.085,136.19,136.86,24945
2021-11-23,137.52,138.28,136.6,137.905,16858
2021-11-24,137.545,137.57,136.335,136.4,18079
2021-11-26,132.9,133.53,132.06,132.58,11144
2021-11-29,133.13,134.1,132.01,132.85,20571
2021-11-30,132.05,132.05,127.59,127.75,46199
2021-12-01,129.29,130.545,126.37,126.37,43498
2021-12-02,127.06,130.86,126.99,129.85,54381
2021-12-03,130.34,130.34,128.31,129.275,22202
2021-12-06,130.73,132.955,130.47,131.93,38049
2021-12-07,132.68,134.52,132.68,133.855,21383
2021-12-08,134.34,134.66,132.995,134.03,57218
2021-12-09,133.785,135.34,133.44,134.23,25603
2021-12-10,134.13,135.185,133.82,134.86,20724
2021-12-13,133.375,133.46,131.66,132.415,15074
2021-12-14,132.25,132.67,131.65,131.85,24505
2021-12-15,132.57,133.04,131.24,133.04,36757
2021-12-16,133.245,137.095,133.245,136.17,43243
2021-12-17,135.43,135.51,132.95,133.36,39269
2021-12-20,131.44,131.44,129.22,131.37,21148
2021-12-21,133.09,134.885,132.79,134.35,36321
2021-12-22,135.01,135.43,134.505,135.24,18781
2021-12-23,135.675,136.55,135.4,135.41,17878
2021-12-27,136.205,137.96,136.08,137.69,16403
2021-12-28,137.6,138.53,137.6,138.04,13382
2021-12-29,138.73,140.1,138.73,139.65,12226
2021-12-30,140.28,140.28,139.2,139.33,17372
2021-12-31,139.16,141.13,138.8,140.26,15852
2022-01-03,140.33,140.36,136.65,137.89,22870
2022-01-04,138.6,141.46,138.6,140.45,19660
2022-01-05,141.075,142.93,138.9,138.96,30675
2022-01-06,139.26,140.67,138.08,140.32,26228
2022-01-07,139.99,140.3,138.885,138.9,18874
2022-01-10,138.595,138.595,136.58,138.09,19817
2022-01-11,137.715,137.715,135.61,137.38,22374
2022-01-12,138.56,139.8,137.65,138.86,44119
2022-01-13,139.515,140.69,138.43,138.82,16798
2022-01-14,137.06,138.23,136.74,138.23,21853
2022-01-18,135.96,137.66,134.65,136.63,27945
