date,open,high,low,close,volume
2021-07-21,189.22,191.955,188.82,191.78,54677
2021-07-22,192.14,192.91,189.985,191.08,81430
2021-07-23,192.72,194.245,192.285,192.95,82957
2021-07-26,192.66,192.96,190.515,191.125,82289
2021-07-27,190.53,195.24,190.49,192.66,102247
2021-07-28,193.93,193.93,190.97,191.71,82667
2021-07-29,193.17,195.19,193.07,193.3,161692
2021-07-30,192.28,194.835,191.8,193.4,163702
2021-08-02,194.105,194.105,170.63,171.73,780856
2021-08-03,174.2,176.33,164.83,169.41,536768
2021-08-04,168.73,169.85,164.065,165.33,356821
2021-08-05,166.22,170.555,166.22,170.28,135738
2021-08-06,172.23,179.26,170.88,176.23,198752
2021-08-09,176.67,177.16,172.88,173.785,400315
2021-08-10,174.055,174.095,169.38,169.735,469874
2021-08-11,170.875,170.99,168.35,169.46,710181
2021-08-12,169.815,170.08,166.455,167.815,372313
2021-08-13,167.68,171.95,166.16,171.43,329469
2021-08-16,170.755,170.755,167.47,168.145,369456
2021-08-17,167.03,168.52,166.72,167.24,445056
2021-08-18,166.09,168.765,165.87,166.22,293781
2021-08-19,165.43,166.06,162.5,162.98,412024
2021-08-20,162.66,164.05,162.35,162.94,729763
2021-08-23,164.755,166.6,164.61,165.84,303469
2021-08-24,166.485,168.07,166.395,167.29,143363
2021-08-25,167.63,167.63,165.18,165.28,128529
2021-08-26,163.89,164.18,161.61,161.66,139650
2021-08-27,160.96,164.42,160.96,164.135,253325
2021-08-30,164.97,166.03,161.07,161.27,164622
2021-08-31,161.81,163.66,161.1,162.61,168941
2021-09-01,163.46,165.58,162.51,162.51,146187
2021-09-02,162.595,162.84,158.5,158.59,172790
2021-09-03,158.59,159.485,157.05,158.0,210973
2021-09-07,157.97,160.23,157.52,158.62,131546
2021-09-08,160.43,170.11,160.43,170.03,386226
2021-09-09,170.34,175.58,169.98,171.98,402514
2021-09-10,173.18,173.5,164.73,166.39,352282
2021-09-13,167.81,167.92,163.86,164.78,235976
2021-09-14,164.87,164.94,161.87,162.16,264776
2021-09-15,162.11,165.805,160.855,165.41,293117
2021-09-16,165.56,166.075,163.34,164.0,105362
2021-09-17,162.985,163.54,161.09,162.01,74283
2021-09-20,159.09,160.44,157.33,160.09,139110
2021-09-21,160.02,160.8,156.53,156.53,111540
2021-09-22,157.435,162.0,157.435,161.1,104525
2021-09-23,161.52,164.045,161.3,164.02,121966
2021-09-24,164.5,165.06,161.07,161.63,68099
2021-09-27,161.43,164.61,161.145,163.57,110698
2021-09-28,162.54,163.65,161.2,162.09,102821
2021-09-29,162.41,163.59,160.67,160.75,99018
2021-09-30,161.96,162.145,157.62,157.62,101691
2021-10-01,157.73,160.87,155.16,159.79,91851
2021-10-04,159.59,160.06,154.09,156.27,98227
2021-10-05,156.74,159.15,155.92,157.52,129646
2021-10-06,156.26,158.53,154.56,158.41,166519
2021-10-07,159.585,161.58,159.41,159.82,86634
2021-10-08,160.12,162.34,159.12,159.31,89694
2021-10-11,159.365,159.38,151.39,151.39,183871
2021-10-12,151.4,152.645,149.38,150.96,108859
2021-10-13,150.955,152.69,148.83,152.57,77382
2021-10-14,154.83,155.43,153.645,154.97,104615
2021-10-15,156.665,160.58,156.665,160.55,101561
2021-10-18,159.09,161.55,158.205,159.38,66646
2021-10-19,160.835,162.11,159.58,161.03,43273
2021-10-20,160.095,163.0,159.78,161.21,75758
2021-10-21,160.1,160.1,158.64,160.0,33172
2021-10-22,159.99,161.0,156.55,157.975,49153
2021-10-26,158.87,159.08,155.635,155.99,71643
2021-10-27,154.655,154.655,142.38,144.18,312584
2021-10-28,145.29,145.59,141.87,142.83,248362
2021-10-29,142.89,144.21,142.61,143.0,106328
2021-11-01,143.605,145.91,142.63,145.685,398191
2021-11-02,138.07,140.18,128.785,132.38,696342
2021-11-03,132.59,137.29,132.28,134.69,514808
2021-11-04,135.185,139.1,134.35,135.605,442170
2021-11-05,137.49,139.89,135.62,136.8,319668
2021-11-08,136.78,137.37,134.18,134.48,232771
2021-11-09,135.145,135.58,132.53,132.815,326389
2021-11-10,132.82,135.0,131.62,132.475,415659
2021-11-11,132.02,132.37,127.945,128.63,324906
2021-11-12,129.88,131.84,129.56,131.6,447928
2021-11-15,133.09,133.395,131.62,131.7,222341
2021-11-16,131.87,132.8,129.01,129.29,117661
2021-11-17,129.01,129.01,122.565,125.48,566856
2021-11-18,126.71,127.9,125.6,126.855,480193
2021-11-19,126.375,128.87,125.87,125.88,141457
2021-11-22,126.03,127.33,121.715,123.59,193124
2021-11-23,123.91,126.02,123.13,125.065,361606
2021-11-24,125.005,126.8,124.265,124.5,213418
2021-11-26,121.08,124.0,120.615,123.17,173283
2021-11-29,125.0,125.02,120.25,120.26,169523
2021-11-30,119.51,120.735,116.75,119.18,193712
