date,open,high,low,close,volume
2021-07-21,150.05,152.44,150.05,152.03,19271
2021-07-22,150.9,151.21,150.45,150.965,14942
2021-07-23,151.79,154.52,151.63,154.28,13516
2021-07-26,154.14,154.23,152.85,153.315,24507
2021-07-27,152.735,153.615,151.11,152.055,26284
2021-07-28,152.04,156.795,151.795,156.135,110403
2021-07-29,156.71,158.35,156.3,157.84,24980
2021-07-30,157.35,158.8,156.88,157.27,39691
2021-08-02,157.81,159.29,157.725,157.75,15355
2021-08-03,158.73,161.035,158.01,161.03,41723
2021-08-04,161.345,163.1,161.28,162.37,15803
2021-08-05,162.81,163.985,162.08,163.885,39045
2021-08-06,164.225,166.25,164.225,165.79,19821
2021-08-09,165.755,166.09,164.0,165.44,53312
2021-08-10,165.95,166.4,165.26,165.7,21861
2021-08-11,165.93,168.22,165.15,167.25,40211
2021-08-12,166.03,166.34,165.37,165.84,19636
2021-08-13,166.31,167.57,165.92,167.48,24103
2021-08-16,167.07,169.03,166.91,168.84,31341
2021-08-17,168.63,168.63,165.89,166.895,13294
2021-08-18,166.67,167.47,164.55,164.68,20924
2021-08-19,163.21,166.83,163.21,166.71,20610
2021-08-20,167.05,171.285,166.93,170.4,35097
2021-08-23,170.63,172.36,170.52,171.41,19122
2021-08-24,171.38,173.56,170.75,173.53,29069
2021-08-25,173.93,174.9,172.36,172.64,28638
2021-08-26,172.26,173.1,170.685,172.98,20536
2021-08-27,174.25,176.18,174.16,175.885,15552
2021-08-30,176.095,178.575,175.96,178.41,23146
2021-08-31,177.64,177.71,172.68,174.43,44437
2021-09-01,173.705,175.99,173.03,175.49,18265
2021-09-02,175.815,176.05,175.24,175.67,40153
2021-09-03,175.32,176.86,175.32,176.06,27706
2021-09-07,175.15,175.29,173.46,174.58,27635
2021-09-08,173.325,174.145,172.82,173.09,26687
2021-09-09,172.27,174.15,172.27,173.11,22250
2021-09-10,174.33,174.78,172.51,172.51,16250
2021-09-13,174.24,174.24,170.14,171.25,38222
2021-09-14,171.305,171.78,169.15,169.42,24903
2021-09-15,169.15,169.51,167.48,169.11,27681
2021-09-16,168.5,169.06,166.805,168.54,31405
2021-09-17,168.51,168.95,166.65,167.19,46811
2021-09-20,164.71,167.125,164.01,167.03,38961
2021-09-21,168.47,168.47,166.205,166.32,29898
2021-09-22,167.135,169.85,167.01,169.24,32394
2021-09-23,170.57,172.81,170.57,171.84,38196
2021-09-24,170.97,173.26,170.68,172.57,14534
2021-09-27,171.77,171.77,162.4,162.57,41103
2021-09-28,161.69,161.69,157.115,157.77,52034
2021-09-29,159.06,159.56,157.755,157.98,40944
2021-09-30,159.61,160.05,155.37,155.37,45858
2021-10-01,155.105,156.04,152.52,154.93,21133
2021-10-04,154.615,155.505,153.79,155.26,41088
2021-10-05,155.625,158.02,153.36,157.31,49221
2021-10-06,155.82,157.185,154.86,156.35,27133
2021-10-07,158.98,159.51,156.09,156.56,45751
2021-10-08,156.49,156.52,154.505,155.51,25655
2021-10-11,154.855,155.7,153.345,153.63,27960
2021-10-12,153.59,155.065,153.33,153.86,17197
2021-10-13,154.77,155.81,154.41,154.83,25970
2021-10-14,156.36,158.16,156.36,157.25,31593
2021-10-15,157.03,157.96,155.78,156.11,18274
2021-10-18,155.98,159.64,155.91,159.46,35050
2021-10-19,159.72,160.6,159.135,159.62,26560
2021-10-20,159.42,162.71,159.42,162.28,30493
2021-10-21,162.51,164.5,161.545,163.97,18474
2021-10-22,164.165,165.79,163.47,165.16,24429
2021-10-25,165.28,165.695,163.935,164.18,21340
2021-10-26,164.7,164.7,159.55,160.35,44119
2021-10-27,157.32,157.32,145.87,146.14,104611
2021-10-28,146.135,147.52,144.36,145.05,57226
2021-10-29,144.585,145.14,142.27,143.6,39477
2021-11-01,144.7,144.7,140.95,141.33,69464
2021-11-02,142.45,145.19,141.71,144.2,32556
2021-11-03,144.02,144.6,141.74,143.17,77231
2021-11-04,143.84,143.84,142.17,142.67,38583
2021-11-05,143.34,143.55,140.73,142.1,62280
2021-11-08,144.585,146.56,143.785,146.49,41695
2021-11-09,147.0,148.59,143.99,144.86,18635
2021-11-10,144.16,144.16,141.97,143.03,18340
2021-11-11,143.78,143.92,141.995,142.05,37653
2021-11-12,144.24,144.24,142.285,143.14,24255
