date,open,high,low,close,volume
2021-07-21,251.52,254.22,248.4,249.26,121566
2021-07-22,249.705,249.71,245.74,246.74,106408
2021-07-23,248.03,250.295,246.48,248.42,98436
2021-07-26,247.655,248.12,240.92,245.72,139333
2021-07-27,245.155,250.72,245.155,247.71,115103
2021-07-28,247.54,247.565,242.96,246.2,41646
2021-07-29,247.93,249.42,247.13,247.84,42153
2021-07-30,249.05,249.705,247.5,248.22,36338
2021-08-02,248.9,251.545,248.76,250.91,42422
2021-08-03,251.57,254.15,247.74,253.41,55239
2021-08-04,253.11,255.02,248.12,248.24,120907
2021-08-05,249.91,249.91,244.37,249.06,45273
2021-08-06,250.3,252.05,249.92,250.02,33515
2021-08-09,248.595,249.52,247.85,248.73,32025
2021-08-10,245.53,248.46,239.86,240.71,131688
2021-08-11,240.855,241.68,236.645,241.17,83118
2021-08-12,238.48,244.27,238.31,242.41,52944
2021-08-13,242.9,243.98,242.1,242.96,34920
2021-08-16,243.57,246.475,242.28,246.2,38878
2021-08-17,244.505,247.435,243.745,244.91,54110
2021-08-18,243.46,246.65,242.22,242.25,84218
2021-08-19,240.21,247.27,240.21,246.34,57351
2021-08-20,247.13,250.625,247.13,249.28,77285
2021-08-23,250.44,251.79,249.5,249.67,45716
2021-08-24,250.2,251.56,249.42,249.42,30376
2021-08-25,249.715,255.25,249.24,252.115,48749
2021-08-26,251.85,253.15,250.17,251.06,40419
2021-08-27,251.555,253.38,250.87,251.93,53928
2021-08-30,251.885,254.89,251.85,253.57,20319
2021-08-31,253.565,257.37,252.14,252.96,63106
2021-09-01,254.025,254.985,251.29,252.64,25627
2021-09-02,253.905,254.65,253.035,253.22,81854
2021-09-03,252.8,254.01,251.09,252.94,28133
2021-09-07,251.14,253.22,248.56,252.07,66816
2021-09-08,251.835,256.43,250.04,254.29,54370
2021-09-09,254.23,261.67,254.23,258.36,116352
2021-09-10,259.81,260.77,255.955,256.51,56704
2021-09-13,259.11,259.26,256.05,257.58,55486
2021-09-14,258.56,258.56,254.36,254.79,154127
2021-09-15,252.78,257.255,251.325,256.35,53227
2021-09-16,257.625,262.64,256.65,261.66,101542
2021-09-17,262.905,263.19,258.13,258.67,96815
2021-09-20,254.225,256.66,252.29,255.05,63383
2021-09-21,256.75,260.645,255.84,255.84,75827
2021-09-22,256.74,260.15,256.74,258.08,58902
2021-09-23,258.9,259.37,255.415,255.535,156944
2021-09-24,257.33,259.19,255.89,256.27,75195
2021-09-27,257.31,259.64,255.36,255.63,56164
2021-09-28,254.36,256.19,251.29,251.76,151236
2021-09-29,253.27,254.03,251.64,252.205,95239
2021-09-30,252.525,253.19,242.57,242.57,99266
2021-10-01,243.9,249.455,243.255,247.67,141001
2021-10-04,249.28,250.75,243.38,244.36,98880
2021-10-05,245.19,247.49,242.95,243.15,58126
2021-10-06,240.54,241.24,236.34,239.585,55323
