date,open,high,low,close,volume
2021-07-21,204.33,206.45,202.46,204.7,20208
2021-07-22,204.39,204.39,201.75,202.145,5180
2021-07-23,203.69,204.13,201.96,204.13,3764
2021-07-26,204.115,205.62,203.62,205.26,8714
2021-07-27,204.02,206.19,204.02,204.36,5627
2021-07-28,202.98,205.23,202.98,204.82,8292
2021-07-29,206.28,208.49,205.04,207.35,10051
2021-07-30,207.31,208.11,204.745,205.16,10495
2021-08-02,205.9,207.89,203.335,203.335,7742
2021-08-03,200.29,204.55,200.29,204.13,12004
2021-08-04,201.36,202.17,198.7,200.21,9687
2021-08-05,201.98,203.0,201.4,202.98,9351
2021-08-06,206.21,207.385,204.97,205.51,9863
2021-08-09,205.56,206.07,204.76,204.76,4679
2021-08-10,204.38,208.785,204.38,206.99,7851
2021-08-11,206.48,209.015,205.675,209.015,10740
2021-08-12,209.095,209.095,206.275,207.41,9325
2021-08-13,206.79,207.89,205.97,206.0,4059
2021-08-16,203.385,206.805,203.385,205.79,10880
2021-08-17,205.245,206.46,204.74,205.7,5402
2021-08-18,203.49,204.78,201.21,201.21,4504
2021-08-19,201.35,202.68,199.17,200.29,13261
2021-08-20,201.605,203.46,201.605,202.92,3722
2021-08-23,203.75,206.82,203.75,206.19,11054
2021-08-24,207.02,207.91,205.72,206.01,9009
2021-08-25,205.84,206.89,205.51,206.06,4438
2021-08-26,204.545,205.17,202.76,204.64,7185
2021-08-27,205.815,207.84,205.815,206.995,9420
2021-08-30,206.62,208.645,206.62,206.87,11739
2021-08-31,207.71,207.93,203.83,204.21,10601
2021-09-01,203.57,203.74,201.13,202.92,8043
2021-09-02,204.17,205.74,203.545,205.15,20127
2021-09-03,204.145,204.365,202.77,203.715,7403
2021-09-07,201.65,201.65,199.55,199.63,6224
2021-09-08,199.7,200.34,198.76,199.65,15530
2021-09-09,200.93,201.03,199.26,199.55,6604
2021-09-10,199.425,200.13,197.72,198.53,12395
2021-09-13,200.99,202.74,198.18,201.04,14369
2021-09-14,199.85,199.85,196.71,197.92,12692
