date,open,high,low,close,volume
2021-07-21,47.785,47.785,47.16,47.16,34137
2021-07-22,47.13,47.15,46.66,46.77,27114
2021-07-23,46.7,47.46,46.535,47.35,26462
2021-07-26,47.12,47.48,47.12,47.265,16518
2021-07-27,47.26,48.12,47.26,47.71,28207
2021-07-28,47.425,47.54,46.86,46.915,27356
2021-07-29,47.0,47.29,46.92,46.935,23142
2021-07-30,47.04,47.13,46.29,46.38,40664
2021-08-02,46.55,46.71,46.26,46.6,14453
2021-08-03,46.58,46.85,46.26,46.28,16261
2021-08-04,45.94,46.025,45.42,45.56,18934
2021-08-05,45.7,45.71,45.315,45.53,33069
2021-08-06,45.6,45.795,45.435,45.45,28297
2021-08-09,45.6,45.89,45.6,45.89,53020
2021-08-10,45.87,45.975,45.52,45.715,36478
2021-08-11,45.825,45.995,45.655,45.71,46248
2021-08-12,45.69,45.81,45.37,45.39,28110
2021-08-13,45.61,46.075,45.61,46.0,53798
2021-08-16,46.1,46.46,46.04,46.32,44270
2021-08-17,46.4,47.135,46.27,47.125,53767
2021-08-18,47.0,47.0,46.12,46.21,89223
2021-08-19,46.225,46.65,46.225,46.435,19371
2021-08-20,46.53,46.795,46.29,46.355,22809
2021-08-23,46.15,46.31,45.95,46.0,43125
2021-08-24,45.95,45.98,45.35,45.36,32315
2021-08-25,45.325,45.48,45.14,45.355,57543
2021-08-26,45.32,45.35,44.59,44.63,30515
2021-08-27,44.6,45.04,44.58,44.905,44251
2021-08-30,44.91,45.365,44.89,45.235,82277
2021-08-31,45.285,45.59,45.09,45.56,68460
2021-09-01,45.55,45.75,45.34,45.67,106772
2021-09-02,44.25,45.15,43.31,43.575,250603
2021-09-03,43.41,43.42,42.64,42.81,139450
2021-09-07,42.67,42.96,42.21,42.235,77546
2021-09-08,42.22,42.82,42.08,42.61,90302
2021-09-09,42.48,42.54,42.04,42.19,52209
2021-09-10,42.24,42.525,41.93,42.3,61214
2021-09-13,42.45,43.03,42.42,42.68,65913
2021-09-14,42.8,42.85,42.2,42.42,38029
2021-09-15,42.35,42.4,41.585,41.605,62136
2021-09-16,41.625,42.075,41.36,41.87,107430
2021-09-17,41.74,42.25,41.415,42.01,275758
2021-09-20,41.975,42.34,41.505,41.715,56914
2021-09-21,41.79,42.05,41.25,41.33,46662
2021-09-22,41.375,41.51,40.79,40.84,55446
2021-09-23,40.885,41.14,40.62,40.63,34716
2021-09-24,40.71,40.96,40.71,40.8,26609
2021-09-27,40.72,41.38,40.72,40.925,49289
2021-09-28,41.16,41.37,40.85,41.13,60880
2021-09-29,41.13,41.78,41.13,41.61,137854
2021-09-30,41.75,41.75,40.99,40.99,80361
2021-10-01,41.03,41.085,40.495,40.87,25373
2021-10-04,40.89,41.385,40.88,41.23,79172
2021-10-05,41.2,41.455,41.13,41.28,48005
2021-10-06,41.1,41.855,41.07,41.82,54244
2021-10-07,41.965,42.06,41.28,41.34,93116
2021-10-08,41.61,41.995,41.47,41.68,86729
2021-10-11,41.77,42.105,41.72,41.92,84943
2021-10-12,42.09,42.57,41.92,42.31,84339
2021-10-13,42.31,42.5,41.985,42.36,71469
2021-10-14,42.405,42.89,42.385,42.88,128251
2021-10-15,42.715,42.775,42.315,42.655,69365
2021-10-18,42.38,42.77,42.07,42.095,48215
2021-10-19,41.98,42.005,41.46,41.65,50839
2021-10-20,41.7,42.09,41.67,41.89,32511
2021-10-21,42.03,42.03,41.41,41.67,31780
2021-10-22,41.65,42.07,41.65,42.01,23071
2021-10-26,41.9,42.32,41.82,42.19,58990
2021-10-27,42.47,42.59,41.96,42.23,59710
2021-10-28,42.3,42.885,42.3,42.85,67903
2021-10-29,42.66,43.06,42.23,42.345,77076
2021-11-01,42.34,43.015,42.34,42.96,37718
2021-11-02,43.32,43.32,42.45,43.08,35489
2021-11-03,43.09,43.425,43.09,43.39,65978
2021-11-04,43.34,43.51,42.94,43.14,43920
2021-11-05,43.02,43.31,43.02,43.21,23222
2021-11-08,43.17,43.61,42.59,43.555,51190
2021-11-09,43.63,43.71,43.1,43.25,38885
2021-11-10,43.49,43.625,43.21,43.5,47878
2021-11-11,43.43,43.45,42.92,43.32,67069
2021-11-12,43.46,43.635,43.19,43.43,44870
2021-11-15,43.45,43.53,43.16,43.44,90869
2021-11-16,43.5,43.5,43.03,43.1,42323
2021-11-17,43.045,43.405,42.97,43.31,71569
2021-11-18,43.215,43.215,42.35,42.63,21873
2021-11-19,42.8,43.095,42.63,42.63,28094
2021-11-22,42.575,43.31,42.575,43.02,38675
2021-11-23,43.22,43.56,43.085,43.25,87238
2021-11-24,43.21,43.41,42.85,42.95,32677
2021-11-26,43.28,43.66,42.79,42.84,24128
2021-11-29,42.68,42.9,42.345,42.5,45831
2021-11-30,42.25,42.545,41.3,41.4,71934
2021-12-01,41.64,42.675,41.56,42.06,72681
2021-12-02,42.22,42.52,41.945,41.975,67812
2021-12-03,42.43,42.84,42.23,42.74,62654
2021-12-06,42.96,43.545,42.96,43.04,44877
2021-12-07,42.88,42.88,42.33,42.43,87043
2021-12-08,42.35,43.07,42.315,42.77,88531
2021-12-09,42.71,45.48,42.71,44.815,239010
2021-12-10,45.2,46.035,45.2,46.0,79270
2021-12-13,46.09,47.4,45.74,47.28,75835
2021-12-14,47.38,48.16,47.11,47.92,126585
2021-12-15,48.01,48.705,47.73,48.61,204831
2021-12-16,48.435,49.23,48.325,49.18,81283
2021-12-17,49.29,49.57,48.03,48.18,94016
2021-12-20,48.0,48.6,47.92,48.48,89866
2021-12-21,47.925,48.24,47.3,47.5,50196
2021-12-22,47.64,47.71,47.38,47.69,30584
2021-12-23,47.79,47.945,47.61,47.79,45612
2021-12-27,47.77,47.99,47.77,47.98,29933
2021-12-28,48.04,48.44,48.04,48.44,29263
2021-12-29,48.47,48.64,48.36,48.55,21100
2021-12-30,48.69,48.69,48.38,48.565,22948
2021-12-31,48.6,48.94,48.43,48.81,27512
2022-01-03,48.61,49.26,48.24,49.14,56451
2022-01-04,49.13,49.62,49.005,49.01,68343
2022-01-05,49.21,49.96,49.21,49.64,73439
2022-01-06,49.69,49.97,49.305,49.34,53659
2022-01-07,49.34,50.045,49.28,49.85,64027
2022-01-10,50.07,50.71,49.78,49.84,51021
2022-01-11,49.97,50.06,49.315,49.7,119891
2022-01-12,49.5,49.5,48.73,49.04,112600
2022-01-13,49.07,49.62,48.8,49.51,84134
2022-01-14,49.07,49.32,48.39,49.08,89238
2022-01-18,48.97,49.385,48.59,49.24,119057
2022-01-19,49.0,49.4,48.59,49.16,73502
2022-01-20,48.97,49.275,48.85,48.91,50496
2022-01-21,49.3,49.58,48.965,49.13,42517
2022-01-24,49.06,49.59,48.31,49.01,175593
2022-01-25,48.7,48.89,48.025,48.195,81451
2022-01-26,47.84,47.84,46.43,46.55,119532
2022-01-27,46.85,47.515,46.64,46.74,59071
2022-01-28,46.45,47.27,46.32,47.26,56913
2022-01-31,46.86,47.545,46.77,47.47,64716
2022-02-01,47.68,47.715,46.565,47.1,69849
2022-02-02,47.08,47.745,47.01,47.58,51793
2022-02-03,47.94,48.18,47.51,47.81,40640
2022-02-04,47.555,47.66,46.79,46.98,75581
2022-02-07,47.18,47.56,46.81,47.46,37088
2022-02-08,47.5,47.77,47.385,47.57,65796
2022-02-09,47.73,48.23,47.565,47.99,89285
2022-02-10,47.92,47.95,47.07,47.12,58035
2022-02-11,47.41,48.12,47.4,47.91,70178
2022-02-14,47.85,47.85,46.91,47.46,69084
2022-02-15,47.45,47.8,47.185,47.27,85712
2022-02-16,47.43,47.565,46.69,47.12,102447
2022-02-17,46.99,47.425,46.8,47.285,45034
2022-02-18,47.26,47.67,47.09,47.47,34812
2022-02-22,47.38,47.68,47.1,47.6,35666
2022-02-23,47.65,47.845,47.5,47.71,85032
2022-02-24,47.54,47.54,46.17,47.045,111426
2022-02-25,47.46,48.55,47.46,48.47,74184
2022-02-28,47.765,48.14,47.31,47.63,97149
2022-03-01,48.38,50.61,48.38,49.55,177699
2022-03-02,49.24,51.0,49.19,50.48,92913
2022-03-03,50.615,51.71,50.255,51.48,75761
2022-03-04,50.61,51.92,50.27,51.71,72928
2022-03-07,51.39,53.15,51.36,52.195,145113
2022-03-09,50.79,50.86,49.87,49.91,61124
2022-03-10,50.25,50.64,49.87,50.46,70277
2022-03-11,50.35,51.06,50.35,50.47,92932
2022-03-14,50.725,50.73,49.68,50.02,93557
2022-03-15,48.94,49.31,48.22,49.18,95420
2022-03-16,49.03,49.38,48.5,49.38,59657
2022-03-17,49.34,49.9,49.09,49.655,38894
2022-03-18,49.68,49.79,48.91,49.27,57361
2022-03-21,49.64,50.14,49.52,49.73,46765
2022-03-22,49.87,49.87,49.21,49.74,40241
2022-03-23,50.06,50.42,49.72,49.92,52180
2022-03-24,49.92,50.42,49.9,50.265,24420
2022-03-25,50.6,50.93,50.56,50.695,64926
2022-03-28,50.64,50.82,50.22,50.4,110965
2022-03-29,50.69,50.83,50.285,50.7,95429
2022-03-30,50.835,51.49,50.69,51.49,46172
2022-03-31,51.43,51.88,51.16,51.57,50820
2022-04-01,51.505,52.44,51.44,52.42,54317
2022-04-04,52.08,52.08,51.255,51.71,72172
2022-04-05,51.86,52.59,51.86,52.26,76173
2022-04-06,52.44,52.79,52.11,52.75,93366
2022-04-07,52.53,53.1,52.46,52.91,121755
2022-04-08,52.94,53.04,52.56,52.72,163987
2022-04-11,53.17,53.33,52.58,53.13,83953
2022-04-12,52.87,53.635,52.83,53.33,76461
2022-04-13,53.37,53.545,53.1,53.51,40537
2022-04-14,53.5,53.74,53.265,53.43,30192
2022-04-18,53.34,53.56,52.81,53.03,35471
2022-04-19,53.01,53.89,53.01,53.75,41737
2022-04-20,53.91,54.695,53.9,54.69,85177
2022-04-21,54.54,55.105,54.42,54.81,45373
2022-04-22,54.81,54.88,53.525,53.58,138855
2022-04-25,53.52,53.78,52.41,53.56,149306
2022-04-26,53.38,53.79,52.35,52.36,197818
2022-04-27,52.62,53.37,52.42,52.92,98946
2022-04-28,52.59,53.53,52.59,53.53,66942
2022-04-29,53.43,53.43,52.31,52.39,67288
2022-05-02,52.9,53.0,51.27,51.83,106447
2022-05-03,51.82,52.37,51.37,51.64,56319
2022-05-04,51.75,52.33,51.46,52.27,84430
2022-05-05,52.19,52.52,51.33,51.58,78705
2022-05-06,51.62,52.3,51.33,52.03,65868
2022-05-09,51.8,52.83,51.68,52.52,75436
2022-05-10,52.585,53.025,51.87,52.12,98913
2022-05-11,52.36,52.46,51.79,52.2,87956
2022-05-12,52.47,52.98,51.8,52.315,120577
2022-05-13,52.38,53.255,52.0,53.21,72077
2022-05-16,53.385,53.45,52.76,53.36,71805
2022-05-17,53.19,53.19,52.11,52.86,82329
2022-05-18,52.55,52.55,48.03,48.19,114103
2022-05-19,47.65,48.265,46.54,47.8,115436
2022-05-20,47.925,48.42,47.07,48.26,75159
