date,open,high,low,close,volume
2021-07-21,16.03,16.65,16.01,16.36,250901
2021-07-22,16.34,16.34,15.855,15.915,163387
2021-07-23,16.11,16.11,15.68,15.77,120319
2021-07-26,15.85,16.2,15.725,16.16,225060
2021-07-27,16.075,16.22,15.92,16.05,126421
2021-07-28,16.1,16.26,15.77,16.09,162231
2021-07-29,16.27,16.53,16.05,16.28,240562
2021-07-30,16.24,16.39,15.87,15.925,124017
2021-08-02,16.11,16.53,15.77,15.8,272731
2021-08-03,15.83,15.85,15.33,15.79,378917
2021-08-04,15.365,15.775,15.005,15.16,460576
2021-08-05,15.24,15.87,15.235,15.775,621921
2021-08-06,16.08,16.31,15.9,16.135,519313
2021-08-09,16.01,16.05,15.73,15.89,259731
2021-08-10,15.86,16.35,15.68,16.215,301389
2021-08-11,16.23,16.53,16.005,16.45,178494
2021-08-12,16.49,16.5,16.06,16.16,183768
2021-08-13,16.05,16.2,15.855,15.91,108425
2021-08-16,15.8,15.8,15.495,15.58,340552
2021-08-17,15.57,15.57,15.105,15.325,450105
2021-08-18,15.29,15.445,15.19,15.345,270707
2021-08-19,15.14,15.225,14.735,14.855,369752
2021-08-20,14.775,15.22,14.69,15.15,202088
2021-08-23,15.31,15.5,15.255,15.44,142918
2021-08-24,15.53,16.005,15.485,15.93,425799
2021-08-25,15.925,16.265,15.675,16.175,491642
2021-08-26,16.03,16.355,15.785,15.865,326465
2021-08-27,15.88,16.47,15.88,16.42,212436
2021-08-30,16.3,16.405,16.195,16.35,253159
2021-08-31,16.325,16.605,16.23,16.555,378776
2021-09-01,16.57,16.73,16.275,16.41,345130
2021-09-02,16.5,16.54,16.2,16.515,361657
2021-09-03,16.48,16.56,15.985,16.16,173231
2021-09-07,16.09,16.315,15.96,16.295,205979
2021-09-08,16.285,16.41,16.0,16.13,133655
2021-09-09,15.99,16.335,15.88,16.09,315030
2021-09-10,16.235,16.38,15.985,15.985,313889
2021-09-13,16.215,16.755,16.045,16.69,298797
2021-09-14,16.69,16.77,16.51,16.63,184235
2021-09-15,16.55,16.645,16.31,16.535,175112
2021-09-16,16.48,16.66,16.375,16.42,252467
2021-09-17,16.55,16.58,16.21,16.25,241951
2021-09-20,16.0,16.275,15.755,16.17,336144
2021-09-21,16.22,16.465,16.19,16.19,257182
2021-09-22,16.385,16.755,16.36,16.5,307600
2021-09-23,16.66,17.065,16.66,16.9,147488
2021-09-24,16.885,17.13,16.81,16.97,302507
2021-09-27,17.15,17.505,16.94,16.99,776272
2021-09-28,16.91,17.27,16.84,16.905,281627
2021-09-29,16.94,17.01,16.645,16.665,226781
2021-09-30,16.75,16.75,16.29,16.32,455037
2021-10-01,16.51,17.01,16.49,16.77,533109
2021-10-04,16.8,17.05,16.62,16.63,343109
2021-10-05,16.59,16.745,16.45,16.595,364741
2021-10-06,16.34,16.42,15.76,16.35,695455
2021-10-07,16.51,16.715,16.37,16.46,310072
2021-10-08,16.42,16.65,16.41,16.45,160053
2021-10-11,16.47,16.635,16.38,16.53,198722
2021-10-12,16.63,16.67,16.465,16.56,185552
2021-10-13,16.42,16.47,15.99,16.245,229580
2021-10-14,16.455,16.595,16.3,16.48,164584
2021-10-15,16.8,16.87,16.685,16.79,144566
2021-10-18,16.61,16.96,16.61,16.9,159291
2021-10-19,16.895,16.92,16.565,16.565,118242
2021-10-20,16.46,16.81,16.44,16.725,204665
2021-10-21,16.62,16.79,16.59,16.76,189086
2021-10-22,16.73,16.99,16.71,16.885,288424
2021-10-25,16.83,16.99,16.68,16.82,180535
2021-10-26,16.94,17.11,16.82,16.83,221806
2021-10-27,16.72,16.95,16.65,16.75,199717
2021-10-28,16.68,16.91,16.55,16.87,217070
2021-10-29,16.85,17.05,16.78,16.83,490900
2021-11-01,16.82,17.28,16.73,17.235,198026
2021-11-02,17.19,17.41,17.1,17.365,375232
2021-11-03,17.32,17.975,17.28,17.79,364536
2021-11-04,17.61,18.41,17.61,17.93,468541
2021-11-05,18.55,19.0,18.275,18.35,322544
2021-11-08,18.52,18.65,18.285,18.38,231318
2021-11-09,18.32,18.41,18.16,18.35,220722
2021-11-10,18.32,18.36,18.015,18.03,147812
2021-11-11,18.02,18.02,17.65,17.805,237965
2021-11-12,17.89,18.01,17.76,17.89,872445
2021-11-15,17.92,18.0,17.81,17.925,291675
2021-11-16,17.81,17.85,17.345,17.43,433539
2021-11-17,17.23,17.405,17.08,17.37,299431
2021-11-18,17.43,17.46,17.21,17.32,126677
2021-11-19,17.0,17.25,16.74,17.06,315288
2021-11-22,17.24,17.24,16.99,17.105,232619
2021-11-23,17.24,17.5,17.2,17.45,401058
2021-11-24,17.33,17.53,17.195,17.53,198865
2021-11-26,16.36,16.475,15.575,16.425,633574
2021-11-29,16.715,16.77,16.08,16.43,367084
2021-11-30,16.125,16.125,15.595,15.7,475231
2021-12-01,16.17,16.21,15.37,15.37,839769
2021-12-02,15.48,16.005,15.265,15.8,457261
2021-12-03,15.77,15.8,15.38,15.44,445643
2021-12-06,15.58,16.635,15.58,16.42,439784
2021-12-07,16.61,16.82,16.42,16.57,417537
2021-12-08,16.81,17.19,16.65,16.935,232689
2021-12-09,16.655,17.01,16.655,16.835,210217
2021-12-10,16.79,16.99,16.505,16.625,190930
2021-12-13,16.57,16.57,16.055,16.19,346207
2021-12-14,16.155,16.515,16.01,16.075,358622
2021-12-15,16.17,16.17,15.415,15.81,352539
2021-12-16,15.89,15.97,15.445,15.49,302476
2021-12-17,15.58,15.785,15.23,15.72,391412
2021-12-20,15.33,15.645,15.12,15.48,223787
2021-12-21,15.66,16.885,15.66,16.87,393797
2021-12-22,16.84,17.375,16.69,17.2,305954
2021-12-23,17.3,17.515,17.29,17.35,232300
2021-12-27,17.24,17.495,17.12,17.48,144579
2021-12-28,17.3,17.62,17.3,17.49,185157
2021-12-29,17.36,17.545,17.245,17.49,141499
2021-12-30,17.685,17.765,17.515,17.55,159291
2021-12-31,17.445,17.61,17.37,17.4,204460
2022-01-03,17.52,17.985,17.52,17.66,443256
2022-01-04,18.15,18.495,17.895,17.9,464305
2022-01-05,18.175,18.305,17.34,17.38,195453
2022-01-06,17.69,17.74,17.27,17.34,354271
2022-01-07,17.55,18.425,17.55,18.21,267559
2022-01-10,18.27,18.33,17.695,17.76,465916
2022-01-11,17.7,18.2,17.58,18.08,322816
2022-01-12,18.09,18.23,17.84,17.93,133586
2022-01-13,17.94,18.24,17.94,18.07,244832
2022-01-14,18.04,18.04,17.58,17.93,236461
2022-01-18,17.775,17.91,17.45,17.72,376497
2022-01-19,17.73,17.765,17.35,17.35,138440
2022-01-20,17.42,17.88,17.27,17.29,224630
2022-01-21,17.23,17.335,16.9,17.04,243777
2022-01-24,16.64,17.06,16.16,17.01,375516
2022-01-25,16.78,17.16,16.53,17.04,253671
2022-01-26,17.24,17.59,16.905,17.05,214529
2022-01-27,17.31,17.42,16.35,16.58,248425
2022-01-28,16.43,16.78,16.03,16.78,460968
2022-01-31,16.54,17.35,16.51,17.33,293261
2022-02-01,17.41,17.615,17.265,17.36,245349
2022-02-02,17.39,17.48,17.07,17.16,251631
2022-02-03,17.11,17.245,16.9,17.07,225549
2022-02-04,17.015,17.62,16.97,17.45,279491
2022-02-07,17.56,17.925,17.55,17.83,269375
2022-02-08,17.97,18.285,17.915,18.19,421431
2022-02-09,18.36,18.83,18.35,18.445,308483
2022-02-10,18.32,18.845,18.2,18.54,463715
2022-02-11,18.58,18.69,17.92,18.06,387095
2022-02-14,18.165,18.32,17.83,17.93,262886
2022-02-15,18.25,18.805,18.25,18.72,453752
2022-02-16,18.93,19.335,18.9,19.31,405597
2022-02-17,19.51,19.67,19.05,19.28,417213
2022-02-18,19.28,19.515,18.9,19.12,378514
2022-02-22,18.885,19.14,18.54,18.59,200444
2022-02-23,18.75,18.83,18.285,18.33,385012
2022-02-24,17.79,18.525,17.545,18.48,539845
2022-02-25,18.625,18.9,18.435,18.72,439119
2022-02-28,18.43,18.685,18.15,18.26,560057
2022-03-01,18.17,18.29,17.32,17.425,595281
2022-03-02,17.65,18.035,17.65,17.905,472464
2022-03-03,18.13,18.23,17.5,17.58,401091
2022-03-04,17.26,17.335,17.03,17.26,367806
2022-03-07,17.195,17.195,16.52,16.57,367229
2022-03-08,16.69,17.6,16.47,17.45,449151
2022-03-09,17.87,18.39,17.83,18.07,504623
2022-03-10,17.735,18.435,17.66,18.255,412775
