date,open,high,low,close,volume
2021-07-21,180.62,180.71,177.915,177.97,33242
2021-07-22,177.83,178.04,176.7,176.81,29537
2021-07-23,177.03,179.37,177.03,179.28,45576
2021-07-26,178.895,179.34,177.86,177.9,29447
2021-07-27,178.055,179.695,177.9,179.37,38184
2021-07-28,178.47,178.665,175.42,176.57,39641
2021-07-29,175.08,179.26,174.28,178.575,92621
2021-07-30,178.83,179.7,178.17,178.86,20473
2021-08-02,179.335,179.335,178.0,178.49,36984
2021-08-03,178.145,180.06,178.145,179.78,21645
2021-08-04,179.57,179.83,178.04,178.14,25866
2021-08-05,179.08,179.75,178.5,178.755,17660
2021-08-06,178.96,179.39,178.15,178.535,22023
2021-08-09,178.85,179.16,178.22,178.44,25033
2021-08-10,178.64,179.32,178.25,178.925,27432
2021-08-11,179.22,179.87,178.44,178.75,51775
2021-08-12,178.85,178.88,177.41,177.64,27574
2021-08-13,178.44,179.64,178.44,179.3,18861
2021-08-16,179.93,181.2,179.93,181.17,23374
2021-08-17,181.22,182.68,181.075,182.14,32019
2021-08-18,181.7,181.72,179.36,179.47,22936
2021-08-19,178.02,181.035,178.02,180.23,19617
2021-08-20,180.545,180.975,179.6,180.01,15325
2021-08-23,180.01,180.31,178.72,178.725,19316
2021-08-24,178.79,178.79,176.12,176.14,37901
2021-08-25,175.435,176.12,175.21,175.71,27507
2021-08-26,175.12,175.83,174.51,175.07,22352
2021-08-27,174.775,176.285,174.775,175.65,18653
2021-08-30,175.37,177.4,175.36,176.59,18718
2021-08-31,176.89,177.97,176.8,177.78,27987
2021-09-01,178.05,178.47,176.89,178.23,16361
2021-09-02,178.58,179.15,177.59,178.22,24158
2021-09-03,177.76,178.32,176.84,177.985,20423
2021-09-07,177.745,177.75,173.695,173.715,29116
2021-09-08,173.46,176.73,173.46,176.61,38376
2021-09-09,176.25,176.385,175.03,175.41,25152
2021-09-10,175.405,175.83,174.415,175.06,27976
2021-09-13,176.2,177.195,175.41,175.49,17798
2021-09-14,175.84,175.84,174.16,174.53,19466
2021-09-15,174.81,176.24,174.81,175.05,22192
2021-09-16,174.55,176.245,173.845,175.56,15848
2021-09-17,175.36,176.18,175.02,175.02,21965
2021-09-20,174.27,174.935,172.06,173.4,21326
2021-09-21,173.57,174.675,171.745,171.81,44803
2021-09-22,172.325,173.075,170.79,172.38,45458
2021-09-23,172.615,174.58,172.615,173.12,66696
2021-09-24,174.315,175.13,173.88,174.01,36476
2021-09-27,173.875,174.85,170.655,170.895,33828
2021-09-28,169.95,170.5,167.83,168.675,28520
2021-09-29,169.38,172.67,169.24,171.9,30031
2021-09-30,172.55,172.55,169.38,169.38,34073
2021-10-01,170.01,171.59,168.805,170.74,24986
2021-10-04,171.38,172.9,169.87,171.61,67723
2021-10-05,172.24,175.815,171.65,174.465,44216
2021-10-06,174.72,178.91,174.57,178.54,77925
2021-10-07,180.16,180.89,177.54,178.04,37973
2021-10-08,177.98,178.75,177.07,177.76,37391
2021-10-11,177.825,178.91,177.33,178.16,51248
2021-10-12,177.9,180.57,177.74,179.49,70647
2021-10-13,179.61,180.51,177.48,180.14,49148
2021-10-14,180.64,182.22,179.86,182.2,33774
2021-10-15,182.18,182.18,179.13,179.54,99733
2021-10-18,179.27,179.955,178.545,178.77,51321
2021-10-19,178.85,180.19,178.43,179.72,21046
2021-10-20,179.94,180.96,179.88,180.13,21478
2021-10-21,179.79,180.745,179.73,180.31,27723
2021-10-22,181.16,182.58,180.82,182.05,15121
2021-10-26,181.23,182.19,180.65,181.7,29009
2021-10-27,182.55,182.58,178.64,179.68,63220
2021-10-28,179.85,181.65,178.32,179.15,133324
2021-10-29,176.075,177.98,174.39,175.28,38936
2021-11-01,175.35,176.13,173.93,174.66,34729
2021-11-02,174.995,176.16,172.99,175.52,20247
