date,open,high,low,close,volume
2021-07-21,144.44,145.28,143.78,144.97,24849
2021-07-22,144.98,146.495,144.19,145.98,24536
2021-07-23,146.59,148.43,145.855,148.36,24699
2021-07-26,148.33,149.2,147.91,148.73,29855
2021-07-27,148.28,149.23,147.39,149.21,34054
2021-07-28,149.375,149.375,147.63,148.48,34988
2021-07-29,148.945,150.07,148.785,149.2,28240
2021-07-30,149.9,150.74,148.99,150.67,26535
2021-08-02,151.45,151.96,149.47,149.58,44497
2021-08-03,149.465,150.45,148.59,149.99,37676
2021-08-04,149.02,149.89,147.77,147.77,88267
2021-08-05,148.68,149.73,147.775,148.12,73201
2021-08-06,148.27,151.54,147.5,151.205,125628
2021-08-09,151.86,153.79,150.7,153.67,85973
2021-08-10,153.975,156.485,153.92,156.39,88889
2021-08-11,156.54,157.03,155.94,156.8,74005
2021-08-12,156.435,156.51,155.33,156.15,25198
2021-08-13,156.04,157.06,155.6,156.75,37698
2021-08-16,155.66,156.24,154.8,155.59,108730
2021-08-17,154.78,155.68,153.42,154.89,58852
2021-08-18,153.87,154.415,151.44,151.47,48815
2021-08-19,150.17,151.245,149.29,149.35,101167
2021-08-20,148.48,150.0,148.48,149.72,49300
2021-08-23,150.06,150.5,149.225,150.195,66990
2021-08-24,150.405,152.06,150.405,151.31,73466
2021-08-25,150.33,152.38,150.27,151.67,27956
2021-08-26,150.49,151.7,150.37,150.99,30767
2021-08-27,151.34,152.405,150.56,151.81,27464
2021-08-30,152.08,152.08,151.035,151.2,18324
2021-08-31,150.33,151.81,149.95,151.48,22874
2021-09-01,151.33,151.525,150.14,150.43,21774
2021-09-02,150.95,151.9,150.49,151.4,31352
2021-09-03,150.65,152.24,149.98,150.95,36825
2021-09-07,150.335,150.64,148.44,150.095,45188
2021-09-08,149.09,151.11,148.91,150.99,22811
2021-09-09,150.41,152.24,150.3,150.89,39309
2021-09-10,150.71,150.71,147.42,147.545,75587
2021-09-13,148.635,148.83,145.89,147.61,45772
2021-09-14,146.56,147.24,143.29,143.74,44397
2021-09-15,143.88,145.13,143.59,144.34,33360
2021-09-16,143.26,144.88,142.96,143.12,28538
2021-09-17,141.935,142.025,134.69,135.185,167132
2021-09-20,133.825,137.16,133.685,134.96,93719
2021-09-21,135.0,135.03,131.4,132.53,79539
2021-09-22,133.02,134.48,131.09,132.615,103514
2021-09-23,132.86,134.885,132.86,132.96,41723
2021-09-24,132.82,134.255,131.38,132.63,57340
2021-09-27,132.46,134.21,131.36,131.59,99149
2021-09-28,131.63,134.4,130.58,132.895,63436
2021-09-29,133.19,135.25,132.69,134.05,92782
2021-09-30,134.575,136.25,133.495,133.68,106842
2021-10-01,136.5,143.715,136.5,141.105,401307
2021-10-04,140.685,141.6,136.96,138.045,107162
2021-10-05,138.17,138.32,135.18,135.58,78904
2021-10-06,134.98,137.51,134.7,137.5,40604
2021-10-07,138.78,139.6,137.895,138.25,66551
2021-10-08,138.25,139.515,137.895,138.01,39590
2021-10-11,138.62,140.675,138.11,140.03,54098
2021-10-12,140.1,143.54,140.1,143.47,97981
2021-10-13,142.65,144.46,141.785,144.4,64615
2021-10-14,145.48,149.11,145.455,148.36,49130
2021-10-15,148.62,149.18,147.4,147.57,36690
2021-10-18,146.71,147.295,145.3,145.54,34699
2021-10-19,146.62,147.59,145.02,146.985,24733
2021-10-20,146.55,146.625,144.64,145.795,32670
2021-10-21,145.51,145.93,144.98,145.85,43294
2021-10-22,146.22,146.36,145.165,145.3,38192
2021-10-26,146.11,148.82,145.82,148.1,38496
2021-10-27,147.64,149.15,147.02,148.18,51185
2021-10-28,148.88,149.865,148.17,148.44,43800
2021-10-29,147.68,148.64,146.37,147.47,26918
2021-11-01,147.65,147.65,144.0,144.03,50879
2021-11-02,144.04,145.61,143.98,144.43,50075
2021-11-03,145.02,146.31,144.54,145.3,73496
2021-11-04,144.74,144.87,141.32,141.89,68652
2021-11-05,142.565,144.145,142.28,143.63,104816
2021-11-08,144.025,147.51,144.025,147.41,129977
2021-11-09,145.795,153.965,145.17,153.07,148748
2021-11-10,153.46,154.31,150.94,151.23,137658
2021-11-11,151.27,151.355,148.935,150.3,77061
2021-11-12,150.445,153.18,150.445,152.57,45260
2021-11-15,151.6,152.39,150.75,152.28,48862
2021-11-16,152.03,153.96,152.03,152.915,22964
2021-11-17,152.14,153.15,150.92,152.84,26656
2021-11-18,152.665,153.08,149.97,150.07,40436
2021-11-19,150.14,150.92,149.52,150.14,37391
2021-11-22,150.42,151.855,149.38,149.38,23509
