date,open,high,low,close,volume
2021-07-21,164.75,164.89,160.925,163.62,68500
2021-07-22,163.82,164.31,163.24,163.63,26271
2021-07-23,163.89,167.615,163.665,167.25,37645
2021-07-26,167.38,167.48,165.345,165.6,17005
2021-07-27,164.71,166.21,164.07,165.37,15553
2021-07-28,165.285,165.285,162.615,164.47,26146
2021-07-29,165.97,167.69,165.97,167.36,20383
2021-07-30,166.05,169.09,165.9,168.43,39742
2021-08-02,169.59,170.21,167.44,167.44,35084
2021-08-03,167.785,171.37,167.19,171.24,17368
2021-08-04,169.68,169.68,167.59,167.79,35992
2021-08-05,168.0,168.145,165.82,166.83,21354
2021-08-06,168.205,168.205,166.4,167.02,28201
2021-08-09,166.16,166.38,165.16,165.31,13489
2021-08-10,164.39,167.85,164.39,167.02,23485
2021-08-11,166.53,172.64,166.53,172.61,19260
2021-08-12,172.58,174.25,172.46,173.04,30651
2021-08-13,172.49,176.19,172.49,175.645,36931
2021-08-16,174.67,176.9,173.2,176.87,46165
2021-08-17,174.965,175.08,172.48,174.745,26209
2021-08-18,174.12,176.01,171.58,173.27,35392
2021-08-19,171.65,173.34,170.06,171.42,20548
2021-08-20,171.835,174.7,171.53,174.6,15457
2021-08-23,174.83,176.61,174.83,174.945,8722
2021-08-24,175.695,175.695,173.475,174.09,23096
2021-08-25,174.0,176.0,173.87,175.13,13051
2021-08-26,174.5,175.23,173.86,174.8,45031
2021-08-27,175.48,179.82,175.48,179.64,28857
2021-08-30,179.685,184.32,179.44,182.76,47311
2021-08-31,182.635,182.635,177.015,177.33,20604
2021-09-01,176.435,179.6,175.08,179.07,20833
2021-09-02,180.44,182.97,179.88,182.89,16374
2021-09-03,182.22,183.67,180.89,181.13,34364
2021-09-07,180.5,182.08,179.175,179.28,51548
2021-09-08,179.74,179.74,176.73,177.13,40004
2021-09-09,177.11,177.11,172.05,172.85,53964
2021-09-10,174.46,176.17,173.365,173.67,28351
2021-09-13,174.58,174.58,171.27,171.71,21866
2021-09-14,171.11,171.11,167.28,168.07,38634
2021-09-15,169.05,172.69,168.67,172.02,30466
2021-09-16,171.71,172.51,170.92,171.16,13733
2021-09-17,171.08,171.23,167.81,168.71,30467
2021-09-20,166.915,169.23,165.64,169.18,28821
2021-09-21,170.065,171.26,167.92,170.81,42144
2021-09-22,170.61,171.42,168.44,168.45,31210
2021-09-23,170.53,171.665,169.96,170.82,21879
