date,open,high,low,close,volume
2021-07-21,55.815,56.69,55.74,56.455,25123
2021-07-22,56.26,56.28,55.51,55.62,28413
2021-07-23,56.61,56.945,56.43,56.945,23790
2021-07-26,57.02,57.645,56.8,57.46,29227
2021-07-27,56.835,56.945,55.61,56.945,34554
2021-07-28,57.35,58.16,56.89,57.89,33097
2021-07-29,58.7,59.53,58.46,58.96,30095
2021-07-30,58.82,59.9,58.82,59.57,31121
2021-08-02,60.0,61.23,59.12,59.12,44901
2021-08-03,59.36,60.195,58.83,60.02,40748
2021-08-04,59.91,59.97,58.9,58.95,56550
2021-08-05,59.38,59.43,58.525,58.985,27800
2021-08-06,59.54,59.78,59.15,59.625,13849
2021-08-09,59.37,59.385,58.915,59.24,15146
2021-08-10,59.2,59.78,58.985,59.54,13775
2021-08-11,59.47,60.49,59.415,60.35,36304
2021-08-12,60.47,60.47,59.91,60.26,20866
2021-08-13,60.26,60.86,60.25,60.6,13535
2021-08-16,60.46,60.58,60.08,60.33,21119
2021-08-17,59.68,59.94,58.67,59.385,38452
2021-08-18,59.41,60.145,59.365,59.5,23212
2021-08-19,58.53,58.975,58.17,58.21,21374
2021-08-20,58.63,59.615,58.385,59.58,17297
2021-08-23,60.06,60.06,59.04,59.73,25951
2021-08-24,60.015,60.205,59.695,59.89,18542
2021-08-25,59.96,60.82,59.885,60.71,54238
2021-08-26,60.79,61.24,60.375,60.64,19788
2021-08-27,61.16,62.29,61.115,61.95,25689
2021-08-30,62.34,63.05,62.04,62.67,34236
2021-08-31,62.84,62.96,61.48,61.77,28523
2021-09-01,61.85,61.85,60.85,61.09,17488
2021-09-02,61.355,61.49,61.065,61.49,23249
2021-09-03,61.41,62.14,61.41,61.995,13010
2021-09-07,62.25,63.53,62.25,62.98,62302
2021-09-08,62.65,62.7,61.54,62.005,26831
2021-09-09,62.29,62.91,61.97,62.0,23520
2021-09-10,62.63,63.39,62.43,62.97,42832
2021-09-13,63.375,63.655,61.995,62.89,28019
2021-09-14,63.08,63.51,62.175,62.36,30696
2021-09-15,62.66,63.01,62.2,62.8,36408
2021-09-16,62.92,63.585,62.705,62.95,28675
2021-09-17,62.63,62.64,60.81,60.935,52139
2021-09-20,59.335,59.45,58.24,59.1,40279
2021-09-21,59.8,60.1,58.65,58.71,46377
2021-09-22,59.4,60.67,59.4,60.37,40194
2021-09-23,60.54,62.11,60.54,61.49,29453
2021-09-24,61.07,62.66,61.07,62.25,58589
2021-09-27,62.5,62.725,61.86,62.33,31077
2021-09-28,61.68,61.98,60.81,60.97,110392
2021-09-29,60.765,60.765,56.0,57.24,284729
2021-09-30,58.98,59.79,58.2,58.35,87651
2021-10-01,58.73,60.05,58.4,59.4,38389
2021-10-04,59.39,59.665,58.8,59.09,59427
2021-10-05,59.365,61.23,59.24,61.02,69727
2021-10-06,60.21,61.305,59.9,61.23,31738
2021-10-07,62.235,63.49,62.12,62.77,34879
2021-10-08,62.67,62.99,62.395,62.58,23036
2021-10-11,62.82,64.3,62.82,63.33,31561
2021-10-12,63.5,63.81,61.72,62.04,29684
2021-10-13,61.37,61.835,60.5,61.24,51860
2021-10-14,61.99,63.22,61.99,62.93,35568
2021-10-15,63.3,64.05,62.355,62.355,51753
2021-10-18,61.84,62.44,61.84,62.12,34367
2021-10-19,62.365,62.365,61.46,61.77,45982
2021-10-20,61.55,61.91,60.79,60.95,52600
2021-10-21,60.89,62.68,60.885,62.65,43671
2021-10-22,62.7,63.58,61.5,61.64,41392
2021-10-26,62.32,62.47,61.52,61.52,31015
2021-10-27,61.49,61.67,60.46,60.5,49746
2021-10-28,60.41,60.41,58.44,60.03,81737
2021-10-29,59.51,60.34,59.32,59.96,44369
2021-11-01,60.165,62.285,60.165,61.88,51085
2021-11-02,61.69,62.805,61.67,62.46,25992
2021-11-03,62.51,63.35,62.425,63.19,27824
2021-11-04,63.25,64.45,63.25,63.92,44158
2021-11-05,64.485,65.28,64.32,65.205,42429
2021-11-08,65.49,65.69,64.13,64.15,32182
2021-11-09,64.28,64.28,63.2,63.59,26756
2021-11-10,63.205,64.21,63.19,63.69,41986
2021-11-11,64.075,64.565,64.075,64.475,14623
2021-11-12,64.43,64.81,64.005,64.275,73867
2021-11-15,64.595,64.94,63.7,63.86,26176
2021-11-16,63.725,64.94,63.725,64.56,36046
2021-11-17,64.27,64.45,63.56,64.1,28666
2021-11-18,64.59,64.59,62.885,63.565,18715
2021-11-19,63.4,63.4,62.11,62.11,28787
2021-11-22,62.53,63.44,62.24,62.31,30731
2021-11-23,61.73,62.68,61.13,61.84,41952
2021-11-24,61.63,62.02,61.02,61.96,16862
2021-11-26,60.43,60.51,59.29,60.03,20242
2021-11-29,61.2,61.25,59.8,60.905,38550
2021-11-30,60.1,60.13,58.0,58.465,77028
2021-12-01,59.635,61.12,58.3,58.3,25716
2021-12-02,57.15,59.85,56.85,59.3,31512
2021-12-03,59.845,60.11,58.51,59.01,40726
2021-12-06,59.565,60.35,59.2,59.73,37044
2021-12-07,60.76,62.73,60.58,62.32,22997
2021-12-08,62.35,62.83,62.01,62.59,26324
2021-12-09,62.37,62.94,61.69,61.69,48813
2021-12-10,65.08,65.815,64.26,65.41,99639
2021-12-13,65.0,65.64,63.74,64.0,52086
2021-12-14,63.02,64.095,63.02,63.26,64674
2021-12-15,63.0,63.82,61.42,63.82,77604
2021-12-16,63.89,66.5,63.89,64.42,206356
2021-12-17,64.195,66.54,63.82,65.59,105613
2021-12-20,64.2,64.495,62.555,63.58,46278
2021-12-21,65.17,67.18,64.37,66.99,117265
2021-12-22,66.84,68.48,66.84,68.37,60083
2021-12-23,68.99,70.65,68.98,69.82,51100
2021-12-27,70.03,71.43,70.03,71.28,39327
2021-12-28,71.375,71.76,70.71,70.73,45473
2021-12-29,70.97,72.085,70.97,71.51,49745
2021-12-30,71.27,71.8,69.97,70.05,33505
2021-12-31,69.975,70.8,69.91,70.32,38084
2022-01-03,70.79,71.6,70.305,70.47,36623
2022-01-04,70.82,71.895,70.57,71.3,37895
2022-01-05,71.83,72.06,69.97,70.04,39393
2022-01-06,69.87,70.44,69.42,70.17,30968
2022-01-07,70.065,70.905,69.24,69.42,162051
2022-01-10,68.78,69.12,67.16,69.1,56086
2022-01-11,69.235,70.49,68.4,70.43,45406
2022-01-12,70.66,71.09,69.72,70.21,50924
2022-01-13,70.92,71.61,69.625,69.84,54494
2022-01-14,69.225,70.74,69.225,70.72,34459
2022-01-18,69.68,69.87,68.59,68.97,60032
2022-01-19,69.3,69.57,66.85,66.88,45934
2022-01-20,67.05,67.94,65.38,65.46,49588
2022-01-21,65.0,65.59,63.53,63.77,73581
2022-01-24,62.17,62.86,59.99,62.18,147253
2022-01-25,61.255,61.38,59.29,60.12,209875
2022-01-26,61.66,61.7,58.55,58.79,103555
2022-01-27,59.685,60.65,57.82,58.2,84778
2022-01-28,58.62,59.745,57.705,59.72,89514
2022-01-31,59.94,61.5,59.66,61.47,50278
2022-02-01,61.84,62.45,60.52,62.19,111919
2022-02-02,62.5,63.19,62.3,62.97,56622
2022-02-03,62.43,63.26,61.27,61.27,87084
2022-02-04,61.395,61.72,59.925,60.67,63535
2022-02-07,60.83,60.915,60.19,60.36,118606
2022-02-08,60.355,61.94,60.24,61.745,130827
2022-02-09,62.835,63.34,62.41,63.11,46815
2022-02-10,62.26,63.515,61.65,61.95,99935
2022-02-11,62.165,63.025,60.2,60.545,77502
2022-02-14,60.775,61.05,59.83,60.4,128234
2022-02-15,60.87,62.09,60.87,61.56,147389
2022-02-16,60.98,61.44,60.23,61.14,108475
2022-02-17,59.965,60.66,59.49,59.66,68039
2022-02-18,59.63,60.495,59.085,59.58,74755
2022-02-22,58.79,60.0,58.03,58.31,145935
2022-02-23,59.1,59.1,57.0,57.23,129704
2022-02-24,55.0,57.055,54.9,56.93,135055
2022-02-25,57.19,59.4,56.66,59.37,138568
2022-02-28,58.74,58.835,56.92,57.81,126629
2022-03-01,57.89,57.89,54.91,55.21,98552
2022-03-02,56.42,58.28,56.06,57.78,71653
2022-03-03,58.0,58.0,56.44,56.99,86988
2022-03-04,56.01,56.27,54.18,54.84,144342
2022-03-07,54.67,54.67,52.55,52.6,166382
2022-03-09,54.71,56.07,54.69,55.68,96153
2022-03-10,54.23,55.6,54.23,55.47,78844
2022-03-11,56.21,56.59,55.495,55.595,84405
2022-03-14,55.835,56.04,53.99,54.16,81880
2022-03-15,55.04,55.93,54.73,55.77,91704
2022-03-16,61.58,61.89,59.14,61.2,220170
2022-03-17,61.37,62.43,60.92,62.11,127088
2022-03-18,61.74,62.71,60.8,62.68,133445
2022-03-21,62.99,63.0,62.08,62.43,43990
2022-03-22,62.615,62.79,61.27,61.71,51370
2022-03-23,61.11,61.84,60.685,61.09,92053
2022-03-24,61.29,62.24,61.205,62.13,54241
2022-03-25,62.29,62.62,61.79,62.49,63327
2022-03-28,62.3,62.3,59.81,61.17,69797
2022-03-29,62.17,62.63,61.32,61.83,51282
2022-03-30,61.45,61.74,60.02,60.5,54573
2022-03-31,60.32,62.38,60.32,61.725,103560
2022-04-01,62.14,62.575,60.76,61.82,74505
2022-04-04,62.32,62.64,61.53,61.91,51573
2022-04-05,61.55,62.15,59.71,59.88,64303
2022-04-06,58.71,58.72,57.09,57.45,62890
2022-04-07,57.26,57.94,56.285,57.4,73569
2022-04-08,57.41,58.19,56.73,57.47,67912
2022-04-11,57.2,57.7,56.68,56.81,57600
2022-04-12,57.58,58.62,57.305,57.37,52258
2022-04-13,57.32,58.34,57.32,58.25,55537
2022-04-14,58.3,58.54,56.93,56.97,77598
2022-04-18,56.915,58.12,56.915,57.58,62731
2022-04-19,57.34,58.88,57.34,58.64,36383
2022-04-20,59.78,60.05,59.3,59.63,34222
2022-04-21,60.21,60.75,58.93,59.18,44977
2022-04-22,58.68,58.68,57.385,57.47,43103
2022-04-25,56.825,58.44,56.215,58.29,48096
2022-04-26,57.7,57.97,56.59,56.655,88850
2022-04-27,56.94,57.81,56.505,57.02,49721
2022-04-28,57.96,59.63,57.49,59.38,30740
2022-04-29,58.715,60.09,57.545,57.71,58579
2022-05-02,57.62,58.1,56.59,58.09,25111
2022-05-03,58.445,59.2,58.16,58.93,26620
2022-05-04,59.335,60.4,57.8,60.4,38631
2022-05-05,59.71,60.24,57.64,58.43,38082
2022-05-06,57.84,59.09,56.99,58.08,39693
2022-05-09,57.11,57.88,56.02,56.55,54293
2022-05-10,57.54,58.6,56.63,57.82,29326
2022-05-11,57.96,58.93,56.2,56.35,22972
2022-05-12,56.08,56.93,55.15,56.3,37557
2022-05-13,57.11,58.46,57.11,58.23,29595
2022-05-16,57.75,58.275,57.11,57.84,22741
2022-05-17,59.54,61.37,59.515,61.12,49775
2022-05-18,60.55,60.92,58.295,58.39,31357
2022-05-19,58.06,58.47,57.2,57.655,40966
2022-05-20,58.445,58.445,55.67,57.49,35080
2022-05-23,57.66,58.34,57.375,58.075,24061
2022-05-24,57.565,57.565,55.7,56.61,32263
2022-05-25,57.085,58.18,57.06,57.83,32064
2022-05-26,58.73,60.04,58.73,59.77,41735
2022-05-27,60.89,62.0,60.65,62.0,24600
2022-05-31,61.45,62.13,60.84,61.515,41083
2022-06-01,61.725,61.725,59.77,60.67,18738
2022-06-02,60.92,62.35,60.92,62.195,34161
2022-06-03,61.7,61.775,61.12,61.46,21926
2022-06-06,62.48,63.305,61.895,62.29,28110
2022-06-07,61.505,62.76,61.505,62.76,13363
2022-06-08,62.215,62.61,61.515,61.73,15200
2022-06-09,61.47,61.97,61.015,61.025,27840
2022-06-10,59.61,60.07,59.12,59.44,24675
2022-06-13,57.66,57.9,55.88,56.03,39569
2022-06-14,56.33,57.45,56.19,57.28,40546
2022-06-15,57.82,59.85,57.68,58.93,66246
2022-06-16,56.62,56.84,52.45,53.0,155433
2022-06-17,53.87,54.7,52.0,53.65,132867
2022-06-21,54.84,55.31,53.745,54.48,45842
2022-06-22,53.55,54.44,53.5,53.635,57792
2022-06-23,53.7,53.7,52.195,52.88,53296
2022-06-24,53.61,54.83,53.42,54.675,53613
2022-06-27,55.24,55.91,54.91,55.17,44956
2022-06-28,55.285,55.88,53.035,53.04,46942
2022-06-29,53.47,53.47,51.56,51.955,51396
2022-06-30,51.215,51.79,50.5,51.21,54267
2022-07-01,51.0,51.76,50.04,51.095,74253
2022-07-05,50.26,50.68,48.82,50.425,79637
2022-07-06,50.31,51.36,49.93,50.78,50835
2022-07-07,51.53,52.65,51.53,52.0,49697
2022-07-08,51.81,52.34,51.485,52.07,33103
2022-07-11,51.395,51.98,51.395,51.7,64329
2022-07-12,51.56,52.575,51.5,51.73,71551
2022-07-13,51.035,52.62,50.795,52.34,45124
2022-07-14,51.7,52.1,50.61,51.92,29568
2022-07-15,52.41,53.345,51.92,53.285,31845
2022-07-18,53.87,54.05,52.66,52.78,56026
2022-07-19,54.07,54.96,54.07,54.92,23584
2022-07-20,54.66,56.25,54.52,56.16,36397
2022-07-21,56.18,56.605,55.42,56.605,31749
2022-07-22,56.29,56.35,54.32,54.82,52112
