date,open,high,low,close,volume
2021-07-21,174.13,174.745,172.86,173.0,36750
2021-07-22,174.135,175.76,173.73,174.81,10038
2021-07-23,175.7,176.7,175.32,176.3,9412
2021-07-26,175.21,176.9,175.1,175.76,11222
2021-07-27,176.44,177.04,174.65,176.01,16540
2021-07-28,175.205,175.205,171.84,171.93,27638
2021-07-29,173.56,173.79,172.52,173.38,13024
2021-07-30,172.83,174.76,172.83,173.77,12661
2021-08-02,175.155,175.57,174.11,174.49,19816
2021-08-03,175.12,176.31,173.72,175.85,24242
2021-08-04,175.4,175.82,173.54,173.6,11391
2021-08-05,173.89,174.04,172.43,173.41,17476
2021-08-06,173.605,174.67,173.5,174.02,28059
2021-08-09,173.67,173.99,172.855,172.855,7768
2021-08-10,172.265,173.605,170.83,172.05,18718
2021-08-11,173.22,173.94,173.05,173.675,9915
2021-08-12,174.28,175.0,173.58,174.2,25124
2021-08-13,173.805,177.13,173.805,177.13,8374
2021-08-16,177.0,178.43,176.0,177.59,31745
2021-08-17,176.54,179.17,176.54,178.45,23229
2021-08-18,177.85,177.85,168.61,172.415,58335
2021-08-19,172.715,176.22,171.23,176.1,21537
2021-08-20,176.075,177.71,175.66,177.2,17973
2021-08-23,176.27,177.785,176.27,176.57,14732
2021-08-24,176.67,176.68,173.08,173.16,18770
2021-08-25,173.98,174.5,173.5,173.5,13741
2021-08-26,171.98,174.6,171.55,173.98,8824
2021-08-27,174.6,176.63,174.6,175.87,15960
2021-08-30,176.24,177.24,176.14,176.27,11768
2021-08-31,176.79,179.25,176.2,176.38,15415
2021-09-01,177.23,177.81,175.44,177.2,13833
2021-09-02,178.315,178.315,176.2,176.25,15115
2021-09-03,175.28,176.275,175.09,175.58,11664
2021-09-07,175.915,175.97,172.805,172.875,29010
2021-09-08,172.535,175.19,172.11,173.21,71482
2021-09-09,173.57,174.1,171.25,171.25,42766
2021-09-10,173.495,173.495,168.58,168.97,49894
2021-09-13,170.33,171.37,167.86,168.5,19144
2021-09-14,169.12,169.12,166.69,167.06,22909
2021-09-15,167.49,170.52,167.49,169.84,17046
2021-09-16,171.325,171.52,169.46,170.82,22466
2021-09-17,170.0,170.0,167.77,168.8,13537
2021-09-20,167.65,169.52,166.67,169.43,33848
2021-09-21,170.61,170.61,167.76,167.94,24920
2021-09-22,168.45,169.795,167.1,168.73,23477
2021-09-23,170.12,171.63,169.67,170.37,11361
2021-09-24,170.98,171.51,170.59,171.39,14082
2021-09-27,170.545,171.53,169.48,170.63,32034
2021-09-28,169.15,169.475,164.81,165.42,28860
2021-09-29,166.25,167.55,166.12,166.16,29369
2021-09-30,167.14,167.52,163.63,164.06,28465
2021-10-01,164.975,166.54,163.21,165.07,15640
2021-10-04,164.58,164.65,162.29,163.18,30237
2021-10-05,163.78,165.06,162.39,162.88,26280
2021-10-06,162.1,163.37,161.06,163.28,54006
2021-10-07,165.14,165.605,163.8,164.6,57084
2021-10-08,165.33,167.09,165.33,166.08,8798
2021-10-11,165.415,166.7,164.53,164.88,14859
2021-10-12,164.845,165.73,163.44,163.77,14622
2021-10-13,164.6,164.94,162.995,164.92,7114
2021-10-14,166.795,168.01,166.42,168.01,12207
2021-10-15,169.29,170.67,168.905,170.08,12531
2021-10-18,169.13,171.39,169.13,171.03,10539
2021-10-19,171.47,171.71,170.6,170.925,72350
