date,open,high,low,close,volume
2021-07-21,169.43,169.66,167.49,169.49,296409
2021-07-22,169.2,171.05,168.705,169.95,145668
2021-07-23,170.65,172.17,170.45,171.78,199017
2021-07-26,171.64,172.13,170.895,171.885,156990
2021-07-27,171.77,172.72,170.775,172.65,174672
2021-07-28,172.73,173.37,172.095,172.22,354783
2021-07-29,172.87,173.24,171.12,172.175,150269
2021-07-30,172.58,172.95,171.85,172.22,286744
2021-08-02,172.5,172.83,171.305,172.225,130621
2021-08-03,172.62,174.455,172.44,174.37,215559
2021-08-04,174.19,174.58,173.26,173.35,291429
2021-08-05,173.64,173.72,172.42,173.695,189821
2021-08-06,173.9,173.9,172.455,173.11,188788
2021-08-09,173.655,174.2,172.93,173.68,69739
2021-08-10,173.23,174.09,172.79,173.76,143630
2021-08-11,174.22,174.36,173.56,173.8,124887
2021-08-12,173.9,175.28,173.63,175.27,123135
2021-08-13,175.29,176.28,175.18,176.27,109970
2021-08-16,176.495,177.88,175.95,177.85,112815
2021-08-17,177.31,179.485,177.31,179.48,214873
2021-08-18,179.385,179.47,177.16,177.24,164436
2021-08-19,176.67,179.29,176.19,178.52,163357
2021-08-20,178.93,179.9,178.11,179.45,149721
2021-08-23,178.62,178.87,177.58,177.59,255325
2021-08-24,177.0,177.19,175.28,175.36,234924
2021-08-25,175.75,175.75,173.92,174.2,185603
2021-08-26,174.06,174.72,173.12,173.35,131114
2021-08-27,174.28,174.28,172.765,172.91,104364
2021-08-30,172.845,174.24,172.845,173.65,86519
2021-08-31,173.51,174.47,172.52,173.15,160093
2021-09-01,172.92,173.705,172.08,173.705,172947
2021-09-02,174.33,175.12,173.97,174.95,132884
2021-09-03,175.1,175.215,173.86,175.05,120274
2021-09-07,174.49,175.01,171.67,172.29,193007
2021-09-08,171.815,172.98,171.13,171.93,112275
2021-09-09,171.27,171.37,167.75,168.01,229981
2021-09-10,168.76,169.08,166.87,166.99,162808
2021-09-13,168.105,168.12,165.14,165.82,181676
2021-09-14,166.37,166.49,164.61,164.75,141939
2021-09-15,164.46,165.96,164.38,165.45,178082
2021-09-16,165.81,166.44,164.22,165.2,155492
2021-09-17,164.53,164.88,163.57,164.8,181052
2021-09-20,163.46,165.155,162.19,163.76,197874
2021-09-21,164.79,165.95,164.28,164.43,152413
2021-09-22,165.35,165.35,163.69,163.91,161831
2021-09-23,164.47,165.77,164.35,164.86,182219
2021-09-24,164.695,165.64,163.9,164.37,91709
2021-09-27,164.03,164.315,162.865,163.19,132501
2021-09-28,162.975,163.91,161.785,162.85,376900
2021-09-29,163.16,164.65,162.78,164.04,141565
2021-09-30,164.67,165.37,161.43,161.44,232165
2021-10-01,161.58,161.83,158.63,160.34,211521
2021-10-04,159.66,160.97,157.74,159.2,212886
2021-10-05,159.75,161.1,159.21,159.58,200977
2021-10-06,159.63,159.92,157.85,159.88,203596
2021-10-07,160.42,162.565,160.42,161.33,155742
2021-10-08,161.29,161.54,160.31,160.97,149931
2021-10-11,160.96,161.82,159.94,160.24,105174
2021-10-12,160.01,160.01,157.35,157.65,126172
2021-10-13,157.82,160.01,157.78,159.19,275947
2021-10-14,159.87,161.1,159.87,160.07,148479
2021-10-15,161.03,161.73,160.42,161.34,234527
2021-10-18,160.56,160.72,159.25,160.17,304293
2021-10-19,160.83,165.13,160.725,163.95,547665
2021-10-20,163.96,164.75,163.26,163.745,264070
2021-10-21,164.39,164.39,162.32,163.33,138383
2021-10-22,163.19,164.06,162.97,163.73,210257
2021-10-26,164.635,166.0,164.07,165.73,228391
2021-10-27,165.545,165.68,163.34,163.73,234445
2021-10-28,163.835,165.2,162.33,162.81,215469
2021-10-29,162.365,163.23,160.61,162.84,238796
2021-11-01,163.26,163.94,162.37,163.02,134268
2021-11-02,163.505,166.96,163.05,165.58,201835
2021-11-03,165.01,165.7,163.47,165.1,233158
2021-11-04,164.76,164.955,162.7,164.84,186665
2021-11-05,162.65,164.59,162.28,163.37,208655
2021-11-08,163.66,164.0,162.015,162.89,132119
