date,open,high,low,close,volume
2021-07-21,21.04,21.515,21.02,21.235,110616
2021-07-22,21.115,21.14,20.47,20.59,58541
2021-07-23,20.685,20.955,20.505,20.795,108422
2021-07-26,20.88,21.17,20.65,20.83,124501
2021-07-27,20.65,20.96,20.545,20.715,196631
2021-07-28,20.92,20.985,20.515,20.765,155794
2021-07-29,20.92,21.885,20.92,21.235,304969
2021-07-30,21.31,21.71,21.185,21.31,280922
2021-08-02,21.48,21.965,21.27,21.275,174185
2021-08-03,21.37,21.51,20.75,20.79,366589
2021-08-04,20.665,21.17,20.475,20.555,301981
2021-08-05,20.88,21.425,20.85,21.41,273084
2021-08-06,21.76,22.0,21.54,21.845,239941
2021-08-09,21.76,21.865,21.545,21.765,213402
2021-08-10,21.65,21.97,21.52,21.735,351363
2021-08-11,21.825,22.315,21.63,22.3,193790
2021-08-12,22.4,22.44,21.645,21.975,275269
2021-08-13,22.04,22.105,21.83,22.05,87817
2021-08-16,21.89,21.95,21.54,21.625,186253
2021-08-17,21.465,21.495,21.05,21.375,85942
2021-08-18,21.17,21.435,20.995,21.12,173103
2021-08-19,20.935,21.285,20.735,21.055,112343
2021-08-20,20.995,21.425,20.8,21.3,85998
2021-08-23,21.52,21.64,21.215,21.375,170328
2021-08-24,21.575,21.76,21.445,21.645,149319
2021-08-25,21.68,22.115,21.52,22.015,133791
2021-08-26,21.935,21.96,21.595,21.625,134103
2021-08-27,21.88,22.15,21.81,21.92,148981
2021-08-30,21.97,22.01,21.55,21.835,102553
2021-08-31,21.73,21.955,21.66,21.8,208021
2021-09-01,21.825,22.1,21.68,22.03,126745
2021-09-02,22.14,22.17,21.78,22.085,154588
2021-09-03,22.06,22.195,21.845,22.13,136042
2021-09-07,22.01,22.095,21.705,21.82,161839
2021-09-08,21.54,21.915,21.54,21.69,103037
2021-09-09,21.4,21.615,21.4,21.455,140203
2021-09-10,21.39,21.53,21.115,21.12,241073
2021-09-13,21.32,22.075,21.315,21.92,142581
2021-09-14,21.97,22.035,21.59,21.725,233066
2021-09-15,21.73,22.025,21.66,21.89,314294
2021-09-16,21.84,22.245,21.76,22.09,316684
2021-09-17,22.14,22.24,21.705,21.72,126459
2021-09-20,21.2,21.6,21.06,21.39,122487
2021-09-21,21.6,21.73,21.41,21.41,173251
2021-09-22,21.56,22.02,21.51,21.84,129016
2021-09-23,21.955,22.195,21.825,21.85,236353
2021-09-24,21.79,21.935,21.575,21.6,82002
